country,residence,email,bankID:,bank_ID,contact,accountid,account status,Zip Code,account_type,Bank_NUMBER:,Last Activity,Customer,profile number,location,Open Date,Balance
USA,234 Main St,user5175@example.com,12085175,12085175,+1-541-796-3137,12085175,active,69510,Loan,12085175,2024-05-20,Jane Doe,12085175,Branch 17,2024-06-06,2527.67
USA,221 Maple Drive,user3717@example.com,93403717,93403717,+1-658-539-4277,93403717,inactive,38713,Credit,93403717,2024-04-14,Katie Doe,93403717,Branch 17,2023-03-11,1974.7
Germany,676 First Ave,user9894@sample.org,72509894,72509894,+1-454-348-7814,72509894,active,42437,Checking,72509894,2024-07-03,Alex Doe,72509894,Branch 12,2023-09-19,6264.86
Australia,911 Maple Drive,user2948@example.com,83432948,83432948,+1-488-297-6427,83432948,inactive,32480,Loan,83432948,2025-02-02,Katie Brown,83432948,Branch 11,2023-07-06,8228.15
Australia,120 First Ave,user6551@example.com,95376551,95376551,+1-228-350-8063,95376551,inactive,68085,Savings,95376551,2024-12-14,Katie Smith,95376551,Branch 12,2023-06-15,3627.17
Australia,372 Main St,user4664@test.net,23424664,23424664,+1-548-756-4694,23424664,inactive,51337,Savings,23424664,2024-05-08,Emily Johnson,23424664,Branch 5,2023-09-07,4329.22
USA,526 Broadway,user1502@sample.org,49161502,49161502,+1-337-100-5244,49161502,active,26336,Savings,49161502,2024-06-30,Emily Brown,49161502,Branch 13,2023-10-22,1163.74
UK,882 Maple Drive,user4854@sample.org,63254854,63254854,+1-364-191-1392,63254854,active,94152,Credit,63254854,2025-02-02,Jane Johnson,63254854,Branch 15,2025-02-23,1536.74
USA,475 Maple Drive,user4931@sample.org,05354931,05354931,+1-571-246-6430,05354931,active,50685,Loan,05354931,2024-12-31,John Doe,05354931,Branch 13,2020-08-10,5687.83
USA,383 First Ave,user0751@test.net,98000751,98000751,+1-271-222-2268,98000751,active,45225,Loan,98000751,2024-08-21,Katie Doe,98000751,Branch 1,2022-05-04,1035.53
Germany,259 Main St,user9231@test.net,49019231,49019231,+1-963-590-3847,49019231,inactive,74558,Credit,49019231,2024-07-16,Katie Doe,49019231,Branch 10,2024-06-11,2028.44
Germany,403 Main St,user4455@test.net,47544455,47544455,+1-807-518-8671,47544455,inactive,36398,Savings,47544455,2024-05-13,Chris Davis,47544455,Branch 8,2022-08-30,2354.42
Australia,426 Broadway,user4024@example.com,25424024,25424024,+1-697-504-8527,25424024,inactive,88521,Savings,25424024,2024-08-10,Alex Johnson,25424024,Branch 14,2021-11-27,4444.81
Canada,334 First Ave,user9943@example.com,60439943,60439943,+1-324-581-3648,60439943,inactive,14310,Loan,60439943,2024-05-26,Jane Davis,60439943,Branch 18,2022-10-24,465.66
UK,862 First Ave,user6938@test.net,23236938,23236938,+1-519-196-4829,23236938,active,89477,Loan,23236938,2024-11-03,Alex Davis,23236938,Branch 1,2022-11-22,5002.71
Canada,496 Maple Drive,user8481@test.net,74338481,74338481,+1-468-981-9678,74338481,active,56779,Loan,74338481,2024-12-22,Katie Johnson,74338481,Branch 11,2023-06-12,9287.46
Canada,511 Main St,user1084@example.com,13791084,13791084,+1-880-635-7366,13791084,inactive,86157,Savings,13791084,2024-12-16,Katie Johnson,13791084,Branch 5,2021-03-27,254.39
Germany,202 Main St,user7144@sample.org,25487144,25487144,+1-210-639-5930,25487144,inactive,90905,Checking,25487144,2025-01-11,John Smith,25487144,Branch 19,2021-07-28,6313.54
UK,278 First Ave,user5721@test.net,20635721,20635721,+1-376-764-6072,20635721,active,92098,Credit,20635721,2025-01-29,Alex Davis,20635721,Branch 12,2020-07-26,8360.07
Germany,497 Maple Drive,user2748@test.net,23412748,23412748,+1-978-529-5829,23412748,active,77881,Loan,23412748,2024-07-05,Emily Doe,23412748,Branch 12,2021-07-04,3131.48
Canada,665 Broadway,user2681@test.net,37422681,37422681,+1-891-306-8970,37422681,active,21840,Credit,37422681,2024-11-07,Alex Davis,37422681,Branch 1,2023-03-27,1323.87
UK,595 Broadway,user5014@test.net,99625014,99625014,+1-378-934-7492,99625014,inactive,33341,Checking,99625014,2024-03-22,Katie Doe,99625014,Branch 2,2024-04-02,442.96
USA,816 Broadway,user8189@test.net,65718189,65718189,+1-737-767-6725,65718189,inactive,53067,Loan,65718189,2024-04-24,Alex Johnson,65718189,Branch 13,2021-12-02,6442.59
Canada,712 First Ave,user5857@sample.org,70775857,70775857,+1-910-352-4979,70775857,inactive,97555,Savings,70775857,2024-07-09,Alex Davis,70775857,Branch 4,2022-10-20,5526.82
Australia,831 Broadway,user1945@example.com,18021945,18021945,+1-688-104-9733,18021945,active,73854,Credit,18021945,2025-01-09,Chris Johnson,18021945,Branch 10,2020-05-24,2300.66
UK,514 Broadway,user5770@sample.org,25365770,25365770,+1-672-307-2121,25365770,active,14127,Loan,25365770,2024-05-19,Katie Smith,25365770,Branch 7,2024-07-12,8317.86
UK,904 Maple Drive,user8984@test.net,53138984,53138984,+1-643-732-1613,53138984,active,90805,Savings,53138984,2024-05-06,Jane Doe,53138984,Branch 3,2021-07-19,7357.71
USA,301 Maple Drive,user2716@sample.org,77712716,77712716,+1-726-616-5139,77712716,active,23382,Savings,77712716,2024-06-04,Alex Brown,77712716,Branch 16,2022-11-08,2771.52
USA,254 Maple Drive,user6391@sample.org,20096391,20096391,+1-975-498-4155,20096391,inactive,65388,Checking,20096391,2024-07-17,Chris Brown,20096391,Branch 7,2025-03-05,7536.1
UK,737 Maple Drive,user7389@test.net,82487389,82487389,+1-243-292-6117,82487389,inactive,98833,Loan,82487389,2025-02-14,Jane Smith,82487389,Branch 10,2024-03-18,2457.49
USA,669 Main St,user2131@example.com,99172131,99172131,+1-624-361-7837,99172131,inactive,95148,Credit,99172131,2025-01-05,Emily Davis,99172131,Branch 14,2022-06-22,6755.92
Canada,835 Broadway,user5636@example.com,81985636,81985636,+1-342-249-9872,81985636,active,95989,Checking,81985636,2024-07-21,Emily Johnson,81985636,Branch 16,2021-05-07,1194.26
Australia,690 Broadway,user5279@example.com,66985279,66985279,+1-572-632-1537,66985279,inactive,54964,Credit,66985279,2024-08-01,Alex Doe,66985279,Branch 5,2020-12-14,6925.47
Germany,730 First Ave,user7857@test.net,70807857,70807857,+1-994-594-6387,70807857,inactive,72111,Savings,70807857,2024-09-18,Emily Doe,70807857,Branch 2,2021-09-10,2395.36
Australia,441 Broadway,user5816@test.net,19095816,19095816,+1-584-216-5923,19095816,active,24853,Credit,19095816,2024-04-02,Emily Smith,19095816,Branch 19,2021-02-03,5728.97
Australia,885 Broadway,user8706@example.com,33058706,33058706,+1-536-414-8408,33058706,inactive,85504,Checking,33058706,2024-10-12,Emily Davis,33058706,Branch 2,2023-10-08,1732.91
USA,347 Maple Drive,user0643@sample.org,41650643,41650643,+1-263-843-1900,41650643,active,56094,Savings,41650643,2024-03-11,John Brown,41650643,Branch 6,2022-07-02,7262.41
UK,808 Main St,user8344@test.net,95388344,95388344,+1-826-730-3496,95388344,inactive,44036,Checking,95388344,2024-06-19,Jane Smith,95388344,Branch 13,2023-05-13,618.19
Canada,383 Maple Drive,user8015@sample.org,74308015,74308015,+1-621-270-6906,74308015,active,85066,Checking,74308015,2024-06-12,Emily Johnson,74308015,Branch 3,2024-03-26,1662.52
Australia,646 Broadway,user8466@sample.org,03598466,03598466,+1-692-683-1774,03598466,inactive,92528,Checking,03598466,2025-01-05,Chris Smith,03598466,Branch 4,2022-07-18,1849.52
Australia,372 Main St,user0693@test.net,63450693,63450693,+1-563-624-1353,63450693,active,64945,Credit,63450693,2024-04-12,Chris Doe,63450693,Branch 6,2023-03-31,423.02
USA,438 Broadway,user2953@sample.org,49272953,49272953,+1-500-988-3137,49272953,active,63044,Savings,49272953,2024-03-29,Jane Smith,49272953,Branch 7,2024-07-02,7452.68
USA,787 First Ave,user0443@test.net,58730443,58730443,+1-485-268-2032,58730443,inactive,57325,Savings,58730443,2024-12-13,Emily Smith,58730443,Branch 10,2020-09-12,9809.72
Germany,512 Broadway,user0814@sample.org,85030814,85030814,+1-364-638-6837,85030814,active,71478,Savings,85030814,2024-10-18,Jane Davis,85030814,Branch 16,2022-04-03,7786.19
Australia,345 Broadway,user9169@sample.org,71839169,71839169,+1-734-413-7720,71839169,active,57709,Loan,71839169,2024-08-27,Alex Brown,71839169,Branch 1,2020-04-18,8607.71
Germany,128 Main St,user0111@test.net,42460111,42460111,+1-805-465-5570,42460111,inactive,27647,Credit,42460111,2024-10-21,Katie Brown,42460111,Branch 7,2020-05-30,70.02
Canada,612 Main St,user2151@sample.org,07132151,07132151,+1-604-617-7492,07132151,active,76461,Checking,07132151,2024-05-20,John Smith,07132151,Branch 4,2024-08-08,1187.52
Germany,697 Broadway,user6707@test.net,76296707,76296707,+1-343-769-2223,76296707,active,54711,Credit,76296707,2024-07-21,John Davis,76296707,Branch 17,2021-03-09,5594.61
Germany,799 Maple Drive,user6052@test.net,79136052,79136052,+1-267-541-2528,79136052,inactive,11155,Checking,79136052,2024-05-07,Emily Smith,79136052,Branch 6,2024-07-28,9778.91
USA,678 Broadway,user6470@test.net,51696470,51696470,+1-934-988-8082,51696470,active,63094,Savings,51696470,2024-05-17,Jane Johnson,51696470,Branch 15,2020-03-12,6610.52
USA,334 Main St,user3369@example.com,32013369,32013369,+1-554-373-9918,32013369,inactive,98892,Credit,32013369,2025-02-18,Alex Davis,32013369,Branch 7,2022-06-06,3747.63
USA,925 First Ave,user2529@sample.org,69932529,69932529,+1-959-892-8131,69932529,active,20639,Savings,69932529,2024-10-12,Katie Davis,69932529,Branch 12,2021-08-22,1470.03
Germany,241 First Ave,user0490@sample.org,70710490,70710490,+1-212-632-2883,70710490,active,25413,Credit,70710490,2024-08-01,John Brown,70710490,Branch 5,2021-03-31,1536.83
USA,925 Broadway,user7162@test.net,07787162,07787162,+1-942-530-4058,07787162,inactive,45296,Savings,07787162,2024-05-09,Emily Smith,07787162,Branch 16,2021-04-17,3633.9
Australia,705 Main St,user6354@sample.org,70756354,70756354,+1-531-613-4774,70756354,inactive,84776,Loan,70756354,2024-11-09,Alex Davis,70756354,Branch 20,2021-03-12,7140.96
Australia,440 Broadway,user6100@test.net,56376100,56376100,+1-811-388-2936,56376100,active,79617,Checking,56376100,2024-06-26,Emily Davis,56376100,Branch 7,2022-07-05,327.87
Germany,498 Main St,user3169@example.com,06033169,06033169,+1-546-259-4549,06033169,inactive,38767,Loan,06033169,2024-08-03,Emily Brown,06033169,Branch 5,2020-09-08,8523.25
USA,957 Maple Drive,user1152@example.com,32921152,32921152,+1-509-712-2949,32921152,inactive,33629,Loan,32921152,2024-05-24,Katie Johnson,32921152,Branch 12,2022-05-05,9416.1
USA,814 Main St,user8388@sample.org,48468388,48468388,+1-905-508-9460,48468388,inactive,75239,Loan,48468388,2024-08-01,Chris Davis,48468388,Branch 20,2025-01-16,8889.28
USA,886 Broadway,user7700@sample.org,74807700,74807700,+1-514-162-1035,74807700,inactive,12945,Loan,74807700,2024-09-19,Chris Johnson,74807700,Branch 18,2024-08-23,9131.14
Canada,820 Main St,user3936@example.com,09463936,09463936,+1-367-122-3884,09463936,inactive,52934,Credit,09463936,2024-12-02,John Smith,09463936,Branch 11,2024-10-31,163.24
Australia,144 Maple Drive,user7583@example.com,52157583,52157583,+1-320-495-9221,52157583,active,34960,Loan,52157583,2024-08-01,Jane Johnson,52157583,Branch 13,2022-08-28,9778.15
Australia,177 Maple Drive,user8042@test.net,21258042,21258042,+1-876-220-7900,21258042,inactive,55913,Loan,21258042,2024-10-19,Chris Davis,21258042,Branch 16,2020-04-24,3669.91
Canada,549 Broadway,user5339@example.com,95425339,95425339,+1-332-517-5042,95425339,inactive,82418,Savings,95425339,2024-05-03,Chris Brown,95425339,Branch 17,2023-04-01,8694.12
Australia,991 Maple Drive,user5291@test.net,26975291,26975291,+1-451-267-4172,26975291,active,94345,Credit,26975291,2024-09-09,Alex Doe,26975291,Branch 5,2021-10-15,1876.22
Germany,515 Broadway,user7350@test.net,01867350,01867350,+1-593-593-7425,01867350,active,31306,Credit,01867350,2024-11-25,Katie Davis,01867350,Branch 15,2023-01-06,4470.79
Canada,226 First Ave,user3741@example.com,69733741,69733741,+1-642-516-8080,69733741,active,30681,Loan,69733741,2024-12-07,Katie Smith,69733741,Branch 4,2022-10-25,451.2
Germany,880 Broadway,user8097@sample.org,81958097,81958097,+1-874-217-5566,81958097,active,62839,Checking,81958097,2024-05-26,Alex Smith,81958097,Branch 3,2025-03-01,410.36
Germany,693 Maple Drive,user8138@example.com,34388138,34388138,+1-387-365-3418,34388138,inactive,82589,Checking,34388138,2024-09-01,Katie Davis,34388138,Branch 11,2022-11-29,9433.33
USA,882 Main St,user4831@test.net,83514831,83514831,+1-793-999-2955,83514831,active,27668,Checking,83514831,2024-12-18,Alex Johnson,83514831,Branch 2,2024-12-18,8107.96
Canada,435 Main St,user0666@example.com,61250666,61250666,+1-304-838-5600,61250666,inactive,28534,Credit,61250666,2024-09-23,Chris Doe,61250666,Branch 13,2024-01-02,5302.96
Canada,164 Main St,user6118@test.net,37406118,37406118,+1-478-503-7935,37406118,inactive,33279,Checking,37406118,2024-11-14,Emily Davis,37406118,Branch 15,2023-04-08,5259.33
USA,291 First Ave,user6012@example.com,90636012,90636012,+1-277-425-4643,90636012,active,34089,Checking,90636012,2024-08-19,John Johnson,90636012,Branch 17,2025-02-21,7490.06
Canada,332 Main St,user3275@sample.org,50633275,50633275,+1-391-558-2803,50633275,active,47170,Savings,50633275,2024-04-09,Alex Davis,50633275,Branch 1,2022-11-01,3423.27
Germany,565 Broadway,user4629@test.net,27074629,27074629,+1-829-883-2201,27074629,active,43911,Checking,27074629,2024-07-20,Emily Davis,27074629,Branch 1,2020-04-01,7621.07
Canada,516 Maple Drive,user6400@example.com,74416400,74416400,+1-441-189-5557,74416400,active,56434,Checking,74416400,2024-08-03,Katie Doe,74416400,Branch 1,2021-02-11,4855.23
USA,762 First Ave,user1893@example.com,85111893,85111893,+1-503-776-8572,85111893,inactive,82227,Credit,85111893,2024-08-29,John Davis,85111893,Branch 13,2023-09-30,6382.79
Australia,424 Maple Drive,user4698@example.com,32714698,32714698,+1-579-981-9110,32714698,inactive,49009,Credit,32714698,2024-10-10,Chris Smith,32714698,Branch 11,2023-04-01,9648.65
Canada,580 Maple Drive,user2097@test.net,49572097,49572097,+1-857-753-5680,49572097,active,73436,Checking,49572097,2024-08-23,Emily Brown,49572097,Branch 4,2021-08-02,4718.44
UK,478 Main St,user6688@test.net,72166688,72166688,+1-517-401-3841,72166688,inactive,32418,Savings,72166688,2024-07-07,Chris Davis,72166688,Branch 20,2021-08-10,4189.86
Canada,326 Main St,user3487@example.com,43133487,43133487,+1-756-457-1274,43133487,inactive,58423,Checking,43133487,2024-11-14,Katie Davis,43133487,Branch 4,2024-06-18,9058.43
USA,162 Main St,user5739@test.net,47205739,47205739,+1-489-241-1778,47205739,active,74485,Credit,47205739,2024-07-27,Jane Doe,47205739,Branch 10,2023-03-26,9026.78
Germany,163 Main St,user3423@example.com,85393423,85393423,+1-253-240-6559,85393423,active,25965,Loan,85393423,2024-05-06,John Johnson,85393423,Branch 4,2024-04-19,9924.26
Germany,105 Maple Drive,user5877@test.net,70975877,70975877,+1-850-848-2190,70975877,active,26685,Savings,70975877,2024-05-28,Emily Brown,70975877,Branch 7,2024-12-09,5513.12
Canada,687 Broadway,user5601@sample.org,93295601,93295601,+1-514-962-5045,93295601,active,15970,Loan,93295601,2024-08-08,Katie Davis,93295601,Branch 8,2022-05-08,3449.17
USA,324 Broadway,user1365@example.com,08031365,08031365,+1-708-467-9792,08031365,inactive,78342,Checking,08031365,2024-09-06,Emily Davis,08031365,Branch 4,2023-07-21,2411.5
USA,179 Main St,user7893@example.com,17167893,17167893,+1-899-842-4566,17167893,active,31331,Savings,17167893,2024-09-01,Katie Smith,17167893,Branch 16,2024-05-25,350.62
Germany,896 Maple Drive,user4812@test.net,55214812,55214812,+1-626-346-6970,55214812,inactive,31997,Loan,55214812,2024-06-15,Emily Brown,55214812,Branch 6,2023-08-07,7270.02
USA,601 Main St,user8484@sample.org,96708484,96708484,+1-481-485-3333,96708484,active,35695,Savings,96708484,2024-08-06,Alex Brown,96708484,Branch 7,2021-01-27,2342.43
Germany,280 Main St,user4647@sample.org,99834647,99834647,+1-904-376-1100,99834647,inactive,47956,Checking,99834647,2024-05-01,Alex Smith,99834647,Branch 4,2022-04-11,6070.34
