nation,Last Activity,current balance,Status,client name,Open Date,phone,acct-identifier,postal code,profile-id,client num,E-mail,office,street,ClientNO:,type,client identification
Germany,2025-01-10,957.13,inactive,Jane Smith,2021-07-10,+1-736-779-8220,30644336,88116,30644336,30644336,user4336@test.net,Branch 4,143 Maple Drive,30644336,Savings,30644336
UK,2024-04-06,6320.49,inactive,Jane Doe,2021-01-07,+1-576-964-2899,07806278,41951,07806278,07806278,user6278@example.com,Branch 10,576 Broadway,07806278,Savings,07806278
UK,2024-04-18,8792.0,active,Emily Smith,2024-03-20,+1-368-205-5784,89831129,11488,89831129,89831129,user1129@example.com,Branch 8,608 Maple Drive,89831129,Savings,89831129
Canada,2024-11-09,1791.05,inactive,Jane Davis,2021-01-25,+1-985-371-3354,18919599,95007,18919599,18919599,user9599@test.net,Branch 19,365 Broadway,18919599,Savings,18919599
UK,2024-12-11,7379.88,inactive,John Johnson,2021-12-30,+1-507-314-8050,75692658,15425,75692658,75692658,user2658@sample.org,Branch 3,565 Maple Drive,75692658,Loan,75692658
Canada,2024-09-06,263.75,inactive,Jane Brown,2024-04-24,+1-231-575-1164,38150395,61468,38150395,38150395,user0395@sample.org,Branch 11,582 Maple Drive,38150395,Checking,38150395
UK,2025-02-11,9262.77,active,Emily Davis,2020-08-03,+1-979-681-2121,51523962,49124,51523962,51523962,user3962@sample.org,Branch 7,285 Main St,51523962,Loan,51523962
Germany,2024-06-24,9829.34,active,Emily Doe,2020-08-10,+1-685-947-3879,79400358,20508,79400358,79400358,user0358@test.net,Branch 16,495 Maple Drive,79400358,Checking,79400358
Canada,2025-01-10,3548.26,active,Chris Johnson,2023-01-20,+1-726-337-2410,34076449,79747,34076449,34076449,user6449@sample.org,Branch 18,389 Maple Drive,34076449,Checking,34076449
USA,2024-04-10,1079.67,active,John Johnson,2022-07-03,+1-329-823-1961,46960337,77288,46960337,46960337,user0337@sample.org,Branch 3,879 Maple Drive,46960337,Savings,46960337
Germany,2025-02-17,6589.18,inactive,Alex Doe,2024-11-13,+1-451-242-8634,42098863,24674,42098863,42098863,user8863@example.com,Branch 12,416 Broadway,42098863,Savings,42098863
Germany,2024-05-04,308.05,active,Katie Doe,2020-12-29,+1-947-890-7971,81309869,82340,81309869,81309869,user9869@example.com,Branch 19,773 Main St,81309869,Loan,81309869
UK,2024-11-01,4830.04,active,Emily Davis,2022-09-04,+1-837-669-5847,48967067,23370,48967067,48967067,user7067@example.com,Branch 4,279 Main St,48967067,Checking,48967067
Canada,2024-09-10,2725.07,active,Emily Johnson,2024-11-05,+1-790-236-2589,75302233,82269,75302233,75302233,user2233@test.net,Branch 8,226 First Ave,75302233,Loan,75302233
Australia,2025-03-07,4738.66,active,Emily Davis,2020-12-20,+1-278-427-3298,67112146,68716,67112146,67112146,user2146@sample.org,Branch 15,551 Broadway,67112146,Credit,67112146
Australia,2024-10-11,192.57,active,Emily Johnson,2020-04-22,+1-837-578-8249,88992083,87482,88992083,88992083,user2083@test.net,Branch 13,394 Maple Drive,88992083,Loan,88992083
Australia,2024-08-17,525.61,inactive,Katie Brown,2020-12-01,+1-980-518-1042,88649074,71066,88649074,88649074,user9074@test.net,Branch 5,279 First Ave,88649074,Credit,88649074
USA,2024-04-13,169.6,active,John Davis,2023-04-16,+1-496-267-2480,75903177,72564,75903177,75903177,user3177@sample.org,Branch 17,442 Maple Drive,75903177,Credit,75903177
Australia,2024-11-22,6195.13,inactive,Emily Brown,2021-01-26,+1-776-514-8942,84908665,92256,84908665,84908665,user8665@sample.org,Branch 9,714 Maple Drive,84908665,Checking,84908665
Australia,2025-01-04,5605.33,active,Emily Davis,2023-03-31,+1-640-241-9693,80952808,30476,80952808,80952808,user2808@sample.org,Branch 1,291 First Ave,80952808,Credit,80952808
USA,2024-04-05,2339.25,inactive,Chris Brown,2023-08-29,+1-642-288-9591,17357290,23505,17357290,17357290,user7290@sample.org,Branch 2,428 First Ave,17357290,Checking,17357290
Germany,2024-09-11,6469.96,active,Alex Smith,2021-05-10,+1-637-550-8155,09791623,51666,09791623,09791623,user1623@sample.org,Branch 15,200 Main St,09791623,Savings,09791623
USA,2025-02-11,8843.23,inactive,John Smith,2023-03-07,+1-442-224-1830,04340554,84008,04340554,04340554,user0554@sample.org,Branch 16,455 Main St,04340554,Credit,04340554
UK,2024-05-02,2780.45,inactive,Alex Doe,2021-03-01,+1-278-312-4901,90517849,45211,90517849,90517849,user7849@sample.org,Branch 16,289 Maple Drive,90517849,Checking,90517849
USA,2024-08-07,8321.62,inactive,John Johnson,2021-05-15,+1-274-227-2663,85469876,75498,85469876,85469876,user9876@test.net,Branch 14,166 Maple Drive,85469876,Savings,85469876
Canada,2025-01-07,6628.47,inactive,Chris Johnson,2021-08-19,+1-539-407-1653,09927660,69315,09927660,09927660,user7660@example.com,Branch 1,513 Broadway,09927660,Credit,09927660
Germany,2024-09-05,347.87,active,Chris Doe,2020-08-04,+1-715-501-6332,82331600,86155,82331600,82331600,user1600@example.com,Branch 9,774 First Ave,82331600,Credit,82331600
USA,2024-04-30,3757.75,inactive,Chris Doe,2020-09-15,+1-578-642-8492,04281206,39941,04281206,04281206,user1206@sample.org,Branch 20,814 First Ave,04281206,Loan,04281206
USA,2024-04-27,5082.49,inactive,Chris Johnson,2020-10-23,+1-828-241-4800,29264036,41033,29264036,29264036,user4036@test.net,Branch 13,455 Main St,29264036,Savings,29264036
Canada,2025-01-29,7319.67,inactive,Alex Johnson,2022-04-01,+1-639-124-3801,09756044,43516,09756044,09756044,user6044@test.net,Branch 3,420 Broadway,09756044,Savings,09756044
Germany,2024-08-03,2878.43,inactive,John Johnson,2023-03-23,+1-922-873-8394,54836188,64084,54836188,54836188,user6188@sample.org,Branch 7,499 Broadway,54836188,Loan,54836188
Germany,2025-01-06,9827.47,inactive,Jane Davis,2021-07-18,+1-417-228-4298,80979908,96689,80979908,80979908,user9908@test.net,Branch 17,679 Maple Drive,80979908,Loan,80979908
UK,2024-06-28,6848.55,active,Alex Brown,2023-10-27,+1-840-579-2422,86065598,60182,86065598,86065598,user5598@test.net,Branch 4,522 Broadway,86065598,Credit,86065598
Australia,2025-02-18,3734.41,active,Jane Davis,2021-09-17,+1-929-445-4500,81656109,48740,81656109,81656109,user6109@test.net,Branch 15,828 First Ave,81656109,Checking,81656109
UK,2024-12-11,979.28,active,John Johnson,2020-06-16,+1-601-684-7155,01756113,73862,01756113,01756113,user6113@example.com,Branch 11,752 Broadway,01756113,Checking,01756113
USA,2024-08-17,1821.86,active,Chris Smith,2022-04-29,+1-433-878-5527,06004061,21659,06004061,06004061,user4061@example.com,Branch 12,971 Main St,06004061,Credit,06004061
Australia,2024-04-07,4881.2,inactive,Chris Brown,2024-10-10,+1-843-600-8241,78681494,97990,78681494,78681494,user1494@example.com,Branch 11,804 Maple Drive,78681494,Checking,78681494
Australia,2024-05-30,4952.01,active,Chris Doe,2024-07-31,+1-736-667-5625,14471767,67985,14471767,14471767,user1767@example.com,Branch 12,761 First Ave,14471767,Loan,14471767
Germany,2024-11-28,7679.51,inactive,Katie Davis,2021-09-12,+1-659-287-9158,54981751,57442,54981751,54981751,user1751@example.com,Branch 16,220 Main St,54981751,Savings,54981751
Germany,2024-03-13,7264.5,active,Alex Brown,2024-07-30,+1-506-603-5191,60445707,35039,60445707,60445707,user5707@sample.org,Branch 16,405 First Ave,60445707,Checking,60445707
Germany,2024-04-28,2020.72,inactive,Alex Davis,2021-03-10,+1-306-236-3226,73746657,80749,73746657,73746657,user6657@test.net,Branch 8,688 Main St,73746657,Checking,73746657
USA,2024-05-12,5953.62,active,Chris Davis,2023-04-04,+1-883-755-4231,32356137,34519,32356137,32356137,user6137@example.com,Branch 9,616 Main St,32356137,Loan,32356137
Canada,2024-04-01,216.01,inactive,John Johnson,2024-04-30,+1-450-176-1805,47160833,66960,47160833,47160833,user0833@test.net,Branch 20,980 Main St,47160833,Checking,47160833
Germany,2024-08-24,3991.49,active,Alex Davis,2024-11-26,+1-401-345-5437,18369864,91882,18369864,18369864,user9864@test.net,Branch 12,629 Main St,18369864,Credit,18369864
UK,2025-02-24,7643.41,active,Emily Johnson,2024-08-01,+1-547-243-6875,34608036,98607,34608036,34608036,user8036@example.com,Branch 10,764 Main St,34608036,Credit,34608036
Canada,2025-02-19,4001.09,active,John Brown,2023-04-02,+1-719-885-3606,89595742,39292,89595742,89595742,user5742@test.net,Branch 8,160 Maple Drive,89595742,Checking,89595742
Australia,2024-12-28,8357.61,active,John Davis,2020-09-16,+1-714-961-2343,87879215,16230,87879215,87879215,user9215@test.net,Branch 17,904 Maple Drive,87879215,Savings,87879215
Canada,2024-06-05,9761.79,inactive,Alex Doe,2022-08-18,+1-384-159-5428,35069053,86855,35069053,35069053,user9053@sample.org,Branch 11,934 Main St,35069053,Credit,35069053
Australia,2024-09-19,6076.05,active,John Smith,2024-04-03,+1-330-934-9503,96654852,32304,96654852,96654852,user4852@example.com,Branch 7,980 Main St,96654852,Credit,96654852
Canada,2024-06-22,1458.59,active,Alex Brown,2024-01-02,+1-306-356-6997,59356825,77923,59356825,59356825,user6825@test.net,Branch 2,395 Broadway,59356825,Checking,59356825
UK,2025-02-07,3802.98,inactive,Alex Doe,2024-08-18,+1-252-286-4204,13367471,57816,13367471,13367471,user7471@test.net,Branch 10,425 Maple Drive,13367471,Loan,13367471
USA,2024-04-21,104.74,active,Alex Smith,2024-03-02,+1-670-960-6661,83393331,75112,83393331,83393331,user3331@example.com,Branch 20,884 First Ave,83393331,Credit,83393331
Australia,2024-10-01,6031.23,inactive,Alex Brown,2024-08-08,+1-724-229-3712,70220241,44841,70220241,70220241,user0241@sample.org,Branch 20,254 Broadway,70220241,Checking,70220241
Australia,2024-07-07,8217.47,inactive,Chris Brown,2020-09-06,+1-949-966-3248,23478352,16507,23478352,23478352,user8352@example.com,Branch 19,709 Broadway,23478352,Checking,23478352
Germany,2024-10-23,6303.1,inactive,Katie Smith,2023-07-17,+1-874-535-4063,85001453,36652,85001453,85001453,user1453@sample.org,Branch 9,538 Main St,85001453,Loan,85001453
Canada,2024-07-31,7863.0,active,John Doe,2021-08-24,+1-848-305-6300,59072804,94948,59072804,59072804,user2804@sample.org,Branch 18,357 Maple Drive,59072804,Checking,59072804
Germany,2024-10-31,8001.04,inactive,Katie Johnson,2020-03-25,+1-686-708-5154,90724703,43609,90724703,90724703,user4703@test.net,Branch 1,611 First Ave,90724703,Savings,90724703
UK,2025-03-01,8511.62,active,Emily Johnson,2024-06-13,+1-817-543-9846,21674857,85080,21674857,21674857,user4857@sample.org,Branch 2,902 Main St,21674857,Loan,21674857
Germany,2024-11-09,2673.97,inactive,Chris Davis,2020-03-15,+1-875-865-3976,32343265,23969,32343265,32343265,user3265@test.net,Branch 8,877 Main St,32343265,Loan,32343265
Germany,2024-08-24,8713.97,active,Chris Johnson,2022-12-19,+1-349-934-7302,77004520,65738,77004520,77004520,user4520@example.com,Branch 18,535 Main St,77004520,Credit,77004520
