office,acct status,Clientidentification:,Name,phone,accnum,account_type,E-mail,Zip Code,residence,last_activity,open_date,Country,BankIDENTIFICATION,Balance,acc id:,accno
Branch 4,active,53217576,John Brown,+1-712-938-2152,53217576,Savings,user7576@test.net,79813,397 Maple Drive,2025-02-05,2023-08-21,Australia,53217576,9592.79,53217576,53217576
Branch 1,active,99274689,John Johnson,+1-553-774-2673,99274689,Checking,user4689@test.net,69819,273 First Ave,2025-02-28,2022-12-16,Australia,99274689,1784.59,99274689,99274689
Branch 11,active,18720569,Jane Brown,+1-941-303-8800,18720569,Credit,user0569@example.com,44434,622 Maple Drive,2024-05-24,2022-06-15,Australia,18720569,5317.73,18720569,18720569
Branch 13,inactive,86841371,Katie Smith,+1-250-326-4122,86841371,Checking,user1371@test.net,70371,293 First Ave,2024-08-27,2023-07-21,UK,86841371,445.46,86841371,86841371
Branch 10,inactive,94461441,Katie Smith,+1-613-171-3536,94461441,Savings,user1441@example.com,70538,551 Broadway,2024-08-23,2020-05-08,UK,94461441,4996.84,94461441,94461441
Branch 11,active,46525541,John Johnson,+1-550-839-5821,46525541,Loan,user5541@sample.org,52019,420 Maple Drive,2024-12-19,2023-08-06,Germany,46525541,1263.33,46525541,46525541
Branch 8,active,78129227,Katie Johnson,+1-594-400-9182,78129227,Loan,user9227@example.com,43619,712 Maple Drive,2024-07-11,2021-07-13,Germany,78129227,8380.59,78129227,78129227
Branch 13,active,12595392,Chris Davis,+1-481-870-9105,12595392,Savings,user5392@example.com,80290,418 First Ave,2024-10-28,2021-01-29,Germany,12595392,1147.56,12595392,12595392
Branch 13,inactive,86512567,Emily Davis,+1-271-942-5298,86512567,Loan,user2567@example.com,33830,690 Broadway,2024-04-07,2023-05-12,Germany,86512567,5137.75,86512567,86512567
Branch 12,inactive,58049906,Chris Johnson,+1-265-969-9393,58049906,Credit,user9906@sample.org,27563,477 Maple Drive,2025-02-15,2023-06-26,Canada,58049906,5215.75,58049906,58049906
Branch 14,active,81789231,Jane Smith,+1-791-373-6574,81789231,Savings,user9231@test.net,28168,316 First Ave,2024-09-30,2023-08-25,Australia,81789231,9716.79,81789231,81789231
Branch 18,inactive,14750945,Katie Doe,+1-281-478-2268,14750945,Savings,user0945@sample.org,48549,118 Maple Drive,2024-05-03,2023-05-28,UK,14750945,6553.26,14750945,14750945
Branch 1,active,38142726,Jane Doe,+1-260-143-9537,38142726,Checking,user2726@test.net,52760,204 Maple Drive,2024-05-11,2025-02-18,UK,38142726,2885.52,38142726,38142726
Branch 15,inactive,56368053,Chris Johnson,+1-365-127-7714,56368053,Credit,user8053@example.com,53710,801 Broadway,2024-09-07,2020-12-18,USA,56368053,2415.59,56368053,56368053
Branch 12,inactive,71490789,John Doe,+1-251-373-3899,71490789,Savings,user0789@test.net,33349,790 Broadway,2024-04-18,2024-12-14,UK,71490789,1291.2,71490789,71490789
Branch 7,active,12307763,Chris Doe,+1-374-280-2046,12307763,Loan,user7763@example.com,55442,626 Maple Drive,2024-09-12,2022-03-22,UK,12307763,7567.58,12307763,12307763
Branch 14,active,63686641,Chris Davis,+1-329-635-3205,63686641,Loan,user6641@example.com,53568,653 Main St,2024-05-09,2023-05-15,Australia,63686641,6910.66,63686641,63686641
Branch 19,inactive,87979444,Alex Doe,+1-603-468-2104,87979444,Loan,user9444@example.com,22103,366 Broadway,2025-01-18,2020-04-04,UK,87979444,6102.67,87979444,87979444
Branch 18,active,12611708,Emily Smith,+1-853-924-1278,12611708,Savings,user1708@sample.org,39512,932 First Ave,2024-09-07,2022-09-20,USA,12611708,418.0,12611708,12611708
Branch 20,inactive,61065446,Alex Doe,+1-662-796-7568,61065446,Loan,user5446@test.net,35467,223 First Ave,2024-04-08,2022-03-04,Canada,61065446,7630.66,61065446,61065446
Branch 1,active,16841650,John Johnson,+1-822-858-4330,16841650,Credit,user1650@test.net,17515,197 Main St,2024-05-24,2022-08-24,Canada,16841650,6422.46,16841650,16841650
Branch 1,inactive,36320150,Chris Johnson,+1-314-438-1621,36320150,Checking,user0150@example.com,35366,580 Broadway,2024-03-17,2024-04-15,Germany,36320150,9639.25,36320150,36320150
Branch 18,active,09113176,Katie Smith,+1-323-919-7595,09113176,Credit,user3176@example.com,78856,520 Maple Drive,2024-09-13,2021-02-02,Canada,09113176,5876.15,09113176,09113176
Branch 4,active,21173070,Emily Brown,+1-355-843-7760,21173070,Savings,user3070@sample.org,93663,202 Broadway,2024-12-22,2020-08-13,Canada,21173070,3046.48,21173070,21173070
Branch 12,inactive,29853031,Chris Doe,+1-722-564-5930,29853031,Credit,user3031@test.net,23674,310 First Ave,2024-06-09,2022-01-30,USA,29853031,3821.39,29853031,29853031
Branch 6,active,02943438,Emily Johnson,+1-245-847-2743,02943438,Loan,user3438@example.com,82968,618 Main St,2024-11-26,2023-06-28,Germany,02943438,1766.65,02943438,02943438
Branch 11,inactive,06644516,Katie Brown,+1-271-492-2557,06644516,Savings,user4516@example.com,33912,577 First Ave,2025-03-07,2021-07-22,Canada,06644516,7231.91,06644516,06644516
Branch 4,active,00592147,Emily Brown,+1-273-111-9968,00592147,Loan,user2147@sample.org,99461,166 Maple Drive,2024-04-26,2022-07-13,Australia,00592147,7080.14,00592147,00592147
Branch 16,inactive,47936463,Emily Doe,+1-229-859-9213,47936463,Checking,user6463@test.net,38440,633 Maple Drive,2024-09-05,2024-03-19,UK,47936463,2014.49,47936463,47936463
Branch 2,inactive,56168519,John Doe,+1-317-564-9838,56168519,Loan,user8519@sample.org,76692,189 Maple Drive,2024-08-11,2021-10-01,Germany,56168519,1593.31,56168519,56168519
Branch 18,active,54907791,Jane Doe,+1-304-213-4200,54907791,Loan,user7791@example.com,33633,869 Maple Drive,2024-11-06,2022-05-26,Australia,54907791,779.28,54907791,54907791
Branch 10,inactive,00950691,Alex Smith,+1-247-773-5778,00950691,Credit,user0691@example.com,76437,534 Broadway,2024-09-23,2021-07-22,UK,00950691,9120.64,00950691,00950691
Branch 9,active,95755534,Jane Brown,+1-991-344-2986,95755534,Checking,user5534@example.com,42830,867 Maple Drive,2024-09-22,2023-02-20,USA,95755534,2338.37,95755534,95755534
Branch 14,active,06000370,Katie Brown,+1-420-473-8830,06000370,Loan,user0370@test.net,26441,840 Main St,2024-08-14,2022-09-07,Canada,06000370,3448.19,06000370,06000370
Branch 17,active,32855309,Alex Davis,+1-644-243-6742,32855309,Credit,user5309@example.com,63967,991 Broadway,2024-06-20,2023-08-28,Australia,32855309,2812.24,32855309,32855309
Branch 4,inactive,76037437,Alex Davis,+1-320-998-2638,76037437,Loan,user7437@test.net,63633,859 First Ave,2024-08-20,2024-04-19,UK,76037437,4142.11,76037437,76037437
Branch 20,inactive,48442145,John Smith,+1-282-768-6231,48442145,Credit,user2145@test.net,58059,269 Broadway,2024-05-06,2020-07-17,Germany,48442145,7143.35,48442145,48442145
Branch 7,active,18189282,Emily Johnson,+1-774-184-7580,18189282,Loan,user9282@test.net,35008,931 Maple Drive,2024-07-07,2020-09-23,Australia,18189282,8707.25,18189282,18189282
Branch 12,active,15991104,Chris Doe,+1-316-715-6160,15991104,Savings,user1104@example.com,38186,724 First Ave,2024-08-11,2024-10-09,Australia,15991104,1834.16,15991104,15991104
Branch 5,inactive,75428292,Emily Davis,+1-912-214-7470,75428292,Credit,user8292@test.net,10771,412 First Ave,2024-04-07,2023-10-01,USA,75428292,6867.26,75428292,75428292
Branch 4,inactive,92124267,Emily Doe,+1-971-789-3709,92124267,Savings,user4267@test.net,52393,145 Maple Drive,2024-11-05,2020-07-19,Germany,92124267,3532.1,92124267,92124267
Branch 11,active,82018793,Emily Doe,+1-500-582-4580,82018793,Checking,user8793@example.com,38335,885 Main St,2024-06-13,2022-04-02,Canada,82018793,9805.47,82018793,82018793
Branch 19,inactive,95939672,John Davis,+1-521-354-7686,95939672,Savings,user9672@example.com,55109,374 Broadway,2024-11-06,2023-12-07,Canada,95939672,2996.2,95939672,95939672
Branch 11,active,26561068,John Smith,+1-381-474-4708,26561068,Loan,user1068@test.net,21245,128 Broadway,2025-01-27,2022-08-29,Germany,26561068,81.86,26561068,26561068
Branch 12,active,11268013,Chris Doe,+1-954-351-3432,11268013,Credit,user8013@example.com,87366,155 Broadway,2024-04-08,2024-03-21,USA,11268013,5161.24,11268013,11268013
Branch 17,inactive,54143931,Alex Davis,+1-773-173-3469,54143931,Checking,user3931@example.com,73354,106 Maple Drive,2025-01-22,2022-07-19,Australia,54143931,1515.8,54143931,54143931
Branch 13,active,30263757,Alex Smith,+1-446-547-9640,30263757,Savings,user3757@test.net,81187,419 First Ave,2024-04-06,2023-02-22,Germany,30263757,454.5,30263757,30263757
Branch 20,active,57607774,Alex Johnson,+1-646-240-7329,57607774,Loan,user7774@example.com,10106,444 Main St,2024-07-03,2024-03-21,Australia,57607774,6985.71,57607774,57607774
Branch 18,active,50643018,John Smith,+1-923-624-3952,50643018,Savings,user3018@test.net,48859,767 First Ave,2025-02-25,2021-02-08,Canada,50643018,7325.27,50643018,50643018
Branch 20,active,09230627,Katie Davis,+1-750-486-6784,09230627,Checking,user0627@sample.org,18810,430 Main St,2025-01-05,2020-04-12,Australia,09230627,4612.38,09230627,09230627
Branch 7,active,62546470,Chris Doe,+1-265-204-7556,62546470,Checking,user6470@test.net,91468,306 Main St,2024-12-17,2020-07-10,USA,62546470,6772.09,62546470,62546470
Branch 4,active,25776554,Chris Davis,+1-600-888-1069,25776554,Credit,user6554@test.net,25456,966 Main St,2024-10-23,2020-09-18,UK,25776554,5387.01,25776554,25776554
Branch 8,active,43914941,Katie Davis,+1-313-587-8810,43914941,Checking,user4941@example.com,77952,312 Broadway,2024-07-08,2021-08-09,Canada,43914941,6301.71,43914941,43914941
Branch 19,inactive,89854185,Alex Doe,+1-718-741-1808,89854185,Savings,user4185@example.com,56397,667 Maple Drive,2025-01-01,2023-02-24,UK,89854185,5971.07,89854185,89854185
Branch 15,active,25074455,John Johnson,+1-267-108-8420,25074455,Loan,user4455@test.net,89953,616 Main St,2024-06-22,2022-10-22,Australia,25074455,6661.57,25074455,25074455
Branch 10,active,49555181,Katie Smith,+1-933-963-1424,49555181,Loan,user5181@example.com,34543,825 Maple Drive,2024-12-30,2024-05-22,Germany,49555181,2004.31,49555181,49555181
Branch 19,inactive,74709035,Katie Smith,+1-688-267-2766,74709035,Credit,user9035@sample.org,39405,795 Maple Drive,2024-05-18,2023-02-06,Australia,74709035,2694.38,74709035,74709035
Branch 8,inactive,19842214,Emily Johnson,+1-575-762-5998,19842214,Credit,user2214@sample.org,46099,178 Maple Drive,2024-07-10,2021-10-20,Germany,19842214,4405.23,19842214,19842214
Branch 18,inactive,59122089,Alex Davis,+1-651-884-2367,59122089,Savings,user2089@sample.org,43539,341 Broadway,2024-12-07,2024-08-30,Canada,59122089,4466.82,59122089,59122089
Branch 11,inactive,08591288,Chris Johnson,+1-297-464-7063,08591288,Savings,user1288@sample.org,24765,674 First Ave,2025-03-07,2024-11-25,USA,08591288,7746.37,08591288,08591288
Branch 18,inactive,28734485,Emily Smith,+1-921-577-1282,28734485,Checking,user4485@test.net,15251,492 First Ave,2025-03-08,2020-10-10,USA,28734485,3680.26,28734485,28734485
Branch 3,active,15390036,Alex Davis,+1-635-256-5544,15390036,Loan,user0036@test.net,16837,595 Main St,2024-11-05,2021-03-30,Australia,15390036,1633.43,15390036,15390036
Branch 1,active,55835048,Chris Johnson,+1-446-493-8474,55835048,Checking,user5048@test.net,39066,846 First Ave,2024-07-13,2020-11-13,Australia,55835048,2522.15,55835048,55835048
Branch 19,inactive,26588471,Jane Brown,+1-826-962-3831,26588471,Checking,user8471@example.com,76776,715 First Ave,2024-11-27,2021-10-13,Australia,26588471,2155.19,26588471,26588471
Branch 3,inactive,41920571,Jane Smith,+1-269-961-8008,41920571,Loan,user0571@sample.org,10849,497 Broadway,2024-04-26,2023-03-06,Germany,41920571,7319.28,41920571,41920571
Branch 9,inactive,76930163,Katie Smith,+1-262-963-5224,76930163,Credit,user0163@test.net,52531,407 Broadway,2024-10-03,2024-10-03,Germany,76930163,4708.69,76930163,76930163
Branch 20,inactive,18688393,Chris Doe,+1-474-106-7867,18688393,Loan,user8393@test.net,22885,404 Main St,2024-07-14,2022-02-16,Australia,18688393,7089.22,18688393,18688393
Branch 18,active,65596595,Katie Smith,+1-755-553-9686,65596595,Loan,user6595@test.net,69262,757 Main St,2024-09-13,2024-06-12,Australia,65596595,4168.03,65596595,65596595
Branch 10,inactive,08920628,Emily Johnson,+1-959-386-6660,08920628,Loan,user0628@sample.org,71673,634 Main St,2024-09-06,2020-05-02,Canada,08920628,8898.46,08920628,08920628
Branch 16,active,10075836,Emily Doe,+1-865-883-9657,10075836,Loan,user5836@sample.org,96744,510 Maple Drive,2024-11-26,2021-09-22,UK,10075836,9835.37,10075836,10075836
Branch 14,active,69904721,Katie Davis,+1-657-764-4575,69904721,Credit,user4721@test.net,48690,719 Maple Drive,2024-11-10,2023-01-31,Germany,69904721,6701.73,69904721,69904721
Branch 17,active,30401677,Katie Smith,+1-923-730-6891,30401677,Loan,user1677@sample.org,72331,642 Maple Drive,2024-04-14,2022-01-12,UK,30401677,8639.49,30401677,30401677
