account status,country,Phone,Record identifier,open_date,Zip Code,Last Activity,e-mail,Account Type,address,Name,Balance,office
active,UK,+1-983-623-9434,61390083,2024-01-10,74746,2024-07-09,user0083@sample.org,Checking,167 Maple Drive,Alex Johnson,7155.14,Branch 4
inactive,USA,+1-721-418-7927,99723158,2023-06-16,90768,2025-02-24,user3158@sample.org,Loan,725 First Ave,Chris Brown,9571.49,Branch 14
active,Australia,+1-495-833-4290,23998538,2022-05-30,45963,2024-03-23,user8538@sample.org,Loan,216 First Ave,John Davis,6912.83,Branch 7
inactive,Australia,+1-381-340-9326,90903535,2020-04-29,21586,2024-07-26,user3535@test.net,Savings,573 Maple Drive,Jane Davis,8870.47,Branch 20
active,UK,+1-561-425-8692,30145110,2024-10-07,17235,2024-04-11,user5110@sample.org,Checking,974 First Ave,John Brown,4535.71,Branch 5
inactive,USA,+1-561-156-2502,83567704,2022-06-25,82829,2025-01-13,user7704@test.net,Credit,547 Broadway,Emily Brown,7718.69,Branch 2
active,USA,+1-469-517-8100,96625679,2022-12-28,22781,2024-07-03,user5679@example.com,Savings,451 Maple Drive,Alex Doe,8432.0,Branch 4
active,Canada,+1-268-555-5762,88071845,2020-08-18,60258,2024-07-31,user1845@example.com,Credit,556 Maple Drive,Katie Smith,7111.65,Branch 4
inactive,USA,+1-964-595-4021,14200635,2021-09-26,12348,2024-04-01,user0635@test.net,Checking,730 Broadway,Alex Johnson,5082.7,Branch 6
active,Australia,+1-958-161-3959,31283590,2021-10-07,12161,2025-01-31,user3590@sample.org,Savings,658 Maple Drive,John Doe,6262.4,Branch 10
active,UK,+1-294-436-9889,16227793,2024-04-17,43670,2024-07-06,user7793@sample.org,Checking,191 Maple Drive,Chris Smith,7008.06,Branch 4
active,USA,+1-472-454-7035,14693067,2023-05-22,65295,2024-04-30,user3067@test.net,Credit,419 Main St,Chris Brown,2538.31,Branch 14
active,Canada,+1-408-159-8522,04338449,2023-07-23,73583,2024-03-23,user8449@sample.org,Checking,581 Maple Drive,Katie Smith,8097.7,Branch 12
inactive,Canada,+1-574-677-5271,39566587,2022-12-09,55474,2024-10-29,user6587@test.net,Checking,663 First Ave,Emily Davis,9503.74,Branch 4
active,Australia,+1-215-797-2741,91020192,2024-02-13,86251,2024-07-18,user0192@example.com,Checking,383 Maple Drive,Chris Doe,4657.74,Branch 7
active,Canada,+1-731-859-3519,63321418,2020-05-08,20342,2024-11-04,user1418@example.com,Credit,229 Maple Drive,Emily Davis,7013.66,Branch 11
active,Australia,+1-928-531-3101,22916186,2021-12-23,38414,2024-12-31,user6186@test.net,Savings,345 First Ave,Jane Doe,7372.89,Branch 9
active,UK,+1-445-721-9233,82549802,2023-04-24,29295,2024-05-13,user9802@sample.org,Loan,424 First Ave,Emily Johnson,6625.85,Branch 16
inactive,USA,+1-877-199-6634,29371271,2020-07-25,40774,2024-05-07,user1271@sample.org,Loan,121 Broadway,Alex Davis,5475.68,Branch 16
active,USA,+1-244-592-5611,55301986,2022-10-17,39316,2024-06-09,user1986@test.net,Checking,820 Maple Drive,Chris Brown,8817.66,Branch 15
active,Germany,+1-546-488-7967,42625704,2021-03-19,58548,2024-10-25,user5704@example.com,Loan,944 Broadway,Emily Davis,4494.78,Branch 19
active,Australia,+1-611-716-9320,88983409,2022-05-30,38224,2024-08-15,user3409@test.net,Loan,284 First Ave,Chris Johnson,620.42,Branch 15
active,UK,+1-327-560-1458,55037399,2023-07-23,25032,2025-02-20,user7399@sample.org,Loan,812 First Ave,Jane Davis,8447.12,Branch 7
inactive,Germany,+1-569-663-2068,89534780,2021-08-14,45428,2024-08-11,user4780@test.net,Loan,375 Maple Drive,Katie Johnson,6743.07,Branch 7
active,Germany,+1-878-260-4833,58990628,2024-12-25,84941,2024-12-07,user0628@test.net,Loan,683 Broadway,Alex Doe,8494.09,Branch 7
active,Canada,+1-805-446-2100,29670330,2023-05-01,55025,2024-06-09,user0330@test.net,Savings,131 Main St,John Doe,1394.09,Branch 17
active,Canada,+1-671-850-9303,38068240,2020-07-30,53371,2025-02-28,user8240@sample.org,Savings,361 First Ave,Alex Davis,317.22,Branch 9
active,Germany,+1-683-517-3373,66728197,2022-12-15,84250,2024-12-25,user8197@example.com,Checking,952 Maple Drive,Jane Brown,9344.4,Branch 10
inactive,Canada,+1-685-514-2016,38672485,2021-05-09,57702,2024-10-18,user2485@test.net,Checking,506 Broadway,Katie Smith,1485.81,Branch 6
inactive,Canada,+1-746-901-5284,98094624,2021-01-23,96463,2024-05-10,user4624@sample.org,Credit,600 Broadway,Katie Brown,8098.43,Branch 4
inactive,UK,+1-446-705-9103,09636555,2021-02-08,19800,2025-02-11,user6555@test.net,Loan,916 Maple Drive,Alex Johnson,8233.87,Branch 2
inactive,USA,+1-252-176-2024,40922950,2025-01-08,71555,2024-11-16,user2950@example.com,Loan,290 Maple Drive,Emily Doe,7089.96,Branch 20
inactive,Germany,+1-491-113-7501,63165300,2020-06-25,95318,2024-07-30,user5300@test.net,Loan,262 Maple Drive,Katie Doe,1321.31,Branch 12
active,USA,+1-495-955-4234,06111884,2020-04-15,78153,2025-02-27,user1884@sample.org,Checking,746 Main St,Emily Brown,6677.31,Branch 11
active,UK,+1-447-997-4650,30455779,2020-04-01,87112,2024-06-09,user5779@sample.org,Checking,936 First Ave,Emily Davis,8891.97,Branch 3
active,Canada,+1-845-636-5260,49856290,2022-04-16,41902,2024-09-22,user6290@sample.org,Credit,538 First Ave,Chris Doe,4261.06,Branch 12
active,Germany,+1-495-906-8049,15485178,2023-10-29,36664,2024-08-24,user5178@example.com,Savings,259 Broadway,Emily Davis,4141.03,Branch 16
active,UK,+1-809-215-1690,05055887,2024-07-27,77579,2024-06-24,user5887@sample.org,Loan,460 Main St,Emily Smith,4434.15,Branch 20
active,Australia,+1-788-497-4641,66033936,2024-10-20,26139,2024-10-12,user3936@example.com,Loan,523 Maple Drive,Chris Smith,831.9,Branch 15
active,Australia,+1-799-463-5164,50383367,2021-03-15,30306,2024-06-09,user3367@sample.org,Savings,213 Maple Drive,Alex Davis,8921.34,Branch 14
active,Canada,+1-799-425-9969,73406743,2023-04-10,32703,2024-04-01,user6743@sample.org,Credit,948 Maple Drive,Katie Davis,8693.14,Branch 4
inactive,Germany,+1-774-664-7305,70101280,2024-08-17,74826,2024-08-04,user1280@example.com,Credit,468 Broadway,Katie Doe,9979.11,Branch 3
inactive,Australia,+1-450-225-5958,36534923,2022-12-11,17703,2024-07-01,user4923@example.com,Savings,256 First Ave,Jane Smith,5855.98,Branch 3
inactive,Australia,+1-472-690-9210,58467941,2023-04-24,44688,2024-09-09,user7941@test.net,Loan,958 Broadway,John Johnson,7514.4,Branch 14
active,Australia,+1-498-569-5076,64246039,2024-12-26,55275,2024-05-25,user6039@sample.org,Savings,483 Maple Drive,Emily Brown,2034.69,Branch 12
inactive,Australia,+1-874-183-7038,52338041,2024-02-01,87327,2024-03-26,user8041@sample.org,Loan,892 Broadway,Alex Davis,6678.61,Branch 12
inactive,Australia,+1-489-112-3145,42155982,2021-01-26,23006,2024-11-13,user5982@sample.org,Loan,223 First Ave,Jane Smith,6500.83,Branch 10
inactive,Germany,+1-494-544-6627,74307479,2024-12-27,39453,2025-01-11,user7479@example.com,Savings,998 Maple Drive,Alex Smith,9013.08,Branch 4
active,UK,+1-784-722-3813,17017691,2020-04-12,21390,2024-03-24,user7691@example.com,Credit,833 Main St,Alex Johnson,8309.62,Branch 19
inactive,UK,+1-277-316-7105,46709782,2022-06-29,65333,2024-07-24,user9782@test.net,Savings,645 Main St,Emily Smith,9385.28,Branch 4
inactive,UK,+1-787-779-3813,47186196,2023-08-06,92130,2024-10-02,user6196@test.net,Checking,335 Broadway,Jane Brown,8689.65,Branch 3
active,UK,+1-861-317-6687,03454964,2023-09-11,23058,2025-01-21,user4964@example.com,Savings,364 Broadway,Alex Davis,8688.25,Branch 9
inactive,USA,+1-587-606-3516,33235491,2023-04-05,31805,2024-05-09,user5491@example.com,Checking,765 Main St,Chris Brown,646.6,Branch 7
active,UK,+1-497-683-2343,79378097,2024-07-28,56154,2025-01-22,user8097@test.net,Credit,107 Main St,Emily Smith,8461.16,Branch 2
inactive,UK,+1-413-406-6724,81685880,2024-01-28,91348,2024-12-12,user5880@test.net,Checking,683 First Ave,Jane Doe,6078.71,Branch 2
active,Australia,+1-620-943-4132,61884208,2021-08-22,44582,2024-12-05,user4208@example.com,Loan,749 Maple Drive,Jane Smith,3810.64,Branch 16
active,Canada,+1-222-479-5607,79589696,2024-08-27,76715,2024-11-25,user9696@test.net,Savings,259 Main St,Jane Doe,574.58,Branch 1
inactive,UK,+1-964-616-8858,79942333,2022-11-18,35963,2024-04-20,user2333@test.net,Savings,206 Maple Drive,John Doe,6779.96,Branch 2
inactive,Germany,+1-962-841-3749,70012771,2021-11-22,11762,2024-11-05,user2771@example.com,Savings,740 First Ave,John Doe,3288.74,Branch 17
active,Germany,+1-917-871-2483,64227811,2024-09-21,82084,2024-05-28,user7811@example.com,Savings,461 Broadway,Jane Smith,4683.08,Branch 13
active,Canada,+1-787-683-5889,95841203,2022-05-21,36666,2024-08-11,user1203@example.com,Checking,666 First Ave,Katie Doe,6820.47,Branch 11
inactive,Australia,+1-793-426-1226,15892140,2024-11-04,71731,2024-12-26,user2140@sample.org,Credit,537 First Ave,Katie Davis,9118.63,Branch 2
inactive,Australia,+1-491-249-9871,60170790,2022-10-27,64121,2024-04-19,user0790@example.com,Credit,118 Broadway,Alex Johnson,8256.11,Branch 12
active,Canada,+1-701-136-5191,12295240,2021-01-03,78137,2024-11-27,user5240@sample.org,Credit,217 Broadway,Chris Brown,4511.47,Branch 10
active,Canada,+1-720-976-5594,18415417,2020-03-18,32528,2024-03-23,user5417@sample.org,Loan,923 First Ave,Chris Brown,3883.95,Branch 18
inactive,UK,+1-603-187-3249,04411766,2022-06-23,75683,2024-12-30,user1766@example.com,Savings,532 First Ave,Chris Smith,2405.4,Branch 16
inactive,Australia,+1-215-573-2438,91709476,2024-08-30,88268,2024-07-19,user9476@sample.org,Checking,546 Maple Drive,Jane Smith,3730.54,Branch 10
inactive,Germany,+1-753-452-6997,62996518,2021-07-23,79425,2024-06-15,user6518@sample.org,Credit,723 Main St,Chris Davis,1119.35,Branch 8
active,Canada,+1-852-887-4035,42950805,2020-12-15,59378,2024-12-06,user0805@sample.org,Loan,165 Broadway,Katie Doe,9711.34,Branch 14
active,USA,+1-343-712-8109,90680397,2022-09-13,17771,2025-02-06,user0397@test.net,Credit,670 First Ave,John Brown,5743.44,Branch 14
active,Canada,+1-265-722-9753,39278068,2024-07-06,67715,2024-06-24,user8068@sample.org,Credit,191 Broadway,John Brown,1286.78,Branch 13
inactive,Canada,+1-631-200-9017,35201226,2024-04-29,84392,2025-02-07,user1226@test.net,Loan,256 Main St,Emily Doe,3534.53,Branch 5
active,Canada,+1-373-415-9742,31208829,2022-09-03,48283,2025-01-12,user8829@example.com,Savings,912 Broadway,John Brown,5474.92,Branch 15
active,Australia,+1-946-476-6683,64226193,2025-01-31,25351,2024-08-28,user6193@sample.org,Savings,718 Maple Drive,Jane Brown,5333.53,Branch 10
active,Canada,+1-556-244-7104,67767123,2025-03-08,46903,2024-04-18,user7123@test.net,Loan,691 Broadway,Katie Smith,364.68,Branch 14
inactive,Canada,+1-689-608-6720,76859481,2024-10-24,14404,2025-01-30,user9481@example.com,Checking,748 Main St,Emily Johnson,9508.9,Branch 16
inactive,Australia,+1-928-488-7693,47851289,2024-10-01,50370,2025-02-23,user1289@test.net,Loan,138 Main St,Chris Johnson,2761.0,Branch 4
active,USA,+1-480-199-8367,40864660,2024-08-16,80424,2024-08-29,user4660@sample.org,Savings,858 Main St,John Smith,171.68,Branch 6
