profile_no,zip_code,E-mail,customer ID:,balance,recent activity,start date,Customer,Address,nation,customer-ID:,status,type,branch,Acct_identification,mobile,AcctNO
04369254,27559,user9254@example.com,04369254,424.56,2024-12-21,2025-01-09,John Doe,739 First Ave,Canada,04369254,inactive,Savings,Branch 11,04369254,+1-627-829-3227,04369254
97647692,85757,user7692@test.net,97647692,3227.45,2024-05-30,2021-03-04,Emily Brown,366 Maple Drive,Australia,97647692,active,Checking,Branch 14,97647692,+1-605-720-3091,97647692
07940428,10592,user0428@test.net,07940428,5601.85,2024-09-24,2022-08-24,John Smith,557 First Ave,Germany,07940428,inactive,Credit,Branch 16,07940428,+1-370-265-6224,07940428
40569833,19311,user9833@test.net,40569833,8580.77,2024-05-07,2022-01-21,Katie Davis,811 Maple Drive,USA,40569833,active,Savings,Branch 8,40569833,+1-533-292-9433,40569833
82363812,10116,user3812@test.net,82363812,6672.61,2024-11-24,2020-03-25,Jane Johnson,183 First Ave,UK,82363812,active,Loan,Branch 10,82363812,+1-428-991-2067,82363812
68741293,53628,user1293@sample.org,68741293,4359.61,2024-10-06,2022-02-01,Alex Smith,933 Maple Drive,Canada,68741293,active,Credit,Branch 5,68741293,+1-890-920-6755,68741293
54643517,86452,user3517@sample.org,54643517,9531.67,2024-11-07,2020-05-06,Chris Doe,746 Maple Drive,Australia,54643517,inactive,Loan,Branch 3,54643517,+1-208-142-8684,54643517
48311101,67080,user1101@example.com,48311101,7195.26,2025-01-03,2024-08-09,Jane Johnson,653 Main St,USA,48311101,inactive,Credit,Branch 9,48311101,+1-977-744-8722,48311101
79450488,96090,user0488@test.net,79450488,9302.35,2024-10-02,2023-09-24,John Johnson,775 First Ave,UK,79450488,inactive,Checking,Branch 5,79450488,+1-921-808-7273,79450488
50726213,69868,user6213@sample.org,50726213,5280.6,2024-11-17,2021-04-27,Alex Smith,967 Maple Drive,USA,50726213,inactive,Credit,Branch 13,50726213,+1-418-203-3660,50726213
77985572,80172,user5572@sample.org,77985572,2596.45,2025-01-23,2024-10-19,Jane Smith,890 Main St,UK,77985572,inactive,Credit,Branch 16,77985572,+1-226-360-3992,77985572
70592159,83359,user2159@test.net,70592159,537.74,2024-06-05,2022-07-22,Chris Smith,258 Broadway,Australia,70592159,active,Credit,Branch 16,70592159,+1-589-269-9667,70592159
18872172,16429,user2172@test.net,18872172,7263.59,2024-11-16,2020-07-05,Katie Johnson,353 Main St,Canada,18872172,active,Savings,Branch 10,18872172,+1-557-947-8468,18872172
33717082,66771,user7082@example.com,33717082,1221.82,2024-05-15,2024-08-24,Alex Doe,453 Broadway,UK,33717082,inactive,Checking,Branch 17,33717082,+1-442-558-6206,33717082
09650996,28886,user0996@test.net,09650996,3034.72,2024-09-02,2023-08-10,Alex Doe,180 Maple Drive,USA,09650996,inactive,Checking,Branch 15,09650996,+1-601-624-5423,09650996
64527780,51139,user7780@test.net,64527780,5329.38,2024-12-26,2021-04-05,John Smith,676 First Ave,Australia,64527780,active,Savings,Branch 4,64527780,+1-619-722-7605,64527780
61539606,32939,user9606@example.com,61539606,5648.52,2024-12-24,2022-05-13,Emily Smith,749 Broadway,Germany,61539606,active,Savings,Branch 3,61539606,+1-339-466-2368,61539606
47899378,84573,user9378@test.net,47899378,6009.83,2024-11-24,2024-12-21,John Johnson,836 Broadway,UK,47899378,active,Checking,Branch 1,47899378,+1-931-290-2034,47899378
62154953,21746,user4953@example.com,62154953,1670.89,2024-08-02,2020-10-31,Katie Smith,242 Main St,UK,62154953,active,Checking,Branch 11,62154953,+1-733-759-1954,62154953
95850884,76503,user0884@test.net,95850884,3803.58,2025-01-12,2021-02-24,Jane Brown,577 Maple Drive,Australia,95850884,inactive,Loan,Branch 16,95850884,+1-349-399-1031,95850884
17201465,68162,user1465@test.net,17201465,6175.77,2024-12-17,2021-04-05,Chris Smith,919 Maple Drive,Canada,17201465,active,Savings,Branch 15,17201465,+1-521-771-2257,17201465
60415555,67662,user5555@sample.org,60415555,9698.49,2024-09-20,2020-06-03,Katie Davis,849 First Ave,USA,60415555,inactive,Checking,Branch 8,60415555,+1-632-263-5668,60415555
92288230,37602,user8230@test.net,92288230,7279.04,2024-03-11,2024-11-24,Emily Doe,878 Broadway,UK,92288230,inactive,Savings,Branch 1,92288230,+1-446-942-3425,92288230
15629176,44665,user9176@example.com,15629176,9226.81,2024-04-20,2020-08-15,Chris Smith,173 Broadway,Australia,15629176,inactive,Savings,Branch 17,15629176,+1-672-875-2644,15629176
89109422,30801,user9422@test.net,89109422,7624.5,2024-11-20,2025-02-07,John Davis,483 Maple Drive,Germany,89109422,inactive,Loan,Branch 12,89109422,+1-809-479-4205,89109422
81969206,28475,user9206@example.com,81969206,5921.25,2024-11-07,2022-12-04,John Brown,859 Main St,Canada,81969206,active,Savings,Branch 18,81969206,+1-328-660-2986,81969206
16223530,16538,user3530@sample.org,16223530,1928.31,2024-09-05,2022-07-24,Jane Smith,944 Broadway,UK,16223530,active,Credit,Branch 6,16223530,+1-786-124-5431,16223530
80240163,38364,user0163@test.net,80240163,6670.19,2025-02-08,2022-03-18,Jane Doe,495 First Ave,Australia,80240163,inactive,Checking,Branch 9,80240163,+1-600-521-1857,80240163
49584442,72861,user4442@example.com,49584442,6237.56,2025-03-08,2020-05-14,Emily Doe,672 Main St,USA,49584442,active,Credit,Branch 8,49584442,+1-356-865-9302,49584442
95088372,74755,user8372@example.com,95088372,6028.67,2024-09-12,2020-11-19,John Brown,772 Main St,Australia,95088372,active,Credit,Branch 2,95088372,+1-926-773-8707,95088372
67865896,14811,user5896@example.com,67865896,4902.96,2024-10-18,2025-02-16,Jane Johnson,564 First Ave,UK,67865896,inactive,Loan,Branch 11,67865896,+1-794-123-3390,67865896
51100919,42632,user0919@example.com,51100919,5291.28,2024-05-25,2024-08-29,Alex Doe,777 Maple Drive,Australia,51100919,inactive,Loan,Branch 12,51100919,+1-435-225-5262,51100919
21531629,29201,user1629@sample.org,21531629,3351.08,2024-06-01,2021-03-07,Emily Doe,312 Maple Drive,Canada,21531629,inactive,Savings,Branch 17,21531629,+1-786-711-7034,21531629
27305217,85136,user5217@example.com,27305217,5197.93,2024-05-12,2023-02-26,Chris Davis,637 First Ave,Canada,27305217,inactive,Loan,Branch 3,27305217,+1-298-820-8557,27305217
55266610,56948,user6610@example.com,55266610,1983.58,2025-03-03,2023-09-29,John Doe,994 Broadway,USA,55266610,inactive,Loan,Branch 17,55266610,+1-686-465-7347,55266610
21440801,21638,user0801@example.com,21440801,8053.69,2024-10-24,2020-06-17,Katie Davis,715 Main St,USA,21440801,active,Savings,Branch 13,21440801,+1-582-584-1472,21440801
11051563,72375,user1563@sample.org,11051563,1865.91,2024-04-15,2024-09-01,Alex Davis,504 Maple Drive,Canada,11051563,inactive,Credit,Branch 7,11051563,+1-328-344-2367,11051563
00974773,11384,user4773@sample.org,00974773,858.81,2024-08-08,2023-10-05,John Smith,953 Broadway,Australia,00974773,active,Credit,Branch 17,00974773,+1-606-261-9852,00974773
87124979,72130,user4979@example.com,87124979,4368.1,2024-10-13,2022-10-07,Katie Smith,906 First Ave,UK,87124979,inactive,Loan,Branch 5,87124979,+1-426-790-4056,87124979
19443100,97432,user3100@test.net,19443100,6586.49,2024-11-19,2024-01-12,Jane Davis,870 Main St,UK,19443100,inactive,Credit,Branch 12,19443100,+1-837-646-4737,19443100
45514130,63872,user4130@example.com,45514130,4382.79,2024-07-22,2024-02-14,Emily Brown,722 Maple Drive,Canada,45514130,active,Checking,Branch 10,45514130,+1-309-815-3859,45514130
53410657,67877,user0657@example.com,53410657,2774.77,2025-02-06,2022-10-02,Alex Smith,520 First Ave,USA,53410657,active,Credit,Branch 7,53410657,+1-451-445-6853,53410657
94321056,70181,user1056@test.net,94321056,5586.13,2024-05-10,2021-02-03,Emily Doe,834 Broadway,Germany,94321056,inactive,Credit,Branch 13,94321056,+1-339-884-1795,94321056
42495424,55954,user5424@example.com,42495424,3476.55,2024-12-11,2020-09-12,John Johnson,712 Broadway,USA,42495424,active,Loan,Branch 12,42495424,+1-755-778-2111,42495424
45206130,85131,user6130@sample.org,45206130,9329.35,2024-12-11,2021-01-24,John Johnson,345 Main St,UK,45206130,inactive,Savings,Branch 19,45206130,+1-270-707-8562,45206130
91098860,58180,user8860@test.net,91098860,9227.22,2024-03-21,2020-08-31,Chris Johnson,939 Broadway,Australia,91098860,inactive,Checking,Branch 16,91098860,+1-828-586-6551,91098860
74828853,75427,user8853@sample.org,74828853,5028.69,2024-08-17,2020-12-31,Jane Doe,274 Broadway,Germany,74828853,inactive,Loan,Branch 12,74828853,+1-223-602-6226,74828853
13856040,70923,user6040@test.net,13856040,3285.56,2024-03-25,2024-12-18,John Johnson,436 Maple Drive,USA,13856040,active,Savings,Branch 4,13856040,+1-763-894-1315,13856040
48738058,10164,user8058@sample.org,48738058,7373.95,2024-08-31,2020-11-27,Alex Smith,319 Main St,Germany,48738058,inactive,Checking,Branch 1,48738058,+1-719-476-8934,48738058
10476244,50876,user6244@example.com,10476244,376.76,2024-12-06,2022-10-27,Chris Johnson,736 Maple Drive,USA,10476244,inactive,Savings,Branch 16,10476244,+1-441-475-9534,10476244
81528782,78945,user8782@test.net,81528782,4752.94,2024-06-19,2022-08-17,Alex Brown,466 First Ave,UK,81528782,active,Credit,Branch 12,81528782,+1-883-242-5549,81528782
81882322,97302,user2322@example.com,81882322,3369.87,2024-12-11,2021-09-22,Chris Davis,711 Maple Drive,Germany,81882322,inactive,Checking,Branch 13,81882322,+1-855-401-2772,81882322
25922408,41612,user2408@test.net,25922408,9206.15,2025-01-11,2021-01-14,John Doe,707 Main St,Germany,25922408,inactive,Savings,Branch 5,25922408,+1-645-590-3175,25922408
61112535,32139,user2535@sample.org,61112535,129.91,2024-05-10,2022-02-11,John Smith,502 Broadway,Canada,61112535,inactive,Checking,Branch 13,61112535,+1-804-757-9247,61112535
41176717,22398,user6717@sample.org,41176717,5532.62,2024-07-29,2020-08-18,John Smith,620 Main St,Germany,41176717,active,Checking,Branch 20,41176717,+1-904-169-4715,41176717
29767545,57644,user7545@sample.org,29767545,7409.23,2024-10-03,2021-03-04,Chris Doe,847 Maple Drive,Canada,29767545,inactive,Credit,Branch 6,29767545,+1-944-867-5410,29767545
19122332,92851,user2332@sample.org,19122332,4855.33,2024-05-30,2021-12-03,John Davis,866 Main St,USA,19122332,active,Loan,Branch 5,19122332,+1-239-442-4724,19122332
73646842,65649,user6842@test.net,73646842,863.18,2024-04-28,2021-01-06,Emily Davis,556 Broadway,Germany,73646842,active,Savings,Branch 13,73646842,+1-560-573-3974,73646842
52571140,35053,user1140@example.com,52571140,9724.89,2025-02-08,2022-08-01,Chris Davis,309 Main St,Canada,52571140,inactive,Credit,Branch 18,52571140,+1-329-430-8355,52571140
35946029,28264,user6029@test.net,35946029,5184.92,2024-11-25,2022-09-02,John Doe,219 Broadway,Canada,35946029,active,Loan,Branch 10,35946029,+1-494-247-4274,35946029
49053807,42735,user3807@sample.org,49053807,6145.72,2025-01-20,2024-03-20,Emily Doe,330 Broadway,Australia,49053807,active,Credit,Branch 5,49053807,+1-600-555-6978,49053807
68289540,68343,user9540@sample.org,68289540,2373.73,2024-08-04,2021-07-26,Katie Brown,410 Broadway,USA,68289540,active,Checking,Branch 1,68289540,+1-999-807-9299,68289540
29267883,41917,user7883@test.net,29267883,4840.15,2024-04-29,2023-05-19,John Doe,328 Maple Drive,Australia,29267883,active,Credit,Branch 20,29267883,+1-872-120-6810,29267883
86138769,98031,user8769@test.net,86138769,4297.2,2024-11-10,2020-04-20,Katie Brown,871 Broadway,Canada,86138769,active,Savings,Branch 5,86138769,+1-527-272-1579,86138769
18849692,90452,user9692@test.net,18849692,758.21,2024-12-25,2024-01-08,John Brown,170 Broadway,UK,18849692,inactive,Loan,Branch 6,18849692,+1-864-798-5172,18849692
60616681,18701,user6681@test.net,60616681,1070.54,2024-09-04,2021-08-11,Jane Doe,620 Broadway,UK,60616681,inactive,Credit,Branch 3,60616681,+1-955-826-2573,60616681
54514454,33027,user4454@test.net,54514454,8376.35,2024-11-20,2024-07-28,Jane Johnson,783 Broadway,Canada,54514454,active,Loan,Branch 8,54514454,+1-795-905-8452,54514454
51659368,63194,user9368@example.com,51659368,2405.8,2024-09-15,2020-10-24,Chris Doe,801 Broadway,Canada,51659368,inactive,Credit,Branch 14,51659368,+1-794-881-9165,51659368
48013685,67199,user3685@test.net,48013685,1957.63,2024-12-03,2021-05-26,Emily Brown,112 First Ave,Canada,48013685,active,Loan,Branch 2,48013685,+1-524-578-7857,48013685
30050354,29599,user0354@sample.org,30050354,5054.07,2024-04-24,2023-10-24,Jane Davis,367 Main St,Canada,30050354,inactive,Credit,Branch 11,30050354,+1-213-213-2217,30050354
61799186,60843,user9186@example.com,61799186,7689.78,2025-01-31,2020-11-06,Jane Davis,628 Broadway,Canada,61799186,active,Checking,Branch 16,61799186,+1-869-109-9234,61799186
73461760,93205,user1760@sample.org,73461760,628.85,2024-05-01,2021-03-08,Chris Davis,972 First Ave,UK,73461760,inactive,Loan,Branch 20,73461760,+1-574-253-9905,73461760
60423697,87957,user3697@sample.org,60423697,5772.31,2024-12-16,2020-12-13,Emily Johnson,413 Maple Drive,Germany,60423697,inactive,Loan,Branch 15,60423697,+1-270-685-5694,60423697
12095608,15185,user5608@sample.org,12095608,1200.91,2024-09-29,2024-02-01,John Davis,394 First Ave,Canada,12095608,inactive,Savings,Branch 20,12095608,+1-594-751-6176,12095608
07488083,73297,user8083@example.com,07488083,374.25,2024-07-01,2021-10-06,John Doe,644 Maple Drive,Australia,07488083,active,Checking,Branch 6,07488083,+1-815-415-1091,07488083
36573472,32030,user3472@example.com,36573472,536.91,2024-10-15,2022-05-29,Katie Smith,651 Maple Drive,Germany,36573472,active,Checking,Branch 16,36573472,+1-345-851-2079,36573472
16925166,59267,user5166@sample.org,16925166,8343.3,2025-01-12,2020-09-22,Chris Johnson,666 Broadway,USA,16925166,active,Savings,Branch 2,16925166,+1-941-488-2171,16925166
99072197,34840,user2197@sample.org,99072197,1188.55,2025-02-10,2022-10-27,Katie Doe,981 Broadway,Australia,99072197,inactive,Credit,Branch 5,99072197,+1-482-740-4867,99072197
89973038,25104,user3038@sample.org,89973038,461.06,2024-03-20,2021-10-20,Alex Johnson,686 Broadway,USA,89973038,active,Savings,Branch 8,89973038,+1-930-582-1377,89973038
94419645,17735,user9645@example.com,94419645,4384.62,2024-10-30,2024-03-27,Alex Brown,499 Maple Drive,USA,94419645,active,Credit,Branch 16,94419645,+1-790-201-3978,94419645
82322002,93672,user2002@sample.org,82322002,8441.49,2024-09-29,2022-06-15,Chris Johnson,223 Broadway,UK,82322002,inactive,Loan,Branch 5,82322002,+1-579-495-7030,82322002
48589696,65449,user9696@sample.org,48589696,2631.46,2024-10-05,2024-04-12,Emily Davis,947 First Ave,Canada,48589696,inactive,Savings,Branch 20,48589696,+1-350-975-6148,48589696
67726036,75770,user6036@sample.org,67726036,4222.91,2025-02-01,2023-08-16,Chris Smith,990 Main St,Canada,67726036,active,Checking,Branch 11,67726036,+1-839-536-4491,67726036
27141298,26318,user1298@test.net,27141298,408.83,2024-12-25,2025-02-10,Katie Brown,906 First Ave,USA,27141298,active,Credit,Branch 7,27141298,+1-891-180-9094,27141298
