account_type,account status,Account_NUMBER,client name,country,Acct-IDENTIFICATION,branch,Last Activity,zip_code,residence,Email,acct balance,contact,account open
Loan,inactive,10531467,Chris Davis,Canada,10531467,Branch 11,2024-06-18,34337,585 Maple Drive,user1467@sample.org,235.46,+1-518-248-8896,2022-10-14
Credit,inactive,79897170,Emily Davis,USA,79897170,Branch 15,2025-01-31,20284,890 First Ave,user7170@test.net,1137.45,+1-573-459-1953,2024-01-20
Loan,active,36581015,Emily Brown,Canada,36581015,Branch 3,2025-01-03,86781,739 Broadway,user1015@sample.org,6098.58,+1-696-257-8756,2020-07-29
Loan,inactive,14626010,Emily Doe,UK,14626010,Branch 19,2024-08-10,26488,258 First Ave,user6010@test.net,8207.56,+1-355-513-5334,2021-04-26
Checking,active,14454706,Emily Johnson,USA,14454706,Branch 12,2024-08-13,27874,889 Maple Drive,user4706@sample.org,2859.59,+1-556-412-9539,2022-04-21
Credit,active,06666530,Chris Doe,Canada,06666530,Branch 7,2024-05-11,53659,733 Broadway,user6530@test.net,2399.72,+1-479-310-8361,2024-11-11
Savings,inactive,19120704,Alex Davis,UK,19120704,Branch 4,2024-04-27,50965,446 Main St,user0704@test.net,7871.89,+1-622-921-9985,2023-07-10
Loan,active,87152059,Emily Brown,Australia,87152059,Branch 10,2025-01-20,64872,103 First Ave,user2059@sample.org,573.25,+1-947-688-1863,2020-10-24
Savings,inactive,46716481,Chris Johnson,Canada,46716481,Branch 6,2024-03-30,71562,228 Main St,user6481@test.net,3700.13,+1-397-555-3187,2022-04-09
Savings,active,43044649,Chris Smith,USA,43044649,Branch 10,2024-08-08,52178,842 Main St,user4649@example.com,5063.03,+1-510-252-5666,2021-07-28
Credit,active,32265571,John Smith,Germany,32265571,Branch 11,2024-05-19,28600,708 Broadway,user5571@sample.org,5607.88,+1-707-739-8329,2023-03-04
Loan,active,41495732,Katie Davis,Canada,41495732,Branch 11,2024-08-24,33257,261 First Ave,user5732@test.net,7288.87,+1-312-429-6393,2022-07-29
Savings,inactive,48204377,John Smith,Germany,48204377,Branch 3,2024-09-30,49745,327 Maple Drive,user4377@example.com,3554.91,+1-801-815-4891,2024-08-01
Checking,active,85664312,Jane Johnson,Canada,85664312,Branch 20,2024-03-21,65907,862 Broadway,user4312@test.net,6130.72,+1-993-990-8011,2023-02-08
Credit,active,26226092,Emily Davis,USA,26226092,Branch 18,2024-05-15,69847,978 Main St,user6092@sample.org,5857.9,+1-487-151-7855,2022-10-16
Checking,inactive,49403249,John Brown,Australia,49403249,Branch 7,2024-08-15,58549,955 Broadway,user3249@sample.org,5480.68,+1-695-945-5859,2024-05-21
Loan,active,43934195,Emily Doe,USA,43934195,Branch 3,2024-05-05,87887,511 Main St,user4195@example.com,6408.43,+1-498-181-9757,2021-01-05
Loan,active,60050377,Jane Davis,Canada,60050377,Branch 5,2024-11-21,41932,845 Maple Drive,user0377@example.com,2601.9,+1-700-782-7670,2023-01-11
Loan,inactive,54349929,Jane Doe,Australia,54349929,Branch 15,2024-05-22,89887,858 First Ave,user9929@sample.org,855.64,+1-686-402-1033,2022-09-25
Checking,active,46882922,John Brown,USA,46882922,Branch 12,2024-11-19,90877,813 Broadway,user2922@test.net,1201.52,+1-980-586-8516,2021-02-22
Loan,active,08071996,Jane Smith,USA,08071996,Branch 3,2025-03-07,60680,489 Maple Drive,user1996@sample.org,2253.58,+1-201-237-9818,2024-12-02
Savings,inactive,27393083,Katie Johnson,Canada,27393083,Branch 20,2024-04-11,56158,595 First Ave,user3083@sample.org,5006.98,+1-353-944-7913,2020-08-09
Loan,inactive,06329124,Alex Smith,Canada,06329124,Branch 8,2024-08-17,56548,914 Broadway,user9124@example.com,8406.02,+1-738-692-9665,2020-10-04
Loan,inactive,61496233,Jane Doe,Canada,61496233,Branch 17,2024-09-05,88329,462 Maple Drive,user6233@test.net,7015.92,+1-583-897-3358,2022-04-05
Savings,inactive,14808656,Chris Doe,Canada,14808656,Branch 9,2024-10-04,82884,499 Main St,user8656@sample.org,7892.52,+1-776-793-2221,2022-08-13
Loan,inactive,48412993,Emily Johnson,Canada,48412993,Branch 11,2025-02-09,20607,560 First Ave,user2993@test.net,3516.25,+1-207-358-9141,2022-12-12
Credit,inactive,40540092,Emily Davis,Germany,40540092,Branch 17,2025-02-27,56871,438 Main St,user0092@test.net,4052.49,+1-545-543-6910,2024-07-12
Checking,active,88632874,Jane Doe,USA,88632874,Branch 9,2024-08-06,37315,923 First Ave,user2874@sample.org,3942.88,+1-874-739-8432,2024-07-02
Savings,active,80119868,Katie Davis,Canada,80119868,Branch 7,2024-12-25,38135,457 Main St,user9868@example.com,1926.81,+1-770-926-3835,2021-04-19
Loan,inactive,80918244,Jane Smith,Australia,80918244,Branch 12,2024-05-18,20903,701 First Ave,user8244@test.net,621.55,+1-897-729-4243,2023-05-31
Savings,inactive,00403425,Chris Davis,Canada,00403425,Branch 7,2025-01-11,80834,174 Broadway,user3425@sample.org,5913.25,+1-734-795-2254,2021-12-24
Credit,inactive,07396853,Jane Johnson,Germany,07396853,Branch 18,2024-07-14,10441,835 Broadway,user6853@test.net,9892.27,+1-983-720-3879,2022-09-22
Savings,active,39987829,John Johnson,Germany,39987829,Branch 4,2024-12-15,99031,596 Maple Drive,user7829@example.com,1676.63,+1-475-284-1512,2022-11-07
Credit,active,88293571,Emily Doe,USA,88293571,Branch 18,2024-04-04,78062,456 First Ave,user3571@test.net,476.38,+1-219-887-4268,2023-01-28
Savings,active,03393716,Chris Doe,Canada,03393716,Branch 12,2025-02-16,96566,257 First Ave,user3716@test.net,7797.52,+1-923-294-6465,2020-10-21
Credit,active,32932482,Emily Davis,USA,32932482,Branch 9,2024-09-14,97133,256 Main St,user2482@sample.org,2533.33,+1-574-814-7463,2021-02-24
Checking,inactive,41978613,Emily Johnson,Australia,41978613,Branch 9,2024-06-18,85661,294 Main St,user8613@test.net,8298.14,+1-423-267-3705,2021-01-12
Savings,active,70356693,Alex Smith,Canada,70356693,Branch 18,2024-08-09,16911,660 First Ave,user6693@test.net,7042.33,+1-456-779-1218,2021-08-04
Checking,active,79699787,Chris Johnson,Canada,79699787,Branch 15,2024-07-19,67027,707 Broadway,user9787@test.net,9457.28,+1-928-315-7096,2020-10-01
Loan,active,71994832,Chris Davis,USA,71994832,Branch 4,2024-06-17,39932,976 Maple Drive,user4832@sample.org,4095.18,+1-913-181-7348,2020-12-01
Loan,active,54966844,Emily Brown,UK,54966844,Branch 8,2024-09-02,98137,574 Main St,user6844@example.com,6623.08,+1-921-321-3736,2022-03-09
Credit,active,58642031,John Brown,UK,58642031,Branch 9,2024-06-01,13867,164 Main St,user2031@sample.org,4653.9,+1-501-532-4246,2023-02-21
Checking,inactive,48247298,Chris Doe,Australia,48247298,Branch 2,2024-11-15,75208,715 First Ave,user7298@sample.org,6309.58,+1-204-377-9747,2024-01-03
Credit,active,96189996,Jane Doe,Australia,96189996,Branch 10,2024-05-01,48423,931 First Ave,user9996@test.net,4501.49,+1-800-211-5023,2021-01-22
Checking,inactive,71500813,Alex Doe,USA,71500813,Branch 13,2024-05-19,83752,169 Main St,user0813@example.com,1894.44,+1-474-158-9080,2022-01-21
Loan,active,90296902,Emily Brown,UK,90296902,Branch 18,2024-04-02,38840,912 Main St,user6902@test.net,5083.9,+1-338-381-5350,2024-08-13
Checking,inactive,20550534,John Davis,Australia,20550534,Branch 8,2025-03-07,50848,905 First Ave,user0534@example.com,5290.56,+1-347-648-5405,2022-01-02
Loan,active,33662219,John Brown,Australia,33662219,Branch 7,2025-01-31,16882,853 First Ave,user2219@test.net,8107.93,+1-613-595-8704,2022-04-18
Loan,inactive,93921192,Jane Brown,UK,93921192,Branch 4,2024-05-11,79673,324 Broadway,user1192@test.net,7357.85,+1-552-971-1489,2023-01-08
Loan,inactive,56969292,Alex Doe,Canada,56969292,Branch 17,2024-05-28,21393,425 Main St,user9292@test.net,6641.28,+1-516-141-3268,2023-05-20
Checking,inactive,72255813,John Doe,Canada,72255813,Branch 15,2024-09-14,22649,730 First Ave,user5813@test.net,1142.74,+1-691-770-5276,2024-05-14
Savings,inactive,19776595,Katie Davis,UK,19776595,Branch 13,2024-12-08,92412,249 Maple Drive,user6595@example.com,7208.96,+1-524-355-2529,2024-05-28
Loan,inactive,50444922,Chris Doe,Germany,50444922,Branch 8,2025-02-26,48140,169 Main St,user4922@example.com,5008.05,+1-726-962-8583,2022-03-04
Checking,active,89487449,Alex Smith,Canada,89487449,Branch 11,2024-11-30,99708,477 Broadway,user7449@test.net,8942.05,+1-438-232-8163,2024-08-03
Loan,active,02206825,Alex Doe,Canada,02206825,Branch 12,2024-05-06,17967,364 Broadway,user6825@example.com,9199.51,+1-338-428-4831,2024-11-07
Credit,inactive,97807863,Jane Doe,Germany,97807863,Branch 3,2024-07-08,70806,814 First Ave,user7863@sample.org,561.01,+1-799-908-3071,2021-07-04
Credit,active,53366677,Jane Brown,UK,53366677,Branch 9,2024-12-08,51521,894 Broadway,user6677@test.net,8208.21,+1-880-209-4241,2021-11-11
Savings,active,13804571,John Smith,Germany,13804571,Branch 5,2024-07-01,61729,458 Broadway,user4571@test.net,386.6,+1-469-291-9487,2023-03-16
Savings,active,57239469,Katie Brown,Germany,57239469,Branch 18,2024-04-05,36360,224 Broadway,user9469@test.net,3678.02,+1-735-139-4819,2020-11-12
Checking,active,62883317,Emily Davis,Canada,62883317,Branch 9,2024-11-17,96640,643 Main St,user3317@example.com,5427.58,+1-764-968-8964,2023-10-11
Credit,inactive,23870797,Emily Brown,USA,23870797,Branch 4,2024-12-03,84939,234 First Ave,user0797@test.net,1489.53,+1-483-124-9675,2021-08-14
Credit,inactive,58195560,Emily Brown,Canada,58195560,Branch 11,2024-09-15,47521,622 Main St,user5560@test.net,7465.67,+1-605-196-9865,2024-11-02
Checking,active,16230824,Katie Brown,USA,16230824,Branch 15,2024-05-19,68941,665 First Ave,user0824@sample.org,93.46,+1-377-467-5291,2020-08-23
Credit,inactive,40143170,Chris Johnson,Australia,40143170,Branch 15,2025-01-20,53600,131 Main St,user3170@example.com,1694.3,+1-884-739-5384,2022-08-24
Loan,inactive,57163227,Chris Brown,Australia,57163227,Branch 12,2025-03-04,62135,252 Main St,user3227@test.net,5812.16,+1-819-355-1706,2020-12-20
Savings,inactive,63748488,Katie Johnson,Australia,63748488,Branch 16,2025-02-02,77218,642 Maple Drive,user8488@sample.org,7146.73,+1-242-795-6992,2021-02-08
Loan,active,32790840,Katie Smith,UK,32790840,Branch 5,2024-03-26,38212,510 Main St,user0840@sample.org,9167.26,+1-967-950-3717,2020-05-18
Savings,active,19380747,Jane Johnson,Germany,19380747,Branch 8,2024-09-10,82455,220 Maple Drive,user0747@sample.org,7057.91,+1-600-502-1619,2021-07-23
Checking,inactive,49382953,Alex Davis,Australia,49382953,Branch 5,2024-10-13,90391,594 Maple Drive,user2953@example.com,6721.07,+1-418-123-6139,2022-04-03
Credit,inactive,15351889,John Johnson,Germany,15351889,Branch 8,2024-09-07,45285,547 Maple Drive,user1889@example.com,3949.47,+1-919-135-2315,2023-09-26
Loan,inactive,09425900,Emily Brown,UK,09425900,Branch 16,2024-08-23,56167,922 First Ave,user5900@sample.org,22.83,+1-775-883-8466,2024-08-19
Loan,active,57340514,Jane Doe,UK,57340514,Branch 17,2025-02-15,88376,815 Main St,user0514@sample.org,1210.39,+1-480-849-5269,2022-08-14
Credit,active,68330073,Emily Smith,Canada,68330073,Branch 2,2024-04-08,71234,259 Maple Drive,user0073@test.net,5350.2,+1-638-856-1680,2021-10-01
Loan,active,34184913,Chris Davis,Germany,34184913,Branch 2,2024-07-31,38364,508 Broadway,user4913@test.net,6754.55,+1-669-519-9724,2021-09-24
Savings,inactive,82849425,Alex Smith,UK,82849425,Branch 14,2024-04-01,81604,758 Main St,user9425@sample.org,4180.31,+1-727-718-2135,2025-01-30
Checking,active,44227425,Emily Doe,Germany,44227425,Branch 10,2024-09-20,48449,419 First Ave,user7425@test.net,7309.48,+1-621-169-9426,2021-02-14
Savings,inactive,03136051,Katie Johnson,Australia,03136051,Branch 9,2024-08-27,19131,816 Main St,user6051@test.net,5223.4,+1-881-827-5366,2024-05-12
Loan,active,91869464,John Smith,Australia,91869464,Branch 2,2024-09-06,43282,356 First Ave,user9464@test.net,751.02,+1-646-678-7529,2021-09-19
Loan,inactive,11940384,Jane Davis,Canada,11940384,Branch 2,2024-04-28,90961,300 Broadway,user0384@sample.org,1928.24,+1-847-406-7062,2023-12-05
Credit,inactive,04443057,Jane Johnson,Germany,04443057,Branch 17,2024-11-27,10448,432 First Ave,user3057@test.net,8401.58,+1-801-270-2875,2024-12-12
Credit,inactive,17316823,John Brown,Australia,17316823,Branch 16,2024-04-06,11197,329 Broadway,user6823@example.com,7251.88,+1-622-859-3729,2025-02-14
Credit,active,70581938,John Johnson,USA,70581938,Branch 6,2025-02-28,53947,328 Broadway,user1938@example.com,8948.67,+1-734-188-2291,2023-06-17
Savings,inactive,69320520,Jane Brown,USA,69320520,Branch 18,2024-06-21,61026,201 Main St,user0520@test.net,1184.4,+1-275-533-9517,2022-12-20
Savings,active,26523024,Jane Johnson,USA,26523024,Branch 6,2024-07-06,40650,547 First Ave,user3024@sample.org,9902.32,+1-414-388-5569,2021-06-01
Checking,inactive,09834938,Jane Smith,Canada,09834938,Branch 15,2024-09-29,57590,418 Maple Drive,user4938@sample.org,2101.97,+1-661-418-7675,2023-01-10
Loan,active,00393580,Emily Doe,Australia,00393580,Branch 5,2024-07-07,67053,153 Broadway,user3580@test.net,127.68,+1-407-996-1833,2022-05-05
Loan,active,20154066,Katie Doe,UK,20154066,Branch 16,2024-05-07,22116,705 Broadway,user4066@test.net,9974.26,+1-310-352-2033,2024-01-12
Credit,active,21901608,Emily Johnson,UK,21901608,Branch 2,2024-07-10,84610,217 First Ave,user1608@test.net,2817.93,+1-925-425-9770,2021-07-06
