Open Date,location,client name,Email,last_activity,Client IDENTIFIER:,customer-identification,postal code,Customer id,current balance,Record_identifier:,Status,residence,type,country,phone,Customernum
2024-06-14,Branch 19,John Davis,user1867@sample.org,2024-08-21,82721867,82721867,66478,82721867,2568.07,82721867,active,210 Broadway,Credit,USA,+1-685-835-5231,82721867
2025-01-09,Branch 13,John Doe,user4119@example.com,2024-10-10,27664119,27664119,73572,27664119,5898.14,27664119,active,736 Broadway,Credit,Germany,+1-996-634-5755,27664119
2020-09-21,Branch 18,Jane Doe,user3125@test.net,2025-02-16,46673125,46673125,12663,46673125,7172.53,46673125,active,183 First Ave,Credit,USA,+1-878-269-6815,46673125
2022-09-27,Branch 20,Katie Brown,user6065@example.com,2024-10-12,66226065,66226065,48875,66226065,3715.77,66226065,inactive,445 Broadway,Checking,USA,+1-735-527-1138,66226065
2023-05-02,Branch 12,Alex Smith,user3757@example.com,2024-10-24,53703757,53703757,72307,53703757,5054.39,53703757,inactive,375 Main St,Credit,Australia,+1-532-148-6304,53703757
2023-02-02,Branch 4,Emily Smith,user3777@test.net,2024-12-22,76573777,76573777,61011,76573777,8398.44,76573777,active,201 Maple Drive,Credit,USA,+1-806-808-3084,76573777
2020-04-13,Branch 10,Jane Johnson,user0002@test.net,2025-01-02,04260002,04260002,54821,04260002,1495.33,04260002,active,542 Maple Drive,Savings,Canada,+1-484-742-3743,04260002
2024-12-29,Branch 15,Jane Johnson,user9471@example.com,2024-07-09,35399471,35399471,54943,35399471,5456.79,35399471,active,263 Broadway,Savings,UK,+1-962-386-1750,35399471
2023-08-28,Branch 10,Emily Brown,user1627@test.net,2025-02-19,96721627,96721627,53603,96721627,3490.64,96721627,inactive,273 Broadway,Checking,Canada,+1-846-847-1808,96721627
2024-06-05,Branch 12,Chris Smith,user8420@sample.org,2025-01-04,54718420,54718420,85120,54718420,7030.92,54718420,active,126 First Ave,Loan,Canada,+1-624-746-3151,54718420
2023-12-10,Branch 18,Chris Smith,user9498@test.net,2025-02-28,96719498,96719498,43376,96719498,197.91,96719498,active,123 Maple Drive,Savings,USA,+1-525-512-9648,96719498
2023-09-13,Branch 13,Alex Smith,user7402@test.net,2024-06-22,45807402,45807402,36934,45807402,6708.03,45807402,inactive,116 Broadway,Checking,UK,+1-909-477-8375,45807402
2022-08-27,Branch 11,Katie Doe,user8744@sample.org,2024-11-19,30488744,30488744,98134,30488744,1037.95,30488744,active,347 First Ave,Loan,Germany,+1-208-618-9814,30488744
2021-03-16,Branch 2,Alex Doe,user5943@test.net,2024-07-02,36895943,36895943,45739,36895943,657.03,36895943,active,110 Broadway,Checking,Australia,+1-890-846-3075,36895943
2020-09-16,Branch 10,Katie Johnson,user9970@example.com,2024-10-18,99739970,99739970,42349,99739970,7248.99,99739970,inactive,977 Broadway,Loan,Germany,+1-412-554-8699,99739970
2024-12-27,Branch 13,Chris Davis,user3449@example.com,2025-03-03,78823449,78823449,37905,78823449,6407.02,78823449,active,112 First Ave,Credit,Australia,+1-666-642-3247,78823449
2021-11-08,Branch 9,Alex Johnson,user8425@test.net,2024-07-02,40228425,40228425,96603,40228425,8950.41,40228425,active,231 Main St,Loan,Australia,+1-535-476-7831,40228425
2021-05-31,Branch 18,Jane Doe,user8920@test.net,2024-05-21,11068920,11068920,79664,11068920,5201.35,11068920,active,978 Broadway,Savings,UK,+1-610-237-6205,11068920
2020-03-18,Branch 18,Katie Davis,user7280@sample.org,2024-03-29,33597280,33597280,70625,33597280,5304.94,33597280,active,481 Main St,Savings,USA,+1-813-422-6184,33597280
2023-01-09,Branch 7,John Brown,user7590@sample.org,2024-03-13,72287590,72287590,13247,72287590,7073.11,72287590,active,477 Maple Drive,Checking,Germany,+1-916-838-3135,72287590
2024-12-05,Branch 1,John Johnson,user0058@example.com,2025-02-22,17630058,17630058,41593,17630058,3240.74,17630058,active,448 Broadway,Savings,Canada,+1-274-239-5687,17630058
2023-09-28,Branch 18,Jane Davis,user0012@example.com,2025-02-15,61890012,61890012,15479,61890012,378.76,61890012,active,574 Maple Drive,Loan,Canada,+1-690-224-8400,61890012
2022-04-02,Branch 17,Alex Doe,user4965@sample.org,2024-08-12,04284965,04284965,26810,04284965,2308.16,04284965,active,983 Maple Drive,Loan,Canada,+1-225-307-7813,04284965
2022-02-08,Branch 6,Emily Brown,user7415@sample.org,2024-09-12,15137415,15137415,90843,15137415,2387.75,15137415,active,379 Main St,Savings,Australia,+1-878-864-1914,15137415
2023-12-16,Branch 2,John Johnson,user9293@test.net,2024-05-01,02479293,02479293,22580,02479293,3363.23,02479293,inactive,635 Broadway,Credit,Germany,+1-708-463-5253,02479293
2023-02-28,Branch 14,John Davis,user0562@example.com,2024-03-23,81950562,81950562,80005,81950562,9435.19,81950562,inactive,203 Maple Drive,Credit,USA,+1-725-617-6588,81950562
2022-08-21,Branch 20,Jane Davis,user2737@sample.org,2024-08-20,94932737,94932737,34201,94932737,8050.38,94932737,inactive,717 Broadway,Savings,Canada,+1-816-637-9987,94932737
2024-10-31,Branch 1,Katie Johnson,user1840@sample.org,2024-03-23,07361840,07361840,71453,07361840,9360.2,07361840,inactive,916 Broadway,Savings,Germany,+1-732-951-9846,07361840
2021-10-07,Branch 13,John Brown,user6302@example.com,2024-04-07,98916302,98916302,53119,98916302,9986.11,98916302,active,483 First Ave,Loan,Australia,+1-765-167-2641,98916302
2022-07-28,Branch 10,John Brown,user2476@example.com,2024-11-23,67872476,67872476,18685,67872476,4343.45,67872476,inactive,773 Maple Drive,Checking,Australia,+1-292-972-8721,67872476
2021-01-13,Branch 14,Emily Smith,user4549@test.net,2025-01-09,44594549,44594549,41764,44594549,2278.46,44594549,inactive,286 Broadway,Credit,Germany,+1-351-745-5453,44594549
2021-05-03,Branch 16,Chris Smith,user6942@sample.org,2025-03-06,97496942,97496942,53917,97496942,5604.44,97496942,active,765 Main St,Loan,Germany,+1-430-460-9325,97496942
2023-09-10,Branch 9,John Johnson,user8619@test.net,2025-02-01,06178619,06178619,18822,06178619,8812.53,06178619,inactive,300 First Ave,Loan,Australia,+1-757-433-5957,06178619
2023-06-27,Branch 10,Katie Davis,user2548@sample.org,2025-01-15,06032548,06032548,92706,06032548,4662.66,06032548,active,487 First Ave,Checking,Canada,+1-307-180-6169,06032548
2020-08-24,Branch 7,Emily Brown,user2809@test.net,2024-10-10,33422809,33422809,33180,33422809,5058.94,33422809,inactive,417 First Ave,Checking,Australia,+1-853-837-8753,33422809
2024-08-30,Branch 10,Jane Johnson,user9856@example.com,2024-09-18,47699856,47699856,88015,47699856,1353.05,47699856,inactive,322 Main St,Credit,USA,+1-969-410-3018,47699856
2022-05-21,Branch 4,John Smith,user2310@test.net,2024-10-08,71122310,71122310,45078,71122310,4210.35,71122310,inactive,747 First Ave,Savings,Australia,+1-579-247-2746,71122310
2024-07-30,Branch 7,Chris Brown,user7653@example.com,2024-06-01,43107653,43107653,49391,43107653,3876.08,43107653,active,271 Maple Drive,Loan,USA,+1-754-182-5551,43107653
2021-05-18,Branch 1,Katie Johnson,user4504@sample.org,2024-11-12,87524504,87524504,84561,87524504,3523.37,87524504,inactive,415 Broadway,Checking,UK,+1-619-656-6009,87524504
2021-05-31,Branch 7,Chris Brown,user1761@example.com,2024-05-05,42961761,42961761,81616,42961761,8874.11,42961761,inactive,737 Maple Drive,Loan,Canada,+1-284-294-9148,42961761
2024-01-21,Branch 9,Jane Davis,user5206@test.net,2024-10-14,76755206,76755206,29282,76755206,602.42,76755206,active,809 Broadway,Savings,USA,+1-395-980-8474,76755206
2023-11-16,Branch 11,Emily Doe,user6175@example.com,2024-07-09,59306175,59306175,42597,59306175,9721.75,59306175,active,738 First Ave,Checking,USA,+1-670-514-5831,59306175
2021-09-29,Branch 4,Chris Smith,user9424@example.com,2024-09-09,41779424,41779424,62754,41779424,92.39,41779424,inactive,246 Maple Drive,Savings,Canada,+1-713-712-7846,41779424
2022-03-28,Branch 12,Chris Johnson,user2359@example.com,2024-06-06,30072359,30072359,53000,30072359,9456.48,30072359,active,335 Main St,Checking,Canada,+1-427-496-9257,30072359
2022-07-09,Branch 4,Alex Brown,user5433@example.com,2025-01-25,68525433,68525433,43679,68525433,5484.99,68525433,inactive,168 Main St,Credit,USA,+1-376-189-4748,68525433
2021-05-01,Branch 10,Alex Brown,user9724@test.net,2024-06-12,87709724,87709724,13880,87709724,7027.43,87709724,inactive,329 Main St,Savings,Australia,+1-957-875-7159,87709724
2022-06-30,Branch 3,Alex Brown,user4302@example.com,2025-01-25,50404302,50404302,43570,50404302,1879.46,50404302,active,777 Maple Drive,Loan,UK,+1-764-458-2739,50404302
2021-11-21,Branch 2,John Doe,user9031@test.net,2025-02-06,15389031,15389031,79086,15389031,6545.57,15389031,inactive,579 Main St,Savings,Germany,+1-981-698-1553,15389031
2024-03-10,Branch 7,John Brown,user2356@example.com,2024-03-21,24722356,24722356,49866,24722356,8820.76,24722356,inactive,411 Maple Drive,Savings,Canada,+1-514-919-7444,24722356
2024-02-25,Branch 16,Jane Davis,user9419@sample.org,2024-06-20,07519419,07519419,35138,07519419,1403.41,07519419,active,557 Main St,Loan,UK,+1-840-308-1315,07519419
2020-05-30,Branch 20,Emily Brown,user7177@example.com,2024-06-26,17757177,17757177,73728,17757177,1279.55,17757177,inactive,647 First Ave,Savings,Germany,+1-410-991-9610,17757177
2024-09-30,Branch 8,Jane Smith,user9998@sample.org,2024-07-16,57129998,57129998,98420,57129998,3046.74,57129998,inactive,158 Maple Drive,Savings,Canada,+1-725-921-7866,57129998
2022-12-25,Branch 13,Alex Brown,user1761@sample.org,2024-04-06,66801761,66801761,28000,66801761,1625.64,66801761,active,834 Main St,Savings,UK,+1-234-199-9487,66801761
2024-10-01,Branch 2,Chris Smith,user7929@example.com,2024-09-20,45927929,45927929,23382,45927929,1115.35,45927929,active,607 Maple Drive,Credit,Australia,+1-570-875-7443,45927929
2022-08-25,Branch 20,Emily Doe,user7060@test.net,2024-07-12,48227060,48227060,15115,48227060,6786.41,48227060,inactive,571 Main St,Savings,USA,+1-511-211-1873,48227060
2024-12-12,Branch 6,Alex Davis,user7636@test.net,2024-11-27,67857636,67857636,95399,67857636,2146.13,67857636,inactive,548 Broadway,Checking,USA,+1-448-741-3957,67857636
2021-12-19,Branch 12,Jane Davis,user6608@sample.org,2024-08-19,72726608,72726608,45068,72726608,6673.48,72726608,inactive,181 Broadway,Checking,UK,+1-798-811-2703,72726608
2020-06-30,Branch 20,Emily Brown,user7719@example.com,2024-08-30,27997719,27997719,17609,27997719,8620.67,27997719,active,467 Maple Drive,Checking,UK,+1-689-118-6589,27997719
2021-05-02,Branch 9,Jane Doe,user2304@sample.org,2024-08-15,63572304,63572304,76527,63572304,6523.73,63572304,inactive,380 First Ave,Credit,UK,+1-817-100-7546,63572304
2025-02-06,Branch 18,Katie Brown,user1413@sample.org,2024-08-11,36821413,36821413,62465,36821413,1202.48,36821413,active,690 Maple Drive,Savings,Australia,+1-398-897-3929,36821413
2020-03-21,Branch 19,John Johnson,user5195@test.net,2024-11-27,72145195,72145195,14574,72145195,5740.04,72145195,inactive,676 First Ave,Credit,USA,+1-475-308-2387,72145195
2022-07-25,Branch 7,Jane Johnson,user7292@sample.org,2024-08-18,14707292,14707292,70239,14707292,3942.35,14707292,active,814 First Ave,Checking,Australia,+1-661-697-2276,14707292
2021-10-24,Branch 8,Emily Smith,user6657@test.net,2024-12-10,49086657,49086657,65017,49086657,3440.28,49086657,inactive,125 Maple Drive,Savings,Germany,+1-909-228-8359,49086657
2020-05-11,Branch 16,John Johnson,user1271@test.net,2024-12-12,56671271,56671271,62563,56671271,3192.13,56671271,inactive,968 First Ave,Loan,Germany,+1-389-187-1072,56671271
2024-03-05,Branch 19,Alex Doe,user5864@sample.org,2024-12-14,28765864,28765864,52451,28765864,9295.03,28765864,active,357 Maple Drive,Savings,UK,+1-540-209-1091,28765864
2020-12-09,Branch 16,John Johnson,user3854@sample.org,2024-08-19,23363854,23363854,73232,23363854,7427.65,23363854,inactive,977 Main St,Checking,USA,+1-593-578-3943,23363854
2025-01-18,Branch 2,Alex Brown,user1363@test.net,2024-08-24,70111363,70111363,60267,70111363,1347.15,70111363,active,984 Broadway,Credit,UK,+1-359-110-6028,70111363
2021-01-20,Branch 10,Emily Doe,user9131@sample.org,2024-10-25,60759131,60759131,76070,60759131,4765.29,60759131,active,401 Broadway,Checking,USA,+1-240-446-8984,60759131
2021-11-22,Branch 19,Emily Smith,user5848@example.com,2025-01-20,84715848,84715848,85572,84715848,3189.05,84715848,active,949 First Ave,Credit,UK,+1-741-862-4896,84715848
2022-11-29,Branch 9,John Davis,user8581@example.com,2025-03-03,66888581,66888581,95711,66888581,9779.6,66888581,active,784 Maple Drive,Checking,Germany,+1-983-662-1571,66888581
2020-12-30,Branch 6,Katie Brown,user3532@sample.org,2024-12-04,26223532,26223532,49021,26223532,9780.51,26223532,inactive,867 Main St,Credit,UK,+1-804-577-9346,26223532
2023-02-21,Branch 2,Katie Doe,user1352@test.net,2025-02-17,01751352,01751352,80814,01751352,3202.15,01751352,inactive,720 Main St,Loan,Germany,+1-902-517-5160,01751352
