client name,balance,status,office,mobile,Client ID,activity date,Email,address,country,start date,zip_code,type
John Davis,6527.22,inactive,Branch 12,+1-519-853-3932,93574007,2025-01-18,user4007@sample.org,182 First Ave,Germany,2021-01-19,27916,Credit
John Smith,6089.33,inactive,Branch 6,+1-580-552-2944,26494246,2024-10-02,user4246@test.net,149 Maple Drive,USA,2021-10-31,42572,Checking
Chris Doe,2650.12,active,Branch 8,+1-619-667-9302,02951895,2024-03-13,user1895@sample.org,385 Main St,UK,2020-12-23,97916,Loan
Emily Doe,5637.5,inactive,Branch 7,+1-437-763-4265,13146578,2024-12-27,user6578@sample.org,202 Main St,Canada,2021-03-16,77349,Credit
Alex Davis,7088.53,active,Branch 11,+1-608-235-7306,74606741,2024-05-17,user6741@sample.org,571 First Ave,UK,2020-06-30,56110,Credit
Jane Davis,5853.01,inactive,Branch 4,+1-470-672-6086,06787946,2024-07-22,user7946@example.com,122 Maple Drive,Canada,2020-11-07,17920,Savings
Chris Brown,6847.78,inactive,Branch 20,+1-990-440-8207,39067262,2024-12-04,user7262@test.net,887 First Ave,Canada,2020-07-25,82450,Credit
Emily Brown,2568.23,inactive,Branch 14,+1-237-201-1010,80450811,2024-10-31,user0811@example.com,596 Broadway,UK,2021-06-20,27966,Credit
John Johnson,8330.16,active,Branch 20,+1-542-204-8112,07582258,2024-09-18,user2258@example.com,290 Broadway,UK,2020-08-19,33382,Checking
Katie Smith,4502.4,active,Branch 5,+1-395-898-4225,27946935,2025-02-04,user6935@sample.org,993 Main St,USA,2023-09-08,33317,Credit
Emily Johnson,9872.37,active,Branch 6,+1-776-566-8922,23142597,2024-11-12,user2597@test.net,370 Broadway,USA,2023-06-08,33071,Savings
Katie Davis,242.62,inactive,Branch 7,+1-379-778-1705,79824996,2024-12-05,user4996@example.com,135 First Ave,UK,2023-05-31,70254,Savings
Emily Smith,3809.35,inactive,Branch 12,+1-685-352-5438,90174630,2024-07-30,user4630@sample.org,776 Maple Drive,Canada,2021-09-05,16500,Checking
Chris Brown,1812.95,active,Branch 19,+1-799-245-4422,23973960,2025-03-05,user3960@test.net,394 Broadway,UK,2022-03-21,27415,Savings
Jane Smith,5560.54,active,Branch 15,+1-786-233-5446,12851996,2024-08-19,user1996@test.net,157 Maple Drive,UK,2024-03-28,63859,Checking
Jane Doe,2439.62,active,Branch 11,+1-998-287-1780,75682389,2024-07-18,user2389@example.com,574 Broadway,UK,2021-04-07,93569,Checking
Katie Davis,7377.4,active,Branch 2,+1-901-342-5226,50383713,2024-08-12,user3713@example.com,545 Broadway,Canada,2024-12-09,69090,Loan
Katie Brown,8819.84,inactive,Branch 16,+1-543-766-8858,99227696,2024-12-21,user7696@example.com,963 Maple Drive,Australia,2023-04-26,32278,Checking
Katie Johnson,2116.73,inactive,Branch 1,+1-998-312-1430,48180355,2024-11-16,user0355@test.net,912 Main St,UK,2023-05-08,88562,Savings
John Johnson,1615.17,inactive,Branch 8,+1-461-169-1992,90742053,2025-02-07,user2053@test.net,552 Main St,UK,2022-02-28,65897,Savings
Chris Doe,8754.82,active,Branch 14,+1-586-116-3816,66901388,2024-10-08,user1388@example.com,463 First Ave,Germany,2020-09-17,82653,Checking
Chris Johnson,3619.11,inactive,Branch 5,+1-294-694-1993,25340408,2025-03-05,user0408@example.com,519 First Ave,Canada,2023-07-14,92806,Savings
John Johnson,4351.49,active,Branch 13,+1-296-606-2722,53500521,2024-06-03,user0521@test.net,270 Main St,Australia,2024-05-24,95113,Loan
Chris Davis,2217.49,active,Branch 20,+1-534-274-6056,46440973,2024-11-04,user0973@test.net,846 Maple Drive,UK,2024-07-23,27648,Savings
John Brown,4258.9,inactive,Branch 13,+1-431-278-9551,58520195,2025-03-09,user0195@test.net,933 Broadway,Germany,2023-12-06,55818,Checking
Emily Smith,2320.69,inactive,Branch 18,+1-339-451-8783,47210622,2024-08-14,user0622@example.com,941 Broadway,Australia,2023-01-06,83189,Savings
Alex Smith,6662.62,inactive,Branch 1,+1-378-472-6373,68765483,2024-12-07,user5483@example.com,499 Broadway,Germany,2023-11-20,94049,Credit
John Davis,4993.78,inactive,Branch 13,+1-619-688-6309,64868917,2025-01-17,user8917@sample.org,172 Main St,Germany,2023-09-06,11448,Savings
John Smith,7882.72,active,Branch 20,+1-869-372-8746,35930499,2024-03-30,user0499@sample.org,316 First Ave,USA,2024-05-04,88114,Savings
John Davis,3134.15,active,Branch 13,+1-837-859-4319,45399423,2024-04-04,user9423@example.com,394 Broadway,Canada,2025-01-19,62807,Checking
John Smith,5060.89,active,Branch 2,+1-950-391-3215,31632373,2025-02-03,user2373@test.net,423 First Ave,Australia,2022-11-01,97439,Savings
Alex Doe,2602.64,inactive,Branch 14,+1-514-218-8646,90949342,2025-03-01,user9342@test.net,618 First Ave,Australia,2022-09-13,30408,Credit
Alex Smith,9345.39,active,Branch 5,+1-683-736-4782,97698777,2024-06-26,user8777@example.com,456 Maple Drive,Australia,2023-06-23,33313,Credit
John Smith,5224.14,active,Branch 19,+1-846-250-1759,53871563,2025-02-03,user1563@test.net,411 Maple Drive,UK,2024-01-01,17163,Savings
Jane Johnson,1742.89,active,Branch 9,+1-289-501-8833,82335529,2024-09-16,user5529@example.com,950 Maple Drive,USA,2021-02-24,99756,Savings
Katie Smith,2734.93,inactive,Branch 18,+1-220-563-3082,01415268,2024-07-12,user5268@test.net,636 First Ave,Canada,2023-04-30,64827,Savings
Emily Davis,838.19,inactive,Branch 1,+1-379-921-1264,38033302,2025-02-25,user3302@sample.org,865 Broadway,USA,2021-03-06,62490,Loan
Jane Johnson,287.88,active,Branch 8,+1-964-190-2938,72779780,2024-11-07,user9780@test.net,576 Main St,Germany,2022-08-30,67722,Credit
Chris Davis,5263.96,inactive,Branch 18,+1-959-180-4836,16117555,2025-02-07,user7555@sample.org,933 Main St,USA,2022-03-26,81840,Loan
Emily Brown,3377.86,inactive,Branch 3,+1-265-739-2184,48572744,2024-09-17,user2744@example.com,431 First Ave,Australia,2022-02-03,10185,Credit
Katie Smith,9638.1,inactive,Branch 2,+1-349-539-4483,54008045,2024-12-09,user8045@sample.org,576 Broadway,Australia,2023-04-04,21270,Checking
Emily Brown,1721.6,inactive,Branch 4,+1-289-383-5498,92439212,2024-05-07,user9212@example.com,246 Main St,Germany,2022-12-02,39370,Checking
Chris Doe,7941.19,inactive,Branch 1,+1-492-947-5120,31668136,2025-02-06,user8136@test.net,591 Main St,Australia,2021-09-25,26791,Loan
Katie Johnson,3166.55,active,Branch 7,+1-508-605-9400,08146569,2024-09-24,user6569@sample.org,276 Maple Drive,Australia,2023-06-14,51314,Loan
John Johnson,2243.14,inactive,Branch 19,+1-485-353-5185,46342020,2024-10-10,user2020@sample.org,103 Broadway,UK,2021-11-04,84788,Savings
Jane Doe,9696.67,active,Branch 14,+1-457-545-7958,89424377,2024-06-23,user4377@test.net,238 Main St,UK,2021-05-22,68028,Savings
Emily Smith,8027.74,inactive,Branch 13,+1-466-880-4678,53327145,2024-09-16,user7145@test.net,694 Broadway,Australia,2024-02-06,55768,Savings
Katie Smith,6309.9,inactive,Branch 20,+1-771-871-3937,95707138,2024-09-15,user7138@test.net,204 First Ave,Germany,2021-10-07,41322,Checking
Chris Johnson,6974.24,inactive,Branch 4,+1-560-175-8036,84837386,2024-03-28,user7386@test.net,556 Main St,Australia,2024-08-08,16864,Loan
John Smith,9913.9,active,Branch 13,+1-798-862-3349,46814497,2024-08-27,user4497@example.com,956 Main St,Canada,2022-11-04,56218,Checking
Emily Johnson,5936.14,active,Branch 2,+1-884-357-2507,50101850,2024-10-19,user1850@test.net,997 Main St,Canada,2021-03-17,10568,Loan
John Davis,1027.99,active,Branch 20,+1-729-243-8457,11266897,2024-03-13,user6897@sample.org,597 Maple Drive,Canada,2022-11-12,91205,Loan
Katie Smith,658.01,active,Branch 4,+1-630-398-4151,69132101,2024-10-08,user2101@test.net,535 First Ave,Germany,2024-10-11,74025,Credit
Emily Davis,6669.4,inactive,Branch 15,+1-928-257-6471,84549578,2024-05-24,user9578@example.com,749 Main St,USA,2020-06-02,41004,Savings
John Doe,6579.44,active,Branch 14,+1-711-838-6669,88567332,2024-03-18,user7332@test.net,641 Broadway,Canada,2021-08-22,38524,Credit
Emily Smith,7484.26,active,Branch 19,+1-679-381-5158,65840203,2024-11-13,user0203@test.net,847 Maple Drive,Germany,2021-02-27,35317,Credit
Katie Johnson,1096.7,inactive,Branch 4,+1-916-237-5811,09549247,2024-08-17,user9247@sample.org,667 First Ave,Australia,2022-03-01,32845,Savings
Chris Smith,9449.57,active,Branch 9,+1-879-612-7329,92021665,2025-02-28,user1665@example.com,510 Main St,Canada,2022-10-16,39247,Credit
Emily Doe,5516.07,inactive,Branch 11,+1-390-446-1663,63740932,2024-10-04,user0932@example.com,926 First Ave,Canada,2022-04-09,36884,Credit
Katie Smith,6499.06,active,Branch 5,+1-227-859-2855,57945648,2024-09-29,user5648@example.com,371 First Ave,Canada,2024-10-04,27350,Checking
Emily Davis,358.18,inactive,Branch 9,+1-728-569-1915,26697394,2025-01-29,user7394@test.net,736 Maple Drive,Germany,2021-01-30,23126,Savings
Alex Johnson,9610.13,active,Branch 5,+1-711-973-5818,85832437,2025-01-24,user2437@test.net,347 Maple Drive,Germany,2021-06-12,14289,Loan
Chris Davis,5630.29,inactive,Branch 5,+1-808-106-4796,05152730,2024-06-11,user2730@example.com,361 Main St,USA,2025-01-02,45525,Credit
Emily Davis,5638.0,inactive,Branch 3,+1-644-358-1454,24456192,2024-06-10,user6192@example.com,269 Broadway,Canada,2022-10-18,91818,Loan
Chris Brown,9436.12,inactive,Branch 8,+1-594-241-5866,22494646,2025-02-20,user4646@test.net,721 Broadway,Australia,2021-06-01,75672,Checking
Katie Johnson,9294.21,inactive,Branch 18,+1-779-764-7199,42741415,2024-08-30,user1415@example.com,146 Broadway,Canada,2022-08-22,91331,Checking
Emily Brown,2210.78,active,Branch 4,+1-807-666-6136,63979524,2024-08-05,user9524@sample.org,542 Main St,Germany,2020-08-26,14005,Checking
Chris Doe,9311.68,active,Branch 15,+1-940-690-4654,07466350,2025-03-06,user6350@example.com,965 First Ave,Germany,2021-12-30,25166,Savings
Chris Brown,7368.85,inactive,Branch 19,+1-560-972-5248,53632100,2024-08-08,user2100@sample.org,263 Broadway,Canada,2023-10-15,58256,Checking
Alex Brown,198.82,active,Branch 16,+1-840-551-4693,42092980,2024-12-09,user2980@example.com,583 Broadway,Australia,2024-04-27,31965,Checking
Jane Davis,2406.03,inactive,Branch 6,+1-203-293-9675,10898183,2025-02-06,user8183@test.net,417 Main St,Canada,2021-04-02,56273,Loan
Chris Davis,4135.67,active,Branch 4,+1-343-956-2039,12630796,2024-04-27,user0796@example.com,489 Main St,USA,2020-07-27,90599,Checking
Chris Brown,5832.4,active,Branch 14,+1-562-688-6074,72018819,2024-05-20,user8819@sample.org,464 Maple Drive,UK,2021-09-02,56469,Credit
Katie Johnson,7016.28,active,Branch 8,+1-231-382-4609,86788747,2024-05-05,user8747@sample.org,481 Main St,Canada,2021-01-24,80801,Savings
John Doe,2110.0,inactive,Branch 6,+1-589-973-8624,55967785,2024-04-02,user7785@test.net,786 Main St,USA,2021-07-05,19415,Loan
Katie Johnson,8368.64,inactive,Branch 7,+1-843-466-9588,73053225,2025-01-01,user3225@example.com,170 Broadway,Germany,2025-01-31,35030,Savings
Katie Brown,8458.7,inactive,Branch 7,+1-374-466-6611,97971944,2024-12-11,user1944@test.net,991 Maple Drive,Canada,2025-03-09,89326,Loan
John Doe,6353.64,active,Branch 1,+1-927-288-1667,32625823,2024-06-02,user5823@example.com,395 First Ave,Germany,2020-04-02,22979,Credit
Jane Smith,9211.73,active,Branch 18,+1-239-812-5384,62376137,2025-02-06,user6137@example.com,337 First Ave,Australia,2021-07-08,12583,Credit
Katie Doe,8131.69,inactive,Branch 12,+1-416-594-1404,18147171,2024-05-21,user7171@sample.org,315 Maple Drive,UK,2020-04-23,30846,Loan
Chris Johnson,2224.02,active,Branch 8,+1-345-545-3791,16322762,2024-06-10,user2762@example.com,274 First Ave,UK,2024-11-28,87674,Savings
Katie Johnson,7988.78,inactive,Branch 8,+1-554-292-4196,50751047,2024-08-31,user1047@example.com,215 Main St,Australia,2024-07-30,44701,Loan
John Davis,9532.49,active,Branch 8,+1-691-413-9059,16700337,2024-10-21,user0337@test.net,723 Maple Drive,Canada,2024-04-14,98090,Credit
Alex Doe,1384.69,inactive,Branch 18,+1-306-702-7460,23000589,2024-08-19,user0589@test.net,977 First Ave,USA,2021-07-26,97865,Checking
Jane Smith,9787.19,inactive,Branch 3,+1-353-401-9333,90097673,2025-02-28,user7673@test.net,641 First Ave,UK,2021-04-02,10348,Savings
