client name,nation,current balance,last_activity,account status,location,bank id,start date,E-mail,residence,profile-ID:,zip_code,mobile,AcctID,type
Chris Brown,Australia,4861.49,2024-03-31,active,Branch 9,57424001,2020-04-08,user4001@test.net,458 First Ave,57424001,72052,+1-681-802-5219,57424001,Loan
Emily Brown,USA,9128.88,2024-06-19,active,Branch 15,91914899,2022-05-25,user4899@test.net,134 Main St,91914899,15482,+1-431-296-3212,91914899,Checking
Chris Smith,UK,6107.53,2024-12-12,active,Branch 14,48219357,2020-09-22,user9357@sample.org,471 First Ave,48219357,17463,+1-259-327-3002,48219357,Loan
John Brown,Germany,5468.61,2024-08-08,active,Branch 1,10364356,2020-08-06,user4356@example.com,881 Broadway,10364356,99484,+1-842-109-1262,10364356,Credit
Jane Smith,Australia,2504.94,2024-10-08,active,Branch 10,83054678,2022-08-15,user4678@test.net,622 First Ave,83054678,88286,+1-944-502-6363,83054678,Credit
Jane Brown,Canada,3439.32,2024-11-07,active,Branch 19,98506758,2021-07-10,user6758@test.net,312 Main St,98506758,94598,+1-358-946-4155,98506758,Savings
Alex Brown,Germany,8521.96,2024-09-14,inactive,Branch 6,21824480,2023-05-06,user4480@example.com,742 Broadway,21824480,40636,+1-356-166-2569,21824480,Loan
John Smith,Australia,5596.59,2025-02-07,inactive,Branch 18,57592750,2023-05-27,user2750@example.com,410 Maple Drive,57592750,44927,+1-434-266-5046,57592750,Checking
Chris Davis,Australia,5152.27,2024-10-26,active,Branch 10,05741675,2021-10-18,user1675@sample.org,772 First Ave,05741675,57273,+1-214-391-3724,05741675,Credit
Emily Brown,Germany,1004.8,2024-07-29,active,Branch 13,10573573,2024-10-21,user3573@sample.org,834 Maple Drive,10573573,71790,+1-513-415-2160,10573573,Checking
Emily Doe,UK,170.12,2025-01-29,active,Branch 3,58318147,2024-01-08,user8147@test.net,783 Maple Drive,58318147,46006,+1-485-686-2680,58318147,Savings
Katie Johnson,UK,9637.22,2024-05-11,active,Branch 16,43102294,2021-09-13,user2294@example.com,842 Maple Drive,43102294,66884,+1-663-214-9126,43102294,Checking
Emily Johnson,Australia,3776.09,2024-12-31,active,Branch 18,83139986,2023-06-08,user9986@test.net,800 Broadway,83139986,51653,+1-795-290-4322,83139986,Checking
Alex Davis,UK,6036.1,2024-06-08,inactive,Branch 18,66916638,2024-08-27,user6638@sample.org,956 First Ave,66916638,32046,+1-446-766-4706,66916638,Loan
Alex Davis,Germany,806.35,2024-07-22,inactive,Branch 1,45923967,2024-09-20,user3967@test.net,821 Main St,45923967,41767,+1-829-700-3153,45923967,Loan
Emily Davis,UK,6834.31,2024-09-21,inactive,Branch 10,48484555,2024-06-01,user4555@example.com,553 Broadway,48484555,30769,+1-937-911-7073,48484555,Savings
Chris Davis,USA,9326.34,2024-09-07,inactive,Branch 4,46110488,2021-12-02,user0488@test.net,209 Main St,46110488,14614,+1-405-477-9997,46110488,Savings
Chris Johnson,Canada,5760.9,2025-01-17,active,Branch 8,52213487,2020-11-03,user3487@sample.org,442 Maple Drive,52213487,80652,+1-307-502-2597,52213487,Checking
Chris Davis,UK,1269.89,2024-07-22,active,Branch 7,97978596,2021-07-26,user8596@example.com,817 Broadway,97978596,14523,+1-802-886-3743,97978596,Checking
Emily Smith,USA,5821.4,2024-04-11,inactive,Branch 16,26921867,2023-11-02,user1867@sample.org,998 Main St,26921867,33293,+1-216-911-4158,26921867,Loan
Jane Davis,Australia,7665.81,2024-08-23,active,Branch 18,94298499,2020-03-14,user8499@sample.org,114 Maple Drive,94298499,99018,+1-629-469-5488,94298499,Loan
Katie Brown,Canada,4070.1,2024-04-18,inactive,Branch 2,55170805,2024-12-25,user0805@example.com,613 Maple Drive,55170805,55584,+1-317-858-1923,55170805,Checking
Chris Smith,USA,8799.58,2024-11-23,active,Branch 4,84951606,2021-03-08,user1606@test.net,267 Maple Drive,84951606,66940,+1-669-465-3137,84951606,Loan
Emily Johnson,Australia,6490.34,2024-04-18,inactive,Branch 9,39836278,2021-10-21,user6278@sample.org,357 Main St,39836278,25666,+1-734-739-2360,39836278,Credit
Katie Johnson,USA,8993.5,2024-05-23,active,Branch 7,36890300,2024-12-12,user0300@sample.org,715 First Ave,36890300,39635,+1-951-778-2074,36890300,Checking
Katie Johnson,Australia,6238.82,2024-05-22,active,Branch 12,99018519,2023-07-27,user8519@example.com,223 Maple Drive,99018519,38731,+1-857-540-3410,99018519,Savings
Emily Brown,Germany,1321.57,2025-03-05,inactive,Branch 11,44141227,2021-05-02,user1227@example.com,826 First Ave,44141227,35929,+1-613-216-2816,44141227,Checking
John Davis,UK,3103.82,2024-06-05,active,Branch 11,82569347,2022-10-11,user9347@sample.org,320 Maple Drive,82569347,41149,+1-693-188-4607,82569347,Checking
Emily Johnson,Canada,2025.93,2024-05-20,inactive,Branch 2,65024417,2024-01-29,user4417@sample.org,772 Broadway,65024417,60274,+1-343-990-3690,65024417,Loan
Chris Johnson,UK,9089.18,2025-03-05,inactive,Branch 19,37738802,2020-12-14,user8802@example.com,563 Main St,37738802,58489,+1-922-298-4305,37738802,Checking
Emily Johnson,Australia,7606.4,2024-12-27,inactive,Branch 11,54739707,2025-03-03,user9707@test.net,869 Broadway,54739707,73165,+1-934-181-7981,54739707,Savings
Alex Smith,Canada,6767.22,2024-04-10,active,Branch 9,44067627,2024-07-07,user7627@example.com,173 Broadway,44067627,67049,+1-714-656-9551,44067627,Loan
Alex Brown,Canada,3016.65,2025-01-13,active,Branch 10,81751364,2022-07-28,user1364@sample.org,584 Main St,81751364,20207,+1-575-222-2983,81751364,Savings
Emily Smith,USA,1848.61,2024-09-01,active,Branch 11,84264113,2020-09-27,user4113@example.com,405 First Ave,84264113,15177,+1-611-306-3414,84264113,Checking
Katie Smith,Germany,7566.95,2024-11-18,active,Branch 10,62896524,2021-03-27,user6524@test.net,713 Main St,62896524,45929,+1-676-201-7010,62896524,Loan
Chris Brown,Germany,4746.84,2024-09-15,active,Branch 19,09972049,2023-10-20,user2049@sample.org,964 Broadway,09972049,13992,+1-510-788-3214,09972049,Checking
Katie Brown,USA,2265.64,2024-04-09,active,Branch 19,93522130,2023-04-26,user2130@example.com,245 Broadway,93522130,96985,+1-688-517-6131,93522130,Checking
Alex Doe,USA,6170.05,2024-06-04,active,Branch 11,83054551,2024-03-21,user4551@test.net,569 First Ave,83054551,54994,+1-316-501-1661,83054551,Loan
Emily Doe,Canada,412.94,2024-05-31,active,Branch 5,01513796,2023-12-04,user3796@test.net,699 First Ave,01513796,80716,+1-416-465-1448,01513796,Credit
Chris Davis,Australia,3268.44,2024-10-26,inactive,Branch 11,06870855,2023-02-23,user0855@sample.org,175 Maple Drive,06870855,72695,+1-258-626-7571,06870855,Loan
Jane Johnson,UK,4690.88,2024-04-16,inactive,Branch 19,71689572,2020-12-21,user9572@sample.org,512 Main St,71689572,23570,+1-791-587-6006,71689572,Checking
Katie Smith,USA,1488.1,2025-01-13,active,Branch 18,62869244,2021-02-06,user9244@test.net,273 Main St,62869244,55019,+1-504-545-3229,62869244,Checking
Katie Johnson,USA,9846.7,2024-11-16,inactive,Branch 13,96682336,2022-11-25,user2336@sample.org,824 First Ave,96682336,95990,+1-579-545-6346,96682336,Checking
Emily Davis,Germany,2098.88,2024-08-25,inactive,Branch 10,93040108,2024-07-30,user0108@example.com,782 Maple Drive,93040108,25938,+1-395-236-1518,93040108,Credit
Emily Johnson,USA,1312.23,2024-10-08,active,Branch 19,76120129,2022-01-02,user0129@example.com,701 Main St,76120129,38968,+1-423-628-5597,76120129,Checking
Chris Smith,Germany,2043.31,2025-02-02,active,Branch 5,83719971,2021-05-19,user9971@sample.org,144 First Ave,83719971,84963,+1-420-781-6620,83719971,Checking
John Brown,Germany,7692.92,2024-03-16,active,Branch 9,31193738,2021-02-11,user3738@sample.org,203 Main St,31193738,27865,+1-474-119-8225,31193738,Checking
Jane Brown,USA,4260.8,2025-01-22,inactive,Branch 9,80503586,2024-02-28,user3586@test.net,732 Maple Drive,80503586,35972,+1-479-935-4848,80503586,Checking
Katie Davis,UK,5658.51,2024-06-25,inactive,Branch 20,24845898,2023-12-04,user5898@test.net,921 Maple Drive,24845898,49433,+1-491-410-2459,24845898,Checking
Emily Doe,UK,219.88,2024-06-17,inactive,Branch 18,37115557,2024-12-24,user5557@example.com,765 Maple Drive,37115557,20223,+1-671-950-9940,37115557,Credit
Katie Davis,Germany,353.97,2024-10-27,inactive,Branch 7,89424350,2022-07-06,user4350@example.com,808 First Ave,89424350,77377,+1-718-865-1236,89424350,Credit
Emily Davis,Germany,4463.8,2024-10-25,active,Branch 20,91596945,2024-02-25,user6945@sample.org,726 Maple Drive,91596945,65675,+1-249-961-8949,91596945,Checking
John Smith,UK,8168.39,2024-07-14,inactive,Branch 5,93905272,2021-02-04,user5272@example.com,590 Main St,93905272,80936,+1-271-998-4008,93905272,Loan
John Johnson,Germany,8853.54,2024-06-07,inactive,Branch 5,64299770,2022-05-26,user9770@test.net,989 Main St,64299770,67057,+1-271-122-8395,64299770,Loan
Emily Davis,Australia,876.2,2024-11-22,inactive,Branch 19,19701823,2025-01-20,user1823@sample.org,688 Maple Drive,19701823,68495,+1-304-358-2249,19701823,Savings
Emily Johnson,Canada,5388.25,2024-10-05,active,Branch 7,56605767,2020-07-19,user5767@example.com,176 First Ave,56605767,45665,+1-981-865-9896,56605767,Checking
Chris Doe,UK,9133.16,2024-08-13,inactive,Branch 16,87558729,2021-03-29,user8729@example.com,139 Main St,87558729,34207,+1-353-836-4388,87558729,Checking
Alex Johnson,UK,3885.85,2024-10-21,active,Branch 9,16292475,2020-05-14,user2475@sample.org,411 First Ave,16292475,43570,+1-746-524-1647,16292475,Savings
John Smith,Canada,8297.36,2024-12-02,inactive,Branch 13,13683543,2024-08-12,user3543@test.net,490 Main St,13683543,52669,+1-941-985-5307,13683543,Credit
Alex Doe,Germany,1345.62,2025-01-27,active,Branch 14,15080594,2022-01-06,user0594@test.net,444 Maple Drive,15080594,86002,+1-358-797-1930,15080594,Savings
Jane Brown,Australia,9354.59,2024-09-18,inactive,Branch 9,35052734,2022-08-18,user2734@sample.org,754 First Ave,35052734,17817,+1-271-837-1873,35052734,Checking
Emily Brown,Canada,7516.72,2024-06-06,inactive,Branch 18,28595813,2023-06-11,user5813@sample.org,871 Broadway,28595813,51249,+1-223-525-6298,28595813,Credit
Emily Davis,USA,9413.93,2024-12-24,inactive,Branch 15,68701462,2020-06-15,user1462@example.com,759 Maple Drive,68701462,61956,+1-965-409-9098,68701462,Checking
Katie Davis,UK,6769.41,2025-02-04,inactive,Branch 11,31199109,2024-04-19,user9109@test.net,565 Main St,31199109,92307,+1-440-710-6019,31199109,Checking
John Brown,Australia,3640.41,2024-10-23,inactive,Branch 2,24997104,2024-04-18,user7104@example.com,439 Broadway,24997104,48399,+1-260-489-2438,24997104,Credit
Emily Doe,Australia,9382.43,2024-04-15,active,Branch 7,84849438,2022-09-07,user9438@test.net,629 Broadway,84849438,18312,+1-644-408-9548,84849438,Checking
Jane Johnson,USA,2762.91,2024-06-09,active,Branch 6,69359231,2022-06-03,user9231@test.net,757 Broadway,69359231,66712,+1-314-963-9388,69359231,Loan
Jane Davis,USA,3328.4,2024-11-23,inactive,Branch 12,99444651,2021-11-14,user4651@sample.org,536 First Ave,99444651,96104,+1-722-698-9215,99444651,Loan
Emily Brown,Germany,7011.08,2024-07-20,active,Branch 19,15153100,2022-10-16,user3100@example.com,834 Broadway,15153100,51322,+1-962-568-5481,15153100,Credit
Jane Doe,Canada,7655.51,2024-03-20,inactive,Branch 10,34501457,2022-05-15,user1457@sample.org,542 Broadway,34501457,17212,+1-430-205-6123,34501457,Credit
Chris Brown,Germany,9294.74,2024-08-24,active,Branch 4,65057728,2023-11-27,user7728@test.net,287 Maple Drive,65057728,57340,+1-682-565-3610,65057728,Savings
Chris Doe,Australia,2055.98,2024-09-17,inactive,Branch 9,65803825,2022-09-20,user3825@example.com,527 First Ave,65803825,67504,+1-407-665-6878,65803825,Checking
John Smith,Canada,7982.0,2024-09-01,inactive,Branch 2,14184656,2020-12-08,user4656@sample.org,104 Main St,14184656,18648,+1-343-870-2353,14184656,Checking
John Johnson,Germany,7388.08,2024-07-23,active,Branch 12,40539912,2025-02-02,user9912@example.com,709 Main St,40539912,95020,+1-403-280-2141,40539912,Credit
John Doe,USA,647.31,2024-05-27,active,Branch 16,06378355,2023-09-27,user8355@example.com,367 Main St,06378355,49126,+1-238-978-7621,06378355,Checking
Jane Davis,USA,3878.36,2024-07-09,inactive,Branch 12,21242566,2021-01-27,user2566@test.net,590 Maple Drive,21242566,39195,+1-609-729-5934,21242566,Checking
John Davis,USA,2834.83,2024-05-15,active,Branch 20,11836725,2021-11-26,user6725@example.com,279 First Ave,11836725,72250,+1-686-441-5001,11836725,Loan
