client name,acct status,account open,nation,Recordidentifier,Phone,Zip Code,location,address,recent activity,e-mail,Balance,acct type
Emily Doe,inactive,2023-08-21,Australia,14938037,+1-391-176-1229,13836,Branch 12,451 First Ave,2024-12-19,user8037@example.com,9296.0,Loan
John Davis,active,2024-04-01,Canada,10908084,+1-365-754-2511,52706,Branch 18,204 Broadway,2024-08-06,user8084@test.net,8307.89,Credit
Jane Johnson,inactive,2020-11-20,Australia,11982319,+1-703-940-9785,33827,Branch 17,981 Main St,2024-05-01,user2319@sample.org,9650.62,Checking
Alex Brown,inactive,2020-06-28,Australia,71847178,+1-386-204-4168,32615,Branch 12,673 Maple Drive,2024-10-06,user7178@sample.org,1251.73,Credit
John Smith,active,2020-10-06,Australia,62468578,+1-467-631-7879,30341,Branch 15,478 First Ave,2024-09-21,user8578@example.com,7311.37,Credit
Jane Davis,inactive,2023-12-07,UK,42463821,+1-375-686-9947,85582,Branch 14,126 Maple Drive,2024-04-29,user3821@sample.org,9384.02,Checking
Chris Johnson,active,2022-04-08,Australia,94526872,+1-548-852-9049,84301,Branch 14,631 First Ave,2024-05-25,user6872@sample.org,1820.52,Checking
Jane Davis,active,2022-09-21,Canada,60157658,+1-948-803-8175,90584,Branch 20,495 First Ave,2024-06-28,user7658@sample.org,674.3,Loan
Emily Smith,inactive,2024-01-25,USA,59272200,+1-439-876-7979,38062,Branch 9,116 First Ave,2024-11-13,user2200@test.net,7413.8,Savings
John Doe,active,2024-01-31,Canada,39210216,+1-437-995-9836,63993,Branch 16,874 Maple Drive,2024-08-03,user0216@sample.org,5748.99,Savings
Emily Smith,active,2020-04-16,UK,43416139,+1-448-997-2883,32438,Branch 1,891 First Ave,2024-04-04,user6139@sample.org,8419.87,Checking
Jane Johnson,inactive,2023-08-03,Germany,35268131,+1-727-281-9904,23213,Branch 7,944 First Ave,2024-11-13,user8131@example.com,1406.33,Savings
Jane Brown,inactive,2024-10-19,Canada,69242004,+1-897-426-7691,65980,Branch 4,329 Main St,2024-11-10,user2004@example.com,7954.72,Credit
Alex Davis,active,2020-06-16,UK,08042481,+1-229-446-4750,52854,Branch 18,298 First Ave,2024-12-27,user2481@test.net,2024.26,Credit
Alex Davis,active,2023-01-14,UK,24075536,+1-786-868-8366,96146,Branch 1,743 Main St,2024-07-24,user5536@sample.org,1644.92,Checking
Alex Brown,active,2022-04-04,Canada,46243129,+1-956-123-9074,86700,Branch 11,998 Main St,2024-07-15,user3129@example.com,1651.02,Loan
Alex Doe,inactive,2023-05-11,USA,02429591,+1-919-702-9922,19877,Branch 7,952 Main St,2024-07-07,user9591@test.net,8147.6,Savings
Jane Smith,active,2023-06-13,Germany,75626770,+1-936-751-8023,93932,Branch 7,592 Maple Drive,2024-06-07,user6770@sample.org,6655.32,Credit
Alex Smith,inactive,2024-02-28,Canada,58228765,+1-612-797-2949,49740,Branch 20,268 Main St,2024-08-22,user8765@sample.org,5235.42,Savings
Katie Doe,inactive,2020-07-21,Canada,67514510,+1-664-589-2000,40968,Branch 13,303 First Ave,2024-10-19,user4510@test.net,3594.72,Loan
John Doe,active,2024-09-11,Germany,77434177,+1-612-981-9134,82500,Branch 6,695 Broadway,2024-06-11,user4177@example.com,8773.23,Savings
Emily Smith,active,2021-10-24,USA,46214865,+1-441-514-9491,82175,Branch 15,375 Main St,2024-06-25,user4865@test.net,3930.53,Credit
Emily Smith,inactive,2021-10-17,Canada,04120342,+1-998-926-3400,28857,Branch 9,188 First Ave,2025-02-25,user0342@example.com,8167.83,Checking
Alex Davis,inactive,2023-05-30,Canada,32900514,+1-215-473-1036,40992,Branch 14,315 Maple Drive,2024-11-28,user0514@sample.org,4396.96,Checking
Jane Brown,active,2021-03-18,USA,04571957,+1-585-653-3353,31831,Branch 13,414 Main St,2025-02-15,user1957@example.com,3775.67,Savings
Jane Davis,active,2020-04-12,Canada,22300512,+1-286-774-3800,52611,Branch 14,433 First Ave,2025-01-06,user0512@test.net,4632.17,Savings
Emily Johnson,inactive,2024-03-13,Canada,54232187,+1-384-329-6722,95631,Branch 5,564 Main St,2025-01-08,user2187@example.com,3020.76,Checking
John Doe,inactive,2022-09-24,Germany,56706566,+1-535-790-3608,57669,Branch 3,434 First Ave,2024-08-05,user6566@test.net,7478.62,Checking
Chris Davis,active,2021-08-15,Canada,08824305,+1-288-502-6997,42049,Branch 12,307 Main St,2025-01-02,user4305@sample.org,5032.18,Credit
John Brown,inactive,2023-06-17,USA,92433460,+1-215-895-6489,85707,Branch 19,321 Broadway,2024-12-26,user3460@test.net,2329.8,Savings
Katie Smith,inactive,2024-09-19,UK,06021177,+1-752-558-2718,80800,Branch 3,474 Broadway,2024-05-07,user1177@test.net,8996.75,Savings
Emily Brown,active,2021-02-13,Germany,12146211,+1-903-371-7634,36632,Branch 17,937 Maple Drive,2025-01-16,user6211@sample.org,3845.07,Credit
Chris Smith,inactive,2022-06-14,USA,92682610,+1-783-253-2193,51969,Branch 8,587 Main St,2024-10-24,user2610@sample.org,5440.09,Checking
Emily Doe,inactive,2024-06-06,USA,94035681,+1-735-766-3854,82868,Branch 5,343 Maple Drive,2024-03-17,user5681@example.com,9065.66,Loan
Jane Doe,inactive,2023-07-18,Australia,72112825,+1-274-684-3273,50378,Branch 16,558 First Ave,2024-04-13,user2825@example.com,6246.14,Credit
Alex Davis,inactive,2024-02-25,USA,56998998,+1-535-681-7519,44967,Branch 1,146 Main St,2025-03-09,user8998@test.net,1177.81,Checking
Katie Smith,active,2023-05-28,USA,19559467,+1-667-873-1646,64771,Branch 2,735 First Ave,2024-07-23,user9467@test.net,9398.92,Savings
Alex Johnson,active,2023-09-09,Germany,22277043,+1-770-704-9753,26011,Branch 2,966 Broadway,2024-06-02,user7043@test.net,6280.8,Checking
Alex Doe,active,2023-09-13,Canada,59816927,+1-991-798-5399,74107,Branch 9,813 Main St,2024-10-16,user6927@example.com,3355.71,Savings
Katie Smith,inactive,2022-07-20,Australia,91495715,+1-440-540-9877,94489,Branch 13,390 Main St,2025-02-11,user5715@sample.org,1401.33,Loan
Jane Johnson,inactive,2024-06-28,UK,52195682,+1-495-902-9957,70689,Branch 14,136 First Ave,2024-05-20,user5682@example.com,7942.31,Loan
John Doe,active,2023-09-10,Australia,53523114,+1-216-262-3078,74631,Branch 14,281 Maple Drive,2024-03-23,user3114@sample.org,6204.53,Savings
John Smith,active,2023-05-27,Canada,82826560,+1-238-971-6421,38687,Branch 4,492 Main St,2024-06-27,user6560@test.net,5339.28,Checking
John Davis,active,2024-09-20,Canada,75731280,+1-234-719-4765,31176,Branch 10,812 Maple Drive,2024-11-04,user1280@test.net,8939.99,Loan
Alex Brown,inactive,2022-04-19,Germany,77768701,+1-878-961-9884,61522,Branch 11,674 Main St,2024-04-05,user8701@test.net,7888.09,Savings
Emily Davis,inactive,2025-01-24,Australia,76064848,+1-643-836-5108,47990,Branch 19,719 Broadway,2024-11-28,user4848@sample.org,1525.23,Savings
Katie Brown,active,2024-07-26,UK,60690133,+1-719-398-3129,42392,Branch 1,875 Maple Drive,2024-10-31,user0133@example.com,3124.1,Checking
Alex Brown,inactive,2023-11-16,USA,19672086,+1-505-720-6533,12563,Branch 3,106 First Ave,2024-12-11,user2086@example.com,2492.41,Loan
Alex Davis,active,2021-11-08,Germany,54490175,+1-953-724-9391,84847,Branch 4,469 Broadway,2024-06-05,user0175@example.com,7442.02,Savings
John Johnson,inactive,2024-11-05,Canada,73454006,+1-766-744-2081,53597,Branch 2,340 First Ave,2024-05-03,user4006@example.com,344.99,Checking
Emily Davis,inactive,2023-04-16,Australia,83607213,+1-862-186-5645,44214,Branch 15,511 Broadway,2024-04-24,user7213@sample.org,5703.2,Checking
Katie Johnson,active,2023-10-16,Australia,14759303,+1-555-562-9940,43278,Branch 19,240 First Ave,2024-10-06,user9303@example.com,7626.96,Savings
Alex Johnson,active,2023-08-01,Germany,15750442,+1-719-568-1586,85708,Branch 16,670 Maple Drive,2024-04-07,user0442@example.com,8768.89,Checking
Emily Doe,inactive,2024-06-13,USA,66439779,+1-911-770-8231,75289,Branch 15,526 Main St,2024-05-30,user9779@example.com,3427.4,Checking
Jane Johnson,inactive,2023-07-23,Australia,85108982,+1-293-465-3933,90112,Branch 4,432 Maple Drive,2025-02-11,user8982@sample.org,8214.36,Savings
Emily Smith,active,2024-05-16,Canada,58972796,+1-440-657-7580,25267,Branch 9,911 Maple Drive,2025-02-13,user2796@sample.org,1115.21,Loan
Jane Johnson,active,2024-04-13,Canada,54821716,+1-658-499-8825,33653,Branch 2,651 Maple Drive,2025-02-10,user1716@test.net,8466.06,Loan
Emily Brown,active,2023-12-25,UK,32614675,+1-400-652-4059,68566,Branch 1,386 First Ave,2024-03-24,user4675@example.com,1283.61,Loan
John Smith,inactive,2023-12-30,Australia,66320871,+1-226-730-8405,89116,Branch 9,983 Broadway,2025-01-26,user0871@example.com,3978.9,Checking
John Davis,active,2024-06-16,Australia,78419240,+1-481-489-2277,86318,Branch 19,241 Maple Drive,2025-02-11,user9240@sample.org,7974.98,Savings
John Smith,active,2024-12-24,UK,39619328,+1-828-165-8559,67513,Branch 8,823 First Ave,2025-01-25,user9328@sample.org,1507.68,Savings
Chris Smith,active,2022-10-01,UK,17735118,+1-706-725-9719,10352,Branch 18,622 First Ave,2024-07-20,user5118@example.com,2300.22,Savings
John Doe,inactive,2020-09-10,UK,76437859,+1-704-493-9879,34483,Branch 18,858 First Ave,2024-04-27,user7859@sample.org,7225.3,Savings
John Brown,inactive,2025-03-05,Germany,59021265,+1-353-977-8151,84847,Branch 3,654 First Ave,2024-12-14,user1265@test.net,7203.17,Savings
Chris Doe,inactive,2023-02-13,UK,82716663,+1-717-609-3521,32849,Branch 19,850 Maple Drive,2024-04-21,user6663@example.com,6415.06,Loan
John Brown,active,2021-11-06,Australia,26922298,+1-332-427-9456,67690,Branch 9,472 First Ave,2024-07-08,user2298@sample.org,6942.54,Loan
Emily Johnson,active,2021-01-02,Canada,15581788,+1-790-300-9092,19159,Branch 19,906 First Ave,2024-09-15,user1788@example.com,5431.82,Savings
John Brown,active,2023-03-12,Australia,07448109,+1-967-139-9718,31245,Branch 1,282 Broadway,2025-02-23,user8109@example.com,2525.47,Checking
Jane Brown,inactive,2024-08-01,Canada,20641690,+1-525-797-9591,17266,Branch 11,411 Main St,2025-03-04,user1690@example.com,3463.5,Checking
Chris Smith,active,2022-03-30,Germany,40007749,+1-200-508-4051,53399,Branch 8,184 Maple Drive,2025-01-18,user7749@test.net,1824.16,Savings
Chris Smith,active,2023-06-10,USA,90987750,+1-898-740-4890,42307,Branch 3,440 Main St,2024-12-27,user7750@example.com,9085.42,Savings
Chris Smith,active,2022-05-06,UK,92085345,+1-577-153-5412,97388,Branch 11,239 Main St,2024-11-27,user5345@example.com,5838.08,Savings
Katie Johnson,active,2023-10-06,Canada,85063647,+1-230-779-6904,88105,Branch 6,140 Main St,2025-01-08,user3647@test.net,4014.51,Loan
Emily Smith,inactive,2023-05-19,Germany,85999863,+1-973-499-7241,71408,Branch 2,259 First Ave,2024-11-23,user9863@example.com,4625.44,Checking
Jane Davis,active,2021-08-01,USA,63806886,+1-945-734-6437,79074,Branch 9,481 Broadway,2025-01-03,user6886@example.com,9473.36,Credit
John Smith,active,2021-01-05,Germany,51225301,+1-902-567-1627,75234,Branch 20,700 Broadway,2024-10-25,user5301@sample.org,1541.98,Loan
Alex Smith,active,2022-01-16,Australia,91812612,+1-231-789-3045,24747,Branch 20,174 Broadway,2024-05-24,user2612@example.com,5866.44,Checking
Emily Smith,inactive,2023-05-12,Australia,23020771,+1-371-386-9876,38080,Branch 17,234 Main St,2024-05-06,user0771@example.com,5063.83,Checking
Jane Davis,active,2020-10-07,Germany,59030729,+1-380-897-6613,74268,Branch 2,918 First Ave,2024-04-21,user0729@sample.org,6118.43,Checking
John Brown,inactive,2021-11-03,Canada,49750748,+1-583-374-5115,52844,Branch 19,989 First Ave,2024-10-23,user0748@example.com,190.92,Savings
Emily Smith,active,2020-04-23,USA,99808336,+1-386-636-7441,28124,Branch 10,170 Broadway,2024-03-21,user8336@test.net,8722.52,Credit
Jane Smith,inactive,2024-07-09,Australia,87360929,+1-671-707-7456,85966,Branch 20,105 First Ave,2024-12-10,user0929@test.net,9321.86,Checking
Emily Doe,active,2022-12-30,USA,72304541,+1-400-243-6783,83179,Branch 16,448 Maple Drive,2024-11-22,user4541@sample.org,5655.68,Loan
Alex Smith,inactive,2025-03-02,Germany,64761252,+1-826-401-4042,78019,Branch 13,134 Broadway,2025-01-24,user1252@example.com,6969.54,Loan
John Johnson,active,2021-12-05,Canada,70280541,+1-853-352-3180,41854,Branch 20,748 Maple Drive,2025-01-04,user0541@sample.org,9225.77,Credit
