nation,office,type,Profile_ID,zip_code,Address,balance,Last Activity,Phone,Customer_ID,Email,customer_identifier,client name,Status,account open
UK,Branch 7,Savings,45739783,22683,407 First Ave,7178.44,2024-03-13,+1-421-252-6437,45739783,user9783@test.net,45739783,Emily Davis,active,2020-07-15
Germany,Branch 8,Savings,14945602,99360,153 Broadway,7770.45,2025-01-24,+1-769-225-4101,14945602,user5602@test.net,14945602,Katie Doe,inactive,2023-09-15
UK,Branch 2,Checking,53141962,29929,292 Maple Drive,6737.46,2024-08-07,+1-858-679-5725,53141962,user1962@example.com,53141962,Chris Brown,active,2023-05-08
UK,Branch 15,Loan,95857610,78368,211 First Ave,6148.85,2025-02-09,+1-509-744-1339,95857610,user7610@sample.org,95857610,Alex Smith,inactive,2021-07-13
Australia,Branch 20,Credit,10903109,52037,588 Maple Drive,8925.77,2024-11-03,+1-304-152-8280,10903109,user3109@sample.org,10903109,John Brown,inactive,2023-11-10
Germany,Branch 8,Loan,46414078,79753,307 First Ave,795.48,2024-08-12,+1-219-373-1167,46414078,user4078@sample.org,46414078,Chris Doe,inactive,2020-07-15
Canada,Branch 16,Loan,06232629,23195,396 First Ave,3315.84,2024-07-14,+1-997-423-2172,06232629,user2629@sample.org,06232629,Chris Smith,active,2023-03-13
USA,Branch 13,Checking,26838284,26301,571 Main St,2490.39,2025-02-09,+1-654-582-1669,26838284,user8284@test.net,26838284,Emily Doe,active,2022-11-12
Canada,Branch 19,Credit,10418040,37391,427 Broadway,9880.26,2025-02-10,+1-818-742-1108,10418040,user8040@test.net,10418040,Jane Davis,active,2022-08-02
Australia,Branch 16,Checking,70361962,75421,714 First Ave,3900.0,2024-11-06,+1-277-961-9484,70361962,user1962@test.net,70361962,Alex Brown,active,2022-04-07
USA,Branch 14,Credit,70349118,42602,956 First Ave,7328.8,2025-02-17,+1-983-241-8569,70349118,user9118@example.com,70349118,Emily Smith,inactive,2024-09-28
Canada,Branch 18,Savings,27402234,42847,616 Broadway,6850.4,2024-10-11,+1-751-742-6567,27402234,user2234@example.com,27402234,Chris Johnson,active,2023-10-10
Germany,Branch 12,Checking,20413325,23011,793 Main St,2128.69,2025-02-24,+1-250-647-9114,20413325,user3325@sample.org,20413325,Jane Brown,inactive,2024-03-02
Canada,Branch 11,Checking,91643034,83464,251 Main St,2397.59,2024-05-23,+1-998-725-8483,91643034,user3034@sample.org,91643034,John Doe,inactive,2023-09-14
USA,Branch 2,Checking,54481685,19670,520 Broadway,2820.03,2024-09-28,+1-749-276-3303,54481685,user1685@test.net,54481685,Jane Johnson,active,2021-01-23
Canada,Branch 4,Loan,93964323,59709,112 Maple Drive,4117.16,2024-12-08,+1-819-591-2409,93964323,user4323@example.com,93964323,Jane Smith,inactive,2023-09-26
UK,Branch 14,Savings,67808958,30284,259 Broadway,2350.91,2024-12-24,+1-369-114-4832,67808958,user8958@test.net,67808958,Chris Doe,active,2022-07-16
Germany,Branch 3,Loan,06750175,55217,665 Main St,206.32,2024-09-17,+1-250-277-4853,06750175,user0175@example.com,06750175,Emily Davis,active,2021-12-02
Canada,Branch 20,Loan,94916996,14377,929 First Ave,8795.14,2024-11-13,+1-412-376-9941,94916996,user6996@sample.org,94916996,Chris Smith,inactive,2022-04-07
USA,Branch 13,Checking,60798702,44550,488 Broadway,9656.44,2025-02-21,+1-206-840-8199,60798702,user8702@test.net,60798702,Alex Brown,inactive,2024-05-27
USA,Branch 13,Loan,48674726,98201,270 Broadway,3422.29,2024-04-15,+1-653-610-6943,48674726,user4726@test.net,48674726,Jane Brown,inactive,2022-06-22
Germany,Branch 20,Checking,53625910,94937,219 Main St,3391.68,2024-08-19,+1-718-595-5810,53625910,user5910@sample.org,53625910,John Brown,inactive,2020-06-03
USA,Branch 20,Loan,80611902,37652,857 Broadway,80.85,2025-01-05,+1-265-750-2035,80611902,user1902@example.com,80611902,John Doe,inactive,2020-06-24
Australia,Branch 20,Checking,27267710,14384,476 First Ave,6805.7,2024-06-01,+1-343-313-1034,27267710,user7710@test.net,27267710,Katie Doe,active,2020-07-20
USA,Branch 18,Loan,88842986,86856,456 First Ave,8256.14,2025-01-16,+1-483-573-8182,88842986,user2986@test.net,88842986,Jane Smith,active,2022-02-12
USA,Branch 16,Credit,50500104,11456,217 Broadway,1474.62,2025-02-16,+1-761-489-8146,50500104,user0104@test.net,50500104,Katie Johnson,inactive,2024-02-14
UK,Branch 2,Checking,82621113,85322,292 Main St,1605.07,2024-08-28,+1-671-502-4554,82621113,user1113@test.net,82621113,John Smith,active,2021-01-25
Australia,Branch 14,Checking,67422730,88762,117 Maple Drive,7902.93,2024-05-19,+1-386-691-6709,67422730,user2730@sample.org,67422730,Emily Smith,active,2022-05-08
USA,Branch 6,Loan,55846149,69845,480 Main St,6166.74,2024-10-19,+1-458-139-7688,55846149,user6149@example.com,55846149,Chris Johnson,active,2021-08-15
UK,Branch 19,Credit,80360923,50584,991 Main St,458.16,2024-12-24,+1-759-234-9396,80360923,user0923@example.com,80360923,Chris Brown,inactive,2022-07-31
Germany,Branch 1,Credit,84851858,79179,626 Main St,6229.24,2024-03-20,+1-409-149-5192,84851858,user1858@sample.org,84851858,John Johnson,active,2022-02-02
Australia,Branch 14,Loan,84824296,39663,186 Main St,3096.09,2024-06-25,+1-281-462-2290,84824296,user4296@test.net,84824296,Chris Davis,active,2020-10-30
Canada,Branch 8,Checking,21903940,38210,306 Broadway,3693.56,2024-04-05,+1-694-988-3326,21903940,user3940@sample.org,21903940,Emily Doe,inactive,2021-10-21
Australia,Branch 18,Savings,75066797,64068,913 Broadway,7699.62,2024-03-29,+1-471-425-9752,75066797,user6797@example.com,75066797,Emily Smith,active,2023-09-07
Germany,Branch 15,Loan,72233497,62429,947 Broadway,8111.24,2024-03-12,+1-455-616-1480,72233497,user3497@example.com,72233497,Emily Brown,active,2022-12-30
UK,Branch 10,Credit,56921541,23793,280 Broadway,4009.56,2024-11-23,+1-360-597-5156,56921541,user1541@sample.org,56921541,Jane Doe,active,2024-12-04
USA,Branch 16,Checking,18297455,33205,829 Maple Drive,9472.06,2024-07-24,+1-792-252-2435,18297455,user7455@example.com,18297455,Chris Doe,active,2023-06-02
UK,Branch 7,Credit,33858818,59799,433 Broadway,4070.56,2025-01-16,+1-998-362-5048,33858818,user8818@test.net,33858818,Chris Brown,inactive,2023-01-07
USA,Branch 14,Checking,82291090,58790,322 First Ave,7720.64,2025-02-21,+1-230-503-7317,82291090,user1090@sample.org,82291090,John Smith,inactive,2021-12-18
Germany,Branch 10,Checking,13478020,23901,347 Main St,4843.93,2024-07-26,+1-784-388-4295,13478020,user8020@test.net,13478020,Alex Doe,active,2020-04-18
USA,Branch 1,Credit,74245874,59646,297 Broadway,8976.35,2024-07-30,+1-783-937-6137,74245874,user5874@test.net,74245874,Emily Smith,active,2024-11-15
UK,Branch 9,Loan,16054840,95061,173 Maple Drive,9078.53,2024-08-31,+1-375-178-6207,16054840,user4840@example.com,16054840,Emily Smith,active,2021-02-04
USA,Branch 16,Loan,51517989,57020,234 Broadway,883.29,2025-02-22,+1-558-176-9392,51517989,user7989@test.net,51517989,John Johnson,active,2024-05-23
UK,Branch 12,Credit,08097734,51276,503 Broadway,9365.57,2024-05-23,+1-255-986-3091,08097734,user7734@sample.org,08097734,Emily Doe,inactive,2021-05-11
Australia,Branch 17,Savings,00591845,36427,374 First Ave,8257.09,2024-05-24,+1-781-742-7141,00591845,user1845@example.com,00591845,Emily Davis,inactive,2021-10-17
Germany,Branch 2,Checking,95987868,26792,735 Main St,7915.19,2024-07-30,+1-638-533-3317,95987868,user7868@sample.org,95987868,Alex Doe,inactive,2025-02-17
Germany,Branch 14,Checking,64441596,17171,754 Main St,2017.1,2024-05-10,+1-740-293-8987,64441596,user1596@sample.org,64441596,Alex Smith,active,2023-04-22
Canada,Branch 10,Credit,14717915,33512,985 Main St,8053.14,2024-08-13,+1-469-135-1873,14717915,user7915@sample.org,14717915,Jane Doe,inactive,2023-08-03
Australia,Branch 8,Savings,93267516,18683,242 Maple Drive,8502.83,2024-07-03,+1-629-410-2346,93267516,user7516@sample.org,93267516,Jane Brown,active,2025-01-11
Australia,Branch 4,Checking,07595997,61185,851 Main St,2898.61,2025-01-06,+1-667-812-9223,07595997,user5997@sample.org,07595997,Emily Smith,active,2021-12-24
UK,Branch 17,Credit,35393230,86617,930 First Ave,9523.08,2024-08-23,+1-821-943-1339,35393230,user3230@example.com,35393230,Katie Johnson,active,2020-10-14
Canada,Branch 2,Checking,21193035,98198,787 Main St,508.1,2024-07-21,+1-601-516-9403,21193035,user3035@test.net,21193035,Katie Brown,inactive,2024-09-17
UK,Branch 19,Credit,83288558,42543,539 First Ave,1507.59,2025-01-28,+1-981-144-3573,83288558,user8558@example.com,83288558,Emily Doe,active,2021-12-26
UK,Branch 2,Savings,87661218,44041,565 First Ave,5380.44,2024-03-27,+1-489-278-5353,87661218,user1218@example.com,87661218,Emily Brown,active,2020-05-21
Australia,Branch 8,Credit,52164270,54707,188 Maple Drive,5762.17,2024-08-29,+1-370-659-1745,52164270,user4270@sample.org,52164270,Katie Smith,active,2021-08-09
Canada,Branch 6,Savings,96561866,56515,208 Broadway,6455.05,2024-08-24,+1-446-642-7529,96561866,user1866@example.com,96561866,Alex Davis,inactive,2021-10-06
Australia,Branch 8,Savings,89236998,62157,557 First Ave,179.52,2024-10-11,+1-297-545-8534,89236998,user6998@test.net,89236998,Emily Johnson,active,2021-02-26
Canada,Branch 16,Credit,50834301,44224,605 Broadway,9604.06,2024-04-14,+1-793-585-1872,50834301,user4301@test.net,50834301,Alex Doe,inactive,2023-04-28
Germany,Branch 10,Savings,56984669,77707,228 First Ave,455.44,2024-11-11,+1-222-215-7899,56984669,user4669@example.com,56984669,Katie Davis,active,2023-02-04
USA,Branch 8,Credit,36611608,64502,639 First Ave,1439.19,2025-01-25,+1-830-115-7944,36611608,user1608@sample.org,36611608,Chris Davis,inactive,2022-08-03
Germany,Branch 8,Checking,76173298,72224,950 First Ave,150.01,2024-11-24,+1-745-428-6115,76173298,user3298@sample.org,76173298,Katie Smith,inactive,2020-07-05
USA,Branch 15,Savings,03589888,67640,992 First Ave,5672.92,2024-12-03,+1-896-651-7680,03589888,user9888@test.net,03589888,Alex Brown,inactive,2021-01-09
UK,Branch 2,Savings,87385666,27076,849 Broadway,9323.35,2024-08-09,+1-669-200-4053,87385666,user5666@sample.org,87385666,Emily Doe,active,2020-04-02
Canada,Branch 3,Savings,81426494,42388,814 Main St,6662.81,2024-09-11,+1-875-505-9055,81426494,user6494@test.net,81426494,Katie Doe,inactive,2022-12-20
Australia,Branch 11,Credit,10446195,77383,248 Main St,8228.35,2025-01-15,+1-778-271-9168,10446195,user6195@test.net,10446195,Emily Brown,active,2023-12-05
UK,Branch 16,Savings,84250255,65600,430 Main St,142.68,2024-06-05,+1-850-111-5650,84250255,user0255@sample.org,84250255,Jane Smith,inactive,2024-10-14
Germany,Branch 7,Loan,71210262,97295,772 Main St,5424.73,2024-04-29,+1-433-731-9114,71210262,user0262@example.com,71210262,Chris Johnson,inactive,2022-08-09
Australia,Branch 6,Checking,37575094,63103,500 First Ave,4601.03,2025-02-17,+1-303-507-3737,37575094,user5094@example.com,37575094,Jane Smith,inactive,2024-03-31
Canada,Branch 14,Credit,96644474,28496,158 Main St,4994.69,2024-05-16,+1-445-934-5636,96644474,user4474@test.net,96644474,Emily Davis,inactive,2020-04-06
Germany,Branch 5,Checking,41281848,58106,905 Broadway,731.41,2024-06-23,+1-659-977-4881,41281848,user1848@sample.org,41281848,Emily Davis,active,2021-01-15
Germany,Branch 13,Savings,68806338,47045,805 Main St,6847.51,2025-01-29,+1-271-141-2544,68806338,user6338@sample.org,68806338,Jane Doe,inactive,2020-07-19
Australia,Branch 10,Savings,08182597,56379,677 Maple Drive,5037.17,2024-07-15,+1-444-865-9687,08182597,user2597@test.net,08182597,Katie Smith,inactive,2023-05-31
Germany,Branch 1,Checking,83471910,94987,112 Broadway,7653.84,2024-12-27,+1-452-754-6963,83471910,user1910@example.com,83471910,Alex Johnson,inactive,2021-04-29
USA,Branch 14,Checking,71645622,30128,191 Main St,4858.05,2024-07-17,+1-353-397-3733,71645622,user5622@example.com,71645622,John Brown,inactive,2020-10-19
Australia,Branch 6,Loan,14476313,31549,673 Main St,1502.32,2024-05-12,+1-227-721-9330,14476313,user6313@sample.org,14476313,Katie Johnson,inactive,2021-06-03
