clientno,phone,Acc no,zip_code,location,Acc-NO:,residence,client name,balance,nation,Status,Acct code,recent activity,type,start date,Client code,e-mail
43373980,+1-914-468-2217,43373980,44355,Branch 3,43373980,625 Maple Drive,Chris Brown,634.64,Canada,inactive,43373980,2024-10-10,Credit,2022-06-04,43373980,user3980@test.net
48436622,+1-878-147-1496,48436622,27427,Branch 3,48436622,297 Main St,Chris Johnson,4594.82,Australia,active,48436622,2025-02-13,Credit,2020-07-31,48436622,user6622@example.com
92376302,+1-820-712-2773,92376302,36494,Branch 14,92376302,189 Main St,Katie Smith,7330.01,Australia,inactive,92376302,2025-01-23,Credit,2020-12-26,92376302,user6302@sample.org
73707708,+1-378-739-9635,73707708,54603,Branch 2,73707708,991 Broadway,Jane Davis,6071.25,Germany,active,73707708,2024-10-11,Loan,2021-12-06,73707708,user7708@sample.org
48196109,+1-386-844-5478,48196109,96321,Branch 20,48196109,474 First Ave,John Johnson,6731.99,Australia,active,48196109,2024-12-18,Savings,2022-08-21,48196109,user6109@sample.org
49511499,+1-735-542-2539,49511499,27929,Branch 14,49511499,845 Broadway,John Davis,820.68,USA,inactive,49511499,2025-02-07,Checking,2022-07-02,49511499,user1499@test.net
33996640,+1-423-800-2365,33996640,73674,Branch 6,33996640,421 Maple Drive,John Davis,9515.39,Australia,active,33996640,2024-12-19,Checking,2020-12-11,33996640,user6640@example.com
46985589,+1-299-100-4113,46985589,98487,Branch 20,46985589,581 First Ave,Emily Doe,8386.53,Germany,active,46985589,2024-10-24,Savings,2022-01-20,46985589,user5589@test.net
75495015,+1-534-632-1430,75495015,90404,Branch 8,75495015,427 Maple Drive,Katie Davis,8052.85,UK,active,75495015,2024-03-12,Loan,2022-07-03,75495015,user5015@sample.org
37091936,+1-665-576-2401,37091936,98331,Branch 19,37091936,912 First Ave,Katie Doe,8231.61,USA,inactive,37091936,2024-10-13,Savings,2023-06-15,37091936,user1936@sample.org
51051416,+1-258-704-2511,51051416,45089,Branch 11,51051416,419 Broadway,Alex Johnson,9327.78,UK,active,51051416,2024-08-07,Savings,2022-02-19,51051416,user1416@sample.org
32538609,+1-370-159-5157,32538609,41372,Branch 14,32538609,222 Broadway,Katie Brown,5447.1,UK,active,32538609,2024-04-24,Credit,2020-07-20,32538609,user8609@sample.org
87788722,+1-935-449-4761,87788722,47045,Branch 3,87788722,267 Main St,John Johnson,2010.82,Germany,active,87788722,2024-04-07,Loan,2020-12-24,87788722,user8722@example.com
63868633,+1-723-587-6897,63868633,14903,Branch 7,63868633,994 First Ave,Jane Brown,6171.67,UK,active,63868633,2024-11-25,Credit,2024-12-07,63868633,user8633@sample.org
61007276,+1-823-485-4699,61007276,69993,Branch 13,61007276,495 Main St,John Davis,7431.39,USA,active,61007276,2024-04-06,Savings,2022-04-11,61007276,user7276@example.com
24381439,+1-734-773-5957,24381439,19490,Branch 3,24381439,307 Maple Drive,Jane Smith,7381.79,Canada,active,24381439,2025-01-22,Savings,2020-07-25,24381439,user1439@example.com
41500201,+1-529-355-6336,41500201,63227,Branch 11,41500201,612 Broadway,Chris Smith,5219.28,USA,inactive,41500201,2025-02-11,Loan,2022-07-23,41500201,user0201@example.com
47858391,+1-943-382-7405,47858391,28585,Branch 4,47858391,324 Broadway,Katie Doe,693.9,Australia,active,47858391,2024-04-12,Loan,2024-08-19,47858391,user8391@sample.org
52962889,+1-759-216-7837,52962889,73604,Branch 1,52962889,777 Broadway,Katie Smith,3717.42,USA,active,52962889,2024-03-13,Credit,2024-09-07,52962889,user2889@test.net
25661173,+1-593-277-4148,25661173,62541,Branch 1,25661173,737 Main St,Jane Johnson,9208.46,Canada,active,25661173,2024-11-05,Savings,2025-01-14,25661173,user1173@sample.org
82581710,+1-939-795-1774,82581710,67146,Branch 7,82581710,825 First Ave,Katie Davis,5848.64,Australia,active,82581710,2025-02-08,Credit,2020-12-13,82581710,user1710@example.com
06647869,+1-209-295-8269,06647869,44001,Branch 16,06647869,540 Main St,Alex Doe,5387.94,Germany,inactive,06647869,2024-05-28,Loan,2023-01-02,06647869,user7869@sample.org
71176097,+1-438-500-4221,71176097,73022,Branch 9,71176097,975 First Ave,Alex Doe,2695.85,Australia,inactive,71176097,2024-12-23,Loan,2024-04-03,71176097,user6097@example.com
04074556,+1-676-898-6637,04074556,79273,Branch 19,04074556,495 Maple Drive,Katie Doe,3690.8,Canada,inactive,04074556,2025-01-18,Credit,2023-09-21,04074556,user4556@sample.org
26104846,+1-689-870-1586,26104846,50315,Branch 5,26104846,404 Main St,Katie Johnson,8954.51,Australia,inactive,26104846,2024-10-18,Checking,2020-05-10,26104846,user4846@example.com
84810632,+1-730-171-6426,84810632,78384,Branch 4,84810632,581 Broadway,John Doe,6667.97,USA,active,84810632,2024-11-18,Credit,2021-03-04,84810632,user0632@sample.org
58961937,+1-265-811-9816,58961937,66918,Branch 5,58961937,394 Main St,Emily Brown,7876.0,USA,inactive,58961937,2024-06-05,Savings,2022-05-02,58961937,user1937@sample.org
24287160,+1-926-112-8461,24287160,13689,Branch 1,24287160,876 Main St,Emily Doe,4548.91,UK,active,24287160,2024-06-08,Loan,2020-10-20,24287160,user7160@sample.org
98189490,+1-706-999-9861,98189490,93994,Branch 20,98189490,626 Maple Drive,Katie Smith,6306.17,UK,active,98189490,2024-08-02,Credit,2024-08-08,98189490,user9490@example.com
69895097,+1-431-319-7992,69895097,51335,Branch 14,69895097,739 Maple Drive,Emily Davis,2491.35,Germany,active,69895097,2024-12-04,Savings,2024-09-13,69895097,user5097@test.net
99782470,+1-739-289-7725,99782470,60317,Branch 20,99782470,204 Maple Drive,Alex Brown,7057.55,Germany,active,99782470,2024-08-30,Credit,2024-10-05,99782470,user2470@test.net
07478379,+1-265-397-5961,07478379,42891,Branch 17,07478379,719 Main St,Emily Smith,4281.74,Australia,inactive,07478379,2024-09-05,Credit,2025-01-15,07478379,user8379@test.net
21864554,+1-606-370-6822,21864554,25428,Branch 13,21864554,653 First Ave,Chris Smith,4431.03,Australia,active,21864554,2024-05-08,Savings,2021-09-24,21864554,user4554@sample.org
54087650,+1-573-558-6743,54087650,40075,Branch 2,54087650,670 Main St,Katie Doe,6496.73,USA,inactive,54087650,2024-08-31,Loan,2021-03-12,54087650,user7650@sample.org
58519296,+1-427-168-2009,58519296,20436,Branch 2,58519296,426 Broadway,Chris Davis,9363.44,UK,active,58519296,2025-01-27,Credit,2021-01-16,58519296,user9296@example.com
88951286,+1-244-239-7720,88951286,13057,Branch 16,88951286,601 Maple Drive,Alex Johnson,649.42,Germany,inactive,88951286,2024-10-25,Loan,2024-10-01,88951286,user1286@test.net
22713022,+1-638-672-8265,22713022,62538,Branch 15,22713022,813 Main St,John Smith,8249.18,Germany,inactive,22713022,2024-03-28,Loan,2023-02-20,22713022,user3022@example.com
81033344,+1-517-968-3992,81033344,62668,Branch 11,81033344,174 First Ave,John Smith,2930.91,Canada,active,81033344,2024-06-21,Credit,2023-11-28,81033344,user3344@test.net
74619421,+1-685-426-8282,74619421,61558,Branch 15,74619421,852 Broadway,Katie Doe,4444.76,Australia,active,74619421,2024-07-20,Credit,2021-10-30,74619421,user9421@test.net
03955519,+1-272-379-9575,03955519,15814,Branch 3,03955519,605 First Ave,John Smith,228.91,Germany,inactive,03955519,2024-06-21,Loan,2022-12-28,03955519,user5519@test.net
07443909,+1-809-164-3882,07443909,30116,Branch 12,07443909,819 Main St,Alex Smith,3017.45,USA,inactive,07443909,2024-08-01,Checking,2021-10-19,07443909,user3909@test.net
83852516,+1-581-458-3153,83852516,90336,Branch 12,83852516,576 Broadway,Jane Brown,5031.29,Canada,active,83852516,2024-12-28,Checking,2022-05-07,83852516,user2516@sample.org
48697129,+1-834-200-7642,48697129,75013,Branch 11,48697129,875 Maple Drive,John Johnson,571.2,UK,active,48697129,2024-04-26,Savings,2023-06-24,48697129,user7129@example.com
73657533,+1-553-307-9119,73657533,28813,Branch 13,73657533,184 Broadway,Alex Johnson,4916.05,Germany,active,73657533,2024-10-20,Credit,2022-12-02,73657533,user7533@example.com
41458919,+1-781-356-5515,41458919,90653,Branch 5,41458919,291 Main St,Katie Doe,9271.84,Germany,inactive,41458919,2024-04-18,Savings,2023-02-11,41458919,user8919@test.net
49649271,+1-662-357-1159,49649271,49806,Branch 7,49649271,411 Main St,Emily Brown,1062.88,Canada,inactive,49649271,2025-02-12,Loan,2022-02-13,49649271,user9271@sample.org
78422451,+1-267-782-6468,78422451,53718,Branch 19,78422451,919 Maple Drive,Katie Smith,7646.76,Canada,active,78422451,2024-04-04,Credit,2025-02-27,78422451,user2451@test.net
01653917,+1-764-762-7764,01653917,25422,Branch 10,01653917,961 Broadway,Katie Johnson,4102.61,Germany,active,01653917,2024-04-06,Checking,2020-11-16,01653917,user3917@test.net
60461794,+1-627-638-5629,60461794,36515,Branch 16,60461794,893 Broadway,John Smith,6555.19,Germany,active,60461794,2024-07-07,Credit,2021-05-16,60461794,user1794@example.com
39304038,+1-791-935-3813,39304038,56493,Branch 14,39304038,959 Broadway,Alex Johnson,2609.76,USA,inactive,39304038,2025-02-07,Savings,2022-07-23,39304038,user4038@sample.org
43451081,+1-655-921-3616,43451081,63825,Branch 10,43451081,298 Maple Drive,Jane Davis,1603.33,Germany,inactive,43451081,2025-01-24,Credit,2023-02-24,43451081,user1081@test.net
71229450,+1-569-362-6422,71229450,10839,Branch 14,71229450,276 Main St,Chris Brown,1613.02,Australia,active,71229450,2024-09-01,Checking,2020-08-08,71229450,user9450@example.com
00988153,+1-995-273-9679,00988153,88773,Branch 20,00988153,757 Maple Drive,Emily Johnson,714.21,Germany,inactive,00988153,2024-11-17,Loan,2023-08-06,00988153,user8153@test.net
86308845,+1-393-959-3441,86308845,87599,Branch 3,86308845,676 Main St,Katie Brown,1864.61,Canada,inactive,86308845,2025-01-24,Credit,2021-09-23,86308845,user8845@example.com
01532544,+1-480-129-3265,01532544,16829,Branch 10,01532544,918 Main St,Chris Davis,6645.55,Australia,inactive,01532544,2024-03-30,Credit,2024-07-16,01532544,user2544@test.net
72916608,+1-392-133-9543,72916608,19982,Branch 11,72916608,908 Main St,John Davis,8818.09,Germany,inactive,72916608,2024-08-28,Credit,2023-03-21,72916608,user6608@sample.org
74031482,+1-952-697-2196,74031482,96142,Branch 15,74031482,317 Main St,John Johnson,8143.12,Australia,active,74031482,2024-12-08,Savings,2020-04-24,74031482,user1482@test.net
41016711,+1-339-265-5621,41016711,44143,Branch 17,41016711,586 Broadway,Chris Johnson,6854.49,UK,inactive,41016711,2024-07-04,Savings,2023-10-15,41016711,user6711@example.com
54857705,+1-399-730-8209,54857705,78200,Branch 12,54857705,530 Maple Drive,Jane Brown,1113.21,Canada,active,54857705,2025-02-07,Loan,2021-09-25,54857705,user7705@test.net
23458636,+1-307-864-6127,23458636,11857,Branch 20,23458636,192 Maple Drive,John Johnson,2898.98,USA,active,23458636,2024-06-30,Savings,2021-09-07,23458636,user8636@example.com
56188999,+1-237-209-1781,56188999,62724,Branch 1,56188999,568 Main St,Katie Smith,3104.97,UK,active,56188999,2025-02-04,Savings,2024-04-21,56188999,user8999@example.com
64912906,+1-352-958-5044,64912906,82683,Branch 19,64912906,692 Maple Drive,Katie Davis,2507.07,USA,active,64912906,2024-08-14,Checking,2022-04-20,64912906,user2906@example.com
04449452,+1-785-405-2902,04449452,19401,Branch 11,04449452,703 Maple Drive,Alex Johnson,5154.91,USA,active,04449452,2025-01-07,Checking,2021-06-29,04449452,user9452@sample.org
46407086,+1-516-778-3136,46407086,17673,Branch 4,46407086,905 Maple Drive,Katie Brown,5360.18,Canada,active,46407086,2024-07-31,Checking,2022-01-29,46407086,user7086@test.net
03520551,+1-888-806-1919,03520551,66244,Branch 20,03520551,636 Main St,Alex Smith,3575.29,Australia,inactive,03520551,2024-07-13,Loan,2024-01-14,03520551,user0551@sample.org
26663307,+1-263-997-5958,26663307,92135,Branch 18,26663307,489 Broadway,Jane Brown,3544.35,USA,active,26663307,2025-01-24,Credit,2023-04-11,26663307,user3307@test.net
46841933,+1-241-224-8239,46841933,54396,Branch 1,46841933,510 Maple Drive,Jane Davis,8287.27,USA,inactive,46841933,2024-11-14,Loan,2020-05-29,46841933,user1933@example.com
88197990,+1-694-945-5263,88197990,87809,Branch 19,88197990,601 Main St,John Smith,7895.04,Germany,active,88197990,2024-08-02,Loan,2024-10-12,88197990,user7990@example.com
66404250,+1-838-749-2599,66404250,57770,Branch 11,66404250,875 First Ave,Jane Doe,3084.88,USA,active,66404250,2024-11-16,Checking,2020-06-06,66404250,user4250@test.net
78042281,+1-780-279-9346,78042281,99995,Branch 20,78042281,165 Maple Drive,Jane Smith,9138.75,Canada,active,78042281,2024-09-17,Loan,2024-05-15,78042281,user2281@sample.org
32710617,+1-407-243-5845,32710617,10166,Branch 20,32710617,914 Broadway,Alex Johnson,9528.62,Germany,inactive,32710617,2024-04-09,Loan,2023-10-08,32710617,user0617@sample.org
32870394,+1-779-478-2587,32870394,36739,Branch 2,32870394,516 First Ave,Chris Davis,3274.16,Canada,active,32870394,2024-10-15,Checking,2023-10-31,32870394,user0394@test.net
03155391,+1-314-106-7991,03155391,94093,Branch 12,03155391,694 Maple Drive,Emily Doe,3550.71,Australia,active,03155391,2024-06-24,Credit,2020-12-10,03155391,user5391@test.net
43766554,+1-916-957-8396,43766554,62332,Branch 13,43766554,142 Main St,Emily Brown,5061.29,Australia,active,43766554,2024-10-01,Checking,2024-08-09,43766554,user6554@sample.org
66646990,+1-231-799-3902,66646990,38499,Branch 1,66646990,555 Broadway,Chris Smith,9411.8,UK,inactive,66646990,2024-12-20,Credit,2022-09-18,66646990,user6990@sample.org
38316792,+1-503-737-2047,38316792,99414,Branch 7,38316792,265 Main St,Jane Davis,8764.43,Australia,active,38316792,2024-08-29,Savings,2024-09-30,38316792,user6792@test.net
58430433,+1-275-870-7784,58430433,29287,Branch 5,58430433,929 Broadway,Alex Johnson,1034.65,UK,active,58430433,2024-06-24,Loan,2020-12-16,58430433,user0433@example.com
39876115,+1-791-983-4657,39876115,66356,Branch 13,39876115,562 Main St,Alex Davis,3933.38,Canada,active,39876115,2024-12-23,Savings,2023-08-13,39876115,user6115@sample.org
