recent activity,acct status,client name,branch,acct type,E-mail,zip_code,contact,profile_identifier,clientno:,Address,record-id:,Client-NUMBER,country,Open Date,acct balance
2024-10-10,active,Emily Davis,Branch 19,Credit,user0653@example.com,84649,+1-991-622-2024,52550653,52550653,925 Main St,52550653,52550653,Canada,2023-01-21,9774.17
2025-02-04,active,Jane Smith,Branch 1,Loan,user1946@test.net,41516,+1-454-596-6892,16861946,16861946,665 Broadway,16861946,16861946,UK,2024-08-06,7397.66
2024-08-01,inactive,Jane Johnson,Branch 7,Loan,user4873@test.net,15272,+1-716-949-8750,69454873,69454873,807 First Ave,69454873,69454873,UK,2021-11-21,4520.98
2024-12-10,inactive,John Johnson,Branch 11,Credit,user0610@test.net,27257,+1-535-738-2874,25790610,25790610,340 Main St,25790610,25790610,USA,2024-10-02,643.04
2024-06-15,active,Alex Brown,Branch 10,Savings,user2334@test.net,62853,+1-519-560-1082,90512334,90512334,470 Broadway,90512334,90512334,USA,2024-05-10,1167.35
2024-07-24,inactive,Chris Brown,Branch 1,Loan,user7072@test.net,71623,+1-229-938-2222,60227072,60227072,350 Broadway,60227072,60227072,USA,2022-10-08,8130.87
2025-02-13,inactive,Emily Smith,Branch 14,Savings,user6560@example.com,66833,+1-911-879-8289,79006560,79006560,777 Main St,79006560,79006560,USA,2021-05-29,9455.04
2024-07-28,active,Jane Davis,Branch 7,Loan,user3561@sample.org,14858,+1-229-238-7086,46723561,46723561,938 Main St,46723561,46723561,USA,2021-09-14,323.19
2024-11-16,inactive,Chris Brown,Branch 2,Checking,user5712@test.net,34921,+1-983-193-8047,68865712,68865712,952 First Ave,68865712,68865712,USA,2022-10-13,9104.87
2024-11-26,active,Chris Brown,Branch 8,Savings,user4865@example.com,50944,+1-265-230-2849,14664865,14664865,489 Broadway,14664865,14664865,UK,2022-03-05,3811.83
2024-10-18,active,Alex Doe,Branch 18,Savings,user5724@example.com,64047,+1-426-156-3017,74275724,74275724,725 Main St,74275724,74275724,Canada,2021-10-13,2144.19
2024-11-17,inactive,John Doe,Branch 10,Loan,user0240@test.net,81164,+1-496-902-1179,51300240,51300240,296 First Ave,51300240,51300240,Germany,2024-05-09,1031.3
2024-07-17,active,Katie Doe,Branch 17,Checking,user3192@example.com,98500,+1-910-432-6037,11773192,11773192,240 Maple Drive,11773192,11773192,Canada,2021-01-18,7719.77
2024-03-30,inactive,Jane Johnson,Branch 2,Savings,user6973@test.net,79889,+1-479-415-4680,93506973,93506973,189 Broadway,93506973,93506973,UK,2023-07-27,4694.42
2024-08-28,active,Alex Doe,Branch 14,Credit,user1911@test.net,17659,+1-301-473-1470,03521911,03521911,478 Broadway,03521911,03521911,Canada,2020-05-25,8325.91
2024-04-27,active,Chris Smith,Branch 6,Loan,user9167@example.com,34178,+1-692-237-1070,82399167,82399167,541 Broadway,82399167,82399167,USA,2020-03-22,2269.31
2024-04-23,active,John Brown,Branch 10,Credit,user0964@example.com,27968,+1-265-152-6342,86640964,86640964,225 Broadway,86640964,86640964,Australia,2023-06-11,6788.89
2024-10-08,active,Alex Smith,Branch 16,Checking,user7548@example.com,65986,+1-558-682-2150,32387548,32387548,690 Maple Drive,32387548,32387548,USA,2020-06-05,1190.04
2024-03-27,active,Emily Smith,Branch 11,Loan,user3141@example.com,58059,+1-855-629-6805,45423141,45423141,991 Maple Drive,45423141,45423141,USA,2024-03-11,906.61
2024-03-19,inactive,Emily Johnson,Branch 2,Credit,user4031@sample.org,47363,+1-561-614-5723,46144031,46144031,314 Main St,46144031,46144031,Canada,2023-12-14,1342.66
2024-07-30,active,Chris Johnson,Branch 20,Loan,user0982@test.net,91462,+1-426-363-2869,84620982,84620982,847 Main St,84620982,84620982,USA,2020-11-22,8090.92
2024-09-07,inactive,Chris Doe,Branch 5,Credit,user2489@sample.org,63079,+1-914-383-1644,17192489,17192489,158 Broadway,17192489,17192489,Australia,2021-06-27,6559.64
2024-07-11,active,John Doe,Branch 2,Savings,user6818@sample.org,49064,+1-417-217-5701,49336818,49336818,149 Maple Drive,49336818,49336818,Germany,2022-09-11,1667.98
2024-11-18,inactive,Jane Doe,Branch 20,Checking,user1710@test.net,83657,+1-464-261-9340,70521710,70521710,606 Main St,70521710,70521710,USA,2020-05-31,3853.87
2024-05-26,inactive,Chris Brown,Branch 15,Checking,user9405@sample.org,82440,+1-899-661-7643,03479405,03479405,686 Maple Drive,03479405,03479405,UK,2024-01-03,7639.22
2024-05-08,active,John Doe,Branch 18,Loan,user5024@test.net,96633,+1-321-881-2813,57785024,57785024,401 Broadway,57785024,57785024,Australia,2020-10-11,2863.89
2025-01-06,active,Alex Davis,Branch 19,Savings,user6692@example.com,90692,+1-726-911-3738,94086692,94086692,526 Main St,94086692,94086692,Australia,2020-11-11,9213.42
2024-05-13,active,Jane Davis,Branch 1,Savings,user4506@sample.org,57718,+1-996-156-3453,80244506,80244506,626 Main St,80244506,80244506,USA,2021-02-10,9146.88
2024-06-02,active,John Smith,Branch 3,Loan,user2317@example.com,13556,+1-852-746-3163,85842317,85842317,338 First Ave,85842317,85842317,Australia,2022-06-18,5533.48
2024-06-06,inactive,Jane Davis,Branch 14,Savings,user9162@test.net,17797,+1-662-467-5947,29819162,29819162,981 Broadway,29819162,29819162,Canada,2020-09-17,6323.42
2024-05-25,inactive,Jane Smith,Branch 11,Credit,user8390@test.net,75834,+1-925-166-7043,56898390,56898390,731 Maple Drive,56898390,56898390,Canada,2024-08-18,6535.65
2025-02-17,active,Alex Doe,Branch 1,Savings,user8038@test.net,58779,+1-752-312-6262,91648038,91648038,346 First Ave,91648038,91648038,USA,2023-05-17,2592.1
2024-08-11,inactive,Katie Smith,Branch 20,Checking,user4613@example.com,27870,+1-481-407-9635,07224613,07224613,812 Broadway,07224613,07224613,USA,2023-11-23,3659.56
2025-02-24,inactive,Jane Doe,Branch 6,Credit,user6433@test.net,19493,+1-761-614-2725,18936433,18936433,734 Main St,18936433,18936433,Canada,2023-11-23,1368.05
2024-11-18,active,Jane Smith,Branch 10,Savings,user8793@example.com,77131,+1-653-927-1693,71908793,71908793,217 Main St,71908793,71908793,UK,2023-03-08,9249.46
2024-03-10,active,Alex Smith,Branch 6,Savings,user9492@sample.org,53903,+1-343-695-6808,22329492,22329492,832 First Ave,22329492,22329492,Australia,2021-10-26,7241.26
2024-04-01,active,John Johnson,Branch 16,Savings,user9590@example.com,45059,+1-566-601-3806,92529590,92529590,708 Broadway,92529590,92529590,Canada,2022-12-11,473.1
2024-11-03,active,Katie Doe,Branch 13,Loan,user1272@example.com,61052,+1-750-201-8979,76861272,76861272,347 Broadway,76861272,76861272,UK,2023-07-09,5498.38
2024-07-23,inactive,Alex Doe,Branch 9,Checking,user3072@test.net,34497,+1-844-672-6076,46793072,46793072,395 Maple Drive,46793072,46793072,UK,2024-03-29,3437.31
2024-10-13,active,Katie Doe,Branch 7,Checking,user5310@sample.org,55688,+1-645-853-2390,53705310,53705310,983 Maple Drive,53705310,53705310,Canada,2020-04-23,8154.73
2024-08-29,active,Alex Smith,Branch 4,Loan,user6574@example.com,96999,+1-682-673-3092,67616574,67616574,599 Broadway,67616574,67616574,Germany,2022-10-16,3444.56
2024-03-31,inactive,John Smith,Branch 2,Checking,user7133@test.net,18663,+1-705-724-3252,61587133,61587133,572 First Ave,61587133,61587133,USA,2024-02-15,6445.06
2025-02-11,active,Chris Davis,Branch 20,Loan,user0203@example.com,61017,+1-488-737-9469,46430203,46430203,215 First Ave,46430203,46430203,Australia,2021-07-28,1665.75
2024-09-27,inactive,Alex Davis,Branch 17,Loan,user2881@test.net,43385,+1-235-479-7629,23782881,23782881,971 Main St,23782881,23782881,Germany,2021-01-03,5591.97
2024-04-22,active,Katie Smith,Branch 15,Checking,user6303@test.net,27619,+1-975-971-5638,55536303,55536303,552 Broadway,55536303,55536303,Canada,2022-12-30,2945.92
2024-11-04,active,Alex Brown,Branch 17,Loan,user7015@test.net,26391,+1-629-341-3241,53487015,53487015,483 First Ave,53487015,53487015,USA,2021-06-23,1657.24
2024-07-31,inactive,Alex Brown,Branch 17,Loan,user3230@sample.org,35064,+1-712-260-6667,90773230,90773230,572 Maple Drive,90773230,90773230,USA,2021-03-27,6196.4
2024-03-27,inactive,Jane Smith,Branch 2,Credit,user1213@test.net,63931,+1-534-277-7627,66851213,66851213,328 Broadway,66851213,66851213,UK,2022-08-14,6390.03
2024-08-04,active,Katie Johnson,Branch 15,Savings,user3919@example.com,89943,+1-248-657-4111,59403919,59403919,554 First Ave,59403919,59403919,Canada,2024-04-16,9833.7
2024-09-10,active,John Doe,Branch 15,Checking,user7205@sample.org,95522,+1-370-774-3270,93937205,93937205,920 First Ave,93937205,93937205,USA,2021-01-29,6694.37
2024-03-15,inactive,Chris Doe,Branch 10,Savings,user2707@example.com,17523,+1-950-707-1487,03042707,03042707,589 Broadway,03042707,03042707,Canada,2020-03-22,5161.94
2024-11-27,inactive,Chris Brown,Branch 9,Savings,user4467@test.net,24168,+1-212-309-3701,65444467,65444467,310 First Ave,65444467,65444467,USA,2024-10-04,9127.08
2024-12-12,inactive,Emily Davis,Branch 7,Savings,user4097@test.net,92014,+1-250-344-2871,52424097,52424097,660 First Ave,52424097,52424097,USA,2022-07-16,8284.53
2024-10-07,active,Emily Davis,Branch 6,Loan,user2499@example.com,84354,+1-959-789-9650,35412499,35412499,440 Broadway,35412499,35412499,UK,2020-06-15,5491.98
2024-11-10,inactive,Emily Doe,Branch 12,Checking,user8719@test.net,27327,+1-842-578-4167,01688719,01688719,582 Broadway,01688719,01688719,UK,2022-02-04,5118.38
2025-02-19,active,Alex Johnson,Branch 8,Credit,user4604@sample.org,31642,+1-413-195-5040,68714604,68714604,264 Broadway,68714604,68714604,Germany,2025-02-26,9420.27
2025-02-07,active,Jane Doe,Branch 4,Loan,user6226@sample.org,34991,+1-613-755-2421,80366226,80366226,999 First Ave,80366226,80366226,USA,2021-05-26,6175.1
2024-09-06,inactive,Alex Smith,Branch 15,Checking,user2346@sample.org,90610,+1-766-809-1899,21212346,21212346,901 Main St,21212346,21212346,Australia,2023-05-30,7140.65
2025-02-17,inactive,Katie Smith,Branch 6,Credit,user1018@sample.org,18036,+1-409-698-5172,03791018,03791018,347 Broadway,03791018,03791018,USA,2022-06-22,875.92
2024-09-19,active,Chris Doe,Branch 15,Loan,user1184@example.com,16115,+1-972-325-5659,80201184,80201184,622 Maple Drive,80201184,80201184,Australia,2022-05-30,7185.87
2024-05-25,inactive,Alex Johnson,Branch 19,Checking,user1467@example.com,48293,+1-806-753-1872,23721467,23721467,375 Main St,23721467,23721467,UK,2024-10-19,2654.17
2024-11-08,active,Emily Davis,Branch 9,Credit,user1593@test.net,69866,+1-915-367-3329,12731593,12731593,540 Maple Drive,12731593,12731593,Canada,2024-02-04,1164.22
2024-07-02,inactive,Katie Doe,Branch 3,Savings,user7824@sample.org,98162,+1-923-778-5959,90147824,90147824,287 First Ave,90147824,90147824,Australia,2022-04-27,8498.16
2025-03-03,inactive,Katie Doe,Branch 19,Loan,user0837@example.com,42585,+1-229-581-8978,50400837,50400837,811 Broadway,50400837,50400837,USA,2020-12-18,6915.0
