phone,Record id,account open,Account Type,address,current balance,Name,profileID,acct-identifier:,activity date,nation,Bank-identification,location,acct status,E-mail,postal code,accidentifier
+1-764-433-2920,94062349,2023-03-25,Loan,541 Maple Drive,5275.14,John Smith,94062349,94062349,2024-09-22,UK,94062349,Branch 18,active,user2349@example.com,42846,94062349
+1-427-328-2727,04870023,2023-07-30,Checking,295 First Ave,4266.57,Chris Smith,04870023,04870023,2024-11-04,USA,04870023,Branch 8,inactive,user0023@example.com,88689,04870023
+1-279-932-8698,63821078,2020-08-05,Checking,783 First Ave,1315.8,Alex Smith,63821078,63821078,2024-11-27,Canada,63821078,Branch 16,inactive,user1078@sample.org,62092,63821078
+1-721-524-1925,32596242,2022-12-31,Loan,991 Main St,8867.18,Katie Brown,32596242,32596242,2024-05-29,UK,32596242,Branch 3,active,user6242@sample.org,29917,32596242
+1-549-548-8357,12277938,2022-03-09,Loan,415 Maple Drive,4503.35,Alex Brown,12277938,12277938,2025-02-07,Canada,12277938,Branch 2,inactive,user7938@example.com,41419,12277938
+1-615-962-8410,74637428,2021-02-01,Savings,693 Maple Drive,1954.28,Chris Johnson,74637428,74637428,2024-04-01,Canada,74637428,Branch 11,active,user7428@sample.org,83551,74637428
+1-705-173-3237,28739101,2024-09-03,Credit,468 Maple Drive,3683.92,Jane Smith,28739101,28739101,2025-02-22,Germany,28739101,Branch 7,inactive,user9101@test.net,40192,28739101
+1-921-901-3208,38524560,2024-03-31,Loan,202 Maple Drive,4147.16,Emily Doe,38524560,38524560,2024-06-22,Germany,38524560,Branch 19,active,user4560@sample.org,76299,38524560
+1-981-134-4730,43114796,2023-07-21,Credit,948 Maple Drive,8277.1,John Davis,43114796,43114796,2024-10-19,Canada,43114796,Branch 5,inactive,user4796@test.net,46924,43114796
+1-260-259-9694,57931732,2023-01-09,Savings,769 Broadway,7338.81,Katie Davis,57931732,57931732,2025-01-21,UK,57931732,Branch 12,active,user1732@example.com,48756,57931732
+1-654-427-8173,89500252,2021-07-11,Checking,194 Broadway,7695.36,Emily Brown,89500252,89500252,2024-03-20,UK,89500252,Branch 19,inactive,user0252@example.com,16196,89500252
+1-476-134-6857,40205011,2023-01-14,Savings,251 First Ave,120.2,John Brown,40205011,40205011,2024-09-26,UK,40205011,Branch 2,active,user5011@example.com,99020,40205011
+1-715-739-4042,53826372,2023-01-04,Savings,161 Maple Drive,4167.38,Chris Davis,53826372,53826372,2025-02-28,USA,53826372,Branch 14,active,user6372@example.com,40404,53826372
+1-443-795-1211,98321201,2021-02-20,Savings,276 Maple Drive,4818.63,John Brown,98321201,98321201,2024-05-04,Australia,98321201,Branch 16,active,user1201@test.net,73154,98321201
+1-414-527-1212,41251322,2020-03-19,Checking,649 First Ave,201.73,Alex Davis,41251322,41251322,2024-08-20,USA,41251322,Branch 15,active,user1322@test.net,94195,41251322
+1-587-548-9008,40551113,2024-03-10,Loan,495 First Ave,2605.53,Emily Doe,40551113,40551113,2025-03-08,USA,40551113,Branch 4,active,user1113@example.com,61509,40551113
+1-742-593-2814,36866019,2020-08-09,Checking,740 Broadway,7605.3,Jane Brown,36866019,36866019,2025-03-04,USA,36866019,Branch 18,active,user6019@example.com,56501,36866019
+1-808-992-3781,00839288,2022-01-11,Checking,405 Maple Drive,1379.73,Jane Johnson,00839288,00839288,2024-09-05,Australia,00839288,Branch 11,active,user9288@sample.org,43671,00839288
+1-472-877-8735,25325348,2020-11-13,Credit,495 Main St,5357.75,John Smith,25325348,25325348,2024-03-26,Canada,25325348,Branch 7,active,user5348@example.com,37588,25325348
+1-878-279-7193,46669045,2021-09-28,Checking,801 Broadway,2159.87,John Johnson,46669045,46669045,2025-02-12,Germany,46669045,Branch 13,active,user9045@test.net,88135,46669045
+1-531-449-8624,01902477,2023-06-26,Credit,315 Main St,131.09,Chris Johnson,01902477,01902477,2024-06-12,Germany,01902477,Branch 1,active,user2477@test.net,86550,01902477
+1-265-293-7633,49748393,2022-10-23,Savings,690 Broadway,2419.6,Emily Davis,49748393,49748393,2024-09-27,UK,49748393,Branch 4,inactive,user8393@sample.org,87577,49748393
+1-488-690-7786,32602913,2022-09-01,Credit,971 First Ave,9758.98,Katie Brown,32602913,32602913,2024-04-12,USA,32602913,Branch 16,inactive,user2913@sample.org,44867,32602913
+1-688-364-6955,82371916,2022-12-23,Checking,657 Maple Drive,8017.36,Emily Smith,82371916,82371916,2024-07-09,Canada,82371916,Branch 10,inactive,user1916@sample.org,30232,82371916
+1-297-811-6065,53206712,2022-07-06,Checking,281 First Ave,9596.17,Jane Brown,53206712,53206712,2024-07-19,Canada,53206712,Branch 8,inactive,user6712@sample.org,83681,53206712
+1-523-334-8415,68269363,2021-09-11,Credit,504 Maple Drive,4883.66,Alex Brown,68269363,68269363,2024-03-25,USA,68269363,Branch 1,active,user9363@test.net,56709,68269363
+1-564-883-3911,70030170,2023-05-31,Savings,996 Broadway,1106.26,Katie Doe,70030170,70030170,2025-03-04,UK,70030170,Branch 9,inactive,user0170@example.com,78753,70030170
+1-563-554-5922,47397284,2020-09-09,Loan,502 Broadway,5484.12,Chris Smith,47397284,47397284,2025-01-23,USA,47397284,Branch 2,active,user7284@test.net,12511,47397284
+1-504-794-9490,19942972,2021-07-27,Savings,179 Maple Drive,4549.23,Chris Doe,19942972,19942972,2024-11-06,Australia,19942972,Branch 6,active,user2972@sample.org,35044,19942972
+1-744-249-6294,16852124,2022-06-08,Checking,307 Broadway,8445.13,Chris Smith,16852124,16852124,2024-07-03,Australia,16852124,Branch 12,active,user2124@test.net,39460,16852124
+1-342-837-7869,34110279,2024-04-05,Loan,116 First Ave,989.84,Jane Brown,34110279,34110279,2024-04-26,Australia,34110279,Branch 13,inactive,user0279@sample.org,13447,34110279
+1-870-963-1795,52413129,2020-08-31,Credit,496 Main St,4887.53,Chris Davis,52413129,52413129,2024-05-18,USA,52413129,Branch 2,active,user3129@sample.org,78516,52413129
+1-924-215-9529,58587936,2022-06-25,Loan,205 Maple Drive,1508.99,Katie Davis,58587936,58587936,2024-05-28,UK,58587936,Branch 2,inactive,user7936@example.com,63855,58587936
+1-574-206-2687,93760753,2024-12-30,Loan,261 Maple Drive,3253.51,Chris Johnson,93760753,93760753,2025-02-17,Germany,93760753,Branch 10,inactive,user0753@sample.org,93960,93760753
+1-314-422-8090,86222325,2022-03-01,Credit,255 Main St,7376.2,Katie Doe,86222325,86222325,2024-04-07,UK,86222325,Branch 4,active,user2325@test.net,43378,86222325
+1-687-355-4804,00331885,2022-08-30,Checking,341 Broadway,4765.42,Alex Davis,00331885,00331885,2025-03-09,Canada,00331885,Branch 7,inactive,user1885@example.com,22586,00331885
+1-756-985-6641,43287544,2022-07-06,Loan,817 Maple Drive,3765.12,Katie Davis,43287544,43287544,2024-10-17,Canada,43287544,Branch 4,inactive,user7544@test.net,47680,43287544
+1-276-427-8535,67163976,2024-11-23,Loan,419 Main St,3950.82,John Davis,67163976,67163976,2024-09-22,Canada,67163976,Branch 14,inactive,user3976@test.net,82957,67163976
+1-638-393-7888,74163015,2022-02-18,Credit,627 First Ave,4599.87,Emily Smith,74163015,74163015,2024-10-20,USA,74163015,Branch 13,inactive,user3015@example.com,63931,74163015
+1-706-137-7033,07304784,2020-12-17,Savings,901 Maple Drive,7852.32,Katie Davis,07304784,07304784,2024-10-18,Australia,07304784,Branch 16,active,user4784@test.net,95899,07304784
+1-261-776-7778,28024227,2023-01-15,Checking,388 Main St,8921.93,Alex Smith,28024227,28024227,2024-10-03,USA,28024227,Branch 15,inactive,user4227@test.net,42216,28024227
+1-968-986-9717,51608331,2021-02-15,Savings,746 Main St,9553.79,Katie Johnson,51608331,51608331,2024-08-22,UK,51608331,Branch 12,active,user8331@sample.org,26782,51608331
+1-209-723-9922,36776215,2020-12-10,Loan,543 Broadway,7871.16,Katie Davis,36776215,36776215,2024-08-03,Australia,36776215,Branch 5,active,user6215@example.com,87435,36776215
+1-407-616-4432,36599648,2024-02-19,Checking,360 Broadway,3160.91,Alex Johnson,36599648,36599648,2025-02-08,Germany,36599648,Branch 16,inactive,user9648@example.com,95046,36599648
+1-269-980-4659,55371386,2024-09-14,Loan,979 Main St,6884.47,Jane Brown,55371386,55371386,2024-03-12,UK,55371386,Branch 1,inactive,user1386@example.com,16135,55371386
+1-465-544-6302,04553029,2024-05-26,Loan,334 Main St,4381.66,Katie Doe,04553029,04553029,2024-08-23,UK,04553029,Branch 15,inactive,user3029@test.net,77546,04553029
+1-919-161-3907,22638361,2022-05-12,Savings,162 Main St,2554.16,John Johnson,22638361,22638361,2024-07-07,UK,22638361,Branch 4,inactive,user8361@test.net,51854,22638361
+1-977-596-6243,92541199,2020-10-19,Loan,497 Maple Drive,8410.31,Jane Brown,92541199,92541199,2025-01-29,USA,92541199,Branch 5,inactive,user1199@sample.org,12667,92541199
+1-721-538-1845,53601964,2024-11-24,Credit,340 Maple Drive,393.88,Emily Doe,53601964,53601964,2024-06-09,Canada,53601964,Branch 15,active,user1964@test.net,53607,53601964
+1-454-740-5902,58857855,2023-05-17,Checking,541 Broadway,9018.6,John Davis,58857855,58857855,2024-07-30,Germany,58857855,Branch 19,inactive,user7855@sample.org,17500,58857855
+1-964-863-6637,55869704,2023-11-13,Credit,869 Broadway,4620.16,Alex Johnson,55869704,55869704,2024-05-29,Germany,55869704,Branch 15,inactive,user9704@sample.org,45701,55869704
+1-585-307-4949,23407389,2022-01-11,Savings,636 First Ave,6375.64,Chris Brown,23407389,23407389,2025-01-25,Canada,23407389,Branch 4,inactive,user7389@example.com,97958,23407389
+1-411-896-9855,13502291,2023-11-15,Checking,471 First Ave,6596.95,Emily Smith,13502291,13502291,2025-02-06,UK,13502291,Branch 15,active,user2291@test.net,76998,13502291
+1-791-254-5001,25704216,2021-09-12,Credit,413 Main St,8952.23,Emily Smith,25704216,25704216,2024-05-07,Germany,25704216,Branch 14,inactive,user4216@example.com,74956,25704216
+1-507-738-6891,55446056,2024-02-29,Checking,397 Main St,6370.33,Emily Davis,55446056,55446056,2025-02-27,Canada,55446056,Branch 7,inactive,user6056@example.com,96611,55446056
+1-341-385-6259,23411434,2023-05-09,Loan,646 First Ave,6143.2,Alex Johnson,23411434,23411434,2024-10-06,Canada,23411434,Branch 11,inactive,user1434@example.com,23868,23411434
+1-662-154-6554,63437163,2023-12-05,Loan,564 Maple Drive,675.85,Chris Smith,63437163,63437163,2024-12-24,USA,63437163,Branch 1,inactive,user7163@example.com,53854,63437163
+1-278-424-6525,07887274,2024-10-04,Credit,255 Broadway,5188.9,Alex Johnson,07887274,07887274,2024-07-30,Canada,07887274,Branch 14,active,user7274@example.com,86618,07887274
+1-939-581-9691,07357363,2020-04-28,Checking,688 First Ave,1510.19,John Smith,07357363,07357363,2024-07-01,Germany,07357363,Branch 10,active,user7363@sample.org,13634,07357363
+1-853-236-7593,73623415,2025-03-06,Checking,177 Main St,7376.96,John Johnson,73623415,73623415,2024-08-28,Germany,73623415,Branch 6,active,user3415@sample.org,51281,73623415
+1-396-648-9911,70290886,2024-12-30,Checking,749 Main St,5127.1,John Brown,70290886,70290886,2024-07-02,USA,70290886,Branch 15,inactive,user0886@example.com,25455,70290886
+1-207-943-4318,73641039,2020-12-04,Savings,623 First Ave,6805.48,Alex Brown,73641039,73641039,2025-03-04,UK,73641039,Branch 6,inactive,user1039@test.net,83019,73641039
+1-370-375-3381,98709504,2023-05-07,Checking,639 Maple Drive,426.31,John Doe,98709504,98709504,2024-06-03,Canada,98709504,Branch 19,active,user9504@test.net,26417,98709504
+1-675-190-7185,68233269,2021-11-25,Credit,181 Main St,857.07,Jane Smith,68233269,68233269,2024-11-21,USA,68233269,Branch 20,inactive,user3269@test.net,37709,68233269
+1-312-781-9607,31024852,2023-05-05,Checking,491 Maple Drive,7166.07,John Brown,31024852,31024852,2024-10-18,Germany,31024852,Branch 1,inactive,user4852@sample.org,71161,31024852
+1-965-787-7384,02667669,2024-12-27,Credit,865 Main St,730.12,Alex Smith,02667669,02667669,2024-04-16,Germany,02667669,Branch 10,inactive,user7669@test.net,73992,02667669
+1-991-264-9376,02336612,2021-09-01,Checking,857 Main St,721.85,Emily Davis,02336612,02336612,2024-11-03,UK,02336612,Branch 7,inactive,user6612@test.net,32334,02336612
+1-847-486-8580,77169340,2023-06-12,Loan,287 Maple Drive,130.96,Emily Doe,77169340,77169340,2024-12-16,Canada,77169340,Branch 17,active,user9340@example.com,23732,77169340
