account_type,account status,Branch,client name,postal code,Open Date,country,account num,e-mail,Last Activity,mobile,ledgernum:,Balance,address
Loan,inactive,Branch 13,Chris Brown,45863,2023-05-29,UK,22605648,user5648@sample.org,2025-02-26,+1-737-961-1329,22605648,4655.37,271 First Ave
Savings,inactive,Branch 13,Katie Johnson,74953,2021-01-13,UK,27571038,user1038@example.com,2024-03-15,+1-259-151-8662,27571038,2963.19,603 Broadway
Loan,inactive,Branch 9,Chris Smith,85887,2021-08-02,Canada,18176711,user6711@test.net,2024-10-04,+1-515-317-2515,18176711,7750.85,980 First Ave
Checking,inactive,Branch 10,Katie Doe,70166,2021-09-15,Germany,28292672,user2672@example.com,2024-04-29,+1-449-961-3055,28292672,8545.66,417 Main St
Loan,inactive,Branch 2,John Brown,27953,2022-07-19,UK,88379689,user9689@example.com,2024-12-14,+1-421-627-7525,88379689,4210.09,401 Maple Drive
Loan,active,Branch 10,John Doe,79634,2021-11-20,UK,07185166,user5166@sample.org,2024-08-24,+1-556-451-6879,07185166,6681.41,774 Broadway
Savings,inactive,Branch 19,Katie Davis,97702,2020-03-25,Australia,53014393,user4393@sample.org,2024-06-06,+1-216-497-6911,53014393,597.46,665 Broadway
Credit,inactive,Branch 20,Chris Brown,69694,2024-08-01,UK,01083372,user3372@sample.org,2024-09-19,+1-923-658-3996,01083372,5299.35,393 First Ave
Credit,active,Branch 2,Chris Smith,12902,2024-03-27,Canada,25480853,user0853@test.net,2024-10-19,+1-936-354-3694,25480853,459.36,206 Maple Drive
Loan,active,Branch 1,Jane Doe,55794,2023-06-04,Germany,60953564,user3564@test.net,2024-05-27,+1-528-609-5833,60953564,301.62,307 Maple Drive
Credit,inactive,Branch 14,John Johnson,38520,2023-08-05,Germany,29879457,user9457@sample.org,2024-07-23,+1-527-402-3752,29879457,6133.12,254 Maple Drive
Savings,inactive,Branch 3,Emily Doe,47635,2020-05-23,USA,75292690,user2690@test.net,2024-09-06,+1-951-592-3974,75292690,3040.32,428 First Ave
Savings,active,Branch 13,Emily Brown,65565,2022-01-14,Australia,04303744,user3744@example.com,2024-05-19,+1-433-953-6419,04303744,7427.95,711 First Ave
Savings,inactive,Branch 19,Katie Davis,97239,2023-01-24,Canada,46839042,user9042@example.com,2024-08-18,+1-551-869-5920,46839042,8961.86,251 Maple Drive
Credit,inactive,Branch 18,Emily Brown,71338,2020-09-16,USA,97057269,user7269@sample.org,2024-05-31,+1-949-904-1197,97057269,1402.52,327 Main St
Credit,active,Branch 13,John Doe,35922,2024-12-12,UK,25200504,user0504@test.net,2024-05-31,+1-792-390-2050,25200504,7247.98,976 Broadway
Checking,active,Branch 15,John Davis,56565,2021-01-01,UK,74278741,user8741@example.com,2024-05-31,+1-619-812-3459,74278741,5150.05,896 Maple Drive
Checking,active,Branch 18,Katie Johnson,44662,2023-07-20,USA,33231468,user1468@sample.org,2024-10-03,+1-454-485-5753,33231468,1130.07,640 Broadway
Credit,inactive,Branch 15,Chris Doe,94822,2024-09-15,UK,21671979,user1979@test.net,2024-09-06,+1-882-236-4754,21671979,6519.41,740 Broadway
Credit,active,Branch 11,Katie Johnson,87003,2020-08-26,Australia,98161041,user1041@example.com,2025-02-18,+1-267-170-7913,98161041,6098.57,377 Main St
Savings,active,Branch 15,Jane Davis,81949,2024-07-17,USA,66674722,user4722@sample.org,2024-12-21,+1-549-857-7836,66674722,5161.26,177 Main St
Checking,active,Branch 17,Emily Doe,23764,2023-09-30,UK,19737993,user7993@sample.org,2024-07-17,+1-232-495-6168,19737993,9265.45,880 First Ave
Loan,active,Branch 11,Chris Doe,72926,2022-05-25,UK,45762756,user2756@test.net,2025-01-23,+1-409-286-5067,45762756,5215.59,852 Maple Drive
Credit,active,Branch 17,Emily Smith,98209,2023-12-07,Germany,35392807,user2807@example.com,2024-12-23,+1-663-155-7658,35392807,9905.25,323 Broadway
Savings,inactive,Branch 19,Chris Davis,63055,2023-11-22,Canada,46529533,user9533@test.net,2024-04-04,+1-435-754-1479,46529533,5097.2,357 First Ave
Loan,inactive,Branch 3,Alex Doe,33990,2022-05-24,USA,09897471,user7471@test.net,2024-10-29,+1-334-223-3028,09897471,1167.36,914 Main St
Savings,active,Branch 14,Chris Brown,64065,2020-07-03,Germany,24759502,user9502@example.com,2024-10-28,+1-982-169-1056,24759502,4710.01,616 First Ave
Checking,active,Branch 20,Jane Brown,15619,2023-04-18,Canada,03665123,user5123@example.com,2025-03-05,+1-780-539-6245,03665123,1831.46,587 First Ave
Savings,inactive,Branch 9,Chris Brown,76570,2022-12-21,Canada,38429288,user9288@test.net,2024-04-05,+1-234-154-7011,38429288,5975.36,647 Broadway
Loan,inactive,Branch 16,Emily Johnson,19750,2021-03-24,Germany,49094940,user4940@test.net,2025-01-01,+1-959-635-6330,49094940,6934.39,169 First Ave
Loan,inactive,Branch 5,Jane Johnson,77243,2024-10-22,USA,06699969,user9969@test.net,2024-09-04,+1-990-615-9263,06699969,4689.67,718 Main St
Credit,active,Branch 6,Chris Brown,87751,2022-12-07,Australia,63089760,user9760@example.com,2024-08-27,+1-456-617-8598,63089760,986.05,244 Main St
Checking,active,Branch 18,Katie Brown,64280,2023-02-28,USA,23871271,user1271@sample.org,2024-11-14,+1-831-700-7706,23871271,4691.73,932 First Ave
Checking,inactive,Branch 20,Chris Smith,48319,2020-09-23,Canada,31915399,user5399@test.net,2024-08-30,+1-203-265-6599,31915399,823.73,689 First Ave
Credit,inactive,Branch 14,Chris Johnson,64813,2022-10-11,Canada,61851261,user1261@example.com,2024-10-23,+1-466-445-8489,61851261,6824.44,542 First Ave
Savings,inactive,Branch 11,Katie Smith,91005,2024-02-26,Canada,47069959,user9959@test.net,2024-12-31,+1-401-559-1557,47069959,7905.78,536 Main St
Loan,active,Branch 9,Jane Johnson,38403,2023-02-04,Germany,05672843,user2843@sample.org,2024-10-08,+1-323-573-9093,05672843,9624.18,340 First Ave
Savings,inactive,Branch 6,Katie Doe,69127,2022-11-19,Australia,32586070,user6070@example.com,2024-09-24,+1-731-112-3237,32586070,1496.53,414 First Ave
Checking,inactive,Branch 10,Chris Brown,22486,2022-08-23,Australia,36676117,user6117@example.com,2024-05-11,+1-264-295-2667,36676117,5328.88,871 Maple Drive
Savings,active,Branch 17,Alex Davis,92904,2022-02-06,Germany,49719891,user9891@sample.org,2024-09-05,+1-213-482-6357,49719891,5679.7,445 Broadway
Credit,active,Branch 20,Alex Smith,74454,2022-07-01,Germany,64292117,user2117@test.net,2024-08-04,+1-802-887-8877,64292117,9225.54,764 Broadway
Loan,inactive,Branch 8,Katie Smith,72674,2023-05-24,UK,52560806,user0806@example.com,2025-01-21,+1-736-741-4201,52560806,6276.49,116 Maple Drive
Credit,inactive,Branch 11,Jane Brown,61098,2021-10-14,UK,20527458,user7458@sample.org,2024-05-24,+1-396-652-8005,20527458,1463.64,667 Maple Drive
Checking,inactive,Branch 19,Katie Smith,57461,2025-01-30,Canada,60649726,user9726@sample.org,2024-08-10,+1-804-255-7085,60649726,4369.15,543 Maple Drive
Loan,active,Branch 10,John Johnson,70464,2024-09-04,Australia,41325278,user5278@example.com,2024-04-21,+1-664-468-3373,41325278,6551.08,314 Broadway
Credit,active,Branch 10,Jane Doe,26307,2020-09-18,Germany,45704929,user4929@test.net,2024-07-04,+1-842-603-5407,45704929,7005.84,476 Main St
Savings,inactive,Branch 5,Chris Brown,67450,2024-07-16,UK,32011697,user1697@example.com,2024-06-10,+1-737-303-8811,32011697,8632.11,178 Maple Drive
Loan,active,Branch 8,John Davis,55454,2025-01-30,Germany,97603265,user3265@example.com,2024-09-28,+1-862-821-9214,97603265,1813.27,767 Main St
Loan,active,Branch 14,Alex Davis,70049,2024-05-10,Australia,04054245,user4245@sample.org,2024-12-14,+1-557-360-8143,04054245,9515.91,821 First Ave
Checking,inactive,Branch 10,Chris Johnson,46072,2022-11-15,USA,06383481,user3481@sample.org,2024-05-25,+1-765-921-2385,06383481,600.8,569 Main St
Checking,active,Branch 16,Jane Johnson,61602,2022-10-30,UK,34805074,user5074@sample.org,2025-03-08,+1-782-407-1236,34805074,9837.78,662 First Ave
Loan,active,Branch 18,Alex Davis,64194,2020-04-20,UK,05542187,user2187@test.net,2024-07-16,+1-957-760-2193,05542187,8579.09,787 First Ave
Credit,active,Branch 15,Katie Johnson,47087,2022-03-07,Canada,48402924,user2924@sample.org,2024-10-11,+1-664-150-1244,48402924,6606.13,550 Main St
Checking,active,Branch 17,Katie Davis,57759,2022-05-28,Canada,39446706,user6706@test.net,2024-08-27,+1-445-412-8195,39446706,7352.61,200 Main St
Credit,active,Branch 16,Chris Davis,16622,2022-10-11,UK,38445428,user5428@sample.org,2024-09-24,+1-996-430-4609,38445428,736.19,205 Broadway
Checking,active,Branch 9,Katie Davis,21305,2021-09-23,Canada,26682112,user2112@example.com,2024-12-04,+1-988-365-9514,26682112,424.38,196 First Ave
Checking,active,Branch 16,John Smith,53126,2024-01-22,UK,29164381,user4381@sample.org,2024-07-12,+1-584-124-1015,29164381,1026.64,856 Broadway
Checking,inactive,Branch 5,Alex Doe,51080,2021-07-16,Australia,13720190,user0190@example.com,2024-09-01,+1-462-221-4263,13720190,882.72,469 Main St
