residence,Record_NO,start date,account_type,account status,Zip Code,Bank id,branch,nation,Name,ledgerID,Last Activity,Accidentifier:,ledgeridentification,Email,Phone,Balance
441 Maple Drive,02409337,2022-12-21,Checking,active,58599,02409337,Branch 20,UK,Alex Doe,02409337,2024-08-10,02409337,02409337,user9337@example.com,+1-918-500-8781,4089.9
574 First Ave,42950565,2023-04-09,Checking,active,49409,42950565,Branch 8,Australia,Chris Johnson,42950565,2025-01-04,42950565,42950565,user0565@test.net,+1-579-465-5491,8870.29
598 First Ave,27042883,2024-11-09,Checking,active,39489,27042883,Branch 10,UK,Katie Brown,27042883,2024-10-03,27042883,27042883,user2883@sample.org,+1-465-190-5116,9178.07
178 Maple Drive,04282326,2023-02-06,Loan,inactive,96695,04282326,Branch 7,Germany,John Doe,04282326,2025-02-26,04282326,04282326,user2326@example.com,+1-942-490-7526,4373.32
917 First Ave,92020541,2025-03-06,Savings,inactive,58352,92020541,Branch 18,Canada,Emily Doe,92020541,2024-04-15,92020541,92020541,user0541@test.net,+1-337-713-9583,2414.83
242 Maple Drive,45569737,2024-02-21,Loan,inactive,10482,45569737,Branch 19,USA,John Smith,45569737,2024-10-29,45569737,45569737,user9737@sample.org,+1-655-347-4323,6480.24
246 Main St,07066084,2024-10-14,Credit,active,36087,07066084,Branch 17,Germany,John Smith,07066084,2024-03-12,07066084,07066084,user6084@example.com,+1-721-311-3601,9546.3
977 Broadway,23408439,2024-06-01,Credit,inactive,79347,23408439,Branch 11,Germany,John Brown,23408439,2024-11-27,23408439,23408439,user8439@test.net,+1-468-899-9580,6228.24
785 Main St,49606790,2021-12-22,Checking,active,93061,49606790,Branch 2,USA,Katie Johnson,49606790,2024-10-03,49606790,49606790,user6790@example.com,+1-729-862-5376,9542.68
981 First Ave,93446028,2020-07-17,Credit,inactive,80770,93446028,Branch 12,Germany,Alex Doe,93446028,2024-04-29,93446028,93446028,user6028@test.net,+1-957-675-9221,3444.64
257 Maple Drive,90857537,2024-02-20,Credit,inactive,59853,90857537,Branch 1,Canada,Katie Doe,90857537,2024-12-09,90857537,90857537,user7537@sample.org,+1-860-660-5999,9151.64
796 Broadway,08114012,2023-11-07,Loan,active,58584,08114012,Branch 13,Australia,John Brown,08114012,2025-02-02,08114012,08114012,user4012@example.com,+1-842-188-4733,1134.54
795 Broadway,74230315,2020-11-01,Loan,active,80125,74230315,Branch 10,UK,John Davis,74230315,2024-03-14,74230315,74230315,user0315@sample.org,+1-732-689-9280,3594.76
664 Broadway,13353189,2020-07-30,Loan,active,61544,13353189,Branch 7,Germany,Jane Doe,13353189,2024-08-31,13353189,13353189,user3189@example.com,+1-529-835-2067,4949.77
356 First Ave,02029175,2021-03-12,Credit,active,87119,02029175,Branch 9,Australia,Jane Brown,02029175,2024-12-05,02029175,02029175,user9175@example.com,+1-632-136-8406,6534.57
117 Main St,38421631,2020-07-31,Loan,active,98750,38421631,Branch 3,USA,Chris Brown,38421631,2024-11-23,38421631,38421631,user1631@example.com,+1-834-186-1411,2948.45
709 First Ave,51539262,2023-02-06,Checking,active,71257,51539262,Branch 18,UK,Katie Johnson,51539262,2024-10-28,51539262,51539262,user9262@sample.org,+1-987-470-5200,9243.15
535 Main St,29019921,2020-05-26,Checking,active,69777,29019921,Branch 6,Canada,Alex Johnson,29019921,2024-04-03,29019921,29019921,user9921@sample.org,+1-463-501-6807,9035.93
476 Main St,66270478,2022-09-25,Checking,active,10578,66270478,Branch 1,USA,Jane Doe,66270478,2024-03-22,66270478,66270478,user0478@sample.org,+1-590-253-8149,7995.37
860 Maple Drive,75290616,2025-02-01,Checking,inactive,65023,75290616,Branch 6,Canada,Chris Smith,75290616,2024-09-30,75290616,75290616,user0616@test.net,+1-365-604-8030,1152.48
540 Broadway,63767592,2024-07-19,Loan,active,36381,63767592,Branch 13,Australia,Chris Smith,63767592,2024-08-05,63767592,63767592,user7592@sample.org,+1-716-720-1012,792.13
156 Main St,71280081,2021-05-02,Checking,active,32343,71280081,Branch 19,Canada,Jane Smith,71280081,2024-08-20,71280081,71280081,user0081@sample.org,+1-497-964-9163,4986.33
129 First Ave,27342196,2020-09-22,Savings,inactive,13814,27342196,Branch 2,Australia,Emily Davis,27342196,2024-07-11,27342196,27342196,user2196@sample.org,+1-425-112-8453,7655.78
364 Main St,47586093,2020-10-31,Savings,inactive,73524,47586093,Branch 8,Canada,Alex Davis,47586093,2024-07-12,47586093,47586093,user6093@sample.org,+1-876-482-9619,1241.13
700 Maple Drive,85352172,2022-11-02,Checking,inactive,28622,85352172,Branch 4,Canada,Emily Johnson,85352172,2024-10-25,85352172,85352172,user2172@example.com,+1-606-204-8038,6417.96
249 First Ave,14087684,2021-12-31,Credit,active,75650,14087684,Branch 9,Germany,John Johnson,14087684,2024-09-05,14087684,14087684,user7684@test.net,+1-485-847-3116,5283.28
984 Broadway,63002490,2022-09-22,Checking,inactive,57623,63002490,Branch 3,USA,Jane Johnson,63002490,2024-12-03,63002490,63002490,user2490@sample.org,+1-945-274-6115,7262.63
178 Maple Drive,01142377,2020-05-04,Loan,active,92891,01142377,Branch 4,USA,John Brown,01142377,2024-05-19,01142377,01142377,user2377@sample.org,+1-421-837-8430,4359.4
387 Main St,52407799,2021-11-21,Credit,inactive,42016,52407799,Branch 6,Australia,Jane Brown,52407799,2025-02-11,52407799,52407799,user7799@sample.org,+1-250-347-6922,6936.03
575 Main St,21643699,2020-12-13,Loan,inactive,99352,21643699,Branch 20,USA,Chris Smith,21643699,2025-02-12,21643699,21643699,user3699@sample.org,+1-723-647-8907,1604.49
768 Maple Drive,56550167,2020-03-14,Savings,active,71534,56550167,Branch 20,UK,Jane Johnson,56550167,2024-09-18,56550167,56550167,user0167@test.net,+1-923-295-8552,2153.8
400 Main St,08569967,2020-08-29,Credit,inactive,22653,08569967,Branch 12,Germany,Katie Brown,08569967,2024-03-10,08569967,08569967,user9967@sample.org,+1-757-210-8461,9034.31
460 Broadway,26343511,2022-12-01,Credit,inactive,62503,26343511,Branch 6,USA,Alex Smith,26343511,2024-11-04,26343511,26343511,user3511@sample.org,+1-954-751-4305,3300.46
219 Main St,02581516,2021-10-02,Checking,inactive,40266,02581516,Branch 19,Canada,Jane Smith,02581516,2024-07-11,02581516,02581516,user1516@sample.org,+1-255-704-1988,9855.2
538 First Ave,26615745,2022-05-17,Loan,active,62267,26615745,Branch 19,Canada,Jane Brown,26615745,2024-11-29,26615745,26615745,user5745@test.net,+1-772-424-1534,471.58
500 Main St,35045616,2024-06-07,Loan,inactive,51346,35045616,Branch 11,Australia,John Brown,35045616,2025-02-08,35045616,35045616,user5616@sample.org,+1-319-496-9284,4963.8
856 Broadway,43382363,2023-06-06,Checking,active,93573,43382363,Branch 14,Canada,Katie Brown,43382363,2024-06-30,43382363,43382363,user2363@sample.org,+1-968-933-7318,3256.62
587 Main St,17839663,2024-02-05,Savings,inactive,78276,17839663,Branch 4,Australia,Emily Doe,17839663,2024-07-05,17839663,17839663,user9663@test.net,+1-206-867-9917,9959.69
827 Maple Drive,36185433,2023-03-11,Checking,active,19760,36185433,Branch 5,USA,Katie Doe,36185433,2024-07-08,36185433,36185433,user5433@test.net,+1-546-295-7439,9900.45
942 Maple Drive,92983221,2022-10-26,Checking,active,14640,92983221,Branch 11,UK,Katie Brown,92983221,2024-11-23,92983221,92983221,user3221@example.com,+1-332-177-7571,2360.08
132 Main St,05985939,2023-06-21,Checking,inactive,95233,05985939,Branch 10,Canada,Chris Brown,05985939,2024-07-27,05985939,05985939,user5939@test.net,+1-799-418-9282,2679.9
671 Main St,45361508,2023-08-21,Checking,inactive,13074,45361508,Branch 18,UK,Jane Johnson,45361508,2025-02-01,45361508,45361508,user1508@test.net,+1-616-245-9427,7499.23
137 Broadway,52945279,2021-04-15,Savings,active,67120,52945279,Branch 13,UK,Jane Smith,52945279,2024-12-26,52945279,52945279,user5279@sample.org,+1-311-741-4782,8897.85
820 First Ave,34338983,2021-02-09,Savings,inactive,76383,34338983,Branch 4,Canada,Alex Brown,34338983,2024-03-14,34338983,34338983,user8983@example.com,+1-862-377-7456,6640.33
365 Main St,63363365,2023-11-17,Checking,active,90779,63363365,Branch 3,Australia,Alex Doe,63363365,2024-07-14,63363365,63363365,user3365@sample.org,+1-950-287-6685,8648.44
304 Broadway,50890985,2021-07-03,Loan,active,41976,50890985,Branch 5,USA,Jane Johnson,50890985,2024-05-23,50890985,50890985,user0985@sample.org,+1-505-400-6752,642.29
577 Maple Drive,62604910,2024-05-20,Credit,active,12028,62604910,Branch 7,Germany,Emily Davis,62604910,2025-01-04,62604910,62604910,user4910@example.com,+1-805-702-8045,6408.88
545 Main St,95514975,2022-11-09,Loan,active,81226,95514975,Branch 18,Canada,Emily Davis,95514975,2024-05-05,95514975,95514975,user4975@test.net,+1-448-883-4407,7004.71
430 First Ave,82671016,2025-02-16,Loan,inactive,60957,82671016,Branch 19,USA,Chris Doe,82671016,2024-04-12,82671016,82671016,user1016@sample.org,+1-722-570-6945,1911.29
635 Maple Drive,72212399,2024-10-23,Savings,active,25212,72212399,Branch 9,Canada,Jane Doe,72212399,2024-11-18,72212399,72212399,user2399@example.com,+1-702-698-5753,7781.92
880 First Ave,71798802,2023-09-19,Savings,active,20881,71798802,Branch 18,UK,Emily Davis,71798802,2024-07-20,71798802,71798802,user8802@test.net,+1-472-151-8451,9443.21
782 Main St,13338531,2023-06-14,Loan,inactive,62180,13338531,Branch 9,Canada,Chris Smith,13338531,2024-09-21,13338531,13338531,user8531@example.com,+1-706-360-2384,8980.69
328 Main St,67794291,2023-04-26,Loan,active,41604,67794291,Branch 15,Australia,John Doe,67794291,2024-07-28,67794291,67794291,user4291@example.com,+1-528-697-5124,2457.22
672 First Ave,31207091,2023-10-22,Checking,inactive,70180,31207091,Branch 4,Canada,John Brown,31207091,2025-01-17,31207091,31207091,user7091@example.com,+1-369-512-6457,3246.69
767 Main St,47020392,2021-08-09,Checking,inactive,72916,47020392,Branch 7,Canada,Chris Brown,47020392,2024-10-18,47020392,47020392,user0392@test.net,+1-351-591-2565,5001.12
496 Broadway,12162951,2020-08-02,Credit,inactive,95022,12162951,Branch 5,UK,John Johnson,12162951,2025-01-28,12162951,12162951,user2951@sample.org,+1-271-797-6377,1592.03
830 Maple Drive,29057322,2021-03-18,Savings,active,79192,29057322,Branch 9,Canada,Katie Smith,29057322,2024-09-24,29057322,29057322,user7322@sample.org,+1-950-510-2597,9539.99
688 Maple Drive,98167371,2021-10-22,Credit,inactive,28704,98167371,Branch 4,UK,John Davis,98167371,2025-01-24,98167371,98167371,user7371@example.com,+1-552-313-5158,1624.35
420 Broadway,38676380,2021-10-25,Loan,active,22204,38676380,Branch 19,Canada,Jane Doe,38676380,2024-10-19,38676380,38676380,user6380@example.com,+1-294-542-7526,7616.62
903 Maple Drive,53954372,2024-03-17,Credit,inactive,41950,53954372,Branch 3,Australia,John Doe,53954372,2024-05-26,53954372,53954372,user4372@sample.org,+1-784-250-1265,3420.87
508 Main St,09641792,2024-04-25,Credit,active,26695,09641792,Branch 9,UK,Chris Smith,09641792,2024-09-10,09641792,09641792,user1792@sample.org,+1-307-333-3199,5741.47
717 First Ave,00000631,2022-10-20,Loan,active,16439,00000631,Branch 11,UK,Chris Brown,00000631,2024-03-30,00000631,00000631,user0631@test.net,+1-301-698-9695,481.27
798 Broadway,47922721,2021-01-20,Credit,inactive,20649,47922721,Branch 1,Canada,Katie Smith,47922721,2024-07-01,47922721,47922721,user2721@test.net,+1-666-623-5355,2058.07
350 First Ave,47884356,2022-04-23,Savings,active,96044,47884356,Branch 4,Canada,Jane Brown,47884356,2024-05-24,47884356,47884356,user4356@test.net,+1-611-442-7505,4449.47
947 Broadway,65635960,2023-07-02,Loan,active,83948,65635960,Branch 5,USA,Jane Smith,65635960,2024-09-06,65635960,65635960,user5960@example.com,+1-521-821-3518,6775.14
487 Maple Drive,67821414,2023-04-12,Credit,inactive,88529,67821414,Branch 14,Australia,John Johnson,67821414,2024-12-08,67821414,67821414,user1414@sample.org,+1-506-486-5389,7777.84
265 First Ave,03100779,2022-12-27,Savings,inactive,36448,03100779,Branch 5,Canada,Chris Davis,03100779,2024-07-06,03100779,03100779,user0779@sample.org,+1-362-159-4308,311.1
754 Main St,36237730,2021-10-01,Checking,inactive,58913,36237730,Branch 18,USA,Emily Smith,36237730,2025-01-31,36237730,36237730,user7730@test.net,+1-808-503-4627,1533.38
921 Broadway,29239378,2023-09-21,Checking,inactive,12748,29239378,Branch 8,Australia,Katie Brown,29239378,2024-08-17,29239378,29239378,user9378@test.net,+1-423-630-7845,7300.62
141 Main St,42410893,2020-07-12,Credit,inactive,13593,42410893,Branch 9,Germany,Katie Davis,42410893,2024-09-22,42410893,42410893,user0893@example.com,+1-463-497-7789,8132.42
605 Main St,28859540,2025-01-02,Checking,inactive,69617,28859540,Branch 16,USA,John Brown,28859540,2024-10-16,28859540,28859540,user9540@example.com,+1-307-491-4185,2373.35
188 Maple Drive,49694584,2024-03-31,Savings,inactive,76332,49694584,Branch 17,Germany,Emily Smith,49694584,2025-01-20,49694584,49694584,user4584@test.net,+1-201-677-9053,2304.23
462 Main St,41807546,2022-03-03,Checking,inactive,98908,41807546,Branch 2,Canada,Alex Doe,41807546,2025-02-12,41807546,41807546,user7546@test.net,+1-839-407-7889,889.41
443 Main St,87293989,2021-12-14,Credit,inactive,55109,87293989,Branch 15,UK,Emily Doe,87293989,2024-07-06,87293989,87293989,user3989@example.com,+1-554-674-1309,1511.44
499 Main St,83724396,2024-03-13,Loan,inactive,87128,83724396,Branch 14,UK,Emily Smith,83724396,2024-10-30,83724396,83724396,user4396@test.net,+1-378-740-7901,90.08
550 Main St,14321050,2020-11-30,Savings,active,80921,14321050,Branch 8,Australia,Alex Smith,14321050,2024-05-20,14321050,14321050,user1050@example.com,+1-220-985-6192,5902.41
137 Main St,21782681,2021-09-16,Checking,inactive,76175,21782681,Branch 2,Canada,Chris Smith,21782681,2024-10-09,21782681,21782681,user2681@sample.org,+1-255-233-5100,9039.87
207 First Ave,10552947,2025-01-23,Credit,active,52477,10552947,Branch 7,UK,Jane Johnson,10552947,2024-11-07,10552947,10552947,user2947@example.com,+1-376-762-2625,1504.27
184 Broadway,24134132,2022-09-26,Loan,inactive,36890,24134132,Branch 12,USA,Jane Johnson,24134132,2025-01-23,24134132,24134132,user4132@example.com,+1-467-678-5373,7516.92
189 Main St,24004796,2022-04-14,Savings,inactive,53648,24004796,Branch 10,Canada,Jane Smith,24004796,2025-03-05,24004796,24004796,user4796@test.net,+1-225-936-1186,5740.85
641 Main St,83778187,2022-07-24,Checking,active,49117,83778187,Branch 5,USA,Emily Doe,83778187,2024-08-15,83778187,83778187,user8187@sample.org,+1-903-919-5309,9399.82
753 First Ave,45435188,2021-05-01,Savings,active,47957,45435188,Branch 3,UK,Emily Davis,45435188,2024-03-10,45435188,45435188,user5188@sample.org,+1-832-965-4994,7983.24
732 First Ave,61949757,2020-10-30,Loan,active,76499,61949757,Branch 1,Germany,Jane Smith,61949757,2024-07-22,61949757,61949757,user9757@test.net,+1-408-822-5323,8528.76
187 Main St,18083651,2020-04-21,Credit,active,26643,18083651,Branch 7,USA,Emily Johnson,18083651,2024-03-23,18083651,18083651,user3651@sample.org,+1-279-717-7321,6395.03
799 Broadway,81303772,2024-02-15,Credit,inactive,92958,81303772,Branch 4,USA,Katie Johnson,81303772,2024-06-10,81303772,81303772,user3772@test.net,+1-446-523-6589,8115.25
863 Maple Drive,12667861,2025-01-17,Checking,active,82229,12667861,Branch 8,Canada,Jane Johnson,12667861,2024-10-24,12667861,12667861,user7861@example.com,+1-245-726-6101,3515.19
