Account Type,residence,client name,Zip Code,acct balance,BankNUMBER:,contact,Open Date,Email,last_activity,office,bank ID,client_identifier:,account status,Profile-IDENTIFICATION:,Customer-IDENTIFIER:,country
Savings,836 Broadway,Jane Davis,82113,5701.59,55207970,+1-351-130-5460,2024-10-25,user7970@test.net,2024-11-05,Branch 19,55207970,55207970,active,55207970,55207970,USA
Savings,596 Maple Drive,Chris Brown,93240,6465.87,59921705,+1-280-155-4345,2023-05-02,user1705@test.net,2024-06-17,Branch 10,59921705,59921705,inactive,59921705,59921705,Australia
Savings,483 Maple Drive,John Johnson,58362,5576.16,38360546,+1-300-420-7124,2023-04-21,user0546@sample.org,2025-01-06,Branch 8,38360546,38360546,inactive,38360546,38360546,Germany
Credit,684 Broadway,John Smith,40750,7858.02,18495941,+1-840-376-6641,2024-12-26,user5941@sample.org,2024-09-11,Branch 1,18495941,18495941,inactive,18495941,18495941,USA
Checking,942 Maple Drive,Katie Doe,90708,5514.49,46173183,+1-748-994-6446,2021-05-17,user3183@sample.org,2024-04-09,Branch 17,46173183,46173183,inactive,46173183,46173183,Germany
Loan,435 Maple Drive,John Doe,37797,1119.66,44357688,+1-972-191-3997,2021-12-21,user7688@test.net,2024-07-12,Branch 15,44357688,44357688,active,44357688,44357688,Australia
Loan,353 Broadway,John Doe,39335,8097.71,94998095,+1-970-775-1732,2023-03-28,user8095@example.com,2025-02-16,Branch 12,94998095,94998095,inactive,94998095,94998095,Australia
Savings,710 Broadway,John Smith,88458,7608.25,98842792,+1-561-631-4990,2022-04-02,user2792@example.com,2024-04-14,Branch 6,98842792,98842792,active,98842792,98842792,Germany
Savings,861 Maple Drive,Chris Johnson,93488,8204.8,22293043,+1-747-232-1625,2021-10-23,user3043@example.com,2024-08-27,Branch 16,22293043,22293043,active,22293043,22293043,Germany
Loan,330 Broadway,Katie Davis,69200,1912.39,40986200,+1-773-846-4319,2022-09-30,user6200@test.net,2024-07-09,Branch 19,40986200,40986200,active,40986200,40986200,Germany
Credit,614 Main St,Katie Smith,43154,2723.45,51606555,+1-409-182-1050,2020-06-25,user6555@sample.org,2024-08-15,Branch 10,51606555,51606555,active,51606555,51606555,Canada
Checking,324 Maple Drive,Emily Smith,30587,2964.56,16091738,+1-215-127-8153,2020-11-05,user1738@sample.org,2024-06-09,Branch 5,16091738,16091738,active,16091738,16091738,UK
Savings,390 Maple Drive,Chris Brown,63682,5085.72,46349365,+1-752-580-4133,2022-11-16,user9365@test.net,2025-01-30,Branch 18,46349365,46349365,inactive,46349365,46349365,Germany
Checking,470 First Ave,Chris Brown,54866,1347.43,38593514,+1-424-900-4187,2022-12-04,user3514@example.com,2025-01-15,Branch 13,38593514,38593514,inactive,38593514,38593514,USA
Savings,672 Main St,John Smith,26175,3859.96,67366883,+1-845-503-3011,2021-09-29,user6883@sample.org,2024-05-10,Branch 5,67366883,67366883,inactive,67366883,67366883,USA
Savings,952 Main St,Chris Smith,25866,1829.76,67711936,+1-586-817-1563,2023-02-23,user1936@sample.org,2024-11-26,Branch 16,67711936,67711936,inactive,67711936,67711936,Australia
Savings,356 Broadway,Alex Davis,66687,2654.98,07791237,+1-823-622-8959,2023-08-02,user1237@sample.org,2024-11-09,Branch 14,07791237,07791237,inactive,07791237,07791237,Australia
Credit,385 Main St,Katie Doe,78486,7066.81,19220458,+1-865-271-1646,2024-11-17,user0458@example.com,2024-12-31,Branch 1,19220458,19220458,inactive,19220458,19220458,UK
Savings,505 Main St,Chris Johnson,85453,8549.56,60242044,+1-278-325-2003,2021-01-09,user2044@example.com,2024-07-12,Branch 17,60242044,60242044,active,60242044,60242044,UK
Savings,310 Main St,John Brown,98267,238.83,15124561,+1-846-362-2198,2021-04-11,user4561@sample.org,2024-09-28,Branch 2,15124561,15124561,active,15124561,15124561,Australia
Credit,782 Main St,Alex Doe,94960,5663.31,57894344,+1-641-535-2531,2021-10-20,user4344@sample.org,2025-01-30,Branch 6,57894344,57894344,active,57894344,57894344,Australia
Savings,478 Broadway,John Davis,43634,370.24,72475124,+1-624-925-3995,2023-04-27,user5124@example.com,2024-12-10,Branch 18,72475124,72475124,active,72475124,72475124,Germany
Checking,238 Maple Drive,Jane Johnson,99865,861.64,52417626,+1-762-231-6994,2020-10-27,user7626@example.com,2024-05-22,Branch 12,52417626,52417626,inactive,52417626,52417626,Australia
Credit,497 First Ave,Chris Davis,66690,7053.79,86928971,+1-773-748-3034,2025-02-08,user8971@sample.org,2024-07-14,Branch 16,86928971,86928971,inactive,86928971,86928971,UK
Checking,806 Broadway,Alex Davis,75132,7358.72,76979073,+1-374-981-8448,2021-01-24,user9073@sample.org,2024-08-29,Branch 4,76979073,76979073,inactive,76979073,76979073,UK
Credit,259 Broadway,Emily Doe,57986,8141.67,79200946,+1-261-208-2884,2020-12-28,user0946@example.com,2024-05-08,Branch 12,79200946,79200946,active,79200946,79200946,Germany
Credit,352 Broadway,Chris Davis,79042,4747.67,41033539,+1-492-839-2063,2023-04-15,user3539@example.com,2024-12-02,Branch 2,41033539,41033539,inactive,41033539,41033539,USA
Savings,352 Maple Drive,Katie Smith,38267,8599.48,97782045,+1-408-788-5964,2020-10-07,user2045@sample.org,2025-01-06,Branch 11,97782045,97782045,inactive,97782045,97782045,Australia
Savings,769 Main St,Emily Smith,26538,1676.71,99140836,+1-598-175-9547,2022-07-19,user0836@test.net,2024-12-29,Branch 10,99140836,99140836,inactive,99140836,99140836,UK
Credit,391 First Ave,John Davis,19010,2504.67,55162140,+1-426-278-1504,2021-02-27,user2140@sample.org,2024-03-14,Branch 5,55162140,55162140,active,55162140,55162140,Canada
Credit,850 Broadway,Emily Smith,78183,1353.68,86626257,+1-378-808-7940,2023-06-03,user6257@sample.org,2024-10-04,Branch 18,86626257,86626257,inactive,86626257,86626257,Australia
Credit,348 Main St,John Brown,59667,7977.4,96083887,+1-472-761-1651,2021-06-15,user3887@test.net,2024-04-25,Branch 1,96083887,96083887,active,96083887,96083887,USA
Loan,623 Maple Drive,Katie Brown,29263,2294.46,37294083,+1-363-774-3251,2023-07-25,user4083@example.com,2024-05-21,Branch 11,37294083,37294083,inactive,37294083,37294083,Germany
Credit,478 Maple Drive,John Brown,79058,1563.56,71173101,+1-568-482-8819,2023-04-06,user3101@example.com,2024-03-21,Branch 1,71173101,71173101,active,71173101,71173101,UK
Savings,369 Broadway,Katie Brown,60578,6234.88,84213710,+1-560-689-7903,2024-02-15,user3710@example.com,2024-05-06,Branch 15,84213710,84213710,active,84213710,84213710,USA
Savings,314 Maple Drive,Katie Doe,67467,780.05,86008613,+1-942-186-2421,2020-08-29,user8613@test.net,2024-10-28,Branch 1,86008613,86008613,inactive,86008613,86008613,Canada
Credit,269 Main St,Jane Doe,64267,458.55,85950770,+1-266-749-9303,2022-08-02,user0770@example.com,2024-12-07,Branch 4,85950770,85950770,inactive,85950770,85950770,Germany
Checking,577 First Ave,Alex Brown,44836,1076.11,93702169,+1-896-723-4289,2022-08-20,user2169@example.com,2024-06-18,Branch 20,93702169,93702169,active,93702169,93702169,Canada
Loan,604 Broadway,Chris Doe,29428,12.41,19167753,+1-533-271-2826,2021-01-10,user7753@example.com,2025-03-05,Branch 13,19167753,19167753,inactive,19167753,19167753,Germany
Loan,883 Broadway,Jane Brown,30833,6972.93,29879119,+1-542-132-5305,2021-07-09,user9119@sample.org,2024-08-08,Branch 11,29879119,29879119,inactive,29879119,29879119,Germany
Credit,102 Main St,Emily Doe,53495,5626.73,62283596,+1-827-448-2601,2021-05-27,user3596@sample.org,2024-07-31,Branch 20,62283596,62283596,active,62283596,62283596,UK
Savings,749 First Ave,Jane Smith,15977,2106.65,35407985,+1-403-706-6502,2020-12-09,user7985@sample.org,2024-04-21,Branch 2,35407985,35407985,inactive,35407985,35407985,Australia
Checking,483 Broadway,Emily Johnson,14606,2337.72,71017706,+1-737-913-9597,2023-08-10,user7706@example.com,2024-10-25,Branch 12,71017706,71017706,active,71017706,71017706,Canada
Credit,328 Broadway,Emily Smith,71118,8111.58,51110981,+1-755-745-8023,2024-06-07,user0981@example.com,2024-12-20,Branch 16,51110981,51110981,active,51110981,51110981,Australia
Loan,141 Main St,John Johnson,50312,5023.18,97420322,+1-345-209-9445,2020-06-23,user0322@example.com,2024-07-30,Branch 3,97420322,97420322,active,97420322,97420322,Canada
Loan,890 Maple Drive,Alex Davis,55123,6988.3,26613396,+1-809-360-4929,2023-04-21,user3396@sample.org,2024-10-15,Branch 18,26613396,26613396,active,26613396,26613396,UK
Savings,470 First Ave,John Johnson,52244,4533.03,72333641,+1-340-661-8676,2024-05-02,user3641@sample.org,2024-05-11,Branch 15,72333641,72333641,active,72333641,72333641,UK
Credit,452 First Ave,Chris Johnson,42797,2384.8,03429700,+1-347-690-4542,2022-11-07,user9700@example.com,2025-01-25,Branch 11,03429700,03429700,active,03429700,03429700,USA
Loan,994 First Ave,John Brown,69812,9704.32,34308105,+1-977-744-7748,2020-08-25,user8105@sample.org,2024-10-11,Branch 20,34308105,34308105,inactive,34308105,34308105,USA
Credit,465 Broadway,Alex Johnson,92514,5660.82,84888227,+1-776-774-2361,2020-03-20,user8227@example.com,2024-07-29,Branch 16,84888227,84888227,active,84888227,84888227,USA
Checking,950 Main St,Emily Doe,10604,1318.51,62964962,+1-838-533-4957,2022-04-02,user4962@test.net,2024-08-16,Branch 10,62964962,62964962,active,62964962,62964962,Australia
Checking,415 Main St,Jane Johnson,33155,4066.84,01922880,+1-710-751-5480,2025-03-05,user2880@sample.org,2024-03-21,Branch 11,01922880,01922880,active,01922880,01922880,USA
Checking,460 Main St,Katie Davis,97774,3300.08,95517023,+1-256-734-4761,2024-07-09,user7023@test.net,2024-06-09,Branch 17,95517023,95517023,inactive,95517023,95517023,Germany
Credit,524 First Ave,John Johnson,40564,2148.73,85863101,+1-782-758-3535,2021-04-23,user3101@sample.org,2024-07-15,Branch 4,85863101,85863101,active,85863101,85863101,UK
Loan,220 Main St,Alex Johnson,27953,9335.07,54049433,+1-834-341-3102,2020-08-19,user9433@example.com,2024-04-01,Branch 3,54049433,54049433,active,54049433,54049433,Australia
Checking,678 Maple Drive,Chris Brown,18253,8810.39,61154396,+1-613-156-1708,2020-03-19,user4396@test.net,2024-11-11,Branch 9,61154396,61154396,inactive,61154396,61154396,Australia
Loan,733 Maple Drive,John Johnson,22936,1999.48,07744511,+1-361-985-2157,2020-09-15,user4511@test.net,2024-11-14,Branch 8,07744511,07744511,active,07744511,07744511,UK
Checking,708 Broadway,Chris Brown,30228,3527.96,53313062,+1-790-479-4748,2022-12-03,user3062@example.com,2025-02-22,Branch 17,53313062,53313062,active,53313062,53313062,UK
Savings,970 Broadway,Katie Doe,32571,7625.53,48661110,+1-385-198-5070,2024-10-08,user1110@test.net,2024-10-15,Branch 3,48661110,48661110,active,48661110,48661110,UK
Savings,546 First Ave,Jane Davis,70100,2092.98,94238833,+1-889-948-8384,2025-02-18,user8833@sample.org,2025-01-24,Branch 18,94238833,94238833,active,94238833,94238833,Australia
Checking,157 Broadway,John Davis,86531,5919.73,54888054,+1-387-765-7420,2021-11-13,user8054@sample.org,2024-03-10,Branch 1,54888054,54888054,inactive,54888054,54888054,Germany
Checking,224 First Ave,Jane Doe,45346,7000.94,74858734,+1-610-715-8105,2024-02-12,user8734@test.net,2024-08-17,Branch 13,74858734,74858734,active,74858734,74858734,USA
Checking,926 Maple Drive,Emily Johnson,99305,6543.18,80288500,+1-610-406-7655,2023-02-23,user8500@sample.org,2024-10-17,Branch 12,80288500,80288500,active,80288500,80288500,Canada
Credit,772 Maple Drive,Katie Smith,94551,7067.02,25105289,+1-749-369-3781,2023-08-06,user5289@sample.org,2024-05-17,Branch 17,25105289,25105289,inactive,25105289,25105289,Germany
Checking,653 Maple Drive,Chris Johnson,38872,7069.93,30072325,+1-453-899-9591,2024-06-05,user2325@test.net,2024-04-20,Branch 6,30072325,30072325,active,30072325,30072325,USA
Savings,739 First Ave,John Johnson,91063,9648.41,98031219,+1-711-244-9652,2024-10-03,user1219@sample.org,2024-10-13,Branch 16,98031219,98031219,active,98031219,98031219,Canada
Loan,582 First Ave,Jane Smith,98618,3471.52,09518134,+1-693-125-3502,2024-09-10,user8134@test.net,2024-12-13,Branch 11,09518134,09518134,inactive,09518134,09518134,USA
Loan,974 First Ave,Chris Brown,34906,8787.12,46455658,+1-576-768-6245,2022-09-29,user5658@test.net,2024-12-02,Branch 12,46455658,46455658,inactive,46455658,46455658,USA
Loan,474 Maple Drive,Alex Smith,77439,227.85,22840083,+1-650-309-7209,2020-04-16,user0083@test.net,2024-09-06,Branch 9,22840083,22840083,inactive,22840083,22840083,Australia
Credit,165 Main St,Emily Johnson,38556,2889.15,11085234,+1-480-895-7088,2023-07-14,user5234@example.com,2024-07-18,Branch 13,11085234,11085234,active,11085234,11085234,Germany
Loan,465 First Ave,Katie Johnson,43806,496.07,41715638,+1-478-852-7625,2024-01-22,user5638@sample.org,2024-07-10,Branch 6,41715638,41715638,active,41715638,41715638,Australia
Checking,521 Broadway,Jane Doe,34221,6515.53,46344315,+1-875-234-1858,2024-04-10,user4315@sample.org,2024-11-09,Branch 15,46344315,46344315,active,46344315,46344315,UK
Credit,266 Broadway,Jane Smith,61974,1016.9,24553474,+1-947-850-7432,2022-07-26,user3474@sample.org,2024-03-17,Branch 18,24553474,24553474,active,24553474,24553474,Canada
Checking,260 Main St,Chris Davis,76376,8458.61,93829288,+1-469-341-6583,2022-02-16,user9288@sample.org,2024-05-02,Branch 15,93829288,93829288,active,93829288,93829288,USA
Loan,369 Maple Drive,Jane Johnson,67229,6469.45,28084104,+1-322-326-1509,2021-06-10,user4104@test.net,2025-02-14,Branch 13,28084104,28084104,active,28084104,28084104,UK
Credit,743 First Ave,Alex Smith,31621,297.87,31692395,+1-796-714-2662,2024-12-09,user2395@test.net,2024-05-24,Branch 7,31692395,31692395,inactive,31692395,31692395,Canada
Credit,596 Main St,Katie Smith,78119,7150.63,64680637,+1-749-880-7949,2021-05-18,user0637@test.net,2024-12-29,Branch 11,64680637,64680637,active,64680637,64680637,Canada
Credit,916 First Ave,Emily Doe,38389,8621.73,10179153,+1-304-173-3111,2024-12-02,user9153@test.net,2024-03-25,Branch 17,10179153,10179153,inactive,10179153,10179153,Canada
Loan,533 First Ave,Chris Davis,34377,6614.6,08647416,+1-277-754-4768,2024-12-17,user7416@test.net,2025-02-21,Branch 11,08647416,08647416,active,08647416,08647416,USA
Credit,337 Main St,Chris Doe,19452,314.94,09358969,+1-383-894-5043,2022-02-20,user8969@test.net,2025-02-24,Branch 12,09358969,09358969,inactive,09358969,09358969,Australia
Loan,552 Maple Drive,Alex Davis,26636,8580.62,41399749,+1-741-774-6390,2023-10-06,user9749@test.net,2024-04-12,Branch 12,41399749,41399749,active,41399749,41399749,Canada
Loan,903 Maple Drive,John Brown,13155,7327.31,77082086,+1-390-445-5047,2024-04-13,user2086@example.com,2024-12-26,Branch 20,77082086,77082086,active,77082086,77082086,Germany
Checking,402 Broadway,Chris Davis,18427,3790.73,09785598,+1-838-435-2519,2023-11-10,user5598@sample.org,2025-01-14,Branch 17,09785598,09785598,active,09785598,09785598,Australia
Credit,346 First Ave,Emily Doe,28521,3293.02,99145574,+1-978-178-3354,2024-03-24,user5574@test.net,2024-08-02,Branch 6,99145574,99145574,active,99145574,99145574,Australia
Credit,674 Main St,Chris Doe,13240,4803.4,14751493,+1-613-880-2210,2021-10-26,user1493@sample.org,2024-12-02,Branch 14,14751493,14751493,active,14751493,14751493,Germany
Savings,692 Main St,John Johnson,52153,8672.35,35108094,+1-841-674-2405,2023-03-14,user8094@sample.org,2024-12-21,Branch 7,35108094,35108094,inactive,35108094,35108094,USA
Checking,844 Maple Drive,Alex Smith,82903,2528.07,26766044,+1-770-619-6453,2021-09-22,user6044@example.com,2024-06-19,Branch 17,26766044,26766044,inactive,26766044,26766044,Canada
Loan,844 Broadway,Katie Brown,91232,1018.63,19209645,+1-665-848-9751,2020-03-11,user9645@sample.org,2024-08-26,Branch 5,19209645,19209645,inactive,19209645,19209645,USA
