account_type,nation,postal code,client name,activity date,clientno,Bank code,current balance,Email,residence,open_date,client_no,Branch,status,Phone,customer-id
Credit,USA,48480,Emily Davis,2024-08-23,55394993,55394993,605.63,user4993@example.com,125 Maple Drive,2022-04-02,55394993,Branch 12,inactive,+1-310-294-5249,55394993
Credit,Germany,70952,Chris Davis,2025-02-10,66052246,66052246,6275.82,user2246@example.com,949 Broadway,2022-10-22,66052246,Branch 4,inactive,+1-542-509-4764,66052246
Savings,UK,81042,Alex Smith,2024-08-03,50750021,50750021,2060.98,user0021@test.net,883 Broadway,2022-02-20,50750021,Branch 13,inactive,+1-824-994-1100,50750021
Loan,USA,24043,John Davis,2024-10-27,78800388,78800388,5278.04,user0388@example.com,122 First Ave,2022-10-31,78800388,Branch 1,active,+1-851-426-1915,78800388
Savings,Canada,86798,John Johnson,2025-02-10,59955386,59955386,7799.61,user5386@example.com,325 Broadway,2020-06-09,59955386,Branch 19,inactive,+1-806-564-1160,59955386
Loan,USA,13186,Chris Brown,2024-07-02,87365926,87365926,2474.8,user5926@sample.org,961 Main St,2021-06-12,87365926,Branch 2,active,+1-881-946-7245,87365926
Credit,Germany,64567,Katie Brown,2025-01-27,57340691,57340691,3939.66,user0691@test.net,111 First Ave,2023-12-30,57340691,Branch 17,inactive,+1-840-209-3865,57340691
Checking,UK,79957,John Doe,2024-09-08,11167705,11167705,9508.17,user7705@test.net,438 Main St,2020-07-02,11167705,Branch 20,active,+1-903-606-8507,11167705
Checking,UK,84955,Chris Smith,2024-03-25,88456341,88456341,7617.19,user6341@test.net,844 Maple Drive,2021-03-21,88456341,Branch 7,inactive,+1-960-995-6506,88456341
Credit,Germany,59523,Katie Brown,2024-11-07,61991437,61991437,5731.5,user1437@sample.org,730 Maple Drive,2020-10-10,61991437,Branch 2,inactive,+1-911-564-8651,61991437
Loan,Germany,90099,John Smith,2025-01-09,23876373,23876373,2227.75,user6373@example.com,840 Main St,2021-07-17,23876373,Branch 15,active,+1-749-959-7992,23876373
Credit,Australia,55052,Katie Smith,2024-09-30,59569840,59569840,4258.8,user9840@example.com,825 Main St,2022-11-01,59569840,Branch 11,active,+1-920-607-1542,59569840
Savings,Australia,84722,John Brown,2024-12-10,55657573,55657573,7742.87,user7573@example.com,867 Broadway,2021-05-16,55657573,Branch 19,inactive,+1-938-918-2587,55657573
Savings,USA,76398,Jane Davis,2024-11-14,63016909,63016909,8207.23,user6909@test.net,683 First Ave,2024-09-06,63016909,Branch 8,active,+1-989-528-5366,63016909
Credit,Canada,39534,Katie Johnson,2024-05-31,22761650,22761650,2453.62,user1650@sample.org,890 Main St,2023-02-04,22761650,Branch 11,inactive,+1-277-924-4403,22761650
Loan,Germany,79682,Jane Doe,2024-09-23,07023400,07023400,6623.98,user3400@sample.org,400 Broadway,2024-07-25,07023400,Branch 4,active,+1-397-973-8511,07023400
Loan,Canada,74855,Chris Davis,2024-11-19,85077953,85077953,959.08,user7953@sample.org,172 Broadway,2022-12-22,85077953,Branch 1,inactive,+1-419-508-1262,85077953
Checking,USA,91383,Chris Doe,2024-03-31,81760034,81760034,241.89,user0034@example.com,848 First Ave,2023-12-05,81760034,Branch 10,inactive,+1-481-851-3759,81760034
Credit,UK,40680,Jane Smith,2024-12-02,44781553,44781553,5491.25,user1553@test.net,784 First Ave,2021-12-19,44781553,Branch 4,inactive,+1-918-184-1250,44781553
Savings,Canada,12663,Jane Davis,2024-08-18,17609754,17609754,2251.55,user9754@test.net,264 Broadway,2021-01-07,17609754,Branch 6,inactive,+1-391-668-9518,17609754
Savings,Germany,27256,Jane Doe,2024-05-19,01510196,01510196,798.33,user0196@example.com,183 First Ave,2024-06-29,01510196,Branch 1,inactive,+1-985-154-1158,01510196
Checking,Canada,40669,John Brown,2025-01-05,94163245,94163245,7300.98,user3245@sample.org,668 Broadway,2020-08-17,94163245,Branch 20,active,+1-517-561-4313,94163245
Credit,Australia,81972,Alex Johnson,2025-01-30,14071190,14071190,4984.77,user1190@example.com,723 Broadway,2023-07-13,14071190,Branch 20,active,+1-726-756-7632,14071190
Savings,UK,15933,John Smith,2024-07-21,95677411,95677411,7964.81,user7411@example.com,839 Maple Drive,2023-07-23,95677411,Branch 11,active,+1-834-127-1605,95677411
Savings,Canada,17469,Alex Johnson,2024-03-21,78954955,78954955,6642.8,user4955@test.net,422 Broadway,2021-05-07,78954955,Branch 1,inactive,+1-349-131-6032,78954955
Savings,USA,43178,John Johnson,2024-07-12,44586615,44586615,7300.75,user6615@example.com,965 Maple Drive,2023-09-08,44586615,Branch 17,inactive,+1-784-365-2345,44586615
Checking,USA,85402,Chris Doe,2025-03-01,25392634,25392634,3080.53,user2634@sample.org,462 Broadway,2024-05-04,25392634,Branch 18,inactive,+1-679-306-8831,25392634
Credit,Canada,15695,Jane Smith,2024-12-31,18484066,18484066,2640.13,user4066@test.net,130 Broadway,2023-03-23,18484066,Branch 4,active,+1-556-901-9728,18484066
Loan,USA,43366,John Brown,2025-03-01,51152416,51152416,6012.74,user2416@sample.org,906 Broadway,2024-07-31,51152416,Branch 17,active,+1-787-709-5068,51152416
Loan,USA,86991,Alex Doe,2024-12-26,22095592,22095592,2008.82,user5592@sample.org,848 Broadway,2023-05-21,22095592,Branch 9,active,+1-608-575-9717,22095592
Savings,Germany,36663,Alex Doe,2024-08-24,16536145,16536145,8155.97,user6145@sample.org,786 Main St,2023-07-10,16536145,Branch 6,inactive,+1-294-603-6834,16536145
Credit,Germany,90164,Katie Johnson,2025-02-25,51035268,51035268,5233.97,user5268@test.net,694 Broadway,2024-11-30,51035268,Branch 14,inactive,+1-892-908-9759,51035268
Loan,Canada,49806,Chris Doe,2024-08-17,01807355,01807355,2277.63,user7355@sample.org,274 Broadway,2024-06-25,01807355,Branch 18,active,+1-568-250-6214,01807355
Checking,Australia,48033,Alex Smith,2024-06-13,15325770,15325770,6255.43,user5770@example.com,814 Maple Drive,2024-12-19,15325770,Branch 15,inactive,+1-914-825-1667,15325770
Credit,Australia,85022,Chris Davis,2024-07-15,38541382,38541382,9450.91,user1382@test.net,872 Main St,2022-10-25,38541382,Branch 13,inactive,+1-436-229-7395,38541382
Credit,Canada,50079,Katie Brown,2024-08-21,73661111,73661111,830.13,user1111@test.net,766 Maple Drive,2021-06-11,73661111,Branch 1,inactive,+1-777-840-1209,73661111
Credit,Canada,97861,Alex Davis,2024-12-25,68778189,68778189,1102.36,user8189@test.net,726 Main St,2022-11-01,68778189,Branch 18,active,+1-706-313-2007,68778189
Savings,USA,33458,John Doe,2024-03-11,94206940,94206940,8439.95,user6940@sample.org,261 Main St,2020-07-23,94206940,Branch 5,inactive,+1-497-489-3870,94206940
Loan,UK,29494,Emily Smith,2024-09-23,23930521,23930521,1104.84,user0521@example.com,458 Main St,2021-02-28,23930521,Branch 18,inactive,+1-482-167-5708,23930521
Loan,Canada,10844,Katie Brown,2025-01-13,93313246,93313246,403.36,user3246@sample.org,913 First Ave,2021-11-15,93313246,Branch 3,active,+1-992-711-8027,93313246
Checking,Canada,27360,Jane Davis,2024-05-18,46331230,46331230,3485.83,user1230@sample.org,505 Broadway,2022-07-05,46331230,Branch 10,inactive,+1-880-421-6452,46331230
Savings,Australia,35343,Jane Brown,2024-07-24,52126054,52126054,4672.39,user6054@sample.org,706 Broadway,2021-01-07,52126054,Branch 6,inactive,+1-233-780-6686,52126054
Savings,Canada,52387,Alex Johnson,2024-08-15,67673823,67673823,5698.75,user3823@test.net,215 Broadway,2020-07-16,67673823,Branch 14,active,+1-656-605-7083,67673823
Savings,Canada,13645,Chris Smith,2024-08-16,89037269,89037269,5077.93,user7269@test.net,338 First Ave,2024-06-25,89037269,Branch 4,active,+1-504-777-6867,89037269
Savings,Canada,77018,John Brown,2024-04-19,19993160,19993160,9132.71,user3160@test.net,736 Broadway,2020-12-26,19993160,Branch 4,active,+1-610-638-3394,19993160
Credit,Germany,20911,Katie Doe,2025-02-12,77510947,77510947,7688.99,user0947@sample.org,264 First Ave,2022-09-02,77510947,Branch 8,inactive,+1-246-648-2820,77510947
Credit,USA,86114,Chris Davis,2024-06-09,41574356,41574356,9838.26,user4356@example.com,136 Main St,2023-01-19,41574356,Branch 8,inactive,+1-217-997-3658,41574356
Checking,Australia,84820,Alex Johnson,2025-03-05,73288417,73288417,4769.79,user8417@test.net,605 First Ave,2022-05-02,73288417,Branch 8,active,+1-687-895-8169,73288417
Loan,UK,90504,Emily Smith,2024-07-13,14110535,14110535,852.45,user0535@test.net,825 Broadway,2024-10-18,14110535,Branch 11,active,+1-373-370-1201,14110535
Checking,UK,37252,Chris Brown,2024-05-03,76745447,76745447,9555.75,user5447@sample.org,889 First Ave,2021-01-21,76745447,Branch 1,active,+1-852-421-2560,76745447
Credit,Germany,19859,Emily Smith,2024-12-10,08344483,08344483,51.09,user4483@test.net,292 Main St,2020-08-13,08344483,Branch 9,active,+1-439-888-9951,08344483
Savings,USA,37767,John Doe,2025-01-02,35566166,35566166,7763.2,user6166@sample.org,990 Maple Drive,2021-11-12,35566166,Branch 11,inactive,+1-267-359-1232,35566166
Loan,Germany,90340,John Smith,2024-11-14,46231608,46231608,322.51,user1608@sample.org,711 Main St,2020-07-13,46231608,Branch 8,inactive,+1-554-348-9469,46231608
Loan,UK,31421,John Johnson,2024-08-07,94922448,94922448,7614.53,user2448@test.net,308 Maple Drive,2024-03-25,94922448,Branch 8,inactive,+1-726-758-6147,94922448
Credit,Canada,97808,Katie Smith,2024-07-22,79211532,79211532,9380.01,user1532@example.com,707 Maple Drive,2022-05-22,79211532,Branch 11,inactive,+1-278-698-8512,79211532
Checking,Canada,64568,John Smith,2024-06-05,61923778,61923778,3898.71,user3778@example.com,186 First Ave,2021-03-19,61923778,Branch 5,inactive,+1-448-905-3366,61923778
Loan,UK,66667,Alex Smith,2024-11-15,06493524,06493524,2417.24,user3524@example.com,646 First Ave,2022-05-05,06493524,Branch 17,inactive,+1-562-590-8941,06493524
Loan,Australia,35422,Emily Johnson,2024-11-21,75031021,75031021,2270.53,user1021@test.net,642 Broadway,2024-05-19,75031021,Branch 17,active,+1-579-178-1532,75031021
Checking,Germany,50859,Emily Doe,2024-12-02,50158625,50158625,4922.26,user8625@sample.org,586 First Ave,2024-05-30,50158625,Branch 10,inactive,+1-954-401-8038,50158625
Loan,Canada,10123,Alex Davis,2024-11-09,98413049,98413049,1717.16,user3049@example.com,575 Maple Drive,2023-07-06,98413049,Branch 3,active,+1-321-111-1540,98413049
Savings,Australia,97741,Katie Smith,2024-12-07,57044768,57044768,6732.51,user4768@test.net,357 Maple Drive,2020-09-04,57044768,Branch 4,inactive,+1-962-735-7651,57044768
Loan,USA,60061,John Brown,2025-02-28,88003608,88003608,3689.84,user3608@example.com,311 Maple Drive,2022-08-17,88003608,Branch 17,active,+1-450-742-6053,88003608
Credit,USA,98609,Jane Smith,2024-03-11,63561555,63561555,3237.86,user1555@test.net,197 Broadway,2023-03-16,63561555,Branch 20,active,+1-548-620-9382,63561555
Credit,UK,25380,Jane Smith,2024-07-19,69551218,69551218,4618.24,user1218@test.net,494 Maple Drive,2024-06-02,69551218,Branch 13,active,+1-808-237-3826,69551218
Checking,Canada,26687,Chris Davis,2024-03-12,14242008,14242008,5430.45,user2008@example.com,372 Maple Drive,2022-01-19,14242008,Branch 2,active,+1-681-286-2058,14242008
Checking,USA,97753,John Brown,2025-01-27,45182368,45182368,1427.88,user2368@sample.org,108 Broadway,2023-07-19,45182368,Branch 17,inactive,+1-278-183-5460,45182368
Loan,USA,37370,Alex Doe,2024-03-15,72510757,72510757,7080.56,user0757@example.com,934 Main St,2022-03-05,72510757,Branch 5,active,+1-504-353-7550,72510757
Savings,USA,77051,Chris Johnson,2024-06-18,93753024,93753024,8830.64,user3024@sample.org,465 First Ave,2023-07-29,93753024,Branch 19,active,+1-267-871-7544,93753024
Loan,Australia,69040,Jane Johnson,2024-09-19,16063960,16063960,2787.09,user3960@sample.org,894 First Ave,2021-07-04,16063960,Branch 10,inactive,+1-343-258-7316,16063960
Savings,Canada,28130,Emily Doe,2024-04-12,73688186,73688186,1812.11,user8186@example.com,482 Maple Drive,2023-04-06,73688186,Branch 12,active,+1-988-819-5575,73688186
Credit,UK,94581,Emily Johnson,2025-01-14,69703721,69703721,7607.45,user3721@example.com,765 Maple Drive,2021-04-13,69703721,Branch 7,active,+1-909-687-5536,69703721
Savings,Germany,27246,Alex Doe,2025-02-11,84239344,84239344,1843.58,user9344@sample.org,521 Maple Drive,2024-01-20,84239344,Branch 6,inactive,+1-210-499-3152,84239344
Savings,Canada,55543,Jane Doe,2025-03-08,97469751,97469751,422.14,user9751@test.net,847 Broadway,2024-07-06,97469751,Branch 2,inactive,+1-597-335-2829,97469751
Loan,Germany,24233,Chris Johnson,2024-04-17,89799527,89799527,6196.24,user9527@test.net,119 Main St,2023-11-04,89799527,Branch 20,active,+1-522-625-9314,89799527
Checking,USA,96030,Katie Johnson,2024-12-26,08911187,08911187,2405.12,user1187@test.net,465 Main St,2020-05-01,08911187,Branch 4,inactive,+1-336-272-2562,08911187
Savings,USA,84822,Emily Doe,2024-04-02,84180333,84180333,1726.39,user0333@example.com,660 First Ave,2023-01-04,84180333,Branch 9,inactive,+1-808-539-4794,84180333
Checking,UK,20437,Chris Smith,2024-10-02,07710346,07710346,9816.21,user0346@test.net,972 Main St,2022-04-28,07710346,Branch 9,inactive,+1-324-884-6191,07710346
Checking,UK,31624,Emily Davis,2024-09-23,26314381,26314381,2925.73,user4381@sample.org,372 Main St,2025-01-18,26314381,Branch 12,active,+1-716-836-5425,26314381
Savings,Germany,71963,Emily Davis,2024-03-29,08696754,08696754,9035.4,user6754@test.net,682 Broadway,2022-03-09,08696754,Branch 18,inactive,+1-419-461-4709,08696754
Savings,Germany,55490,Alex Brown,2024-10-26,22815893,22815893,1790.41,user5893@example.com,663 Main St,2020-03-24,22815893,Branch 12,inactive,+1-634-382-8362,22815893
Credit,USA,55473,Chris Davis,2024-11-26,04006872,04006872,8191.58,user6872@sample.org,803 Maple Drive,2021-03-29,04006872,Branch 19,active,+1-907-154-4284,04006872
Loan,Australia,40985,John Davis,2024-08-04,39378775,39378775,5025.17,user8775@example.com,740 Maple Drive,2023-07-14,39378775,Branch 9,active,+1-750-256-7412,39378775
Credit,Germany,59261,Katie Doe,2024-06-10,91444020,91444020,795.16,user4020@example.com,941 Maple Drive,2023-04-01,91444020,Branch 4,inactive,+1-816-836-8198,91444020
Checking,Germany,57769,John Johnson,2024-03-17,62443683,62443683,7338.72,user3683@test.net,686 First Ave,2022-02-05,62443683,Branch 1,active,+1-360-364-5702,62443683
Checking,UK,64638,John Smith,2025-03-07,52077711,52077711,8921.81,user7711@example.com,845 Main St,2023-03-08,52077711,Branch 15,inactive,+1-928-967-2223,52077711
Credit,Australia,70215,Katie Johnson,2024-12-28,74655754,74655754,1638.54,user5754@test.net,619 First Ave,2023-05-07,74655754,Branch 9,active,+1-340-391-3488,74655754
Loan,Germany,63768,Katie Johnson,2024-09-11,83916210,83916210,7258.65,user6210@example.com,642 Broadway,2024-12-21,83916210,Branch 10,inactive,+1-325-635-1531,83916210
Savings,UK,41623,Emily Doe,2024-05-08,73043800,73043800,4456.07,user3800@test.net,204 Main St,2024-01-26,73043800,Branch 1,inactive,+1-950-120-4725,73043800
Credit,USA,71157,Emily Smith,2024-06-29,79790642,79790642,7541.17,user0642@test.net,217 First Ave,2020-12-15,79790642,Branch 8,inactive,+1-571-211-5345,79790642
