recent activity,contact,start date,Customer,residence,current balance,acct type,Profile code,Zip Code,Record_identifier:,Account-NUMBER:,status,branch,Email,Country
2024-06-30,+1-481-847-9777,2020-04-29,Jane Johnson,410 Broadway,5281.78,Savings,31251340,86555,31251340,31251340,active,Branch 8,user1340@sample.org,Australia
2024-12-28,+1-497-932-4922,2022-09-06,John Davis,165 Maple Drive,9415.99,Savings,96296842,53403,96296842,96296842,inactive,Branch 1,user6842@test.net,Canada
2024-11-10,+1-205-529-5503,2021-12-21,John Smith,773 Main St,6194.91,Credit,41396729,67041,41396729,41396729,inactive,Branch 20,user6729@test.net,Germany
2024-10-30,+1-392-493-8159,2023-03-17,Chris Johnson,640 Maple Drive,7259.2,Credit,09643298,30108,09643298,09643298,active,Branch 1,user3298@test.net,UK
2024-08-10,+1-231-295-3640,2020-06-18,Alex Brown,560 Main St,2833.69,Loan,02240166,89301,02240166,02240166,active,Branch 12,user0166@sample.org,UK
2024-12-09,+1-235-994-6891,2021-02-23,Jane Doe,712 Maple Drive,5893.93,Savings,15643440,26776,15643440,15643440,active,Branch 7,user3440@example.com,USA
2024-11-08,+1-837-847-3736,2021-02-17,Chris Davis,890 Maple Drive,1443.34,Savings,38648831,71699,38648831,38648831,active,Branch 5,user8831@test.net,Canada
2024-03-19,+1-755-960-4247,2024-11-06,Alex Smith,975 Maple Drive,4050.79,Savings,94738648,15099,94738648,94738648,inactive,Branch 10,user8648@sample.org,USA
2024-06-07,+1-987-323-1158,2021-07-09,John Johnson,395 Main St,342.07,Credit,94709054,26066,94709054,94709054,inactive,Branch 16,user9054@test.net,UK
2024-08-18,+1-493-497-2762,2021-12-18,John Johnson,430 Broadway,2174.11,Credit,90124888,23307,90124888,90124888,active,Branch 14,user4888@sample.org,USA
2024-07-31,+1-981-556-6804,2024-12-20,Jane Smith,122 Maple Drive,757.94,Credit,75263003,94673,75263003,75263003,active,Branch 10,user3003@sample.org,Germany
2025-01-23,+1-843-973-1605,2025-02-25,Emily Davis,630 Maple Drive,3883.91,Credit,48454873,42957,48454873,48454873,active,Branch 3,user4873@sample.org,USA
2025-01-16,+1-257-809-9601,2022-08-18,Katie Brown,335 Maple Drive,8431.92,Credit,05564112,65024,05564112,05564112,active,Branch 19,user4112@test.net,Germany
2025-01-22,+1-589-931-9738,2020-11-03,Emily Johnson,852 First Ave,3785.56,Loan,98980180,27007,98980180,98980180,inactive,Branch 8,user0180@test.net,Australia
2025-02-26,+1-790-614-4387,2023-03-21,Emily Smith,349 First Ave,8318.08,Credit,95368693,43589,95368693,95368693,active,Branch 7,user8693@example.com,Australia
2024-05-31,+1-812-555-2131,2024-07-13,John Brown,472 Maple Drive,6568.42,Loan,56769126,18261,56769126,56769126,inactive,Branch 12,user9126@test.net,Germany
2024-07-04,+1-632-519-6094,2020-09-25,John Brown,410 Broadway,5100.2,Loan,76124974,84370,76124974,76124974,inactive,Branch 17,user4974@test.net,Australia
2024-11-08,+1-600-124-9631,2024-01-22,Jane Doe,613 Main St,2376.55,Checking,31226475,67097,31226475,31226475,active,Branch 8,user6475@test.net,Australia
2024-06-11,+1-931-347-8197,2024-01-06,John Brown,658 Maple Drive,9222.34,Checking,79066124,89024,79066124,79066124,active,Branch 19,user6124@example.com,Canada
2024-05-18,+1-802-359-1297,2021-08-05,Chris Davis,897 Maple Drive,551.47,Loan,34872262,92792,34872262,34872262,inactive,Branch 16,user2262@sample.org,Australia
2025-01-16,+1-989-174-8367,2022-07-25,Emily Brown,519 Broadway,6892.24,Credit,93157430,59797,93157430,93157430,active,Branch 18,user7430@test.net,USA
2024-05-23,+1-344-751-1616,2022-06-12,John Brown,788 Maple Drive,6216.19,Checking,27605334,46160,27605334,27605334,inactive,Branch 12,user5334@example.com,UK
2024-07-13,+1-740-768-2796,2024-04-09,Chris Doe,214 Main St,4416.0,Checking,23117654,39776,23117654,23117654,active,Branch 13,user7654@test.net,USA
2024-11-05,+1-697-130-4600,2022-10-22,Alex Smith,266 Main St,2410.81,Credit,80230572,43758,80230572,80230572,inactive,Branch 8,user0572@example.com,Canada
2024-11-19,+1-315-351-7285,2022-07-05,Jane Davis,771 Broadway,4312.65,Checking,34515315,14368,34515315,34515315,active,Branch 8,user5315@sample.org,Australia
2024-05-04,+1-831-900-7606,2024-04-07,John Brown,663 First Ave,8729.0,Credit,71854819,21415,71854819,71854819,active,Branch 1,user4819@test.net,Australia
2024-10-31,+1-385-167-7050,2025-02-23,Emily Johnson,571 Broadway,8369.29,Loan,95648984,51638,95648984,95648984,inactive,Branch 5,user8984@sample.org,Germany
2024-04-06,+1-950-500-3115,2022-10-31,John Brown,356 First Ave,9414.4,Savings,08426978,88696,08426978,08426978,active,Branch 13,user6978@example.com,Canada
2024-04-25,+1-947-638-2416,2023-01-28,Jane Brown,758 First Ave,3084.85,Loan,21843113,80144,21843113,21843113,inactive,Branch 4,user3113@example.com,UK
2024-05-31,+1-236-540-4459,2021-06-07,Jane Smith,955 Main St,3877.17,Checking,89499605,70507,89499605,89499605,inactive,Branch 4,user9605@sample.org,USA
2024-11-29,+1-270-405-3881,2024-10-16,Emily Doe,179 First Ave,197.07,Credit,58617674,77519,58617674,58617674,active,Branch 12,user7674@test.net,Australia
2024-06-20,+1-864-657-4744,2023-04-12,Jane Davis,934 First Ave,9430.07,Checking,12250968,35328,12250968,12250968,active,Branch 5,user0968@example.com,Australia
2025-02-28,+1-472-145-8132,2020-07-22,Jane Brown,103 Maple Drive,3300.61,Loan,16399687,85866,16399687,16399687,inactive,Branch 3,user9687@example.com,Canada
2024-11-29,+1-956-420-6906,2022-09-28,John Brown,144 Maple Drive,4047.6,Loan,72274696,39024,72274696,72274696,inactive,Branch 12,user4696@sample.org,UK
