Name,nation,mobile,acct balance,acct type,Zip Code,activity date,ledger_num,Status,e-mail,Branch,Profile_identification,open_date,address,Bank_NUMBER:
Chris Davis,Australia,+1-406-820-6863,4942.07,Savings,90827,2025-03-09,55165206,inactive,user5206@sample.org,Branch 12,55165206,2022-10-21,306 Broadway,55165206
Katie Doe,Australia,+1-898-385-8085,1097.85,Loan,81266,2024-10-04,03175665,active,user5665@example.com,Branch 13,03175665,2023-02-21,830 Main St,03175665
Jane Brown,Germany,+1-679-180-1869,3693.03,Checking,29963,2024-03-15,38106949,inactive,user6949@test.net,Branch 11,38106949,2024-07-23,510 Broadway,38106949
Chris Doe,Canada,+1-583-494-8252,5508.12,Checking,51500,2025-01-31,36136645,inactive,user6645@test.net,Branch 5,36136645,2021-08-29,200 First Ave,36136645
Chris Davis,Germany,+1-633-913-9139,4181.07,Loan,88038,2024-06-10,03642377,inactive,user2377@test.net,Branch 9,03642377,2023-01-13,406 Maple Drive,03642377
Jane Johnson,Australia,+1-411-379-3507,1873.69,Loan,85382,2025-03-09,04272942,inactive,user2942@test.net,Branch 1,04272942,2022-07-24,899 Main St,04272942
Chris Brown,Canada,+1-777-660-2096,379.53,Savings,79492,2024-07-17,18226209,active,user6209@example.com,Branch 14,18226209,2024-04-12,664 Main St,18226209
Katie Brown,UK,+1-511-997-5689,6877.21,Credit,12859,2024-07-10,04027324,inactive,user7324@example.com,Branch 19,04027324,2023-02-18,178 Broadway,04027324
Alex Smith,Canada,+1-270-454-9255,9927.44,Savings,78393,2024-06-07,24030210,inactive,user0210@example.com,Branch 11,24030210,2020-04-02,154 Broadway,24030210
John Brown,USA,+1-224-330-2293,9192.87,Checking,10136,2024-12-25,99349142,active,user9142@example.com,Branch 14,99349142,2023-04-09,329 First Ave,99349142
Katie Doe,Canada,+1-561-904-8700,6835.88,Checking,34236,2024-08-31,23716247,active,user6247@sample.org,Branch 10,23716247,2023-02-16,211 Maple Drive,23716247
Jane Doe,USA,+1-930-375-6125,8416.88,Credit,64265,2025-01-19,87874174,active,user4174@sample.org,Branch 14,87874174,2021-06-20,552 Broadway,87874174
John Davis,Australia,+1-891-333-6002,2564.72,Savings,16798,2024-11-09,87381522,active,user1522@sample.org,Branch 16,87381522,2023-12-28,895 Maple Drive,87381522
Jane Davis,Germany,+1-944-302-3517,6228.12,Savings,30268,2024-04-13,69302409,active,user2409@example.com,Branch 14,69302409,2020-04-17,779 Broadway,69302409
Katie Brown,USA,+1-633-853-6556,615.44,Credit,91744,2025-02-26,39920608,inactive,user0608@sample.org,Branch 2,39920608,2021-08-14,298 First Ave,39920608
Chris Davis,USA,+1-743-176-4229,7074.77,Credit,17751,2024-12-19,28057097,inactive,user7097@example.com,Branch 7,28057097,2020-03-17,519 Maple Drive,28057097
Katie Smith,Germany,+1-850-381-5589,9699.02,Credit,78460,2024-11-30,79855450,inactive,user5450@example.com,Branch 14,79855450,2021-07-17,951 First Ave,79855450
Jane Smith,Canada,+1-973-724-8466,8609.37,Credit,20866,2024-05-27,98820619,active,user0619@example.com,Branch 13,98820619,2021-05-21,833 Main St,98820619
Alex Doe,Canada,+1-476-777-6035,5349.06,Checking,11464,2025-02-19,20271376,inactive,user1376@sample.org,Branch 15,20271376,2021-06-16,147 First Ave,20271376
Jane Davis,UK,+1-950-246-6965,7889.51,Checking,78546,2025-02-22,56097923,inactive,user7923@test.net,Branch 8,56097923,2021-10-05,574 Main St,56097923
Katie Johnson,Canada,+1-653-264-7113,9439.55,Credit,13823,2024-06-04,60682275,inactive,user2275@example.com,Branch 20,60682275,2020-03-22,332 First Ave,60682275
John Brown,Canada,+1-721-576-7316,2168.02,Credit,65018,2025-02-02,74660342,inactive,user0342@test.net,Branch 20,74660342,2024-07-27,158 Main St,74660342
Chris Davis,Australia,+1-563-427-9725,7934.65,Savings,65673,2024-08-03,63007226,active,user7226@test.net,Branch 9,63007226,2022-06-23,626 First Ave,63007226
Katie Smith,Germany,+1-302-575-4550,2705.77,Loan,81823,2025-01-17,35465248,inactive,user5248@example.com,Branch 1,35465248,2023-08-16,758 Maple Drive,35465248
Katie Doe,Australia,+1-290-448-1519,8770.7,Savings,44140,2024-06-16,79007904,active,user7904@test.net,Branch 20,79007904,2023-09-02,832 First Ave,79007904
Chris Brown,Australia,+1-843-391-2568,992.56,Checking,11025,2024-09-25,36657941,inactive,user7941@test.net,Branch 1,36657941,2022-12-23,894 Main St,36657941
Jane Doe,UK,+1-733-526-7454,1790.4,Checking,74662,2024-04-14,86905711,active,user5711@example.com,Branch 20,86905711,2024-04-22,584 First Ave,86905711
Chris Doe,Germany,+1-877-660-5306,7208.96,Checking,65577,2024-09-09,59071597,inactive,user1597@sample.org,Branch 20,59071597,2024-09-18,319 Maple Drive,59071597
Emily Brown,Australia,+1-280-856-6500,1756.03,Checking,97099,2024-09-20,14341846,inactive,user1846@sample.org,Branch 7,14341846,2024-09-23,779 Broadway,14341846
Jane Brown,USA,+1-603-374-5207,1588.96,Loan,18003,2024-05-21,58683497,inactive,user3497@example.com,Branch 20,58683497,2023-10-15,951 Main St,58683497
Katie Johnson,Australia,+1-636-422-9379,5559.11,Credit,59682,2024-12-29,13150057,inactive,user0057@test.net,Branch 19,13150057,2024-03-03,365 Main St,13150057
Katie Doe,Canada,+1-930-747-9519,8351.52,Savings,98581,2024-07-05,32343474,active,user3474@example.com,Branch 17,32343474,2021-03-08,606 Broadway,32343474
Jane Brown,Australia,+1-822-331-9084,2691.99,Loan,19346,2024-08-26,84470953,active,user0953@test.net,Branch 6,84470953,2022-12-25,680 Main St,84470953
Katie Smith,USA,+1-231-385-2071,8412.97,Credit,14594,2024-03-29,21208393,inactive,user8393@test.net,Branch 19,21208393,2020-08-25,764 Maple Drive,21208393
Jane Brown,USA,+1-945-136-5798,8081.45,Savings,42187,2024-07-24,84908850,inactive,user8850@test.net,Branch 4,84908850,2021-11-30,212 First Ave,84908850
John Smith,Australia,+1-504-441-6003,5795.26,Credit,60573,2024-12-05,41803731,inactive,user3731@sample.org,Branch 9,41803731,2020-11-08,486 Main St,41803731
Emily Smith,Australia,+1-879-199-8170,6469.16,Loan,65564,2024-09-12,21840062,active,user0062@example.com,Branch 11,21840062,2022-07-06,864 Maple Drive,21840062
John Johnson,Australia,+1-543-373-4986,414.01,Checking,83608,2024-11-10,99330206,active,user0206@example.com,Branch 15,99330206,2024-12-11,893 Maple Drive,99330206
John Davis,UK,+1-794-440-4453,3677.68,Checking,75264,2024-07-22,95972451,inactive,user2451@sample.org,Branch 11,95972451,2020-07-02,237 Broadway,95972451
John Doe,Canada,+1-485-957-7304,2641.32,Credit,54767,2024-06-01,64012850,inactive,user2850@sample.org,Branch 7,64012850,2021-01-08,571 Broadway,64012850
Katie Smith,UK,+1-922-920-1588,1508.54,Credit,43712,2025-01-15,98924145,active,user4145@sample.org,Branch 13,98924145,2025-02-01,983 Broadway,98924145
Alex Brown,USA,+1-347-521-4850,3902.7,Savings,35429,2024-08-03,85480137,active,user0137@sample.org,Branch 7,85480137,2024-05-31,231 Maple Drive,85480137
Katie Brown,Canada,+1-450-868-9786,3555.49,Checking,21702,2024-12-11,24754819,inactive,user4819@test.net,Branch 8,24754819,2022-02-27,692 Broadway,24754819
Emily Doe,Germany,+1-603-814-9983,7291.63,Checking,50590,2024-11-24,39510685,active,user0685@test.net,Branch 5,39510685,2021-12-20,340 First Ave,39510685
Katie Smith,UK,+1-443-832-1832,5984.98,Savings,76479,2024-07-09,94124304,inactive,user4304@sample.org,Branch 3,94124304,2023-02-28,183 Maple Drive,94124304
Katie Johnson,Australia,+1-529-527-5302,9131.87,Loan,67616,2025-01-07,46791563,inactive,user1563@test.net,Branch 13,46791563,2023-05-16,944 Maple Drive,46791563
Chris Smith,UK,+1-471-139-4968,1462.62,Savings,31051,2024-10-05,16868135,inactive,user8135@sample.org,Branch 18,16868135,2020-04-08,492 Maple Drive,16868135
Alex Johnson,UK,+1-567-604-5246,606.89,Credit,64738,2024-03-23,70088331,inactive,user8331@example.com,Branch 9,70088331,2021-03-27,657 First Ave,70088331
Emily Davis,Germany,+1-746-625-3538,5350.73,Checking,53546,2024-06-14,78986343,active,user6343@test.net,Branch 12,78986343,2021-01-26,467 Maple Drive,78986343
Jane Smith,UK,+1-614-280-8920,20.26,Loan,53960,2024-08-11,06028072,inactive,user8072@example.com,Branch 11,06028072,2023-04-13,137 Main St,06028072
John Johnson,UK,+1-746-430-3299,7879.31,Credit,57924,2024-07-20,39181728,active,user1728@example.com,Branch 19,39181728,2023-04-10,958 Maple Drive,39181728
Chris Smith,Germany,+1-807-762-7384,5064.67,Loan,77876,2024-09-17,17602551,inactive,user2551@example.com,Branch 15,17602551,2021-09-10,963 First Ave,17602551
Alex Brown,Germany,+1-603-448-6312,4885.78,Checking,35020,2024-07-09,07072488,active,user2488@example.com,Branch 4,07072488,2021-03-09,674 Main St,07072488
Chris Doe,Germany,+1-221-287-4585,3631.33,Loan,99398,2024-09-01,38765028,active,user5028@sample.org,Branch 13,38765028,2020-12-14,561 Broadway,38765028
Emily Doe,Australia,+1-297-286-5881,3755.99,Checking,91302,2024-07-14,56711352,inactive,user1352@sample.org,Branch 17,56711352,2024-11-25,606 Main St,56711352
Chris Johnson,USA,+1-307-571-4936,4317.03,Checking,64662,2024-10-19,07991886,active,user1886@test.net,Branch 12,07991886,2022-07-01,967 Main St,07991886
Emily Smith,Australia,+1-760-629-9138,170.16,Checking,11350,2024-06-20,36105431,active,user5431@test.net,Branch 10,36105431,2024-01-26,943 Maple Drive,36105431
Alex Johnson,Canada,+1-400-405-6057,844.62,Credit,34023,2025-01-19,85300355,active,user0355@example.com,Branch 2,85300355,2021-10-18,305 Main St,85300355
Alex Smith,UK,+1-402-473-1928,5055.43,Loan,60454,2024-03-22,24445730,active,user5730@example.com,Branch 13,24445730,2024-12-11,941 Maple Drive,24445730
Chris Davis,Germany,+1-274-409-1286,1509.72,Loan,15164,2024-05-15,11118574,inactive,user8574@example.com,Branch 9,11118574,2023-07-13,158 First Ave,11118574
John Smith,USA,+1-216-215-6534,7789.84,Savings,94466,2024-03-31,51812504,inactive,user2504@test.net,Branch 2,51812504,2021-07-25,230 First Ave,51812504
Alex Smith,USA,+1-663-573-7389,2752.11,Savings,53062,2024-11-20,24572049,active,user2049@test.net,Branch 18,24572049,2021-12-04,976 First Ave,24572049
Chris Doe,Australia,+1-397-934-2614,988.02,Credit,89602,2024-09-22,65261735,active,user1735@sample.org,Branch 16,65261735,2023-07-12,593 Maple Drive,65261735
Katie Davis,USA,+1-696-874-3122,2359.75,Savings,51344,2024-09-21,73976575,inactive,user6575@example.com,Branch 15,73976575,2022-03-08,616 Main St,73976575
Katie Johnson,Canada,+1-223-410-4385,3577.41,Checking,69190,2025-02-11,49191160,inactive,user1160@sample.org,Branch 13,49191160,2021-01-31,979 First Ave,49191160
Chris Brown,Germany,+1-465-478-4938,362.81,Loan,72344,2024-06-23,31613335,inactive,user3335@example.com,Branch 18,31613335,2021-08-03,858 Broadway,31613335
John Johnson,UK,+1-510-719-3051,1425.34,Savings,89943,2024-10-21,95888941,active,user8941@test.net,Branch 2,95888941,2023-03-20,603 Broadway,95888941
Chris Smith,Germany,+1-697-595-2314,3245.23,Loan,46298,2025-03-03,20782841,inactive,user2841@sample.org,Branch 18,20782841,2024-09-23,213 Maple Drive,20782841
Alex Smith,Germany,+1-336-305-5781,3111.7,Loan,25536,2024-08-20,59735038,inactive,user5038@example.com,Branch 8,59735038,2020-04-24,786 Main St,59735038
Katie Johnson,Germany,+1-467-115-6169,8005.86,Checking,34112,2024-03-11,54151368,inactive,user1368@test.net,Branch 3,54151368,2021-06-18,457 First Ave,54151368
John Johnson,Australia,+1-778-302-3759,8434.12,Savings,49554,2024-07-17,65749784,active,user9784@test.net,Branch 13,65749784,2023-11-20,550 Maple Drive,65749784
Chris Doe,Australia,+1-452-852-9920,1942.25,Savings,10360,2024-06-09,88584165,inactive,user4165@sample.org,Branch 18,88584165,2022-11-23,685 Maple Drive,88584165
Alex Doe,Canada,+1-384-143-4289,1248.16,Checking,28692,2024-08-22,77229218,active,user9218@example.com,Branch 1,77229218,2022-08-25,321 Main St,77229218
Katie Smith,Australia,+1-557-141-9878,6345.28,Credit,35821,2024-11-25,46795302,inactive,user5302@example.com,Branch 18,46795302,2024-02-09,369 First Ave,46795302
Alex Davis,Canada,+1-456-810-9350,8048.19,Savings,35189,2025-02-24,12629460,active,user9460@sample.org,Branch 4,12629460,2021-04-17,505 Maple Drive,12629460
Chris Davis,Australia,+1-536-677-9879,9637.59,Credit,60919,2024-11-13,94158505,active,user8505@example.com,Branch 19,94158505,2021-08-06,526 Broadway,94158505
