Country,client name,office,client Code,postal code,phone,Open Date,status,activity date,Acc NUM,account_no,acct balance,acc_ID,Bank_identification:,Account Type,E-mail,address
UK,John Davis,Branch 10,73373885,67800,+1-490-206-9821,2024-02-07,active,2024-11-03,73373885,73373885,5179.22,73373885,73373885,Checking,user3885@test.net,378 Broadway
UK,Katie Doe,Branch 5,10875364,20871,+1-846-194-7412,2022-08-12,inactive,2024-08-31,10875364,10875364,2513.68,10875364,10875364,Loan,user5364@test.net,353 First Ave
Australia,John Johnson,Branch 3,75798550,41689,+1-907-696-4400,2020-09-26,active,2024-08-31,75798550,75798550,7565.95,75798550,75798550,Savings,user8550@example.com,813 First Ave
Canada,Chris Brown,Branch 19,75255650,63881,+1-846-826-7003,2022-11-02,active,2024-07-06,75255650,75255650,8779.82,75255650,75255650,Savings,user5650@test.net,196 Broadway
UK,Alex Smith,Branch 18,71934334,45896,+1-893-374-2018,2021-05-20,inactive,2025-01-04,71934334,71934334,6655.22,71934334,71934334,Savings,user4334@example.com,397 Main St
Germany,Katie Johnson,Branch 20,97837298,41246,+1-356-594-9435,2021-12-23,active,2024-10-13,97837298,97837298,6294.44,97837298,97837298,Savings,user7298@example.com,131 Maple Drive
Germany,John Doe,Branch 12,85253709,81086,+1-260-453-2018,2023-06-08,inactive,2024-04-05,85253709,85253709,1938.12,85253709,85253709,Savings,user3709@sample.org,114 Broadway
Australia,Emily Doe,Branch 8,26874848,69771,+1-474-698-6898,2023-10-06,inactive,2024-11-07,26874848,26874848,3584.39,26874848,26874848,Credit,user4848@example.com,404 Main St
Germany,Alex Johnson,Branch 8,80557677,45331,+1-740-948-8765,2023-07-06,inactive,2024-07-01,80557677,80557677,7234.13,80557677,80557677,Loan,user7677@sample.org,676 Main St
Canada,Jane Brown,Branch 9,70053913,30219,+1-361-653-2776,2023-11-13,active,2024-12-11,70053913,70053913,178.82,70053913,70053913,Checking,user3913@example.com,665 Broadway
USA,Jane Smith,Branch 19,87912734,11649,+1-621-929-4584,2024-12-30,inactive,2024-08-31,87912734,87912734,6416.23,87912734,87912734,Savings,user2734@test.net,920 First Ave
Germany,Chris Davis,Branch 9,89184588,54462,+1-290-115-9425,2020-09-15,active,2024-08-30,89184588,89184588,7669.04,89184588,89184588,Checking,user4588@test.net,761 Main St
USA,Chris Smith,Branch 8,70772636,30393,+1-666-644-5063,2020-11-06,inactive,2024-05-20,70772636,70772636,3353.7,70772636,70772636,Credit,user2636@sample.org,387 Maple Drive
Australia,Emily Davis,Branch 9,14223822,16637,+1-722-932-8231,2024-08-09,active,2025-02-08,14223822,14223822,770.92,14223822,14223822,Savings,user3822@test.net,930 Maple Drive
Australia,John Brown,Branch 20,68732963,32418,+1-696-731-5999,2021-08-19,active,2024-11-23,68732963,68732963,8193.0,68732963,68732963,Loan,user2963@sample.org,227 First Ave
UK,Chris Smith,Branch 17,92123260,65575,+1-589-607-6335,2022-04-29,inactive,2024-11-14,92123260,92123260,1426.95,92123260,92123260,Checking,user3260@test.net,377 Maple Drive
USA,Chris Johnson,Branch 14,75673495,93414,+1-782-211-4714,2022-06-04,active,2024-12-04,75673495,75673495,3714.3,75673495,75673495,Loan,user3495@sample.org,281 Main St
Germany,Emily Smith,Branch 5,33984162,67971,+1-890-857-5767,2023-09-30,inactive,2024-07-02,33984162,33984162,7075.47,33984162,33984162,Savings,user4162@sample.org,876 Broadway
USA,Alex Johnson,Branch 16,41196730,11587,+1-307-782-1719,2023-10-17,active,2024-06-28,41196730,41196730,8171.69,41196730,41196730,Loan,user6730@test.net,177 Maple Drive
Australia,Alex Doe,Branch 3,36915108,95004,+1-469-131-4676,2021-10-04,active,2024-08-05,36915108,36915108,8625.2,36915108,36915108,Loan,user5108@example.com,767 First Ave
Germany,Alex Davis,Branch 19,04892466,95471,+1-510-139-5567,2023-02-15,active,2025-02-14,04892466,04892466,5308.87,04892466,04892466,Credit,user2466@example.com,703 Main St
USA,Katie Brown,Branch 2,81801282,23335,+1-559-738-6159,2023-01-22,active,2024-12-03,81801282,81801282,4763.96,81801282,81801282,Credit,user1282@sample.org,144 Maple Drive
Australia,Jane Brown,Branch 9,12966441,91736,+1-230-337-2136,2023-12-24,active,2024-07-08,12966441,12966441,8484.69,12966441,12966441,Savings,user6441@sample.org,786 First Ave
Canada,Alex Doe,Branch 1,70497901,86855,+1-625-311-5486,2023-06-13,active,2024-03-18,70497901,70497901,5635.14,70497901,70497901,Checking,user7901@sample.org,504 Maple Drive
Canada,Chris Davis,Branch 20,43604536,46407,+1-336-344-2293,2022-03-26,inactive,2024-12-09,43604536,43604536,5790.72,43604536,43604536,Credit,user4536@sample.org,847 Broadway
Germany,Chris Smith,Branch 16,01348357,20724,+1-804-678-1712,2023-07-10,inactive,2024-08-18,01348357,01348357,4345.39,01348357,01348357,Credit,user8357@test.net,635 Main St
Australia,Katie Davis,Branch 5,16834881,78691,+1-982-513-7031,2023-07-29,active,2025-01-17,16834881,16834881,3734.41,16834881,16834881,Loan,user4881@test.net,179 Maple Drive
USA,Jane Doe,Branch 20,68436774,20781,+1-760-810-6867,2024-07-19,inactive,2025-01-12,68436774,68436774,4810.6,68436774,68436774,Checking,user6774@sample.org,623 Maple Drive
Australia,Jane Smith,Branch 14,28169393,60413,+1-295-755-5064,2023-04-19,inactive,2024-06-08,28169393,28169393,3654.83,28169393,28169393,Checking,user9393@sample.org,510 Main St
UK,Alex Brown,Branch 12,71396940,56681,+1-890-494-1825,2020-11-03,active,2024-05-10,71396940,71396940,3442.03,71396940,71396940,Checking,user6940@test.net,293 Broadway
USA,John Johnson,Branch 15,82368180,74435,+1-397-719-9755,2024-07-15,active,2024-06-27,82368180,82368180,9936.71,82368180,82368180,Checking,user8180@test.net,610 Maple Drive
Australia,Jane Smith,Branch 2,55759793,19898,+1-386-431-6230,2022-08-23,active,2024-08-24,55759793,55759793,3368.77,55759793,55759793,Checking,user9793@example.com,586 Maple Drive
USA,Katie Doe,Branch 17,18033579,64820,+1-908-625-9034,2024-09-08,active,2024-11-03,18033579,18033579,2571.27,18033579,18033579,Savings,user3579@test.net,262 Maple Drive
Canada,John Brown,Branch 9,86992171,72657,+1-218-905-1697,2024-06-08,inactive,2024-07-05,86992171,86992171,3545.7,86992171,86992171,Loan,user2171@sample.org,332 First Ave
USA,Jane Davis,Branch 12,29425390,39143,+1-311-953-1481,2025-02-06,inactive,2024-11-19,29425390,29425390,5911.91,29425390,29425390,Savings,user5390@test.net,661 Broadway
USA,John Doe,Branch 16,86572708,33670,+1-309-480-5561,2022-09-20,active,2024-10-22,86572708,86572708,9110.79,86572708,86572708,Credit,user2708@sample.org,139 First Ave
Canada,Alex Brown,Branch 16,21641669,36414,+1-983-476-4824,2021-01-09,inactive,2024-04-01,21641669,21641669,7880.76,21641669,21641669,Loan,user1669@example.com,971 Broadway
USA,Katie Doe,Branch 16,84567290,89825,+1-500-664-2244,2024-04-14,inactive,2024-10-06,84567290,84567290,8423.99,84567290,84567290,Checking,user7290@example.com,570 Maple Drive
Germany,Chris Smith,Branch 18,63499846,88814,+1-222-101-7376,2023-11-27,inactive,2024-08-16,63499846,63499846,8591.5,63499846,63499846,Credit,user9846@example.com,286 Maple Drive
USA,Alex Doe,Branch 9,97225561,80049,+1-395-862-8811,2024-03-28,active,2025-03-06,97225561,97225561,9206.08,97225561,97225561,Loan,user5561@example.com,802 First Ave
UK,Chris Johnson,Branch 8,59311603,35169,+1-434-527-3985,2024-07-23,inactive,2024-12-27,59311603,59311603,2358.36,59311603,59311603,Loan,user1603@example.com,227 Main St
USA,Alex Brown,Branch 9,23172182,64509,+1-425-751-9312,2022-04-23,active,2024-04-18,23172182,23172182,4589.08,23172182,23172182,Savings,user2182@sample.org,516 First Ave
Germany,Chris Brown,Branch 13,70840527,21313,+1-682-498-7638,2022-12-26,inactive,2025-03-09,70840527,70840527,3858.12,70840527,70840527,Credit,user0527@example.com,615 Broadway
UK,Jane Doe,Branch 15,66674894,12593,+1-956-639-6265,2022-03-15,inactive,2024-04-09,66674894,66674894,3824.95,66674894,66674894,Savings,user4894@example.com,711 Main St
Australia,Emily Davis,Branch 2,08764195,47088,+1-607-468-8500,2024-01-07,active,2024-07-03,08764195,08764195,6526.31,08764195,08764195,Loan,user4195@sample.org,719 Main St
USA,Emily Johnson,Branch 15,34327304,51599,+1-956-206-3335,2022-04-17,inactive,2024-08-06,34327304,34327304,4024.01,34327304,34327304,Checking,user7304@example.com,960 First Ave
Germany,Chris Davis,Branch 13,13231876,67120,+1-425-762-1629,2023-08-07,inactive,2024-05-09,13231876,13231876,6167.14,13231876,13231876,Loan,user1876@sample.org,526 Broadway
Australia,Emily Davis,Branch 13,74743645,83113,+1-962-146-6129,2021-08-14,inactive,2024-09-19,74743645,74743645,3828.97,74743645,74743645,Credit,user3645@test.net,397 Broadway
UK,Jane Smith,Branch 9,58042698,66337,+1-535-318-2140,2021-10-08,active,2024-10-05,58042698,58042698,3118.17,58042698,58042698,Loan,user2698@sample.org,283 First Ave
UK,Emily Doe,Branch 14,29485303,73608,+1-580-389-1215,2020-10-07,active,2024-04-15,29485303,29485303,3537.24,29485303,29485303,Savings,user5303@sample.org,899 Main St
USA,Emily Doe,Branch 3,78239313,23886,+1-548-833-6593,2020-12-12,inactive,2025-01-13,78239313,78239313,8039.53,78239313,78239313,Loan,user9313@sample.org,860 Maple Drive
Germany,John Smith,Branch 13,80556570,50283,+1-536-397-5648,2020-11-02,active,2024-06-14,80556570,80556570,6014.5,80556570,80556570,Credit,user6570@test.net,474 Main St
Germany,Chris Doe,Branch 2,75428532,52097,+1-710-535-6890,2023-09-10,active,2024-12-09,75428532,75428532,9740.24,75428532,75428532,Loan,user8532@sample.org,653 First Ave
USA,John Doe,Branch 6,55904918,12815,+1-844-850-7111,2020-12-10,active,2024-04-19,55904918,55904918,8328.24,55904918,55904918,Credit,user4918@test.net,385 First Ave
UK,Katie Doe,Branch 7,70752088,49631,+1-574-640-8584,2021-04-29,active,2024-08-10,70752088,70752088,4862.95,70752088,70752088,Savings,user2088@test.net,992 First Ave
UK,Chris Brown,Branch 18,02503511,20106,+1-622-916-5908,2023-02-01,inactive,2025-01-19,02503511,02503511,2431.34,02503511,02503511,Loan,user3511@sample.org,940 Maple Drive
UK,Jane Brown,Branch 8,73106323,92305,+1-394-640-6306,2021-03-17,inactive,2024-06-08,73106323,73106323,6742.35,73106323,73106323,Savings,user6323@test.net,336 Broadway
Canada,Alex Johnson,Branch 4,24030178,47173,+1-997-180-1975,2020-11-12,inactive,2024-09-28,24030178,24030178,7269.19,24030178,24030178,Credit,user0178@sample.org,693 Main St
Australia,John Smith,Branch 15,73435828,91278,+1-247-831-2620,2024-02-16,active,2024-07-28,73435828,73435828,4647.12,73435828,73435828,Loan,user5828@example.com,595 Main St
USA,Chris Doe,Branch 9,83934150,53316,+1-258-344-2990,2020-06-19,active,2024-09-26,83934150,83934150,2306.92,83934150,83934150,Loan,user4150@test.net,553 First Ave
USA,Emily Smith,Branch 4,66425090,72156,+1-364-691-9758,2025-01-01,inactive,2024-04-10,66425090,66425090,5576.81,66425090,66425090,Savings,user5090@example.com,360 Maple Drive
USA,Emily Johnson,Branch 15,12323475,55133,+1-843-881-6326,2022-02-18,active,2024-12-08,12323475,12323475,2545.75,12323475,12323475,Checking,user3475@sample.org,376 First Ave
UK,Emily Smith,Branch 20,08297996,12638,+1-887-371-3597,2024-11-06,active,2024-04-28,08297996,08297996,9400.58,08297996,08297996,Loan,user7996@example.com,279 Broadway
Canada,Katie Johnson,Branch 1,44694935,35419,+1-306-156-2827,2022-01-04,active,2024-09-01,44694935,44694935,6292.55,44694935,44694935,Loan,user4935@test.net,831 Main St
USA,Jane Brown,Branch 5,22707654,49555,+1-426-986-9143,2020-04-17,inactive,2024-04-09,22707654,22707654,2926.39,22707654,22707654,Savings,user7654@test.net,335 Main St
Canada,Jane Brown,Branch 18,69668934,49036,+1-682-987-5865,2020-11-10,active,2024-07-04,69668934,69668934,2165.15,69668934,69668934,Credit,user8934@sample.org,718 First Ave
Germany,Alex Smith,Branch 6,72136384,77859,+1-353-385-1489,2020-08-18,inactive,2024-07-03,72136384,72136384,7170.07,72136384,72136384,Loan,user6384@example.com,326 First Ave
Germany,Emily Davis,Branch 7,26343542,96764,+1-463-608-6113,2022-10-25,inactive,2024-03-29,26343542,26343542,7080.85,26343542,26343542,Savings,user3542@test.net,654 Broadway
Australia,Alex Doe,Branch 7,93727693,75726,+1-741-509-6206,2023-02-18,inactive,2024-10-31,93727693,93727693,5975.35,93727693,93727693,Savings,user7693@test.net,162 Maple Drive
