acct type,location,Last Activity,street,acct status,Country,E-mail,Customeridentification,mobile,Zip Code,start date,balance,Record identifier:,client name
Checking,Branch 10,2025-01-13,885 First Ave,active,Australia,user6361@sample.org,05676361,+1-399-231-8654,99982,2022-07-15,1546.56,05676361,Katie Davis
Checking,Branch 11,2024-06-28,502 First Ave,active,UK,user9795@sample.org,84679795,+1-694-550-2212,28340,2023-12-27,6692.37,84679795,John Davis
Loan,Branch 16,2025-01-13,401 First Ave,active,Canada,user6630@test.net,56106630,+1-470-277-3126,18792,2022-10-19,3266.86,56106630,Alex Johnson
Credit,Branch 5,2024-07-19,321 Broadway,active,Australia,user4197@example.com,40704197,+1-276-629-5266,11544,2022-05-15,371.46,40704197,Emily Doe
Loan,Branch 18,2024-04-11,543 Maple Drive,inactive,Australia,user9563@test.net,27599563,+1-520-368-8403,36377,2022-08-21,1245.81,27599563,Emily Davis
Savings,Branch 3,2025-02-20,467 First Ave,inactive,Australia,user3593@sample.org,71053593,+1-254-312-3360,99453,2022-11-15,6552.44,71053593,Katie Brown
Credit,Branch 6,2025-02-16,559 First Ave,active,Germany,user7034@example.com,13287034,+1-472-758-8165,39699,2020-05-30,2406.74,13287034,Katie Johnson
Credit,Branch 11,2024-08-04,970 Broadway,active,USA,user3522@test.net,96493522,+1-897-331-2152,93768,2025-01-20,6314.04,96493522,John Brown
Checking,Branch 9,2024-05-25,869 Broadway,inactive,Germany,user6638@example.com,02056638,+1-747-766-3556,42323,2020-12-03,4154.07,02056638,John Davis
Credit,Branch 13,2024-07-14,929 First Ave,active,USA,user5814@test.net,50315814,+1-323-320-8995,66540,2023-12-26,6930.21,50315814,Katie Davis
Credit,Branch 14,2024-06-08,626 First Ave,inactive,USA,user9716@example.com,28499716,+1-418-460-7637,39893,2024-12-05,4934.56,28499716,Chris Brown
Loan,Branch 3,2024-05-08,979 Main St,active,Germany,user6449@sample.org,95566449,+1-933-964-9376,15668,2023-12-20,3092.39,95566449,Emily Brown
Checking,Branch 11,2024-04-29,294 Main St,active,Australia,user8412@sample.org,40788412,+1-560-771-3523,81275,2024-08-23,1466.73,40788412,Emily Johnson
Savings,Branch 9,2024-04-24,501 First Ave,active,Germany,user4455@test.net,63224455,+1-275-238-5144,12105,2022-07-01,3417.57,63224455,Alex Brown
Savings,Branch 4,2024-03-15,771 Maple Drive,active,Canada,user7228@test.net,92747228,+1-255-927-2502,55606,2021-11-28,6352.59,92747228,Jane Davis
Savings,Branch 12,2024-03-12,924 Broadway,active,Australia,user3330@example.com,59273330,+1-679-435-1312,74724,2022-03-13,7407.33,59273330,Katie Doe
Checking,Branch 14,2024-12-04,626 First Ave,inactive,USA,user3052@example.com,54573052,+1-950-313-3462,54291,2023-12-19,1611.79,54573052,Emily Brown
Savings,Branch 14,2024-10-24,263 First Ave,inactive,USA,user5880@test.net,89445880,+1-673-165-1060,17220,2023-01-21,6646.08,89445880,Jane Smith
Savings,Branch 11,2025-01-29,429 Broadway,active,Australia,user1261@sample.org,05701261,+1-816-805-3182,40239,2020-09-04,1801.0,05701261,John Doe
Credit,Branch 17,2025-03-08,769 Broadway,inactive,Canada,user5899@sample.org,36345899,+1-388-115-2286,78951,2023-12-15,2225.98,36345899,Jane Davis
Loan,Branch 9,2024-04-23,966 Broadway,active,Germany,user1880@test.net,29311880,+1-719-885-3168,56201,2020-07-18,5317.86,29311880,Chris Davis
Loan,Branch 13,2024-08-11,341 Broadway,active,USA,user4063@sample.org,11984063,+1-906-836-2440,73152,2020-03-27,2899.13,11984063,Katie Brown
Loan,Branch 17,2025-01-13,939 Maple Drive,active,USA,user5564@test.net,27425564,+1-712-303-4706,89841,2024-09-24,6619.34,27425564,John Smith
Savings,Branch 2,2025-01-29,963 Maple Drive,active,Germany,user0409@test.net,73920409,+1-313-951-5930,66361,2020-06-22,9558.21,73920409,John Smith
Credit,Branch 10,2024-11-06,471 First Ave,active,Germany,user6156@test.net,49226156,+1-789-286-4683,86431,2023-02-02,1497.43,49226156,Chris Doe
Checking,Branch 18,2024-03-30,622 First Ave,inactive,UK,user9904@example.com,51839904,+1-292-113-5005,99033,2020-11-21,5709.4,51839904,Katie Smith
Savings,Branch 4,2024-06-12,371 Main St,inactive,Canada,user9509@sample.org,69949509,+1-708-361-2774,36642,2022-04-28,9233.76,69949509,Chris Smith
