profile_number,residence,Email,client identification:,Phone,postal code,Balance,nation,type,status,location,Name,last_activity,open_date
55287350,307 Broadway,user7350@example.com,55287350,+1-888-802-9615,84314,9095.17,UK,Credit,inactive,Branch 1,Chris Smith,2025-01-17,2024-12-01
66935251,770 Broadway,user5251@test.net,66935251,+1-436-958-2265,30006,3704.18,Germany,Credit,inactive,Branch 20,Jane Brown,2024-05-27,2021-04-15
34595543,526 Main St,user5543@example.com,34595543,+1-349-778-2060,35797,7991.93,Australia,Credit,active,Branch 3,John Davis,2024-04-08,2024-08-24
85195043,768 First Ave,user5043@sample.org,85195043,+1-549-729-8786,31888,326.34,USA,Loan,active,Branch 16,Katie Johnson,2024-05-30,2021-05-31
79102295,827 Maple Drive,user2295@test.net,79102295,+1-603-713-3859,23642,2329.37,UK,Credit,inactive,Branch 16,Alex Smith,2024-05-22,2023-02-05
53326706,540 Maple Drive,user6706@example.com,53326706,+1-554-180-6380,55392,3462.39,Canada,Checking,active,Branch 20,John Davis,2024-12-16,2023-07-02
07904658,153 First Ave,user4658@example.com,07904658,+1-418-838-3861,80902,6719.02,UK,Checking,active,Branch 13,Katie Brown,2024-04-01,2022-09-27
36359435,426 Maple Drive,user9435@test.net,36359435,+1-871-779-8426,75236,3200.11,USA,Credit,active,Branch 2,Alex Smith,2024-07-16,2023-12-13
78317919,307 Broadway,user7919@example.com,78317919,+1-286-568-3385,40820,423.22,USA,Savings,active,Branch 9,John Doe,2024-10-29,2022-11-29
63945899,546 Maple Drive,user5899@sample.org,63945899,+1-837-325-7314,49767,1746.94,UK,Savings,inactive,Branch 20,John Doe,2025-02-18,2020-06-21
00592740,421 Maple Drive,user2740@sample.org,00592740,+1-241-543-5703,17803,2599.06,USA,Savings,inactive,Branch 1,John Davis,2024-11-30,2023-02-17
92736583,389 Main St,user6583@sample.org,92736583,+1-959-710-2971,43556,1768.71,Canada,Checking,active,Branch 11,Katie Davis,2024-04-26,2021-01-23
84475543,132 Broadway,user5543@sample.org,84475543,+1-569-744-2970,55192,2045.21,Canada,Checking,active,Branch 6,Katie Johnson,2024-12-31,2020-06-18
29745593,926 First Ave,user5593@sample.org,29745593,+1-366-987-2735,31471,7691.88,Germany,Checking,active,Branch 1,Katie Davis,2025-01-23,2021-04-12
10415904,155 Broadway,user5904@test.net,10415904,+1-243-615-9940,27226,4126.22,Germany,Loan,inactive,Branch 15,Alex Davis,2024-06-13,2023-07-09
60217921,204 First Ave,user7921@example.com,60217921,+1-774-798-9721,18735,4057.74,USA,Checking,inactive,Branch 10,Emily Davis,2025-02-08,2023-03-26
41086891,826 Maple Drive,user6891@example.com,41086891,+1-700-184-5232,75567,9666.4,Canada,Credit,active,Branch 6,Jane Davis,2024-03-14,2020-04-17
57070333,826 Maple Drive,user0333@test.net,57070333,+1-346-334-9811,16358,4472.55,Germany,Loan,inactive,Branch 13,Alex Doe,2024-10-22,2022-03-07
89380460,430 First Ave,user0460@example.com,89380460,+1-274-419-8477,77290,9277.3,Germany,Loan,inactive,Branch 8,John Johnson,2025-02-01,2020-06-04
54853093,331 Main St,user3093@sample.org,54853093,+1-376-449-7149,79454,2997.64,Canada,Savings,inactive,Branch 9,Emily Smith,2024-04-05,2021-02-03
22944787,806 Maple Drive,user4787@sample.org,22944787,+1-526-738-7750,93643,4012.26,Australia,Savings,inactive,Branch 11,Alex Doe,2024-04-08,2022-11-25
96311286,207 Main St,user1286@sample.org,96311286,+1-748-254-2182,25961,3968.87,Germany,Credit,inactive,Branch 5,Chris Brown,2025-02-12,2023-03-22
83402590,521 Maple Drive,user2590@example.com,83402590,+1-909-601-3439,96737,5465.33,USA,Savings,inactive,Branch 19,Katie Brown,2024-04-17,2022-02-22
10654554,332 Main St,user4554@sample.org,10654554,+1-517-379-2130,10137,5846.63,UK,Loan,active,Branch 13,John Johnson,2024-09-02,2022-12-27
40338977,347 First Ave,user8977@example.com,40338977,+1-462-592-6757,84947,2488.77,Germany,Loan,active,Branch 20,Chris Davis,2024-08-20,2023-03-14
72046660,849 Broadway,user6660@test.net,72046660,+1-428-560-9500,38089,7937.91,Australia,Credit,inactive,Branch 5,Katie Brown,2025-03-07,2022-07-08
86784831,940 First Ave,user4831@example.com,86784831,+1-970-763-6854,33038,4970.29,Canada,Checking,inactive,Branch 5,Alex Smith,2024-09-23,2024-06-10
89131835,891 First Ave,user1835@test.net,89131835,+1-703-861-8489,21254,80.37,Canada,Savings,active,Branch 6,Emily Smith,2024-07-30,2022-05-25
95416779,299 Maple Drive,user6779@example.com,95416779,+1-910-394-8636,87847,5917.49,USA,Credit,inactive,Branch 7,Katie Smith,2024-05-22,2021-12-08
44470776,234 Broadway,user0776@sample.org,44470776,+1-920-745-9052,21537,7982.61,Canada,Checking,inactive,Branch 8,Emily Smith,2024-11-17,2020-04-01
51772620,500 First Ave,user2620@sample.org,51772620,+1-446-779-9121,63400,2512.16,Germany,Credit,active,Branch 2,Jane Johnson,2024-11-27,2020-09-24
19629407,623 Maple Drive,user9407@sample.org,19629407,+1-669-596-8793,63800,388.33,Canada,Savings,active,Branch 3,Katie Smith,2024-04-15,2023-12-08
22595378,294 Maple Drive,user5378@test.net,22595378,+1-840-972-2678,86089,8073.71,UK,Savings,active,Branch 18,John Brown,2024-11-23,2023-11-13
98094369,486 Main St,user4369@test.net,98094369,+1-490-127-8203,51577,9763.0,UK,Credit,active,Branch 19,Alex Doe,2024-10-31,2022-08-09
22012160,874 Main St,user2160@example.com,22012160,+1-273-941-8594,48190,774.87,UK,Checking,active,Branch 20,John Smith,2024-09-23,2021-02-21
62058959,510 Maple Drive,user8959@test.net,62058959,+1-593-991-1206,68313,9380.99,Canada,Loan,inactive,Branch 6,Chris Johnson,2024-06-09,2021-08-27
10694688,355 Broadway,user4688@test.net,10694688,+1-927-804-7271,82964,3599.15,USA,Checking,inactive,Branch 14,Katie Davis,2025-02-26,2024-11-20
36080873,679 First Ave,user0873@test.net,36080873,+1-790-105-6573,44865,9414.98,Australia,Loan,active,Branch 15,Alex Johnson,2024-09-22,2024-09-27
74363165,136 Maple Drive,user3165@example.com,74363165,+1-832-717-2911,95270,6491.9,Germany,Loan,inactive,Branch 20,John Doe,2025-03-06,2020-06-11
36392580,999 Main St,user2580@example.com,36392580,+1-507-463-1263,49083,8903.54,Australia,Credit,inactive,Branch 8,John Johnson,2024-08-15,2025-01-11
65994616,568 Maple Drive,user4616@test.net,65994616,+1-542-292-1405,63118,7860.47,Germany,Loan,inactive,Branch 3,John Johnson,2024-10-12,2022-04-12
71806494,756 Main St,user6494@example.com,71806494,+1-203-449-1798,18642,289.7,Australia,Credit,inactive,Branch 20,Emily Brown,2024-10-10,2023-11-22
80459041,732 Maple Drive,user9041@example.com,80459041,+1-323-576-1718,47666,663.77,Canada,Savings,inactive,Branch 17,Jane Smith,2024-03-31,2020-08-09
75213476,329 Maple Drive,user3476@sample.org,75213476,+1-428-859-2950,43636,5262.19,Australia,Checking,active,Branch 18,Emily Doe,2025-01-16,2021-05-06
50786866,207 Maple Drive,user6866@test.net,50786866,+1-245-890-9444,15835,1304.89,Germany,Credit,active,Branch 19,Emily Johnson,2024-07-28,2024-04-06
21143965,491 First Ave,user3965@example.com,21143965,+1-810-741-7504,94307,4615.73,USA,Credit,inactive,Branch 4,John Davis,2024-06-30,2024-08-21
45631931,790 Broadway,user1931@test.net,45631931,+1-244-795-4712,67527,9546.76,Germany,Savings,active,Branch 10,Chris Smith,2024-08-12,2020-12-01
12720297,206 Maple Drive,user0297@example.com,12720297,+1-680-345-9096,85401,2954.63,Australia,Loan,active,Branch 8,Alex Smith,2024-12-25,2020-10-15
25020240,979 Broadway,user0240@test.net,25020240,+1-819-860-5427,17145,4894.24,Germany,Loan,active,Branch 10,Emily Brown,2024-12-18,2023-06-02
24132819,973 Broadway,user2819@sample.org,24132819,+1-975-422-4020,44748,3848.75,Canada,Credit,active,Branch 12,Jane Brown,2025-01-23,2022-09-08
96857187,160 Maple Drive,user7187@test.net,96857187,+1-588-369-7830,79573,6301.97,Germany,Loan,active,Branch 17,Emily Johnson,2025-01-21,2024-05-26
22404319,100 First Ave,user4319@test.net,22404319,+1-830-746-9756,47451,1946.51,Australia,Savings,active,Branch 5,Alex Johnson,2024-04-27,2024-06-06
44129151,722 Maple Drive,user9151@sample.org,44129151,+1-381-567-6693,39253,2606.79,USA,Loan,active,Branch 4,Alex Brown,2024-09-30,2021-07-18
06012239,551 Broadway,user2239@test.net,06012239,+1-323-136-8193,46861,8589.09,Australia,Credit,inactive,Branch 15,Chris Brown,2024-04-13,2020-08-10
90948500,720 Broadway,user8500@example.com,90948500,+1-637-500-8623,53368,8115.25,Australia,Checking,inactive,Branch 6,Katie Smith,2024-12-22,2025-01-01
13496401,138 Main St,user6401@example.com,13496401,+1-252-166-9094,80675,7894.0,UK,Checking,active,Branch 10,John Brown,2024-08-02,2024-03-27
30071673,386 Broadway,user1673@test.net,30071673,+1-547-846-1144,91381,7711.49,USA,Checking,inactive,Branch 20,Chris Smith,2024-06-20,2025-01-20
27546700,109 Main St,user6700@sample.org,27546700,+1-525-928-3739,58337,4599.78,USA,Credit,inactive,Branch 20,Emily Johnson,2024-12-13,2023-02-28
31672905,448 First Ave,user2905@example.com,31672905,+1-242-329-2255,68897,7291.62,USA,Checking,active,Branch 8,Emily Brown,2025-01-10,2023-01-09
39672266,491 Broadway,user2266@test.net,39672266,+1-612-486-1559,91391,3878.18,Germany,Loan,active,Branch 3,Chris Brown,2024-10-26,2022-07-13
09130300,399 First Ave,user0300@example.com,09130300,+1-953-207-5913,69490,1016.09,Canada,Savings,active,Branch 11,Katie Davis,2024-09-15,2023-01-20
02345465,388 Maple Drive,user5465@sample.org,02345465,+1-591-349-2996,81959,3939.81,Australia,Savings,inactive,Branch 7,Emily Davis,2024-04-22,2024-05-05
99406417,895 Main St,user6417@test.net,99406417,+1-943-955-4317,49977,1595.04,Canada,Savings,active,Branch 3,Jane Davis,2024-09-21,2022-10-23
76564040,607 First Ave,user4040@example.com,76564040,+1-618-142-3095,71359,3914.61,Germany,Credit,inactive,Branch 2,Katie Johnson,2025-03-01,2020-10-31
93718103,426 Broadway,user8103@test.net,93718103,+1-973-125-6586,67396,2981.28,Canada,Loan,inactive,Branch 20,John Brown,2024-12-05,2022-09-23
87625183,294 First Ave,user5183@sample.org,87625183,+1-452-984-6483,74781,5995.62,Germany,Loan,active,Branch 18,Katie Davis,2025-02-02,2023-06-02
23438555,566 Broadway,user8555@sample.org,23438555,+1-654-209-7259,47199,3621.79,Australia,Loan,inactive,Branch 6,Chris Davis,2025-02-08,2024-08-19
58038681,156 Maple Drive,user8681@sample.org,58038681,+1-786-448-9292,33256,7058.84,USA,Credit,inactive,Branch 6,Chris Brown,2024-09-16,2022-09-27
46905890,243 Broadway,user5890@sample.org,46905890,+1-549-291-5743,58702,5126.35,Australia,Credit,inactive,Branch 14,Jane Smith,2025-01-06,2025-03-04
51859081,196 Broadway,user9081@example.com,51859081,+1-617-875-8424,93846,9195.73,Canada,Credit,inactive,Branch 4,John Brown,2024-07-12,2020-03-28
