residence,E-mail,Open Date,Phone,Clientnum,last_activity,account_type,client name,postal code,Branch,balance,country,Customer-IDENTIFIER:,record no.,Profile-identifier:,account status,AcctNUMBER
106 Broadway,user8454@test.net,2023-10-04,+1-955-507-1579,74948454,2024-06-06,Savings,John Doe,23302,Branch 9,6544.08,Canada,74948454,74948454,74948454,inactive,74948454
152 Main St,user2991@example.com,2020-06-01,+1-746-738-9150,39412991,2025-03-07,Loan,Katie Brown,16124,Branch 11,7885.19,Germany,39412991,39412991,39412991,inactive,39412991
143 Maple Drive,user9627@example.com,2024-07-13,+1-717-443-2920,37769627,2024-06-16,Loan,Emily Davis,33665,Branch 15,6163.49,Australia,37769627,37769627,37769627,inactive,37769627
615 Broadway,user9190@example.com,2023-07-27,+1-525-666-3219,70249190,2024-07-15,Savings,Chris Johnson,41025,Branch 13,8700.18,Germany,70249190,70249190,70249190,inactive,70249190
222 Main St,user8141@sample.org,2023-07-04,+1-981-739-3561,31818141,2024-09-16,Credit,Alex Johnson,59811,Branch 4,2771.4,Germany,31818141,31818141,31818141,active,31818141
645 Main St,user6089@sample.org,2025-01-06,+1-777-932-6995,94126089,2024-05-22,Credit,Chris Davis,90342,Branch 6,1927.87,UK,94126089,94126089,94126089,inactive,94126089
812 Maple Drive,user4039@sample.org,2021-02-14,+1-910-238-2464,20204039,2024-03-16,Loan,John Smith,56546,Branch 15,6975.81,UK,20204039,20204039,20204039,inactive,20204039
213 First Ave,user6590@sample.org,2021-01-25,+1-495-627-5998,75276590,2024-11-21,Checking,Emily Brown,50833,Branch 9,1893.71,Australia,75276590,75276590,75276590,active,75276590
529 Maple Drive,user3499@sample.org,2023-05-30,+1-338-670-3958,28573499,2024-08-08,Credit,Katie Brown,81226,Branch 18,920.14,Germany,28573499,28573499,28573499,active,28573499
731 Maple Drive,user1401@test.net,2020-11-14,+1-703-548-4942,71241401,2024-05-07,Credit,John Brown,34996,Branch 20,975.18,USA,71241401,71241401,71241401,inactive,71241401
977 Main St,user5380@example.com,2024-12-31,+1-661-327-7702,23675380,2024-06-26,Savings,Katie Davis,45039,Branch 9,7686.25,UK,23675380,23675380,23675380,active,23675380
259 Broadway,user3802@example.com,2020-10-22,+1-266-617-8598,35863802,2024-06-24,Savings,Katie Davis,66530,Branch 18,297.09,Germany,35863802,35863802,35863802,inactive,35863802
822 Main St,user8122@example.com,2024-06-22,+1-382-193-5069,18418122,2024-06-09,Credit,Emily Doe,57922,Branch 12,2901.67,Germany,18418122,18418122,18418122,active,18418122
235 Broadway,user6919@sample.org,2024-10-19,+1-772-863-5111,15006919,2024-03-22,Savings,Jane Johnson,61772,Branch 3,1300.57,UK,15006919,15006919,15006919,active,15006919
821 Main St,user5614@example.com,2021-10-23,+1-762-223-6794,08705614,2024-04-27,Checking,Alex Johnson,45122,Branch 7,7551.55,Australia,08705614,08705614,08705614,inactive,08705614
600 Main St,user4351@test.net,2022-06-22,+1-861-754-2660,87474351,2024-07-18,Checking,Alex Brown,40479,Branch 14,5039.9,Canada,87474351,87474351,87474351,inactive,87474351
315 Maple Drive,user9551@test.net,2024-04-20,+1-703-558-1093,66069551,2024-05-07,Loan,Chris Doe,81074,Branch 12,2062.87,UK,66069551,66069551,66069551,active,66069551
944 Broadway,user4168@example.com,2022-08-24,+1-889-157-3199,10034168,2024-05-09,Loan,Katie Davis,51924,Branch 9,7506.6,Germany,10034168,10034168,10034168,inactive,10034168
889 Maple Drive,user9989@test.net,2022-04-11,+1-307-378-3284,96679989,2024-12-22,Credit,John Davis,46898,Branch 12,7506.16,Australia,96679989,96679989,96679989,active,96679989
767 Main St,user9750@test.net,2025-01-16,+1-295-597-2560,63909750,2025-03-09,Credit,Emily Brown,80448,Branch 19,5235.0,UK,63909750,63909750,63909750,inactive,63909750
662 First Ave,user4331@test.net,2023-08-28,+1-439-695-1038,17094331,2024-12-29,Credit,Katie Brown,42083,Branch 4,2765.74,USA,17094331,17094331,17094331,inactive,17094331
274 First Ave,user2781@test.net,2021-07-14,+1-917-688-2824,15262781,2025-01-03,Savings,Katie Doe,75154,Branch 18,5866.91,Germany,15262781,15262781,15262781,inactive,15262781
560 Main St,user0317@sample.org,2020-06-24,+1-882-378-3456,93300317,2024-07-17,Checking,Emily Smith,41411,Branch 20,9335.97,Australia,93300317,93300317,93300317,active,93300317
998 First Ave,user0269@test.net,2022-10-23,+1-506-662-3911,88540269,2025-01-01,Loan,Jane Brown,61089,Branch 12,525.85,Germany,88540269,88540269,88540269,active,88540269
661 First Ave,user1680@sample.org,2023-08-06,+1-629-789-4633,84371680,2024-05-09,Credit,Katie Doe,86875,Branch 7,2676.83,Australia,84371680,84371680,84371680,inactive,84371680
141 Main St,user1692@sample.org,2024-09-07,+1-619-237-5950,09421692,2024-03-28,Savings,Chris Doe,29774,Branch 6,2856.84,UK,09421692,09421692,09421692,active,09421692
615 First Ave,user2325@test.net,2022-06-10,+1-602-860-4770,34452325,2025-01-31,Savings,Jane Doe,11755,Branch 2,6321.8,UK,34452325,34452325,34452325,active,34452325
890 Maple Drive,user5623@sample.org,2021-09-10,+1-647-407-8734,09205623,2024-06-24,Credit,Chris Doe,35595,Branch 12,6515.13,USA,09205623,09205623,09205623,inactive,09205623
945 Maple Drive,user0379@sample.org,2023-07-06,+1-495-397-5947,22580379,2025-01-11,Credit,Katie Doe,15004,Branch 8,2071.09,USA,22580379,22580379,22580379,inactive,22580379
989 First Ave,user2052@sample.org,2020-05-06,+1-678-821-6558,65122052,2024-10-27,Checking,Jane Smith,12033,Branch 12,2168.84,Australia,65122052,65122052,65122052,inactive,65122052
936 Main St,user1854@example.com,2022-08-01,+1-466-295-2887,82191854,2024-04-07,Savings,Jane Doe,69167,Branch 3,9282.84,Germany,82191854,82191854,82191854,active,82191854
124 Maple Drive,user4186@example.com,2020-12-27,+1-939-157-6475,05294186,2024-09-13,Checking,Chris Doe,73684,Branch 10,7565.43,Australia,05294186,05294186,05294186,active,05294186
653 Maple Drive,user2456@test.net,2022-01-09,+1-759-760-5374,94322456,2024-08-25,Savings,Emily Smith,79073,Branch 16,9343.35,Canada,94322456,94322456,94322456,inactive,94322456
999 First Ave,user4573@sample.org,2023-01-02,+1-630-572-7471,26424573,2025-02-28,Loan,Alex Brown,44837,Branch 12,8298.33,UK,26424573,26424573,26424573,inactive,26424573
570 Main St,user7905@sample.org,2024-12-12,+1-823-471-9417,20277905,2025-02-27,Loan,John Johnson,73322,Branch 18,4027.16,Australia,20277905,20277905,20277905,active,20277905
938 First Ave,user9559@sample.org,2022-05-17,+1-840-599-3123,93299559,2024-12-13,Savings,Alex Smith,76366,Branch 18,1227.86,UK,93299559,93299559,93299559,active,93299559
646 First Ave,user9668@example.com,2023-06-23,+1-807-671-7416,52919668,2024-09-18,Savings,Jane Smith,88576,Branch 8,6299.21,USA,52919668,52919668,52919668,inactive,52919668
398 Main St,user9145@sample.org,2020-09-02,+1-638-126-8996,28269145,2024-08-15,Credit,Chris Davis,55754,Branch 5,3526.39,UK,28269145,28269145,28269145,active,28269145
592 Broadway,user7655@test.net,2023-11-07,+1-759-132-8917,43777655,2024-06-07,Checking,Alex Doe,68864,Branch 8,4259.87,Germany,43777655,43777655,43777655,inactive,43777655
380 First Ave,user7313@example.com,2024-10-07,+1-214-422-1066,22727313,2024-03-28,Checking,John Doe,98454,Branch 6,4264.54,UK,22727313,22727313,22727313,inactive,22727313
222 First Ave,user2130@test.net,2023-11-01,+1-682-429-4537,63162130,2024-05-07,Checking,Chris Doe,98479,Branch 17,9365.83,Canada,63162130,63162130,63162130,inactive,63162130
391 Maple Drive,user3863@test.net,2021-07-29,+1-886-633-5908,12293863,2024-12-12,Credit,Alex Brown,45072,Branch 15,697.94,USA,12293863,12293863,12293863,inactive,12293863
479 First Ave,user2846@example.com,2020-11-02,+1-528-687-1639,60822846,2024-08-17,Savings,Katie Johnson,79238,Branch 11,1939.11,UK,60822846,60822846,60822846,active,60822846
976 Main St,user2996@test.net,2023-12-31,+1-585-248-4740,52572996,2024-08-02,Loan,Jane Smith,87464,Branch 7,6083.35,USA,52572996,52572996,52572996,active,52572996
307 Broadway,user5256@sample.org,2025-02-02,+1-793-179-4013,30015256,2024-09-30,Loan,Jane Smith,51075,Branch 14,8838.74,Australia,30015256,30015256,30015256,active,30015256
194 First Ave,user2218@test.net,2023-07-12,+1-577-250-4043,60782218,2024-08-16,Loan,Emily Doe,67203,Branch 10,9180.25,Germany,60782218,60782218,60782218,inactive,60782218
