acct type,client name,current balance,open_date,Acc-NO:,country,Address,last_activity,record-no,acc-id:,Email,acct status,Phone,postal code,office
Credit,Emily Doe,5254.09,2024-02-04,76941965,UK,799 Maple Drive,2024-10-18,76941965,76941965,user1965@sample.org,inactive,+1-325-795-2174,62675,Branch 13
Savings,John Smith,4776.53,2023-09-25,61271193,USA,717 Main St,2024-11-28,61271193,61271193,user1193@test.net,active,+1-961-887-8615,43192,Branch 13
Credit,Alex Johnson,4481.76,2023-10-27,74661628,Canada,252 Main St,2024-04-20,74661628,74661628,user1628@example.com,active,+1-750-442-6503,55315,Branch 2
Checking,John Brown,7754.16,2021-05-27,60111522,UK,434 Main St,2025-02-12,60111522,60111522,user1522@example.com,active,+1-479-108-1357,62788,Branch 8
Loan,Chris Brown,5272.42,2021-12-25,59799812,Canada,797 Maple Drive,2024-04-26,59799812,59799812,user9812@sample.org,inactive,+1-288-933-5776,80725,Branch 1
Credit,Alex Smith,3174.0,2022-02-07,87753546,Canada,814 First Ave,2024-05-03,87753546,87753546,user3546@test.net,inactive,+1-699-643-8354,97686,Branch 1
Savings,Chris Davis,2589.0,2023-03-03,64563623,Germany,105 Main St,2024-11-15,64563623,64563623,user3623@test.net,inactive,+1-832-853-5220,23200,Branch 3
Checking,Alex Smith,387.1,2023-01-02,23506172,Australia,695 Main St,2024-03-29,23506172,23506172,user6172@test.net,active,+1-786-779-8715,14848,Branch 3
Checking,Alex Davis,5836.12,2022-11-16,03273365,Canada,129 Main St,2024-03-20,03273365,03273365,user3365@sample.org,inactive,+1-702-319-5220,87106,Branch 1
Checking,Jane Smith,2307.31,2025-02-28,11335625,UK,473 Maple Drive,2025-03-05,11335625,11335625,user5625@example.com,inactive,+1-315-273-7330,88579,Branch 16
Credit,John Johnson,1489.86,2022-10-24,62637115,Australia,756 Main St,2024-05-01,62637115,62637115,user7115@example.com,active,+1-236-934-7864,38320,Branch 8
Checking,John Smith,6541.76,2024-03-21,93823966,UK,877 Broadway,2024-08-29,93823966,93823966,user3966@test.net,active,+1-309-101-5752,53761,Branch 17
Credit,Emily Johnson,6815.28,2023-02-10,45068117,Canada,214 Broadway,2024-12-03,45068117,45068117,user8117@test.net,active,+1-239-313-1942,77422,Branch 4
Loan,John Davis,7524.03,2021-10-13,64463659,Canada,567 First Ave,2024-10-21,64463659,64463659,user3659@test.net,active,+1-515-729-7501,89030,Branch 6
Credit,Chris Brown,5040.73,2020-08-15,37112458,USA,617 First Ave,2025-02-03,37112458,37112458,user2458@sample.org,inactive,+1-371-309-2217,58527,Branch 12
Savings,John Smith,8941.61,2024-05-19,29428009,Canada,578 Broadway,2024-05-15,29428009,29428009,user8009@test.net,inactive,+1-426-727-3490,94678,Branch 19
Credit,Chris Johnson,9364.06,2023-07-17,71704419,Canada,651 Broadway,2024-07-25,71704419,71704419,user4419@sample.org,active,+1-438-154-9867,44170,Branch 10
Checking,Alex Johnson,8075.64,2020-06-01,50902990,USA,859 Main St,2024-11-26,50902990,50902990,user2990@example.com,active,+1-689-481-3648,41380,Branch 12
Savings,Emily Brown,6359.58,2024-05-07,45434388,Germany,185 Maple Drive,2024-12-18,45434388,45434388,user4388@test.net,inactive,+1-310-839-2703,94725,Branch 4
Loan,Katie Johnson,3044.17,2020-12-05,39852669,USA,703 Main St,2024-11-16,39852669,39852669,user2669@example.com,inactive,+1-751-593-4580,75549,Branch 3
Loan,Jane Davis,9829.62,2020-12-21,17179647,Canada,511 Maple Drive,2024-08-03,17179647,17179647,user9647@example.com,inactive,+1-915-723-2348,56457,Branch 11
Credit,Alex Smith,2748.62,2024-08-12,29192046,UK,377 First Ave,2024-08-06,29192046,29192046,user2046@example.com,active,+1-249-471-1822,52878,Branch 9
Savings,Jane Brown,2034.54,2022-01-07,79795061,Canada,230 Main St,2024-09-15,79795061,79795061,user5061@test.net,inactive,+1-212-865-5241,53676,Branch 19
Loan,Alex Brown,4427.12,2023-05-18,21050302,Canada,105 First Ave,2024-09-25,21050302,21050302,user0302@example.com,inactive,+1-347-798-5396,52092,Branch 6
Credit,Emily Johnson,577.84,2023-02-17,82439890,UK,420 First Ave,2024-05-26,82439890,82439890,user9890@example.com,active,+1-218-615-6166,66309,Branch 19
Loan,Katie Brown,9785.16,2023-06-03,65018252,Germany,252 First Ave,2024-03-14,65018252,65018252,user8252@sample.org,active,+1-884-947-1383,69179,Branch 18
Savings,John Davis,5888.45,2023-04-13,50028818,USA,138 Broadway,2024-10-03,50028818,50028818,user8818@example.com,inactive,+1-535-505-7927,40405,Branch 14
Loan,Katie Davis,5573.95,2021-03-05,03530825,UK,742 Main St,2024-05-15,03530825,03530825,user0825@example.com,inactive,+1-754-446-5542,19782,Branch 20
Savings,Jane Johnson,6561.4,2024-11-22,04613054,Germany,288 First Ave,2024-10-04,04613054,04613054,user3054@test.net,inactive,+1-292-659-3352,20602,Branch 12
Checking,Katie Brown,4975.27,2022-08-20,58819587,USA,319 Broadway,2025-02-12,58819587,58819587,user9587@sample.org,inactive,+1-814-275-2699,43901,Branch 6
Checking,Emily Johnson,330.31,2020-10-21,10697177,Germany,337 Broadway,2025-01-20,10697177,10697177,user7177@test.net,active,+1-800-441-1484,43492,Branch 1
Loan,Katie Smith,6126.99,2022-01-29,67387317,Germany,242 First Ave,2024-08-04,67387317,67387317,user7317@test.net,inactive,+1-550-340-5844,41343,Branch 7
Credit,Chris Johnson,7164.58,2024-07-19,99708430,UK,190 Main St,2024-06-25,99708430,99708430,user8430@sample.org,inactive,+1-232-127-6891,50605,Branch 7
Credit,Katie Brown,4173.32,2022-08-01,08353918,Canada,493 First Ave,2024-03-12,08353918,08353918,user3918@test.net,inactive,+1-479-982-2413,65179,Branch 4
Checking,Alex Doe,7575.38,2021-03-21,71989421,Germany,681 Main St,2024-08-14,71989421,71989421,user9421@example.com,active,+1-621-879-4487,16836,Branch 7
Loan,Jane Johnson,2277.74,2021-06-13,05587018,Canada,254 Broadway,2024-10-13,05587018,05587018,user7018@example.com,inactive,+1-811-834-8679,31584,Branch 9
Savings,Chris Smith,2220.55,2023-03-09,05096011,Australia,478 Main St,2024-05-02,05096011,05096011,user6011@example.com,inactive,+1-591-806-5083,15387,Branch 13
Loan,Katie Smith,1622.56,2023-03-21,52289870,Canada,557 Main St,2025-01-03,52289870,52289870,user9870@test.net,active,+1-715-747-7407,73347,Branch 5
Checking,Jane Doe,3726.23,2022-10-01,89157599,UK,627 Broadway,2024-08-24,89157599,89157599,user7599@sample.org,inactive,+1-570-729-8473,75388,Branch 14
Savings,Emily Smith,8471.65,2020-04-24,58908700,UK,308 Maple Drive,2024-03-23,58908700,58908700,user8700@example.com,active,+1-572-546-1043,51716,Branch 18
Credit,Katie Smith,8280.84,2020-11-03,69094563,Germany,377 Broadway,2024-08-14,69094563,69094563,user4563@sample.org,inactive,+1-608-206-1640,42517,Branch 17
Savings,Katie Brown,3834.41,2020-11-09,43846733,Canada,593 Maple Drive,2024-08-01,43846733,43846733,user6733@example.com,active,+1-715-991-8069,74156,Branch 13
Credit,Katie Doe,5895.3,2024-09-10,64949884,UK,678 First Ave,2024-11-09,64949884,64949884,user9884@example.com,active,+1-673-481-3138,38668,Branch 18
Checking,John Brown,7210.96,2024-01-19,46007525,Germany,945 Maple Drive,2024-11-29,46007525,46007525,user7525@example.com,inactive,+1-208-873-4845,52438,Branch 1
Savings,John Johnson,2419.66,2020-11-18,14617891,Canada,926 Maple Drive,2024-05-31,14617891,14617891,user7891@sample.org,active,+1-628-885-7449,99618,Branch 9
Savings,Emily Johnson,1689.73,2022-10-02,08651449,Germany,860 First Ave,2024-04-13,08651449,08651449,user1449@example.com,inactive,+1-483-717-9077,95694,Branch 7
