Bank-NO,email,client name,account open,Status,accountidentification,current balance,mobile,recent activity,Country,office,LedgerNO,Zip Code,street,record no.,account_type,Account_NO
02878201,user8201@sample.org,Katie Doe,2021-07-14,inactive,02878201,7091.96,+1-612-508-3118,2024-05-22,USA,Branch 19,02878201,78414,587 Main St,02878201,Checking,02878201
07848249,user8249@sample.org,Chris Smith,2024-07-29,active,07848249,590.39,+1-504-896-1029,2025-03-06,USA,Branch 12,07848249,59201,157 Maple Drive,07848249,Loan,07848249
93722409,user2409@example.com,Chris Johnson,2024-07-03,active,93722409,607.87,+1-691-345-9492,2024-03-22,Germany,Branch 14,93722409,59447,279 Maple Drive,93722409,Checking,93722409
96571673,user1673@sample.org,Chris Davis,2024-07-18,inactive,96571673,3712.31,+1-667-790-2740,2024-04-13,Australia,Branch 7,96571673,37260,725 Main St,96571673,Credit,96571673
57698808,user8808@example.com,Alex Doe,2020-07-05,inactive,57698808,1957.69,+1-232-300-3078,2024-05-08,UK,Branch 2,57698808,52051,650 Maple Drive,57698808,Loan,57698808
69408192,user8192@test.net,John Johnson,2024-02-20,inactive,69408192,9348.46,+1-591-865-8977,2024-09-07,Germany,Branch 10,69408192,44667,528 Maple Drive,69408192,Credit,69408192
16570910,user0910@example.com,Chris Johnson,2020-07-11,inactive,16570910,5817.62,+1-427-287-1577,2024-11-03,USA,Branch 16,16570910,16040,191 First Ave,16570910,Loan,16570910
34902078,user2078@sample.org,Chris Smith,2023-11-01,inactive,34902078,2880.38,+1-957-655-4943,2024-10-26,UK,Branch 4,34902078,75925,306 Main St,34902078,Credit,34902078
72387074,user7074@sample.org,Katie Johnson,2021-08-01,active,72387074,7050.72,+1-403-612-4052,2025-02-08,USA,Branch 7,72387074,44526,492 Main St,72387074,Credit,72387074
10018520,user8520@test.net,Katie Smith,2021-05-11,active,10018520,3755.54,+1-412-333-3518,2024-06-19,UK,Branch 19,10018520,74268,929 Main St,10018520,Loan,10018520
74294562,user4562@sample.org,Jane Davis,2022-02-17,active,74294562,1329.84,+1-257-901-2507,2025-01-10,USA,Branch 17,74294562,61090,910 Main St,74294562,Checking,74294562
78610095,user0095@sample.org,Chris Smith,2022-02-22,active,78610095,2379.95,+1-308-241-8081,2024-05-06,Canada,Branch 13,78610095,99072,549 Broadway,78610095,Loan,78610095
70729521,user9521@example.com,Jane Smith,2022-06-15,active,70729521,6431.05,+1-667-516-8887,2024-06-23,Germany,Branch 4,70729521,10131,965 Broadway,70729521,Savings,70729521
07659017,user9017@sample.org,Emily Johnson,2022-01-05,active,07659017,528.24,+1-697-186-8357,2025-02-26,Germany,Branch 11,07659017,83473,692 Main St,07659017,Loan,07659017
85580031,user0031@test.net,Chris Johnson,2020-03-23,inactive,85580031,2734.16,+1-232-522-8903,2024-10-31,Australia,Branch 17,85580031,36138,562 Main St,85580031,Savings,85580031
00386694,user6694@example.com,Jane Davis,2021-08-21,inactive,00386694,2091.03,+1-494-644-8183,2024-07-03,USA,Branch 4,00386694,69369,116 Main St,00386694,Credit,00386694
06590801,user0801@sample.org,Alex Brown,2021-06-26,inactive,06590801,2019.34,+1-406-156-8474,2024-08-18,Germany,Branch 5,06590801,84626,405 Main St,06590801,Loan,06590801
22345683,user5683@sample.org,Alex Johnson,2021-07-11,inactive,22345683,6830.8,+1-791-439-2221,2024-09-15,USA,Branch 5,22345683,27916,304 Maple Drive,22345683,Savings,22345683
02622450,user2450@example.com,Katie Brown,2024-09-10,active,02622450,8259.91,+1-608-456-1091,2024-03-25,USA,Branch 6,02622450,91120,418 First Ave,02622450,Checking,02622450
57266427,user6427@example.com,Emily Davis,2025-01-19,inactive,57266427,7161.51,+1-340-650-4533,2024-04-23,Australia,Branch 12,57266427,83996,619 Main St,57266427,Credit,57266427
74977751,user7751@test.net,John Doe,2021-11-03,inactive,74977751,6460.82,+1-532-982-8435,2024-07-30,Australia,Branch 8,74977751,99646,721 Main St,74977751,Savings,74977751
77759182,user9182@test.net,Alex Johnson,2022-07-01,active,77759182,9165.35,+1-611-486-1488,2025-02-01,USA,Branch 18,77759182,82122,334 Broadway,77759182,Savings,77759182
02725116,user5116@sample.org,Alex Brown,2020-05-28,active,02725116,593.34,+1-796-966-9957,2024-04-12,UK,Branch 10,02725116,84899,665 Main St,02725116,Credit,02725116
58107591,user7591@example.com,Chris Davis,2020-06-03,inactive,58107591,1683.16,+1-385-477-6813,2024-04-20,Germany,Branch 5,58107591,94303,813 Maple Drive,58107591,Checking,58107591
16976681,user6681@example.com,Chris Brown,2024-10-10,active,16976681,4149.92,+1-433-168-4740,2024-12-28,USA,Branch 15,16976681,68142,231 First Ave,16976681,Savings,16976681
43036992,user6992@test.net,Alex Johnson,2021-11-27,active,43036992,3730.79,+1-955-679-7370,2024-12-15,Germany,Branch 17,43036992,87470,795 Broadway,43036992,Checking,43036992
87828313,user8313@example.com,Katie Smith,2020-08-09,inactive,87828313,4186.34,+1-346-556-2815,2024-09-26,Germany,Branch 11,87828313,56866,509 First Ave,87828313,Checking,87828313
73771912,user1912@example.com,Chris Johnson,2023-04-20,active,73771912,2072.48,+1-890-865-6450,2024-08-31,Canada,Branch 10,73771912,24999,201 Main St,73771912,Credit,73771912
84015445,user5445@sample.org,Jane Brown,2023-12-25,inactive,84015445,1503.54,+1-332-610-6830,2025-01-28,UK,Branch 8,84015445,42190,942 First Ave,84015445,Savings,84015445
90695193,user5193@sample.org,Alex Smith,2021-11-07,inactive,90695193,5096.84,+1-821-127-9378,2024-10-26,Canada,Branch 10,90695193,54750,739 Main St,90695193,Checking,90695193
74764520,user4520@test.net,Emily Johnson,2022-01-03,inactive,74764520,9281.24,+1-590-417-5835,2024-03-18,UK,Branch 20,74764520,98728,502 Broadway,74764520,Loan,74764520
47624854,user4854@test.net,Emily Davis,2022-02-05,active,47624854,3925.77,+1-477-491-5680,2025-03-03,Australia,Branch 11,47624854,92165,413 First Ave,47624854,Credit,47624854
95009647,user9647@sample.org,Katie Smith,2023-04-26,inactive,95009647,443.1,+1-449-831-4507,2024-12-20,USA,Branch 10,95009647,72873,495 Broadway,95009647,Credit,95009647
27052503,user2503@test.net,John Doe,2023-10-05,active,27052503,7064.61,+1-667-518-3876,2024-07-15,Australia,Branch 9,27052503,48667,465 First Ave,27052503,Credit,27052503
65420458,user0458@sample.org,John Davis,2020-08-21,inactive,65420458,2918.14,+1-571-896-3941,2024-07-29,USA,Branch 19,65420458,85367,589 Main St,65420458,Credit,65420458
23155025,user5025@test.net,Alex Smith,2021-02-04,inactive,23155025,2458.5,+1-612-588-5273,2025-02-26,UK,Branch 9,23155025,71134,766 Main St,23155025,Savings,23155025
64603273,user3273@test.net,Chris Davis,2025-02-16,active,64603273,3249.34,+1-854-410-3238,2025-02-06,UK,Branch 16,64603273,90719,453 Main St,64603273,Savings,64603273
46840212,user0212@example.com,John Smith,2021-07-01,active,46840212,7240.92,+1-418-338-1234,2024-05-17,UK,Branch 15,46840212,50523,465 Maple Drive,46840212,Loan,46840212
59993397,user3397@sample.org,John Johnson,2024-07-26,active,59993397,8190.01,+1-932-911-9142,2024-12-17,UK,Branch 1,59993397,25973,152 Main St,59993397,Checking,59993397
93183570,user3570@sample.org,Chris Johnson,2023-01-06,active,93183570,5884.68,+1-337-872-8760,2024-03-11,Canada,Branch 5,93183570,53193,403 Maple Drive,93183570,Loan,93183570
58639869,user9869@example.com,Chris Davis,2023-12-24,active,58639869,3231.56,+1-484-813-5572,2025-01-23,Canada,Branch 17,58639869,56132,511 First Ave,58639869,Loan,58639869
07579022,user9022@sample.org,Emily Davis,2020-11-02,inactive,07579022,3111.68,+1-384-658-6850,2024-08-08,UK,Branch 6,07579022,12918,377 First Ave,07579022,Savings,07579022
00360830,user0830@sample.org,Jane Doe,2020-05-05,active,00360830,1251.84,+1-380-787-2293,2024-05-10,Germany,Branch 11,00360830,19920,218 Maple Drive,00360830,Savings,00360830
24528386,user8386@sample.org,Emily Smith,2021-09-25,inactive,24528386,9333.68,+1-452-909-1711,2024-08-30,Canada,Branch 8,24528386,95727,216 Main St,24528386,Savings,24528386
86980593,user0593@test.net,Katie Brown,2024-06-21,inactive,86980593,6385.01,+1-218-312-2976,2025-01-21,Canada,Branch 12,86980593,35511,477 Broadway,86980593,Savings,86980593
16301950,user1950@example.com,Katie Johnson,2022-02-01,active,16301950,279.48,+1-323-626-8181,2024-06-02,Australia,Branch 9,16301950,48879,734 First Ave,16301950,Checking,16301950
84236019,user6019@example.com,Jane Davis,2021-01-02,active,84236019,6627.05,+1-579-980-2807,2025-01-05,Australia,Branch 14,84236019,33083,712 Main St,84236019,Credit,84236019
