Address,customer-identifier:,e-mail,Customer,Acc-NUMBER,branch,start date,Acct_NO:,postal code,account_type,country,Profile identifier:,Phone,current balance,last_activity,Status
577 Main St,20065351,user5351@sample.org,Alex Doe,20065351,Branch 5,2022-03-02,20065351,14675,Checking,UK,20065351,+1-275-732-1954,3006.72,2024-05-11,inactive
438 First Ave,77077007,user7007@test.net,Katie Smith,77077007,Branch 12,2024-07-14,77077007,62646,Savings,Canada,77077007,+1-391-939-4141,571.1,2024-08-13,active
231 Maple Drive,79987054,user7054@sample.org,Katie Smith,79987054,Branch 8,2023-03-20,79987054,93108,Checking,Canada,79987054,+1-853-341-6256,4754.92,2024-10-17,inactive
700 Broadway,59454283,user4283@test.net,Emily Doe,59454283,Branch 8,2022-07-16,59454283,98079,Credit,UK,59454283,+1-265-633-6792,2097.12,2024-05-22,active
424 Broadway,69123908,user3908@example.com,John Doe,69123908,Branch 5,2020-04-23,69123908,13373,Savings,USA,69123908,+1-537-501-2298,921.57,2024-04-23,inactive
911 Main St,71043477,user3477@example.com,Jane Davis,71043477,Branch 1,2022-01-05,71043477,28616,Credit,UK,71043477,+1-815-933-3896,4118.05,2025-01-29,inactive
454 First Ave,80436332,user6332@sample.org,Jane Brown,80436332,Branch 9,2021-02-12,80436332,39146,Credit,Australia,80436332,+1-761-313-9928,3518.74,2024-09-25,active
977 Broadway,77811804,user1804@example.com,Emily Doe,77811804,Branch 2,2021-02-04,77811804,57194,Checking,USA,77811804,+1-771-371-9652,5379.8,2024-11-03,active
962 Maple Drive,10304878,user4878@sample.org,Katie Doe,10304878,Branch 10,2023-02-19,10304878,86596,Checking,Canada,10304878,+1-532-153-5579,7492.9,2024-03-12,inactive
284 Maple Drive,54676183,user6183@test.net,John Doe,54676183,Branch 4,2024-11-08,54676183,16509,Loan,Germany,54676183,+1-249-212-7101,1134.56,2024-06-12,active
647 Main St,30487151,user7151@example.com,John Smith,30487151,Branch 9,2020-10-22,30487151,94806,Savings,Australia,30487151,+1-694-859-4446,7913.34,2024-05-04,active
237 Maple Drive,91414178,user4178@test.net,Jane Smith,91414178,Branch 15,2020-09-07,91414178,20992,Savings,Canada,91414178,+1-424-305-2930,272.64,2024-11-13,inactive
977 First Ave,66188113,user8113@test.net,Emily Brown,66188113,Branch 14,2024-12-03,66188113,23963,Credit,Australia,66188113,+1-773-469-3093,4436.59,2024-12-25,active
921 First Ave,93942433,user2433@sample.org,Jane Brown,93942433,Branch 14,2024-07-07,93942433,32520,Savings,Germany,93942433,+1-266-413-9731,5878.43,2024-12-24,active
734 Maple Drive,22610313,user0313@example.com,Katie Johnson,22610313,Branch 10,2021-08-26,22610313,89269,Checking,Germany,22610313,+1-562-667-9347,9570.42,2024-10-09,inactive
730 Main St,82150781,user0781@sample.org,Katie Johnson,82150781,Branch 8,2023-11-20,82150781,82545,Checking,Germany,82150781,+1-556-431-1553,5743.49,2024-12-03,inactive
499 Maple Drive,82587634,user7634@example.com,Jane Doe,82587634,Branch 17,2023-06-22,82587634,66210,Loan,Germany,82587634,+1-687-674-8418,1595.9,2024-03-21,inactive
457 Maple Drive,74715851,user5851@example.com,Chris Johnson,74715851,Branch 15,2022-01-29,74715851,96023,Checking,Germany,74715851,+1-249-434-6324,5180.24,2024-12-26,inactive
356 Maple Drive,28011845,user1845@example.com,Jane Johnson,28011845,Branch 3,2020-08-31,28011845,82064,Checking,USA,28011845,+1-644-123-1691,3963.88,2024-10-09,inactive
488 Maple Drive,48872681,user2681@example.com,Alex Doe,48872681,Branch 13,2021-01-01,48872681,90260,Savings,Canada,48872681,+1-216-132-5453,4798.76,2024-06-11,inactive
973 Main St,45642039,user2039@example.com,Jane Smith,45642039,Branch 12,2022-05-01,45642039,46894,Checking,USA,45642039,+1-627-293-1070,1979.0,2024-07-21,inactive
927 Main St,53367288,user7288@test.net,Jane Smith,53367288,Branch 18,2020-08-27,53367288,94094,Loan,UK,53367288,+1-303-801-5347,5013.26,2024-07-29,inactive
573 Maple Drive,47222374,user2374@test.net,Katie Doe,47222374,Branch 15,2021-04-02,47222374,52865,Loan,Canada,47222374,+1-214-859-7305,1508.9,2025-02-02,active
108 Maple Drive,34180787,user0787@sample.org,Jane Smith,34180787,Branch 12,2020-05-24,34180787,75572,Savings,USA,34180787,+1-265-681-3813,7442.99,2024-09-26,active
231 Main St,78345388,user5388@sample.org,Katie Johnson,78345388,Branch 10,2024-06-21,78345388,91344,Loan,USA,78345388,+1-835-462-5846,5943.12,2024-10-03,inactive
251 Main St,36553367,user3367@test.net,Alex Johnson,36553367,Branch 6,2021-08-25,36553367,13986,Credit,Australia,36553367,+1-732-367-6026,794.49,2024-08-16,active
564 Maple Drive,80365987,user5987@test.net,Alex Smith,80365987,Branch 2,2024-02-10,80365987,50800,Loan,USA,80365987,+1-481-411-7859,8897.25,2024-12-05,inactive
636 Broadway,88352009,user2009@sample.org,Katie Brown,88352009,Branch 18,2025-01-20,88352009,32324,Loan,Germany,88352009,+1-555-292-8353,6167.63,2024-04-07,active
860 Maple Drive,18348839,user8839@test.net,John Davis,18348839,Branch 5,2020-11-01,18348839,78232,Checking,Canada,18348839,+1-413-775-6599,3167.91,2024-08-05,inactive
269 Maple Drive,39439408,user9408@sample.org,John Smith,39439408,Branch 18,2021-12-12,39439408,11655,Loan,Germany,39439408,+1-933-122-9235,465.97,2024-11-09,inactive
184 Maple Drive,94502486,user2486@sample.org,Emily Brown,94502486,Branch 2,2024-12-03,94502486,40446,Savings,UK,94502486,+1-916-743-3237,6325.94,2024-10-01,active
675 First Ave,75810600,user0600@test.net,Chris Johnson,75810600,Branch 3,2020-11-01,75810600,36608,Savings,USA,75810600,+1-583-860-2402,3740.67,2024-05-01,inactive
876 Main St,73330333,user0333@example.com,John Doe,73330333,Branch 8,2022-09-06,73330333,37369,Credit,Australia,73330333,+1-939-822-3562,9077.1,2024-04-13,inactive
483 Broadway,83374107,user4107@sample.org,Jane Smith,83374107,Branch 7,2024-02-22,83374107,75951,Credit,Australia,83374107,+1-585-956-1581,358.43,2025-02-19,active
814 Maple Drive,51865850,user5850@test.net,Emily Brown,51865850,Branch 2,2021-06-28,51865850,83871,Credit,Canada,51865850,+1-485-432-2717,400.63,2024-09-30,active
756 Maple Drive,31064179,user4179@sample.org,Alex Smith,31064179,Branch 8,2022-03-07,31064179,69401,Savings,Canada,31064179,+1-671-211-7056,9493.5,2024-08-11,inactive
926 First Ave,41247429,user7429@example.com,Alex Brown,41247429,Branch 2,2023-06-24,41247429,66040,Loan,Australia,41247429,+1-833-398-5330,9649.09,2024-10-08,active
578 First Ave,69981880,user1880@test.net,Emily Doe,69981880,Branch 1,2020-08-30,69981880,67502,Checking,UK,69981880,+1-763-237-2236,287.14,2024-10-29,active
841 Broadway,05545317,user5317@sample.org,Emily Doe,05545317,Branch 12,2024-05-11,05545317,25610,Loan,Germany,05545317,+1-617-976-2264,7163.17,2024-10-30,inactive
392 Broadway,08483887,user3887@test.net,Alex Davis,08483887,Branch 8,2021-06-18,08483887,12440,Credit,Australia,08483887,+1-489-633-1960,2222.73,2024-10-06,active
362 Main St,38919828,user9828@example.com,Jane Smith,38919828,Branch 18,2025-01-28,38919828,50447,Checking,Canada,38919828,+1-901-588-7829,7016.91,2025-02-08,active
504 First Ave,63236546,user6546@test.net,Chris Johnson,63236546,Branch 4,2022-02-25,63236546,28793,Loan,Germany,63236546,+1-491-739-5221,8688.64,2024-12-20,active
850 Maple Drive,97424078,user4078@test.net,Chris Davis,97424078,Branch 2,2022-10-14,97424078,99022,Credit,Canada,97424078,+1-381-290-1378,1017.31,2024-07-11,active
566 Maple Drive,84866754,user6754@sample.org,Emily Brown,84866754,Branch 6,2023-09-26,84866754,83026,Savings,Australia,84866754,+1-262-280-6793,2395.28,2024-04-11,active
815 Maple Drive,49908577,user8577@example.com,Alex Smith,49908577,Branch 9,2024-02-02,49908577,33837,Checking,Canada,49908577,+1-274-785-2659,250.54,2024-03-16,active
116 First Ave,53191769,user1769@sample.org,Emily Doe,53191769,Branch 12,2021-10-13,53191769,93687,Credit,UK,53191769,+1-827-528-2486,447.86,2024-05-01,inactive
794 Broadway,96436603,user6603@example.com,Emily Doe,96436603,Branch 11,2022-01-22,96436603,60962,Savings,USA,96436603,+1-450-558-7936,305.88,2024-04-06,active
374 First Ave,75318597,user8597@test.net,Chris Smith,75318597,Branch 15,2022-10-29,75318597,68120,Loan,Australia,75318597,+1-941-160-9650,8008.82,2024-12-15,inactive
363 Broadway,17847202,user7202@test.net,Emily Smith,17847202,Branch 6,2024-09-02,17847202,27141,Checking,Canada,17847202,+1-887-105-8199,2989.94,2024-12-05,active
506 First Ave,68138573,user8573@sample.org,John Brown,68138573,Branch 9,2020-06-24,68138573,87697,Checking,Canada,68138573,+1-318-455-2756,4937.18,2024-08-20,active
948 Maple Drive,06153176,user3176@test.net,Jane Smith,06153176,Branch 2,2020-08-30,06153176,48362,Loan,USA,06153176,+1-717-670-2300,7880.56,2025-01-21,active
351 Main St,50993808,user3808@example.com,Chris Davis,50993808,Branch 15,2023-06-26,50993808,96771,Loan,UK,50993808,+1-292-799-3751,4954.49,2024-10-27,inactive
111 Broadway,09945674,user5674@example.com,Katie Brown,09945674,Branch 8,2021-11-28,09945674,98956,Savings,UK,09945674,+1-614-618-1232,4297.67,2025-01-17,inactive
588 First Ave,06027806,user7806@sample.org,Chris Johnson,06027806,Branch 18,2021-12-26,06027806,87911,Credit,Germany,06027806,+1-702-103-1469,125.62,2024-08-12,inactive
129 Broadway,14457751,user7751@test.net,Katie Johnson,14457751,Branch 18,2023-08-19,14457751,79282,Checking,Germany,14457751,+1-463-491-1465,5684.71,2024-11-19,active
294 Broadway,74067692,user7692@test.net,Alex Johnson,74067692,Branch 9,2021-03-31,74067692,76415,Savings,Germany,74067692,+1-854-225-8681,1256.18,2024-05-20,active
411 Maple Drive,60805143,user5143@example.com,Alex Doe,60805143,Branch 17,2023-02-21,60805143,10989,Loan,Germany,60805143,+1-212-220-1397,7648.84,2025-01-06,active
540 Main St,48830557,user0557@example.com,Alex Doe,48830557,Branch 9,2021-07-10,48830557,11850,Savings,Canada,48830557,+1-239-730-8389,2584.8,2024-08-08,inactive
447 Maple Drive,55687362,user7362@example.com,Katie Davis,55687362,Branch 20,2021-09-08,55687362,24388,Checking,Canada,55687362,+1-857-290-6580,6745.13,2025-02-16,inactive
900 Broadway,25845394,user5394@sample.org,Katie Smith,25845394,Branch 11,2023-03-01,25845394,17525,Loan,USA,25845394,+1-238-284-7106,6465.77,2024-06-11,active
555 Broadway,73625275,user5275@sample.org,Alex Johnson,73625275,Branch 5,2021-10-15,73625275,35285,Savings,Canada,73625275,+1-446-600-2843,6170.59,2024-05-05,active
212 Maple Drive,86405958,user5958@test.net,Jane Smith,86405958,Branch 4,2022-07-12,86405958,22125,Loan,Canada,86405958,+1-915-482-2701,2676.85,2025-01-12,active
612 Broadway,02572356,user2356@example.com,John Doe,02572356,Branch 6,2023-06-27,02572356,12172,Credit,Australia,02572356,+1-905-206-4517,2678.23,2025-02-12,active
561 Main St,82679608,user9608@test.net,Chris Brown,82679608,Branch 19,2022-03-19,82679608,10420,Credit,UK,82679608,+1-337-463-9893,8631.85,2025-02-12,inactive
846 First Ave,89340294,user0294@example.com,Alex Brown,89340294,Branch 12,2024-10-16,89340294,94945,Savings,USA,89340294,+1-544-690-7051,137.95,2024-04-25,active
760 Broadway,77384936,user4936@test.net,Emily Brown,77384936,Branch 13,2024-09-04,77384936,67285,Savings,UK,77384936,+1-698-395-1930,1823.41,2024-12-27,active
189 Broadway,96507548,user7548@sample.org,Katie Brown,96507548,Branch 15,2024-03-25,96507548,43385,Loan,UK,96507548,+1-299-879-5804,6105.61,2024-07-06,active
385 Maple Drive,53359255,user9255@sample.org,Emily Brown,53359255,Branch 14,2020-08-16,53359255,77409,Savings,Australia,53359255,+1-368-580-8271,8172.29,2024-11-30,inactive
257 First Ave,04732026,user2026@test.net,Emily Brown,04732026,Branch 6,2023-08-25,04732026,16215,Loan,Canada,04732026,+1-574-819-1358,3589.87,2024-11-03,inactive
189 Broadway,49998204,user8204@example.com,Alex Smith,49998204,Branch 12,2023-05-24,49998204,14036,Checking,UK,49998204,+1-947-747-4474,6537.9,2024-08-09,active
565 Broadway,08771657,user1657@test.net,Chris Doe,08771657,Branch 18,2023-05-22,08771657,25453,Loan,Canada,08771657,+1-687-606-7132,5575.99,2024-11-26,inactive
126 First Ave,98585151,user5151@sample.org,Katie Brown,98585151,Branch 16,2022-08-02,98585151,76680,Loan,USA,98585151,+1-890-488-5408,654.76,2024-11-02,active
466 First Ave,56734814,user4814@sample.org,Jane Doe,56734814,Branch 17,2022-06-18,56734814,61245,Savings,USA,56734814,+1-210-472-4771,6221.28,2024-11-23,active
323 Maple Drive,32389794,user9794@test.net,Jane Davis,32389794,Branch 2,2025-02-15,32389794,33336,Checking,Germany,32389794,+1-230-785-4757,8140.9,2024-03-27,active
507 Maple Drive,87769426,user9426@sample.org,Alex Smith,87769426,Branch 12,2023-12-21,87769426,70492,Checking,USA,87769426,+1-829-722-1732,9924.56,2024-05-01,inactive
500 Maple Drive,14537736,user7736@test.net,Emily Brown,14537736,Branch 10,2021-04-24,14537736,52656,Savings,Australia,14537736,+1-867-557-9422,306.1,2024-09-30,inactive
893 First Ave,40619319,user9319@test.net,Jane Johnson,40619319,Branch 20,2021-06-06,40619319,67452,Loan,UK,40619319,+1-330-206-9492,6603.98,2024-03-25,inactive
193 Broadway,22445055,user5055@example.com,Jane Smith,22445055,Branch 9,2020-05-19,22445055,18145,Savings,USA,22445055,+1-885-706-4323,4151.35,2024-10-31,active
468 First Ave,49954677,user4677@sample.org,John Doe,49954677,Branch 2,2023-08-15,49954677,36292,Savings,USA,49954677,+1-567-387-8176,107.78,2024-12-18,active
508 Broadway,35088253,user8253@test.net,Katie Doe,35088253,Branch 11,2021-09-08,35088253,94820,Checking,Canada,35088253,+1-766-111-8772,6147.47,2024-06-26,active
333 Maple Drive,17380984,user0984@test.net,Chris Johnson,17380984,Branch 10,2023-05-16,17380984,18915,Savings,UK,17380984,+1-638-907-6969,1233.05,2025-02-05,active
