Last Activity,Email,Branch,start date,contact,postal code,Bank_IDENTIFIER,Balance,acct type,Country,status,Client NUMBER,Name,street
2024-03-30,user8059@sample.org,Branch 17,2024-11-19,+1-601-440-1505,11548,56108059,9122.24,Credit,Canada,inactive,56108059,Chris Davis,986 Main St
2024-05-01,user7505@sample.org,Branch 12,2022-04-09,+1-776-940-1823,24869,64097505,8833.22,Savings,UK,inactive,64097505,Alex Smith,545 Broadway
2024-03-26,user2560@test.net,Branch 1,2020-08-03,+1-683-955-9688,16131,25982560,9708.27,Checking,Germany,inactive,25982560,Katie Doe,940 Broadway
2025-02-20,user8528@sample.org,Branch 7,2021-01-15,+1-281-269-8334,95956,69198528,7168.11,Loan,UK,inactive,69198528,Emily Doe,675 Broadway
2024-11-24,user4673@sample.org,Branch 13,2024-10-07,+1-936-125-1312,51173,68524673,6830.38,Credit,Australia,active,68524673,Katie Smith,383 Main St
2025-02-13,user2998@example.com,Branch 20,2022-01-04,+1-473-479-4620,69183,08922998,5594.44,Credit,Canada,inactive,08922998,John Doe,169 Maple Drive
2025-02-22,user8656@test.net,Branch 19,2020-04-14,+1-798-512-9695,57619,42298656,1268.16,Checking,Canada,inactive,42298656,Jane Brown,140 Maple Drive
2024-10-15,user6394@test.net,Branch 9,2021-12-24,+1-626-898-3866,63636,19176394,1900.46,Savings,Germany,active,19176394,Emily Johnson,324 Main St
2024-10-15,user3853@sample.org,Branch 2,2020-11-25,+1-510-641-3714,11903,09793853,2901.8,Checking,Germany,inactive,09793853,John Davis,853 Maple Drive
2024-03-20,user1707@sample.org,Branch 6,2024-07-15,+1-566-286-1713,67852,82441707,8902.66,Credit,Germany,active,82441707,Alex Johnson,960 Maple Drive
2024-03-25,user4051@example.com,Branch 5,2023-07-28,+1-202-890-5455,22749,96154051,1737.97,Credit,USA,inactive,96154051,Katie Smith,448 Broadway
2024-09-07,user7061@example.com,Branch 14,2021-10-16,+1-414-199-8388,32076,49967061,9229.5,Credit,Australia,active,49967061,Emily Doe,935 Maple Drive
2024-04-11,user3465@sample.org,Branch 13,2021-12-12,+1-299-214-8720,48242,47443465,5232.63,Loan,Canada,inactive,47443465,John Doe,690 First Ave
2025-02-21,user4068@example.com,Branch 10,2023-03-15,+1-869-501-7298,62041,72564068,7158.54,Loan,Canada,inactive,72564068,John Smith,519 Broadway
2024-12-03,user0716@test.net,Branch 13,2021-03-05,+1-427-500-8526,42848,80210716,1111.34,Loan,USA,active,80210716,Emily Johnson,804 First Ave
2024-09-24,user7613@example.com,Branch 2,2021-01-28,+1-209-650-8791,18442,08787613,2697.65,Checking,Canada,active,08787613,Jane Johnson,773 Main St
2024-08-26,user9467@example.com,Branch 17,2022-06-18,+1-829-705-1691,85178,94099467,9585.6,Credit,Canada,active,94099467,Chris Smith,152 Maple Drive
2025-01-24,user5674@test.net,Branch 20,2023-10-03,+1-488-226-1726,21722,43935674,2668.84,Loan,Germany,active,43935674,Chris Doe,337 Maple Drive
2024-07-20,user3208@test.net,Branch 18,2023-11-19,+1-679-205-5601,37980,20223208,2972.25,Credit,Germany,inactive,20223208,Alex Davis,818 First Ave
2024-06-22,user0215@example.com,Branch 16,2021-09-10,+1-534-671-7371,38241,48880215,1984.0,Checking,USA,active,48880215,Jane Smith,513 Broadway
2024-09-19,user0144@example.com,Branch 15,2024-05-18,+1-674-878-3853,69548,45460144,1299.45,Loan,UK,active,45460144,Alex Davis,843 Maple Drive
2024-06-17,user0543@example.com,Branch 12,2024-03-15,+1-260-584-4228,41210,06080543,2340.24,Savings,USA,inactive,06080543,Katie Brown,933 Main St
2024-11-14,user8136@test.net,Branch 8,2024-01-20,+1-233-339-7565,66355,80718136,6426.85,Checking,UK,inactive,80718136,John Brown,601 Broadway
2024-05-24,user5599@example.com,Branch 5,2022-12-28,+1-953-724-2393,40205,70905599,4559.12,Loan,Canada,inactive,70905599,Katie Johnson,336 First Ave
2024-12-06,user9169@example.com,Branch 1,2024-07-21,+1-824-845-9130,75825,44169169,5542.02,Loan,Australia,inactive,44169169,Alex Doe,488 Main St
2024-09-22,user1290@test.net,Branch 6,2025-01-17,+1-566-463-7603,68714,35421290,1232.42,Checking,Canada,inactive,35421290,Alex Johnson,971 Main St
2024-07-01,user5281@test.net,Branch 15,2020-04-25,+1-805-531-8029,47651,62025281,8023.14,Loan,Canada,inactive,62025281,Katie Brown,378 First Ave
2024-11-20,user9702@example.com,Branch 6,2023-12-16,+1-517-526-4919,88346,59809702,7843.11,Loan,USA,active,59809702,Katie Doe,137 Main St
2024-10-01,user3630@example.com,Branch 7,2020-09-07,+1-325-868-6083,52310,39163630,225.68,Checking,UK,inactive,39163630,John Davis,533 First Ave
2024-04-21,user3007@example.com,Branch 19,2020-07-09,+1-979-422-7120,56812,29953007,3841.32,Credit,Canada,active,29953007,Chris Davis,300 First Ave
2024-11-25,user0080@sample.org,Branch 17,2024-02-17,+1-930-703-6151,33325,50000080,697.02,Checking,Canada,active,50000080,John Brown,219 Main St
2024-06-22,user0928@example.com,Branch 2,2023-12-17,+1-833-242-8993,39014,18610928,7923.14,Credit,Canada,inactive,18610928,Katie Johnson,997 Maple Drive
2024-04-23,user2859@sample.org,Branch 5,2021-12-11,+1-426-418-3991,15032,11812859,7375.32,Credit,Germany,active,11812859,Chris Johnson,328 Broadway
2024-09-18,user0595@sample.org,Branch 8,2020-04-09,+1-510-615-3764,93267,76220595,9020.86,Credit,USA,active,76220595,John Brown,962 Maple Drive
2025-02-23,user9572@example.com,Branch 16,2020-11-14,+1-607-538-3638,46377,41679572,2371.68,Loan,USA,inactive,41679572,Alex Doe,525 First Ave
2024-06-15,user8909@test.net,Branch 16,2022-05-03,+1-355-924-7079,86782,91768909,4568.4,Savings,Germany,inactive,91768909,Chris Brown,453 Main St
2024-10-11,user6267@example.com,Branch 7,2023-05-22,+1-551-266-4616,84497,47106267,1853.03,Credit,Canada,active,47106267,Katie Johnson,297 Maple Drive
2024-05-15,user7593@example.com,Branch 4,2022-01-15,+1-658-367-5439,35455,93917593,3718.64,Credit,Australia,active,93917593,Alex Johnson,653 Maple Drive
2024-08-01,user1989@test.net,Branch 15,2020-09-08,+1-708-854-3713,49786,83951989,5227.21,Checking,USA,active,83951989,Katie Doe,656 Broadway
2024-10-25,user2999@sample.org,Branch 9,2024-04-01,+1-897-811-9308,99096,54752999,542.77,Credit,Canada,active,54752999,Jane Davis,407 Main St
2024-04-14,user0179@example.com,Branch 17,2024-03-10,+1-680-253-1960,71836,62920179,7151.56,Savings,UK,inactive,62920179,Alex Johnson,411 Main St
2024-08-08,user0371@example.com,Branch 6,2022-10-13,+1-764-652-2239,10181,24230371,5437.5,Savings,Australia,inactive,24230371,Emily Smith,489 Maple Drive
2025-01-31,user8025@test.net,Branch 11,2023-10-11,+1-322-915-8417,98536,49278025,8291.3,Credit,UK,active,49278025,John Doe,939 Maple Drive
2024-10-30,user3352@sample.org,Branch 19,2025-01-28,+1-627-574-3203,49462,58943352,2725.09,Loan,Germany,active,58943352,Chris Johnson,212 Maple Drive
2024-05-02,user1632@test.net,Branch 18,2023-06-13,+1-815-109-5838,96038,61731632,9034.18,Loan,Canada,inactive,61731632,Emily Davis,509 Maple Drive
2024-12-14,user8167@sample.org,Branch 16,2020-08-20,+1-393-723-5137,77187,64218167,9986.96,Credit,Germany,inactive,64218167,John Brown,504 Broadway
2024-06-15,user4639@sample.org,Branch 8,2023-02-04,+1-535-582-8512,69670,76204639,9193.79,Loan,Germany,inactive,76204639,Emily Davis,436 First Ave
2024-09-24,user5283@sample.org,Branch 6,2024-08-14,+1-607-749-3942,65968,27235283,7781.15,Checking,USA,active,27235283,John Doe,368 Main St
2024-05-04,user3589@example.com,Branch 14,2021-11-19,+1-457-330-9694,85527,07503589,8125.56,Checking,Canada,inactive,07503589,Katie Brown,805 First Ave
2024-06-08,user9633@example.com,Branch 9,2021-06-17,+1-732-154-4533,68153,44599633,5741.7,Credit,UK,inactive,44599633,Emily Brown,947 First Ave
2025-03-08,user7979@example.com,Branch 15,2023-10-24,+1-701-389-2560,71418,23447979,1909.64,Checking,USA,active,23447979,Chris Smith,267 Main St
2024-12-06,user3503@test.net,Branch 5,2023-02-05,+1-269-956-2456,23377,16953503,6773.64,Loan,Canada,active,16953503,Emily Doe,911 First Ave
2024-05-18,user6836@test.net,Branch 3,2024-07-14,+1-892-135-4283,74164,35606836,7130.4,Credit,Australia,inactive,35606836,Katie Johnson,640 Broadway
2024-09-21,user2451@sample.org,Branch 5,2021-03-26,+1-892-482-7892,47105,66872451,9854.0,Loan,Australia,active,66872451,Chris Johnson,185 Main St
2024-12-20,user0955@test.net,Branch 3,2024-04-17,+1-616-748-5220,67722,50330955,5417.6,Loan,USA,inactive,50330955,Chris Davis,720 First Ave
2024-09-02,user5627@test.net,Branch 14,2023-11-07,+1-924-459-2883,15561,43155627,2720.98,Savings,Germany,active,43155627,Jane Doe,780 First Ave
2025-02-04,user8109@example.com,Branch 15,2023-12-22,+1-292-607-1801,40530,24378109,6839.89,Checking,Germany,active,24378109,John Doe,527 Maple Drive
2024-03-25,user1988@test.net,Branch 8,2023-12-31,+1-708-570-2865,61405,15741988,9793.96,Checking,Canada,active,15741988,Chris Brown,595 First Ave
2024-06-30,user3892@sample.org,Branch 20,2023-05-30,+1-571-555-2518,71350,22413892,1780.37,Credit,UK,active,22413892,Emily Johnson,178 Main St
2024-08-11,user3238@example.com,Branch 15,2021-03-16,+1-903-798-6520,70082,29663238,3266.72,Savings,Australia,inactive,29663238,Emily Johnson,240 Main St
2025-01-17,user9344@example.com,Branch 12,2024-03-30,+1-682-758-1401,61081,70359344,5423.39,Savings,Canada,active,70359344,John Johnson,144 First Ave
2024-07-14,user7996@example.com,Branch 11,2021-09-02,+1-329-235-5728,53558,34967996,1710.44,Savings,UK,active,34967996,Katie Smith,604 Main St
