residence,nation,Profileno:,email,office,acct balance,customer identification:,acct status,start date,client name,contact,account ID:,Zip Code,acct type,acc Code (unique),last_activity
315 Main St,Canada,26021009,user1009@example.com,Branch 10,7961.42,26021009,active,2024-05-28,Chris Doe,+1-773-424-9463,26021009,24075,Checking,26021009,2024-07-20
735 Main St,Canada,83444310,user4310@test.net,Branch 6,9571.58,83444310,inactive,2022-09-06,Emily Davis,+1-958-469-9369,83444310,14779,Loan,83444310,2024-05-25
905 Main St,Australia,51430672,user0672@example.com,Branch 19,4414.59,51430672,inactive,2021-11-30,Emily Davis,+1-398-787-7416,51430672,44662,Savings,51430672,2024-09-03
846 Broadway,UK,99429054,user9054@test.net,Branch 8,2804.41,99429054,active,2020-08-02,John Brown,+1-813-645-2204,99429054,63807,Checking,99429054,2025-01-22
167 Broadway,Canada,14913730,user3730@sample.org,Branch 6,8640.39,14913730,inactive,2020-11-16,Alex Davis,+1-370-497-4837,14913730,17400,Loan,14913730,2024-09-07
911 First Ave,Australia,09040727,user0727@test.net,Branch 3,8445.51,09040727,inactive,2021-07-14,Emily Johnson,+1-260-768-3108,09040727,83490,Credit,09040727,2025-01-27
459 Main St,Germany,77859240,user9240@example.com,Branch 7,6252.18,77859240,inactive,2020-11-13,Katie Brown,+1-874-128-5226,77859240,88690,Credit,77859240,2024-06-05
899 Main St,Canada,61113254,user3254@sample.org,Branch 5,2738.76,61113254,inactive,2022-08-16,John Doe,+1-391-583-9607,61113254,54115,Savings,61113254,2024-06-26
374 Maple Drive,UK,23895245,user5245@example.com,Branch 4,9086.09,23895245,inactive,2021-09-30,Chris Doe,+1-592-215-3957,23895245,32259,Credit,23895245,2024-11-29
985 Broadway,Australia,95244469,user4469@example.com,Branch 8,1792.23,95244469,active,2020-08-29,Chris Brown,+1-730-800-6486,95244469,62707,Checking,95244469,2024-11-21
951 Maple Drive,UK,61371658,user1658@test.net,Branch 3,446.03,61371658,active,2023-05-03,John Johnson,+1-853-640-5161,61371658,85836,Loan,61371658,2024-03-24
173 Broadway,Canada,55302953,user2953@sample.org,Branch 17,7968.22,55302953,inactive,2020-03-14,Alex Johnson,+1-210-787-5471,55302953,86209,Loan,55302953,2024-11-06
133 First Ave,USA,54698353,user8353@example.com,Branch 12,5640.95,54698353,inactive,2022-01-28,Emily Johnson,+1-925-864-4294,54698353,82883,Checking,54698353,2024-12-17
642 First Ave,USA,48446752,user6752@sample.org,Branch 6,2472.21,48446752,active,2020-11-16,Katie Smith,+1-980-920-2814,48446752,62518,Checking,48446752,2024-08-24
620 Maple Drive,Germany,75597868,user7868@example.com,Branch 5,6712.25,75597868,active,2023-07-13,Alex Johnson,+1-447-853-3461,75597868,76208,Savings,75597868,2024-07-19
250 Broadway,Australia,96807149,user7149@sample.org,Branch 15,7669.5,96807149,active,2025-03-05,Katie Brown,+1-329-382-6042,96807149,63692,Savings,96807149,2024-10-29
548 Main St,Canada,75193589,user3589@sample.org,Branch 15,8447.01,75193589,inactive,2022-11-12,Jane Smith,+1-335-699-5478,75193589,96185,Checking,75193589,2024-04-02
184 Broadway,USA,59941952,user1952@test.net,Branch 1,2828.44,59941952,inactive,2024-07-22,Katie Brown,+1-438-420-8892,59941952,94475,Checking,59941952,2024-03-29
116 First Ave,USA,94714743,user4743@example.com,Branch 4,265.62,94714743,active,2022-09-21,John Smith,+1-908-205-5040,94714743,93231,Credit,94714743,2024-03-15
593 Maple Drive,USA,13025153,user5153@test.net,Branch 6,5105.29,13025153,inactive,2022-12-18,Emily Doe,+1-879-623-7499,13025153,33809,Savings,13025153,2024-10-10
829 First Ave,USA,59616662,user6662@test.net,Branch 7,8562.23,59616662,active,2020-06-17,John Davis,+1-599-256-4192,59616662,53674,Savings,59616662,2024-08-06
303 Maple Drive,Australia,03113745,user3745@example.com,Branch 5,2086.14,03113745,inactive,2021-09-04,Katie Johnson,+1-897-821-4061,03113745,67599,Savings,03113745,2024-10-24
523 Broadway,Germany,43546104,user6104@sample.org,Branch 19,4217.04,43546104,inactive,2022-07-11,Chris Doe,+1-630-929-7894,43546104,44813,Savings,43546104,2024-12-05
387 Main St,USA,92780618,user0618@test.net,Branch 14,2571.64,92780618,active,2023-06-02,Katie Doe,+1-760-449-5824,92780618,11268,Loan,92780618,2025-02-23
447 Maple Drive,USA,63776139,user6139@example.com,Branch 12,143.49,63776139,inactive,2021-09-24,Alex Doe,+1-296-847-1628,63776139,10694,Checking,63776139,2024-07-06
862 Maple Drive,USA,13872674,user2674@test.net,Branch 18,8986.26,13872674,active,2023-11-19,Chris Johnson,+1-951-907-7365,13872674,83987,Checking,13872674,2024-07-03
680 Maple Drive,Canada,70152807,user2807@sample.org,Branch 9,1359.18,70152807,active,2020-11-04,Alex Brown,+1-387-189-5627,70152807,30914,Savings,70152807,2024-12-12
256 First Ave,USA,97465588,user5588@sample.org,Branch 17,7670.0,97465588,inactive,2020-04-04,Katie Johnson,+1-794-980-5337,97465588,25653,Checking,97465588,2025-01-25
318 First Ave,UK,24315059,user5059@sample.org,Branch 11,3472.57,24315059,inactive,2021-02-21,John Davis,+1-211-279-8102,24315059,86465,Savings,24315059,2024-12-18
498 First Ave,Canada,94679954,user9954@test.net,Branch 10,2784.04,94679954,inactive,2020-06-29,John Davis,+1-322-677-6147,94679954,64341,Loan,94679954,2024-04-19
459 Broadway,Australia,86424830,user4830@test.net,Branch 2,9410.88,86424830,active,2022-04-05,Jane Brown,+1-491-662-9107,86424830,89958,Credit,86424830,2024-12-14
549 First Ave,Canada,87504000,user4000@test.net,Branch 17,6575.42,87504000,inactive,2023-03-10,Katie Johnson,+1-213-958-8108,87504000,15644,Checking,87504000,2025-03-09
861 First Ave,Germany,24369180,user9180@example.com,Branch 9,6872.36,24369180,inactive,2020-04-01,Chris Smith,+1-951-218-6636,24369180,42996,Loan,24369180,2025-02-23
305 First Ave,Germany,58853044,user3044@test.net,Branch 7,7598.93,58853044,inactive,2025-01-09,Jane Smith,+1-750-206-1600,58853044,19507,Credit,58853044,2024-08-29
753 First Ave,Australia,25592138,user2138@example.com,Branch 16,3415.92,25592138,active,2021-10-22,Jane Brown,+1-622-518-8311,25592138,27344,Checking,25592138,2024-08-24
144 Maple Drive,Canada,50242152,user2152@example.com,Branch 4,5641.01,50242152,active,2020-03-30,Jane Doe,+1-315-775-4177,50242152,50325,Savings,50242152,2024-04-30
484 Main St,USA,75595848,user5848@example.com,Branch 8,2709.53,75595848,inactive,2023-02-12,Jane Smith,+1-224-200-3729,75595848,33605,Checking,75595848,2024-04-22
698 Main St,UK,97844376,user4376@sample.org,Branch 4,8347.07,97844376,active,2024-09-25,Katie Smith,+1-720-443-1063,97844376,56554,Loan,97844376,2024-06-21
185 Broadway,USA,55738173,user8173@sample.org,Branch 1,5997.08,55738173,inactive,2023-12-30,Chris Brown,+1-837-359-7334,55738173,27683,Savings,55738173,2024-12-25
410 First Ave,USA,47276743,user6743@sample.org,Branch 15,2441.63,47276743,active,2020-12-11,Emily Davis,+1-338-543-1808,47276743,32396,Savings,47276743,2025-02-20
744 Broadway,Canada,23298745,user8745@example.com,Branch 2,8998.59,23298745,active,2021-09-02,Chris Davis,+1-713-901-9960,23298745,38319,Credit,23298745,2024-10-28
539 Broadway,Australia,27505378,user5378@example.com,Branch 8,5812.59,27505378,active,2023-08-04,John Smith,+1-870-853-7814,27505378,75744,Savings,27505378,2024-03-31
355 Main St,Germany,36916510,user6510@sample.org,Branch 3,4955.35,36916510,inactive,2021-02-15,Chris Johnson,+1-480-722-6097,36916510,24666,Checking,36916510,2024-05-12
331 First Ave,UK,04128767,user8767@test.net,Branch 5,354.53,04128767,inactive,2023-09-08,Chris Brown,+1-494-571-8538,04128767,61655,Loan,04128767,2024-11-13
378 First Ave,Canada,83148407,user8407@example.com,Branch 5,9098.92,83148407,inactive,2024-11-07,John Smith,+1-833-172-9515,83148407,65613,Savings,83148407,2024-03-20
897 Main St,Canada,55578800,user8800@sample.org,Branch 11,9523.22,55578800,active,2021-07-11,Katie Brown,+1-889-344-3240,55578800,41298,Savings,55578800,2024-05-17
431 Broadway,USA,00528444,user8444@test.net,Branch 12,5630.36,00528444,inactive,2024-01-01,Katie Davis,+1-261-589-6827,00528444,52522,Savings,00528444,2024-06-11
355 Main St,Germany,14443246,user3246@test.net,Branch 16,4430.71,14443246,active,2021-10-20,Chris Smith,+1-217-379-1724,14443246,62596,Credit,14443246,2024-06-20
131 Main St,UK,43035698,user5698@example.com,Branch 12,3602.06,43035698,active,2021-06-24,John Doe,+1-659-754-3792,43035698,25521,Credit,43035698,2024-07-04
658 Broadway,Canada,60180159,user0159@sample.org,Branch 17,2687.8,60180159,inactive,2023-03-14,Katie Doe,+1-254-669-9262,60180159,90440,Checking,60180159,2024-12-18
136 First Ave,USA,90720265,user0265@test.net,Branch 12,5749.55,90720265,inactive,2021-07-09,Katie Smith,+1-277-572-7670,90720265,80348,Loan,90720265,2025-01-15
435 First Ave,Australia,12369414,user9414@sample.org,Branch 5,1289.67,12369414,active,2022-04-24,John Johnson,+1-435-374-7830,12369414,83189,Checking,12369414,2024-08-24
103 Main St,Australia,08492389,user2389@example.com,Branch 10,9192.54,08492389,inactive,2023-12-23,John Johnson,+1-358-967-8841,08492389,33330,Loan,08492389,2024-09-30
206 Main St,Germany,37657966,user7966@test.net,Branch 12,1767.83,37657966,active,2021-03-25,Jane Brown,+1-246-385-5716,37657966,75693,Checking,37657966,2024-10-28
216 Maple Drive,Australia,92314942,user4942@test.net,Branch 19,7457.68,92314942,active,2024-11-30,Katie Smith,+1-822-766-5492,92314942,89302,Loan,92314942,2024-11-01
665 First Ave,Germany,22845610,user5610@example.com,Branch 5,3075.81,22845610,inactive,2021-05-15,Emily Doe,+1-471-779-2821,22845610,45832,Credit,22845610,2024-09-28
527 Main St,Germany,35171893,user1893@test.net,Branch 9,2268.45,35171893,active,2024-05-07,Jane Brown,+1-302-156-7515,35171893,57698,Savings,35171893,2025-02-11
184 Broadway,USA,34346919,user6919@sample.org,Branch 4,5583.11,34346919,inactive,2021-02-16,John Johnson,+1-219-658-2713,34346919,59180,Checking,34346919,2025-03-08
457 Broadway,USA,21714147,user4147@sample.org,Branch 11,7653.6,21714147,inactive,2024-03-03,Alex Johnson,+1-677-750-3081,21714147,70079,Checking,21714147,2025-02-13
933 Broadway,Germany,08034266,user4266@test.net,Branch 1,7270.1,08034266,inactive,2022-09-30,Emily Brown,+1-602-295-3615,08034266,99325,Loan,08034266,2024-04-03
559 Main St,UK,92972599,user2599@test.net,Branch 5,2345.23,92972599,active,2021-02-15,Alex Doe,+1-664-959-8759,92972599,64469,Checking,92972599,2024-11-17
530 First Ave,Germany,54891854,user1854@sample.org,Branch 7,3311.72,54891854,inactive,2023-12-09,Alex Davis,+1-835-541-3294,54891854,22717,Checking,54891854,2024-09-23
648 First Ave,Germany,04962965,user2965@test.net,Branch 13,8689.63,04962965,active,2021-03-31,Jane Doe,+1-936-336-9031,04962965,39505,Checking,04962965,2024-05-10
224 Main St,Canada,34679767,user9767@example.com,Branch 1,7235.21,34679767,active,2022-08-10,Emily Johnson,+1-502-858-9499,34679767,67209,Checking,34679767,2024-08-24
297 First Ave,Germany,38542697,user2697@test.net,Branch 9,7129.81,38542697,active,2025-03-01,Emily Brown,+1-867-379-6302,38542697,23383,Checking,38542697,2025-01-29
784 Maple Drive,USA,61950559,user0559@sample.org,Branch 13,2696.36,61950559,active,2024-05-24,Katie Davis,+1-526-679-9701,61950559,84738,Credit,61950559,2024-10-05
874 Maple Drive,Canada,76158947,user8947@sample.org,Branch 8,7922.12,76158947,inactive,2022-10-08,Alex Smith,+1-861-198-4295,76158947,42735,Savings,76158947,2025-01-17
