Name,postal code,Last Activity,street,LedgerNUM:,bank number:,nation,Acc number:,status,acct_ID:,open_date,account_type,Profile no.,Email,Branch,contact,balance
Chris Doe,90644,2024-11-01,631 Main St,52852376,52852376,Canada,52852376,inactive,52852376,2024-05-03,Credit,52852376,user2376@test.net,Branch 11,+1-858-185-7020,3635.27
John Johnson,39042,2024-12-12,279 First Ave,03407354,03407354,USA,03407354,inactive,03407354,2020-05-29,Loan,03407354,user7354@example.com,Branch 8,+1-383-936-1047,2595.02
Emily Doe,95485,2024-11-17,872 Main St,31842521,31842521,Canada,31842521,active,31842521,2023-01-11,Checking,31842521,user2521@example.com,Branch 11,+1-262-103-7698,6197.19
Emily Smith,16368,2024-12-10,270 Main St,08455158,08455158,Germany,08455158,inactive,08455158,2022-12-12,Savings,08455158,user5158@test.net,Branch 4,+1-469-633-4163,3681.73
Jane Brown,42224,2024-10-14,252 Broadway,48773720,48773720,UK,48773720,inactive,48773720,2023-05-22,Loan,48773720,user3720@example.com,Branch 4,+1-630-267-1119,6842.87
Alex Davis,95320,2025-01-25,986 Broadway,89197453,89197453,Germany,89197453,inactive,89197453,2021-05-30,Loan,89197453,user7453@sample.org,Branch 19,+1-842-215-8568,7690.3
Alex Doe,73537,2024-09-16,539 Maple Drive,11475618,11475618,UK,11475618,inactive,11475618,2022-11-18,Loan,11475618,user5618@test.net,Branch 13,+1-581-348-7056,1879.8
Emily Johnson,87222,2024-08-24,330 Maple Drive,37952298,37952298,USA,37952298,active,37952298,2021-01-20,Credit,37952298,user2298@sample.org,Branch 20,+1-421-634-7095,9199.04
Jane Smith,90389,2024-10-25,566 Broadway,87661147,87661147,USA,87661147,active,87661147,2024-02-02,Credit,87661147,user1147@test.net,Branch 10,+1-882-116-4911,7873.73
Chris Johnson,14886,2025-01-03,912 Broadway,90601198,90601198,Germany,90601198,inactive,90601198,2020-10-16,Savings,90601198,user1198@test.net,Branch 7,+1-416-994-6215,6271.54
Emily Doe,23692,2024-04-23,809 First Ave,37957102,37957102,Canada,37957102,active,37957102,2024-03-16,Loan,37957102,user7102@test.net,Branch 16,+1-661-519-2446,9090.2
John Smith,36284,2024-03-24,226 Maple Drive,05802400,05802400,Australia,05802400,inactive,05802400,2021-08-18,Loan,05802400,user2400@sample.org,Branch 15,+1-587-311-3401,2666.03
John Brown,32023,2024-07-15,496 Main St,79989043,79989043,UK,79989043,inactive,79989043,2024-11-25,Checking,79989043,user9043@example.com,Branch 18,+1-327-710-3219,4222.91
John Johnson,33535,2024-03-24,851 Main St,82234285,82234285,Australia,82234285,inactive,82234285,2023-10-10,Checking,82234285,user4285@sample.org,Branch 1,+1-374-201-3834,867.01
Jane Brown,60115,2024-06-08,683 First Ave,26578810,26578810,Germany,26578810,active,26578810,2023-10-03,Credit,26578810,user8810@example.com,Branch 12,+1-962-942-8219,4567.26
Alex Brown,54998,2024-09-28,222 Maple Drive,22404479,22404479,Australia,22404479,active,22404479,2025-01-23,Credit,22404479,user4479@test.net,Branch 9,+1-388-457-5504,5068.94
Katie Doe,79804,2025-01-31,562 Main St,10367974,10367974,Germany,10367974,inactive,10367974,2024-06-16,Savings,10367974,user7974@sample.org,Branch 12,+1-278-619-3947,6164.51
Emily Brown,36399,2025-01-03,247 Main St,44784341,44784341,Australia,44784341,active,44784341,2022-09-25,Loan,44784341,user4341@sample.org,Branch 15,+1-699-432-6750,649.75
Alex Doe,81705,2025-03-08,195 Maple Drive,28770056,28770056,Australia,28770056,active,28770056,2022-02-02,Credit,28770056,user0056@sample.org,Branch 6,+1-783-416-9782,334.34
Katie Johnson,57353,2025-02-22,419 Main St,68774478,68774478,USA,68774478,inactive,68774478,2021-06-28,Credit,68774478,user4478@test.net,Branch 14,+1-659-695-5404,4204.7
Emily Doe,76645,2024-06-01,929 First Ave,15723998,15723998,USA,15723998,active,15723998,2021-07-14,Checking,15723998,user3998@test.net,Branch 13,+1-431-813-1296,1899.44
Emily Doe,85591,2024-08-27,128 Broadway,36350329,36350329,Canada,36350329,inactive,36350329,2024-02-17,Savings,36350329,user0329@test.net,Branch 17,+1-563-200-8531,7590.3
Emily Johnson,66757,2024-06-20,243 Main St,48583357,48583357,Germany,48583357,inactive,48583357,2021-01-02,Credit,48583357,user3357@test.net,Branch 18,+1-359-590-1345,6690.68
John Davis,27333,2025-01-06,742 Main St,69681519,69681519,UK,69681519,active,69681519,2024-06-19,Savings,69681519,user1519@sample.org,Branch 17,+1-442-614-5218,3265.01
John Brown,26935,2024-03-26,191 Broadway,03851617,03851617,UK,03851617,inactive,03851617,2021-10-25,Credit,03851617,user1617@sample.org,Branch 14,+1-807-539-9215,467.37
Katie Doe,93215,2024-05-11,155 First Ave,62089185,62089185,USA,62089185,inactive,62089185,2021-08-17,Credit,62089185,user9185@test.net,Branch 4,+1-702-389-3790,1832.61
Katie Davis,12308,2024-10-05,857 Main St,11260468,11260468,Canada,11260468,inactive,11260468,2025-02-18,Loan,11260468,user0468@sample.org,Branch 16,+1-731-375-3128,6919.88
Chris Davis,21770,2024-11-11,486 Main St,20826364,20826364,USA,20826364,inactive,20826364,2021-06-08,Savings,20826364,user6364@example.com,Branch 6,+1-513-738-8380,9901.75
John Smith,77397,2025-02-05,429 Broadway,93436558,93436558,USA,93436558,active,93436558,2024-09-08,Checking,93436558,user6558@sample.org,Branch 17,+1-409-240-9798,3271.34
Jane Smith,32005,2024-07-12,407 Maple Drive,71864143,71864143,UK,71864143,inactive,71864143,2023-08-24,Credit,71864143,user4143@example.com,Branch 7,+1-243-809-7331,8021.94
Emily Johnson,84939,2024-05-04,909 First Ave,43059476,43059476,UK,43059476,inactive,43059476,2023-04-21,Checking,43059476,user9476@example.com,Branch 8,+1-925-611-3401,8672.29
Chris Smith,38002,2024-07-04,830 Broadway,62777488,62777488,Australia,62777488,inactive,62777488,2022-07-26,Checking,62777488,user7488@example.com,Branch 12,+1-635-361-3531,491.33
John Doe,30349,2024-12-21,890 Broadway,63122958,63122958,USA,63122958,inactive,63122958,2021-08-16,Loan,63122958,user2958@sample.org,Branch 18,+1-948-380-3218,9163.05
Jane Brown,22335,2024-12-29,764 Maple Drive,59514665,59514665,UK,59514665,active,59514665,2022-03-30,Savings,59514665,user4665@sample.org,Branch 20,+1-629-444-5566,4667.37
Emily Johnson,19408,2024-12-06,462 Maple Drive,13550247,13550247,USA,13550247,inactive,13550247,2021-08-30,Savings,13550247,user0247@example.com,Branch 12,+1-843-705-8740,9642.78
Jane Johnson,67704,2024-05-30,359 First Ave,63409663,63409663,Germany,63409663,active,63409663,2020-08-08,Checking,63409663,user9663@sample.org,Branch 7,+1-815-273-8806,5390.17
Emily Johnson,93076,2024-04-19,309 First Ave,25747431,25747431,UK,25747431,active,25747431,2024-12-05,Loan,25747431,user7431@example.com,Branch 1,+1-745-396-5132,2359.08
Chris Johnson,53894,2024-04-08,796 First Ave,22248444,22248444,UK,22248444,inactive,22248444,2023-03-11,Savings,22248444,user8444@example.com,Branch 3,+1-264-547-8586,9746.94
John Smith,53167,2025-02-15,617 Broadway,38167224,38167224,UK,38167224,inactive,38167224,2022-07-07,Credit,38167224,user7224@test.net,Branch 12,+1-502-862-6075,2440.62
Emily Brown,63722,2024-07-04,987 Main St,37201116,37201116,UK,37201116,active,37201116,2024-02-24,Loan,37201116,user1116@sample.org,Branch 8,+1-675-843-7547,8825.96
Emily Brown,23403,2024-11-23,300 Broadway,31032741,31032741,Germany,31032741,inactive,31032741,2020-03-12,Loan,31032741,user2741@test.net,Branch 20,+1-361-918-5032,1739.55
Alex Smith,40051,2024-08-11,252 Maple Drive,11006346,11006346,UK,11006346,active,11006346,2023-03-23,Checking,11006346,user6346@test.net,Branch 2,+1-887-124-8440,6750.93
Chris Doe,95293,2025-01-30,701 First Ave,01969302,01969302,USA,01969302,active,01969302,2022-02-13,Loan,01969302,user9302@test.net,Branch 9,+1-803-361-7224,4118.8
Chris Johnson,25372,2025-01-12,893 Maple Drive,51100794,51100794,Germany,51100794,inactive,51100794,2020-11-13,Checking,51100794,user0794@test.net,Branch 10,+1-364-382-8110,9720.46
John Johnson,36138,2024-09-09,351 Broadway,35778850,35778850,Canada,35778850,active,35778850,2023-03-03,Checking,35778850,user8850@test.net,Branch 20,+1-375-987-9809,1855.88
Chris Brown,30744,2024-12-12,104 Broadway,28990843,28990843,Germany,28990843,inactive,28990843,2022-05-21,Checking,28990843,user0843@test.net,Branch 11,+1-512-334-1010,4093.86
Alex Johnson,84286,2024-10-24,490 First Ave,28573269,28573269,Australia,28573269,inactive,28573269,2021-07-20,Savings,28573269,user3269@sample.org,Branch 14,+1-957-474-3548,6401.37
Chris Doe,70069,2024-09-03,823 First Ave,07555218,07555218,UK,07555218,inactive,07555218,2024-05-19,Savings,07555218,user5218@test.net,Branch 11,+1-325-377-7763,9776.43
Katie Doe,59560,2024-07-25,863 Main St,11949169,11949169,USA,11949169,inactive,11949169,2023-08-23,Credit,11949169,user9169@test.net,Branch 9,+1-978-529-9544,3045.59
Alex Johnson,20597,2024-12-18,382 First Ave,97086127,97086127,Germany,97086127,active,97086127,2024-12-30,Savings,97086127,user6127@sample.org,Branch 3,+1-908-433-9640,3974.74
Chris Smith,15985,2025-02-28,762 Main St,07059698,07059698,UK,07059698,inactive,07059698,2023-03-31,Checking,07059698,user9698@sample.org,Branch 20,+1-247-891-3279,4623.3
Katie Davis,52999,2025-02-02,525 Broadway,29428629,29428629,USA,29428629,active,29428629,2021-10-24,Checking,29428629,user8629@test.net,Branch 20,+1-753-545-1536,2534.48
Alex Johnson,24937,2024-05-16,835 Maple Drive,60970276,60970276,USA,60970276,active,60970276,2021-01-06,Credit,60970276,user0276@sample.org,Branch 18,+1-646-929-2146,8175.37
Emily Davis,15004,2024-11-29,951 First Ave,60512120,60512120,UK,60512120,active,60512120,2022-02-05,Checking,60512120,user2120@example.com,Branch 18,+1-605-336-2543,929.04
Jane Johnson,50518,2025-02-03,160 Main St,92777306,92777306,USA,92777306,inactive,92777306,2024-11-19,Credit,92777306,user7306@sample.org,Branch 18,+1-721-630-4057,7050.85
Katie Brown,51071,2024-07-18,386 First Ave,04588271,04588271,Australia,04588271,active,04588271,2020-05-31,Credit,04588271,user8271@test.net,Branch 2,+1-745-743-6932,5343.95
Jane Doe,38274,2025-02-27,116 Maple Drive,09365971,09365971,Canada,09365971,active,09365971,2021-05-15,Credit,09365971,user5971@sample.org,Branch 17,+1-660-855-4425,2426.85
John Smith,51480,2024-07-22,405 Broadway,16552626,16552626,Canada,16552626,active,16552626,2023-05-30,Savings,16552626,user2626@test.net,Branch 1,+1-922-782-3881,4933.38
Chris Doe,92148,2024-03-10,774 First Ave,53561439,53561439,Canada,53561439,active,53561439,2023-05-24,Savings,53561439,user1439@test.net,Branch 6,+1-495-214-9427,8301.19
John Smith,73382,2024-11-23,589 Broadway,12233365,12233365,Germany,12233365,active,12233365,2022-05-09,Checking,12233365,user3365@test.net,Branch 2,+1-820-978-4190,4459.96
Alex Brown,73189,2024-10-22,897 First Ave,74525012,74525012,UK,74525012,active,74525012,2022-07-07,Loan,74525012,user5012@example.com,Branch 13,+1-249-182-9847,1227.76
John Doe,59524,2024-10-01,167 Maple Drive,47502308,47502308,Australia,47502308,active,47502308,2020-09-13,Checking,47502308,user2308@test.net,Branch 6,+1-246-633-1053,417.61
Chris Smith,85903,2024-08-02,745 Maple Drive,04313512,04313512,Canada,04313512,active,04313512,2021-07-29,Credit,04313512,user3512@test.net,Branch 19,+1-591-263-1026,7780.18
John Johnson,18789,2024-11-21,428 First Ave,01278137,01278137,Germany,01278137,inactive,01278137,2021-02-13,Checking,01278137,user8137@test.net,Branch 7,+1-933-714-8734,3311.03
Jane Doe,82383,2025-01-23,983 First Ave,85006118,85006118,Germany,85006118,active,85006118,2023-12-03,Savings,85006118,user6118@sample.org,Branch 15,+1-264-710-1625,9313.13
Chris Johnson,82673,2024-04-23,436 Maple Drive,21919772,21919772,USA,21919772,active,21919772,2023-07-25,Checking,21919772,user9772@test.net,Branch 6,+1-385-739-4516,6175.3
Katie Doe,37723,2024-08-27,472 Broadway,75646240,75646240,Australia,75646240,active,75646240,2022-12-12,Savings,75646240,user6240@example.com,Branch 1,+1-607-239-8494,4368.48
Katie Brown,37258,2024-08-23,386 Main St,04816453,04816453,USA,04816453,active,04816453,2023-03-25,Savings,04816453,user6453@example.com,Branch 2,+1-515-185-2755,5649.0
Chris Smith,57906,2025-03-03,629 Maple Drive,63092121,63092121,Australia,63092121,active,63092121,2022-09-10,Savings,63092121,user2121@sample.org,Branch 11,+1-208-440-6357,4576.76
Jane Smith,41689,2024-07-11,123 Maple Drive,13597409,13597409,Canada,13597409,inactive,13597409,2024-06-03,Savings,13597409,user7409@test.net,Branch 17,+1-546-732-5091,9059.05
John Davis,77151,2024-05-05,290 Maple Drive,38037419,38037419,Canada,38037419,active,38037419,2022-01-03,Loan,38037419,user7419@sample.org,Branch 17,+1-389-490-1405,4585.64
Alex Davis,59225,2024-07-20,544 Broadway,67572305,67572305,UK,67572305,active,67572305,2021-06-26,Checking,67572305,user2305@example.com,Branch 12,+1-305-729-4339,1049.6
Alex Doe,24900,2024-06-19,857 Maple Drive,43906880,43906880,USA,43906880,active,43906880,2020-10-09,Credit,43906880,user6880@sample.org,Branch 11,+1-767-473-6447,5974.91
Alex Brown,83488,2024-06-03,712 First Ave,01172884,01172884,Germany,01172884,active,01172884,2021-03-20,Savings,01172884,user2884@sample.org,Branch 11,+1-929-644-8195,6233.58
John Doe,61230,2024-03-10,344 Maple Drive,01643811,01643811,Germany,01643811,active,01643811,2022-03-22,Credit,01643811,user3811@test.net,Branch 6,+1-725-316-8708,7655.65
Alex Davis,85030,2024-09-09,539 Broadway,55116409,55116409,Germany,55116409,inactive,55116409,2024-11-03,Savings,55116409,user6409@sample.org,Branch 16,+1-478-346-7597,9333.51
Katie Smith,80627,2024-09-03,484 First Ave,74079076,74079076,UK,74079076,active,74079076,2022-02-24,Credit,74079076,user9076@test.net,Branch 13,+1-885-356-4124,4436.39
Alex Doe,66715,2024-04-02,255 Maple Drive,77394895,77394895,USA,77394895,active,77394895,2023-01-01,Credit,77394895,user4895@sample.org,Branch 10,+1-681-732-1278,3527.25
Jane Johnson,52548,2024-06-18,723 Main St,55999241,55999241,USA,55999241,active,55999241,2022-09-03,Checking,55999241,user9241@test.net,Branch 16,+1-627-269-1657,4912.8
Alex Smith,32411,2024-03-12,892 Main St,65636177,65636177,UK,65636177,active,65636177,2023-09-20,Credit,65636177,user6177@example.com,Branch 4,+1-962-791-9967,9002.99
John Brown,64189,2025-02-27,746 Broadway,01982639,01982639,UK,01982639,active,01982639,2024-10-18,Savings,01982639,user2639@example.com,Branch 1,+1-708-813-8668,9800.02
John Johnson,90411,2024-06-16,505 Main St,06743804,06743804,Germany,06743804,active,06743804,2024-03-31,Credit,06743804,user3804@test.net,Branch 9,+1-476-191-8469,9712.64
