status,balance,account_type,location,street,Profile-identifier,Zip Code,country,last_activity,start date,email,Name,mobile,customer-number,Acc ID,Profile identification:,acct-ID:
active,2534.9,Checking,Branch 5,316 Main St,65415930,16207,USA,2025-01-06,2023-06-01,user5930@sample.org,Chris Johnson,+1-977-636-9884,65415930,65415930,65415930,65415930
inactive,3120.94,Loan,Branch 10,432 Broadway,28701542,67930,UK,2024-03-13,2022-01-16,user1542@example.com,Alex Davis,+1-556-359-3519,28701542,28701542,28701542,28701542
active,1219.6,Loan,Branch 15,551 Broadway,90713575,77929,USA,2024-12-19,2020-06-05,user3575@example.com,Emily Johnson,+1-514-501-7808,90713575,90713575,90713575,90713575
active,8647.94,Savings,Branch 16,831 Main St,68135123,18112,Canada,2024-08-14,2023-11-25,user5123@sample.org,Alex Johnson,+1-279-461-9492,68135123,68135123,68135123,68135123
inactive,4939.51,Savings,Branch 19,875 First Ave,56243750,25294,Canada,2024-08-12,2023-01-09,user3750@example.com,Katie Johnson,+1-271-247-1547,56243750,56243750,56243750,56243750
active,5725.75,Loan,Branch 14,267 Broadway,19644746,59790,Australia,2024-03-13,2022-12-26,user4746@example.com,Alex Doe,+1-300-807-9009,19644746,19644746,19644746,19644746
inactive,5698.63,Savings,Branch 1,702 Maple Drive,94443856,13004,Germany,2024-05-17,2022-08-02,user3856@sample.org,John Brown,+1-309-133-4630,94443856,94443856,94443856,94443856
active,4110.83,Credit,Branch 13,857 First Ave,73884741,53482,Australia,2024-05-12,2024-02-11,user4741@test.net,Emily Doe,+1-915-971-3194,73884741,73884741,73884741,73884741
active,1933.37,Savings,Branch 6,831 Main St,54153935,62992,USA,2024-05-24,2021-11-08,user3935@example.com,Chris Brown,+1-500-395-3806,54153935,54153935,54153935,54153935
active,7453.88,Savings,Branch 16,942 First Ave,34099348,47674,USA,2024-04-18,2023-06-20,user9348@sample.org,Chris Davis,+1-754-998-5142,34099348,34099348,34099348,34099348
active,1279.29,Loan,Branch 15,164 Broadway,53008009,49224,UK,2025-02-14,2023-07-30,user8009@test.net,Jane Davis,+1-613-402-5898,53008009,53008009,53008009,53008009
inactive,1047.7,Credit,Branch 4,831 First Ave,68126243,96066,Australia,2024-11-06,2024-02-21,user6243@test.net,Emily Johnson,+1-714-642-8386,68126243,68126243,68126243,68126243
active,7104.35,Credit,Branch 18,583 Maple Drive,73731705,16435,UK,2024-12-22,2024-07-21,user1705@sample.org,John Smith,+1-733-341-4353,73731705,73731705,73731705,73731705
inactive,2096.28,Savings,Branch 19,134 Broadway,24136321,11538,Canada,2025-02-04,2024-06-26,user6321@sample.org,Jane Johnson,+1-619-206-6440,24136321,24136321,24136321,24136321
inactive,3074.66,Credit,Branch 16,243 Main St,97738056,91851,Germany,2024-07-15,2022-01-06,user8056@example.com,Chris Smith,+1-710-829-3939,97738056,97738056,97738056,97738056
active,4757.52,Loan,Branch 13,772 First Ave,93922531,27703,UK,2024-03-12,2020-06-05,user2531@test.net,Katie Johnson,+1-468-148-3694,93922531,93922531,93922531,93922531
active,4499.02,Loan,Branch 12,232 Main St,86516619,54881,UK,2024-05-14,2024-06-24,user6619@example.com,Alex Smith,+1-921-908-6847,86516619,86516619,86516619,86516619
active,7088.71,Savings,Branch 17,290 First Ave,53342037,76548,USA,2024-04-15,2022-12-25,user2037@example.com,John Smith,+1-960-977-2466,53342037,53342037,53342037,53342037
inactive,6238.08,Checking,Branch 2,285 First Ave,67962257,70283,UK,2024-12-25,2021-05-18,user2257@test.net,Alex Doe,+1-224-755-4507,67962257,67962257,67962257,67962257
inactive,6447.52,Loan,Branch 17,756 First Ave,04971321,45958,Australia,2024-03-23,2020-08-10,user1321@example.com,John Davis,+1-495-804-4508,04971321,04971321,04971321,04971321
inactive,7143.4,Credit,Branch 4,162 Maple Drive,34160836,37025,Australia,2024-04-01,2023-06-22,user0836@example.com,John Brown,+1-736-734-6491,34160836,34160836,34160836,34160836
inactive,2933.2,Savings,Branch 16,747 Main St,26255047,47228,UK,2024-10-01,2023-10-16,user5047@example.com,John Brown,+1-975-202-8209,26255047,26255047,26255047,26255047
active,3230.11,Credit,Branch 3,266 Broadway,84710188,93812,Australia,2025-01-04,2024-04-20,user0188@sample.org,Emily Doe,+1-715-374-9841,84710188,84710188,84710188,84710188
active,4385.6,Loan,Branch 19,495 Maple Drive,70943078,77174,UK,2024-04-27,2023-11-16,user3078@test.net,John Johnson,+1-617-813-6289,70943078,70943078,70943078,70943078
active,3081.55,Checking,Branch 1,303 Main St,18730328,66092,UK,2024-07-11,2022-10-24,user0328@test.net,Katie Johnson,+1-618-834-9453,18730328,18730328,18730328,18730328
active,9849.53,Loan,Branch 5,402 Maple Drive,77800817,20726,Canada,2024-06-13,2022-12-18,user0817@sample.org,Jane Doe,+1-463-177-7013,77800817,77800817,77800817,77800817
inactive,8142.38,Checking,Branch 20,172 First Ave,82008306,83600,UK,2024-06-18,2024-08-26,user8306@example.com,Jane Johnson,+1-621-322-9357,82008306,82008306,82008306,82008306
inactive,1654.9,Checking,Branch 8,973 Broadway,62852113,46754,Canada,2024-05-03,2020-12-24,user2113@sample.org,John Davis,+1-530-628-3394,62852113,62852113,62852113,62852113
inactive,65.89,Checking,Branch 5,523 Broadway,94347601,80856,UK,2024-10-31,2022-02-08,user7601@test.net,Jane Johnson,+1-608-948-8070,94347601,94347601,94347601,94347601
inactive,437.4,Checking,Branch 13,394 Main St,05432388,35745,UK,2024-12-30,2023-05-19,user2388@sample.org,Chris Brown,+1-210-177-5707,05432388,05432388,05432388,05432388
active,2448.19,Checking,Branch 9,939 First Ave,34962458,37375,USA,2024-12-13,2020-12-18,user2458@sample.org,Alex Davis,+1-789-713-5565,34962458,34962458,34962458,34962458
active,1151.77,Savings,Branch 13,679 Broadway,58352951,88069,UK,2024-04-28,2020-08-13,user2951@sample.org,Chris Smith,+1-913-618-4881,58352951,58352951,58352951,58352951
active,5338.05,Loan,Branch 3,751 Maple Drive,93892221,68640,USA,2024-04-07,2024-08-12,user2221@test.net,Katie Doe,+1-506-303-3900,93892221,93892221,93892221,93892221
inactive,8581.37,Credit,Branch 10,323 Maple Drive,39774104,85892,UK,2025-01-22,2021-09-12,user4104@sample.org,John Johnson,+1-320-749-6673,39774104,39774104,39774104,39774104
active,7370.13,Loan,Branch 4,620 Main St,14602863,17298,Canada,2025-01-04,2024-05-04,user2863@example.com,Katie Johnson,+1-826-977-1074,14602863,14602863,14602863,14602863
inactive,2163.93,Credit,Branch 11,121 Main St,58973120,60459,Canada,2024-04-27,2021-09-28,user3120@example.com,Katie Brown,+1-296-912-8593,58973120,58973120,58973120,58973120
inactive,3999.0,Savings,Branch 20,742 Main St,69845221,92173,UK,2024-09-24,2021-12-03,user5221@example.com,Jane Doe,+1-341-837-7869,69845221,69845221,69845221,69845221
active,5083.86,Checking,Branch 5,277 Broadway,90319554,51624,Canada,2025-02-15,2020-05-06,user9554@sample.org,Chris Brown,+1-677-525-8176,90319554,90319554,90319554,90319554
active,8103.96,Loan,Branch 4,202 Main St,47378929,55312,Germany,2025-01-20,2024-03-05,user8929@example.com,Katie Doe,+1-792-974-2025,47378929,47378929,47378929,47378929
inactive,8392.82,Loan,Branch 3,872 Maple Drive,99952240,15198,Australia,2024-05-29,2023-04-27,user2240@sample.org,Chris Johnson,+1-451-826-2075,99952240,99952240,99952240,99952240
active,9098.09,Credit,Branch 18,662 First Ave,83078702,64063,Canada,2024-12-11,2022-01-08,user8702@test.net,Chris Brown,+1-777-140-6956,83078702,83078702,83078702,83078702
active,5097.36,Savings,Branch 1,475 Maple Drive,01589821,50169,Australia,2024-12-02,2022-12-22,user9821@sample.org,Jane Brown,+1-317-394-6660,01589821,01589821,01589821,01589821
inactive,6945.8,Savings,Branch 6,273 Main St,65786031,79239,Germany,2024-06-22,2022-02-20,user6031@sample.org,Jane Brown,+1-829-680-9416,65786031,65786031,65786031,65786031
inactive,1126.89,Checking,Branch 8,648 Maple Drive,89436217,98442,Germany,2024-04-28,2022-12-18,user6217@test.net,John Davis,+1-322-168-4518,89436217,89436217,89436217,89436217
active,5657.24,Savings,Branch 17,685 Main St,77655645,44944,USA,2024-10-15,2021-12-02,user5645@sample.org,Jane Brown,+1-356-715-5639,77655645,77655645,77655645,77655645
inactive,2494.43,Loan,Branch 18,570 Broadway,00678004,54059,USA,2024-12-10,2023-09-09,user8004@test.net,John Davis,+1-289-133-6354,00678004,00678004,00678004,00678004
inactive,4322.85,Loan,Branch 17,891 Main St,87347161,65980,UK,2024-09-18,2020-03-26,user7161@sample.org,Katie Brown,+1-259-601-5823,87347161,87347161,87347161,87347161
active,6344.16,Savings,Branch 15,735 Main St,90613391,71236,UK,2025-01-09,2021-06-07,user3391@sample.org,Katie Doe,+1-372-774-1728,90613391,90613391,90613391,90613391
active,2577.29,Loan,Branch 19,639 Main St,43686626,91972,Australia,2024-11-03,2021-06-24,user6626@test.net,Emily Brown,+1-670-185-1982,43686626,43686626,43686626,43686626
active,531.33,Loan,Branch 10,115 Main St,45287426,52454,USA,2025-02-09,2025-02-10,user7426@example.com,Chris Brown,+1-600-345-5958,45287426,45287426,45287426,45287426
inactive,112.24,Loan,Branch 5,606 Broadway,02789474,81138,Germany,2024-10-05,2022-11-24,user9474@test.net,John Brown,+1-475-891-7233,02789474,02789474,02789474,02789474
inactive,231.37,Savings,Branch 5,874 Broadway,11392836,35370,UK,2025-02-27,2020-11-24,user2836@sample.org,Emily Doe,+1-408-689-6034,11392836,11392836,11392836,11392836
active,93.41,Savings,Branch 4,904 Maple Drive,46132452,41836,USA,2025-02-17,2020-12-26,user2452@example.com,Chris Brown,+1-806-678-9350,46132452,46132452,46132452,46132452
inactive,1112.45,Loan,Branch 18,937 Main St,89623181,28518,Germany,2024-06-29,2021-09-04,user3181@sample.org,Katie Doe,+1-745-866-3209,89623181,89623181,89623181,89623181
active,2402.49,Loan,Branch 11,988 Maple Drive,83716282,77552,USA,2024-10-28,2024-05-13,user6282@test.net,Emily Smith,+1-570-770-7543,83716282,83716282,83716282,83716282
active,2220.0,Savings,Branch 3,585 Broadway,86902155,97082,UK,2024-08-08,2023-02-17,user2155@sample.org,Chris Brown,+1-578-996-5122,86902155,86902155,86902155,86902155
active,9868.1,Savings,Branch 6,372 Main St,48556127,71681,Germany,2025-02-14,2021-07-27,user6127@test.net,Emily Johnson,+1-668-546-6408,48556127,48556127,48556127,48556127
inactive,3067.0,Savings,Branch 3,958 Maple Drive,69388336,15052,Canada,2025-03-03,2021-04-04,user8336@sample.org,Jane Davis,+1-973-791-7027,69388336,69388336,69388336,69388336
inactive,1282.93,Checking,Branch 5,457 First Ave,64189810,96658,Canada,2024-05-06,2022-04-15,user9810@test.net,Emily Smith,+1-256-226-7185,64189810,64189810,64189810,64189810
inactive,5460.17,Credit,Branch 4,327 First Ave,73819861,33929,Canada,2024-10-08,2023-03-12,user9861@example.com,Alex Doe,+1-735-283-8794,73819861,73819861,73819861,73819861
inactive,8580.99,Checking,Branch 13,713 Main St,42911762,50792,Germany,2024-08-30,2023-08-28,user1762@sample.org,Alex Brown,+1-363-592-8874,42911762,42911762,42911762,42911762
inactive,6783.82,Credit,Branch 8,223 Maple Drive,57914279,46073,Australia,2024-12-27,2022-11-09,user4279@sample.org,Emily Brown,+1-592-345-8130,57914279,57914279,57914279,57914279
inactive,2967.86,Savings,Branch 11,938 Maple Drive,36907819,72582,Germany,2025-02-25,2024-07-14,user7819@example.com,John Brown,+1-989-579-9491,36907819,36907819,36907819,36907819
inactive,5620.55,Checking,Branch 14,841 First Ave,66507063,86259,USA,2024-07-04,2024-06-18,user7063@test.net,Jane Smith,+1-304-395-5343,66507063,66507063,66507063,66507063
active,7151.41,Savings,Branch 20,905 Maple Drive,01002690,99052,UK,2025-02-27,2021-08-18,user2690@sample.org,Jane Davis,+1-776-763-8027,01002690,01002690,01002690,01002690
inactive,7283.76,Checking,Branch 9,953 Broadway,42362394,11392,Australia,2024-09-08,2022-12-22,user2394@sample.org,Chris Johnson,+1-575-130-9480,42362394,42362394,42362394,42362394
active,6668.72,Savings,Branch 19,734 Broadway,26150872,91038,Germany,2024-12-15,2023-12-04,user0872@test.net,Katie Smith,+1-238-472-3929,26150872,26150872,26150872,26150872
inactive,8709.4,Checking,Branch 6,675 Maple Drive,35889467,51183,Canada,2024-10-06,2024-03-29,user9467@sample.org,Jane Davis,+1-690-830-2320,35889467,35889467,35889467,35889467
active,8702.35,Credit,Branch 17,390 Main St,34720672,89479,USA,2024-07-06,2022-01-21,user0672@sample.org,John Davis,+1-537-741-3463,34720672,34720672,34720672,34720672
active,5793.58,Loan,Branch 9,631 Broadway,82756418,60717,UK,2024-09-11,2024-02-27,user6418@example.com,John Doe,+1-678-215-4637,82756418,82756418,82756418,82756418
inactive,4304.27,Loan,Branch 6,295 Main St,71589490,53007,Canada,2024-09-16,2021-10-18,user9490@sample.org,Alex Doe,+1-790-861-2267,71589490,71589490,71589490,71589490
active,6419.29,Loan,Branch 19,809 Main St,50588659,90331,Canada,2025-02-19,2021-10-21,user8659@sample.org,John Brown,+1-240-566-3341,50588659,50588659,50588659,50588659
active,8183.94,Loan,Branch 7,293 Broadway,55441434,76640,Germany,2024-09-17,2025-01-03,user1434@example.com,John Brown,+1-641-176-8826,55441434,55441434,55441434,55441434
active,66.46,Savings,Branch 4,955 Main St,21201721,40493,USA,2025-02-28,2024-09-15,user1721@sample.org,Jane Johnson,+1-525-396-2330,21201721,21201721,21201721,21201721
active,9920.05,Checking,Branch 5,358 Maple Drive,95852427,19448,USA,2024-11-12,2023-07-25,user2427@test.net,Chris Brown,+1-988-217-6250,95852427,95852427,95852427,95852427
active,1837.11,Credit,Branch 3,576 Main St,99402421,13465,Australia,2024-10-05,2024-04-25,user2421@example.com,John Johnson,+1-932-979-5986,99402421,99402421,99402421,99402421
active,4707.79,Checking,Branch 2,404 Broadway,51343249,36398,Germany,2024-08-01,2020-05-14,user3249@test.net,Alex Davis,+1-804-302-5259,51343249,51343249,51343249,51343249
inactive,8721.58,Checking,Branch 6,332 First Ave,42037957,48909,Germany,2024-06-07,2020-12-30,user7957@example.com,Alex Smith,+1-704-699-7580,42037957,42037957,42037957,42037957
inactive,2258.15,Checking,Branch 20,959 Maple Drive,46751758,40819,Canada,2024-09-02,2020-08-09,user1758@sample.org,Katie Johnson,+1-564-838-6957,46751758,46751758,46751758,46751758
inactive,4773.18,Loan,Branch 6,943 Broadway,60548647,21566,Australia,2024-12-22,2024-07-14,user8647@example.com,Katie Davis,+1-579-750-8274,60548647,60548647,60548647,60548647
inactive,1334.5,Loan,Branch 1,196 First Ave,55415867,39655,Canada,2024-06-14,2023-06-15,user5867@test.net,Emily Doe,+1-849-163-4953,55415867,55415867,55415867,55415867
inactive,3956.81,Savings,Branch 18,531 Maple Drive,58843254,65919,UK,2024-10-04,2024-07-17,user3254@example.com,John Davis,+1-861-205-5117,58843254,58843254,58843254,58843254
