account status,location,type,nation,street,Name,open_date,activity date,Account ID:,current balance,ProfileNUMBER:,zip_code,Ledger-identifier,contact,record Code (unique),Email
inactive,Branch 1,Loan,Canada,813 Broadway,Katie Smith,2022-08-19,2024-06-07,03174335,3408.69,03174335,59513,03174335,+1-768-548-3735,03174335,user4335@sample.org
active,Branch 4,Loan,UK,153 First Ave,John Doe,2020-06-28,2024-06-27,17964058,5434.61,17964058,83700,17964058,+1-487-609-8409,17964058,user4058@test.net
active,Branch 8,Checking,UK,180 Main St,John Johnson,2022-05-24,2024-03-14,31371317,5531.5,31371317,97938,31371317,+1-416-832-6045,31371317,user1317@example.com
active,Branch 6,Loan,USA,678 First Ave,Emily Johnson,2024-05-05,2024-11-10,19322205,6856.75,19322205,11264,19322205,+1-962-138-3507,19322205,user2205@example.com
inactive,Branch 3,Credit,Germany,977 Main St,John Smith,2021-07-07,2024-05-11,90478210,6880.94,90478210,19840,90478210,+1-215-484-9649,90478210,user8210@test.net
active,Branch 6,Savings,USA,819 Broadway,Alex Davis,2025-02-22,2024-12-14,49838009,7900.03,49838009,48443,49838009,+1-846-359-6986,49838009,user8009@sample.org
active,Branch 15,Savings,Germany,387 First Ave,Chris Brown,2021-08-06,2024-08-07,09861374,259.46,09861374,34497,09861374,+1-558-199-3733,09861374,user1374@example.com
active,Branch 10,Checking,Australia,611 Broadway,Alex Doe,2023-08-15,2025-02-03,00790563,9437.37,00790563,70336,00790563,+1-875-243-8988,00790563,user0563@sample.org
active,Branch 16,Loan,Germany,465 Main St,Emily Smith,2022-07-13,2025-02-23,77434533,709.92,77434533,97314,77434533,+1-495-109-6474,77434533,user4533@sample.org
active,Branch 5,Checking,USA,755 Maple Drive,Alex Johnson,2023-05-26,2024-05-10,98192695,4766.84,98192695,87119,98192695,+1-218-639-2222,98192695,user2695@example.com
inactive,Branch 19,Checking,UK,797 First Ave,Alex Brown,2020-07-04,2024-11-05,41572618,9196.6,41572618,70872,41572618,+1-302-104-7822,41572618,user2618@sample.org
active,Branch 11,Credit,Australia,485 First Ave,John Johnson,2023-04-11,2024-11-06,68042025,4881.81,68042025,98531,68042025,+1-602-320-2692,68042025,user2025@example.com
active,Branch 6,Credit,Australia,405 Broadway,Chris Johnson,2022-06-08,2025-01-01,27444106,645.73,27444106,88477,27444106,+1-528-569-8149,27444106,user4106@test.net
inactive,Branch 6,Loan,Germany,581 Main St,John Davis,2024-04-27,2025-02-14,61439049,2300.11,61439049,29073,61439049,+1-543-619-9545,61439049,user9049@sample.org
active,Branch 4,Savings,USA,753 Maple Drive,Chris Davis,2020-11-05,2024-04-02,92047322,5790.88,92047322,16810,92047322,+1-733-283-8246,92047322,user7322@sample.org
active,Branch 2,Loan,Australia,425 Main St,Alex Brown,2024-05-02,2024-06-07,44427750,887.74,44427750,61528,44427750,+1-516-926-9409,44427750,user7750@sample.org
inactive,Branch 2,Loan,Germany,986 First Ave,Katie Smith,2021-08-08,2024-04-11,26443204,4242.54,26443204,44995,26443204,+1-900-812-7033,26443204,user3204@test.net
inactive,Branch 2,Loan,Canada,864 First Ave,Emily Davis,2024-09-24,2024-03-30,89059689,3297.64,89059689,69706,89059689,+1-655-233-9891,89059689,user9689@example.com
inactive,Branch 1,Credit,Australia,797 Broadway,Chris Doe,2020-07-08,2024-09-27,43840767,8153.92,43840767,79131,43840767,+1-466-469-1454,43840767,user0767@example.com
inactive,Branch 8,Savings,UK,973 Maple Drive,Alex Doe,2022-06-18,2024-12-25,53673186,1110.22,53673186,54979,53673186,+1-930-563-6319,53673186,user3186@example.com
active,Branch 3,Savings,UK,618 Main St,Katie Brown,2020-03-14,2025-01-16,30260862,6831.16,30260862,95836,30260862,+1-530-165-2575,30260862,user0862@example.com
inactive,Branch 10,Loan,UK,483 Maple Drive,Katie Brown,2024-10-04,2025-02-14,08826718,4071.82,08826718,92316,08826718,+1-989-676-2278,08826718,user6718@example.com
inactive,Branch 12,Loan,Germany,994 Maple Drive,Emily Doe,2021-01-24,2024-06-21,59291933,5881.63,59291933,73915,59291933,+1-755-330-5385,59291933,user1933@test.net
inactive,Branch 19,Credit,Canada,209 First Ave,John Brown,2025-01-03,2024-06-17,21499075,2063.26,21499075,27238,21499075,+1-735-583-8221,21499075,user9075@sample.org
active,Branch 11,Savings,Canada,709 Main St,Alex Doe,2022-08-15,2024-12-12,22024687,6100.94,22024687,87770,22024687,+1-392-559-6170,22024687,user4687@sample.org
inactive,Branch 8,Loan,Canada,205 Maple Drive,Emily Johnson,2022-05-20,2024-05-03,20153495,6743.04,20153495,52190,20153495,+1-949-379-8666,20153495,user3495@example.com
inactive,Branch 11,Savings,UK,127 Broadway,Alex Smith,2022-06-26,2024-11-16,18680385,711.61,18680385,18827,18680385,+1-441-284-8440,18680385,user0385@example.com
inactive,Branch 14,Checking,USA,906 Main St,Chris Smith,2021-09-30,2024-03-18,93456236,8245.2,93456236,17947,93456236,+1-652-347-9412,93456236,user6236@sample.org
active,Branch 14,Checking,USA,592 Main St,John Brown,2024-06-03,2024-04-25,03242106,8613.93,03242106,75015,03242106,+1-699-900-4212,03242106,user2106@test.net
active,Branch 15,Checking,Germany,708 First Ave,Chris Johnson,2021-12-14,2024-09-02,96661911,644.91,96661911,66774,96661911,+1-482-424-4684,96661911,user1911@example.com
active,Branch 18,Checking,Canada,819 Main St,Emily Doe,2022-08-22,2025-01-09,80456124,6035.84,80456124,45895,80456124,+1-886-763-1699,80456124,user6124@test.net
inactive,Branch 16,Savings,Australia,346 First Ave,Chris Johnson,2023-10-03,2025-01-15,81870513,5944.17,81870513,45699,81870513,+1-380-807-4354,81870513,user0513@test.net
inactive,Branch 10,Checking,USA,601 First Ave,Emily Johnson,2022-10-23,2024-08-03,87128006,134.46,87128006,11833,87128006,+1-287-568-2084,87128006,user8006@example.com
active,Branch 18,Loan,USA,338 Maple Drive,Katie Doe,2021-11-14,2024-04-14,32882691,3430.04,32882691,49466,32882691,+1-521-584-7709,32882691,user2691@example.com
inactive,Branch 11,Savings,Germany,145 Broadway,John Johnson,2020-04-27,2025-03-08,51348180,9689.57,51348180,79055,51348180,+1-742-481-8143,51348180,user8180@example.com
active,Branch 3,Credit,Australia,918 Maple Drive,Chris Smith,2022-09-04,2024-06-01,11025351,5558.95,11025351,93156,11025351,+1-448-528-1332,11025351,user5351@test.net
active,Branch 6,Checking,Germany,499 Maple Drive,John Smith,2021-02-02,2025-01-08,62582519,9332.79,62582519,14176,62582519,+1-256-151-3857,62582519,user2519@test.net
inactive,Branch 17,Checking,Australia,276 Broadway,Chris Davis,2022-11-06,2024-11-20,68887109,6759.69,68887109,46442,68887109,+1-894-792-3447,68887109,user7109@test.net
inactive,Branch 14,Credit,UK,717 First Ave,Katie Doe,2023-12-31,2024-06-07,60421823,293.62,60421823,60275,60421823,+1-293-452-7563,60421823,user1823@sample.org
inactive,Branch 16,Checking,Germany,548 Maple Drive,Jane Johnson,2020-05-08,2025-02-14,75613572,786.35,75613572,45187,75613572,+1-896-927-5737,75613572,user3572@example.com
active,Branch 5,Checking,Canada,735 First Ave,John Doe,2024-03-14,2024-03-23,41456782,7224.57,41456782,16850,41456782,+1-453-284-6114,41456782,user6782@example.com
inactive,Branch 10,Loan,USA,192 Broadway,Alex Johnson,2022-05-25,2024-05-20,77815185,5550.13,77815185,60219,77815185,+1-608-805-8660,77815185,user5185@sample.org
inactive,Branch 10,Loan,USA,152 Main St,John Davis,2023-02-12,2024-06-02,75099907,1280.25,75099907,67846,75099907,+1-851-874-9063,75099907,user9907@example.com
active,Branch 10,Checking,Germany,776 First Ave,John Davis,2023-04-22,2024-10-20,08836523,6144.49,08836523,37219,08836523,+1-472-494-9824,08836523,user6523@test.net
inactive,Branch 20,Loan,Germany,835 First Ave,John Brown,2020-06-07,2024-08-23,17683327,8104.77,17683327,25193,17683327,+1-961-245-6434,17683327,user3327@test.net
active,Branch 17,Savings,UK,514 Main St,Jane Smith,2021-08-30,2024-06-02,37662068,7532.29,37662068,19896,37662068,+1-645-251-7324,37662068,user2068@test.net
inactive,Branch 19,Loan,UK,820 First Ave,Jane Johnson,2022-04-17,2024-05-18,30395817,2469.16,30395817,66116,30395817,+1-317-253-1130,30395817,user5817@test.net
active,Branch 17,Loan,Australia,358 First Ave,Emily Smith,2020-09-20,2025-03-01,85890673,2589.37,85890673,13521,85890673,+1-332-386-9710,85890673,user0673@example.com
active,Branch 8,Checking,Canada,243 Broadway,Jane Johnson,2020-12-26,2024-10-06,93478124,9678.7,93478124,61534,93478124,+1-746-437-5396,93478124,user8124@test.net
active,Branch 2,Checking,USA,754 Main St,John Doe,2020-06-16,2025-03-04,98425978,8875.17,98425978,47587,98425978,+1-668-971-5557,98425978,user5978@sample.org
inactive,Branch 15,Checking,USA,589 Broadway,Chris Brown,2024-06-18,2025-01-07,29821132,3190.19,29821132,38096,29821132,+1-541-886-6238,29821132,user1132@test.net
inactive,Branch 14,Loan,UK,248 Maple Drive,Katie Davis,2021-10-15,2024-03-28,74850624,8242.3,74850624,47518,74850624,+1-602-926-4285,74850624,user0624@example.com
inactive,Branch 3,Checking,Germany,523 Main St,Alex Brown,2021-02-16,2025-02-25,58455999,1625.77,58455999,92112,58455999,+1-409-682-4130,58455999,user5999@sample.org
active,Branch 5,Loan,Germany,696 First Ave,Alex Brown,2021-06-03,2025-02-05,43880948,1976.44,43880948,21540,43880948,+1-698-683-4683,43880948,user0948@example.com
active,Branch 11,Checking,Canada,893 Maple Drive,John Davis,2023-06-16,2024-04-25,61516765,1820.15,61516765,81972,61516765,+1-703-606-3058,61516765,user6765@test.net
inactive,Branch 20,Loan,Germany,446 Maple Drive,Jane Smith,2021-07-26,2024-07-19,72509734,886.33,72509734,16894,72509734,+1-281-209-2731,72509734,user9734@test.net
inactive,Branch 16,Savings,USA,623 Broadway,Emily Brown,2023-05-02,2024-09-20,76890025,8548.23,76890025,73602,76890025,+1-550-703-2075,76890025,user0025@sample.org
active,Branch 11,Loan,UK,875 Broadway,Jane Doe,2020-11-30,2025-01-13,61149198,5792.28,61149198,88539,61149198,+1-804-763-5899,61149198,user9198@example.com
inactive,Branch 6,Credit,Australia,665 Broadway,Emily Smith,2021-04-30,2024-12-25,18215833,2596.97,18215833,48844,18215833,+1-893-258-7067,18215833,user5833@example.com
active,Branch 19,Loan,Australia,409 Broadway,Alex Smith,2024-09-09,2025-03-02,61818970,8488.06,61818970,61350,61818970,+1-421-918-5650,61818970,user8970@test.net
inactive,Branch 1,Credit,Canada,730 Main St,Jane Doe,2024-03-10,2024-06-09,33235844,8028.44,33235844,11603,33235844,+1-362-230-6196,33235844,user5844@test.net
inactive,Branch 17,Loan,UK,663 First Ave,Alex Davis,2022-05-25,2025-02-14,05416838,1018.51,05416838,59919,05416838,+1-785-148-7291,05416838,user6838@example.com
active,Branch 1,Savings,UK,544 Broadway,Katie Smith,2021-07-10,2024-04-29,78897183,6444.95,78897183,43506,78897183,+1-844-884-5417,78897183,user7183@example.com
inactive,Branch 11,Loan,Australia,346 Maple Drive,John Doe,2020-05-23,2024-06-19,22505964,7221.12,22505964,19179,22505964,+1-557-352-6892,22505964,user5964@test.net
inactive,Branch 20,Credit,USA,199 Maple Drive,Emily Doe,2020-12-17,2025-02-07,56987940,7161.12,56987940,93473,56987940,+1-719-506-1398,56987940,user7940@test.net
inactive,Branch 9,Savings,Canada,226 Main St,John Smith,2024-03-05,2024-03-23,21067125,7234.2,21067125,58153,21067125,+1-775-905-2830,21067125,user7125@sample.org
active,Branch 19,Checking,USA,306 Main St,Katie Johnson,2024-11-08,2025-02-18,44767031,1702.88,44767031,16118,44767031,+1-765-420-9165,44767031,user7031@sample.org
inactive,Branch 7,Credit,Germany,632 Maple Drive,John Davis,2022-08-25,2024-06-22,29919769,3157.71,29919769,63704,29919769,+1-409-614-4166,29919769,user9769@example.com
inactive,Branch 7,Checking,Australia,950 Broadway,John Brown,2024-12-28,2024-10-10,65098854,8443.34,65098854,76032,65098854,+1-581-453-5266,65098854,user8854@sample.org
active,Branch 14,Loan,Australia,987 Broadway,Jane Doe,2021-08-11,2024-07-22,15773234,8984.93,15773234,32843,15773234,+1-731-294-1685,15773234,user3234@example.com
active,Branch 12,Checking,UK,590 Maple Drive,Chris Brown,2024-05-21,2024-04-05,91904192,2799.1,91904192,37160,91904192,+1-684-399-5759,91904192,user4192@test.net
inactive,Branch 8,Savings,UK,121 First Ave,Katie Johnson,2024-01-13,2024-04-25,69528098,239.96,69528098,62655,69528098,+1-742-106-7390,69528098,user8098@sample.org
active,Branch 1,Loan,Germany,924 Maple Drive,Chris Doe,2021-04-20,2025-02-19,60163487,8599.07,60163487,99008,60163487,+1-412-432-9523,60163487,user3487@test.net
