activity date,record-identification:,Address,contact,AccountNUMBER:,Branch,open_date,ledger number,acct balance,Country,E-mail,profile no,Name,acct status,CustomerIDENTIFIER:,Account Type,postal code
2024-10-20,28816561,158 First Ave,+1-287-780-6705,28816561,Branch 12,2022-03-28,28816561,627.27,USA,user6561@sample.org,28816561,Katie Doe,inactive,28816561,Credit,25812
2024-05-01,71350074,220 Maple Drive,+1-353-767-5430,71350074,Branch 18,2020-11-08,71350074,1073.15,Germany,user0074@test.net,71350074,Emily Johnson,inactive,71350074,Checking,27225
2024-11-27,31265460,451 Maple Drive,+1-477-707-6143,31265460,Branch 15,2024-04-16,31265460,3259.71,UK,user5460@example.com,31265460,Emily Smith,active,31265460,Credit,86616
2024-12-24,23019500,946 First Ave,+1-466-960-5665,23019500,Branch 19,2022-12-18,23019500,4320.39,Germany,user9500@test.net,23019500,Alex Brown,active,23019500,Loan,42772
2024-06-29,72097993,755 Main St,+1-266-173-9617,72097993,Branch 19,2022-01-24,72097993,3545.35,UK,user7993@example.com,72097993,Emily Johnson,inactive,72097993,Credit,78453
2025-02-03,47138000,348 Maple Drive,+1-983-580-8571,47138000,Branch 14,2022-08-22,47138000,1660.65,UK,user8000@test.net,47138000,John Smith,active,47138000,Checking,24190
2025-01-28,55347478,186 Maple Drive,+1-874-758-3805,55347478,Branch 13,2022-10-30,55347478,1130.18,USA,user7478@test.net,55347478,Alex Johnson,active,55347478,Credit,84760
2024-10-13,50325377,534 Main St,+1-766-262-6323,50325377,Branch 9,2022-10-31,50325377,8595.56,UK,user5377@example.com,50325377,Chris Brown,inactive,50325377,Loan,39249
2024-04-17,57806481,401 First Ave,+1-986-753-1860,57806481,Branch 16,2024-10-07,57806481,3638.18,UK,user6481@sample.org,57806481,Jane Smith,active,57806481,Loan,68189
2024-10-06,13396916,354 First Ave,+1-540-515-6237,13396916,Branch 6,2024-04-20,13396916,2193.81,Canada,user6916@sample.org,13396916,Katie Doe,active,13396916,Checking,82638
2024-11-19,82974183,929 Main St,+1-589-176-4986,82974183,Branch 16,2022-11-11,82974183,4875.04,Germany,user4183@test.net,82974183,Alex Brown,inactive,82974183,Savings,63574
2024-05-12,41584154,479 First Ave,+1-256-163-1442,41584154,Branch 12,2020-07-05,41584154,377.87,Germany,user4154@test.net,41584154,Emily Johnson,active,41584154,Checking,75490
2024-07-04,23912248,774 Maple Drive,+1-338-356-1827,23912248,Branch 6,2021-02-21,23912248,6006.81,Canada,user2248@sample.org,23912248,Jane Johnson,inactive,23912248,Savings,56219
2025-03-01,30866639,436 Broadway,+1-454-110-3975,30866639,Branch 8,2023-01-01,30866639,2492.41,USA,user6639@sample.org,30866639,Emily Davis,inactive,30866639,Savings,12336
2024-07-28,97715688,638 Broadway,+1-847-226-3426,97715688,Branch 3,2025-02-04,97715688,5985.98,Australia,user5688@example.com,97715688,Alex Smith,active,97715688,Savings,39069
2024-03-15,80705868,538 Main St,+1-238-426-8921,80705868,Branch 17,2021-03-27,80705868,6145.11,USA,user5868@example.com,80705868,Katie Brown,active,80705868,Credit,13865
2024-08-30,61334532,114 Main St,+1-481-481-7633,61334532,Branch 1,2020-06-19,61334532,8094.15,Germany,user4532@test.net,61334532,Katie Davis,inactive,61334532,Checking,38462
2024-09-13,52548166,202 First Ave,+1-259-973-4219,52548166,Branch 4,2022-09-22,52548166,2306.75,Canada,user8166@example.com,52548166,Emily Smith,inactive,52548166,Savings,70688
2024-12-03,50323166,428 First Ave,+1-202-646-3942,50323166,Branch 3,2021-12-10,50323166,4640.01,Germany,user3166@example.com,50323166,Katie Brown,active,50323166,Loan,72281
2024-04-08,51965184,560 Maple Drive,+1-545-694-7998,51965184,Branch 3,2023-09-01,51965184,9619.25,UK,user5184@test.net,51965184,Chris Smith,active,51965184,Loan,12828
2025-01-22,13378150,756 First Ave,+1-483-594-8606,13378150,Branch 17,2024-09-18,13378150,7273.98,USA,user8150@test.net,13378150,Jane Doe,active,13378150,Checking,72472
2024-12-01,07302365,481 First Ave,+1-704-153-9851,07302365,Branch 9,2021-09-30,07302365,9753.68,USA,user2365@test.net,07302365,Jane Brown,active,07302365,Loan,88746
2025-02-18,62676542,234 Maple Drive,+1-269-322-1552,62676542,Branch 14,2023-12-20,62676542,9274.38,Canada,user6542@example.com,62676542,Katie Smith,active,62676542,Loan,36007
2024-07-19,81931028,555 First Ave,+1-360-812-6301,81931028,Branch 18,2024-03-23,81931028,6111.38,Canada,user1028@test.net,81931028,Jane Doe,active,81931028,Savings,10513
2024-08-17,30141884,959 Maple Drive,+1-716-171-1335,30141884,Branch 10,2022-05-22,30141884,2646.66,Germany,user1884@sample.org,30141884,Alex Smith,inactive,30141884,Loan,72257
2024-09-08,51070812,583 Maple Drive,+1-566-846-4001,51070812,Branch 3,2021-04-01,51070812,7571.67,Germany,user0812@example.com,51070812,Emily Doe,active,51070812,Credit,60860
2024-06-10,50313175,883 Main St,+1-607-891-9675,50313175,Branch 4,2024-08-07,50313175,6984.21,USA,user3175@test.net,50313175,John Brown,active,50313175,Savings,57407
2024-05-02,59698316,981 First Ave,+1-241-776-9263,59698316,Branch 5,2021-03-24,59698316,5893.01,USA,user8316@sample.org,59698316,John Brown,inactive,59698316,Loan,26910
2024-08-25,61826838,448 Broadway,+1-977-400-1112,61826838,Branch 11,2023-08-11,61826838,6981.31,UK,user6838@sample.org,61826838,Emily Davis,active,61826838,Savings,95504
2025-01-22,31544325,559 Broadway,+1-324-277-5398,31544325,Branch 2,2021-07-21,31544325,6139.73,Germany,user4325@example.com,31544325,Chris Smith,inactive,31544325,Credit,76358
2024-11-23,35980194,856 Maple Drive,+1-469-342-1966,35980194,Branch 5,2024-12-13,35980194,5198.6,USA,user0194@test.net,35980194,Chris Smith,inactive,35980194,Checking,17565
2024-04-11,73090624,889 Main St,+1-891-428-3138,73090624,Branch 10,2022-11-29,73090624,4165.4,USA,user0624@test.net,73090624,Jane Davis,active,73090624,Credit,63312
2024-04-03,92874881,694 First Ave,+1-376-120-3348,92874881,Branch 11,2021-11-18,92874881,456.64,UK,user4881@sample.org,92874881,Alex Brown,inactive,92874881,Savings,68728
2024-08-31,71867047,633 Broadway,+1-278-150-7777,71867047,Branch 14,2022-10-19,71867047,8658.22,USA,user7047@test.net,71867047,Chris Smith,inactive,71867047,Credit,62451
2025-01-04,21774000,462 Maple Drive,+1-303-563-2162,21774000,Branch 11,2023-05-14,21774000,8656.75,USA,user4000@sample.org,21774000,Katie Doe,inactive,21774000,Checking,20441
2024-05-05,52465255,826 Main St,+1-321-443-5180,52465255,Branch 1,2023-11-12,52465255,5944.53,UK,user5255@test.net,52465255,Katie Davis,inactive,52465255,Savings,11716
2024-04-25,27918807,780 Maple Drive,+1-502-364-9264,27918807,Branch 6,2021-07-30,27918807,2686.16,Australia,user8807@test.net,27918807,Alex Smith,inactive,27918807,Checking,90844
2024-07-19,64068034,214 Main St,+1-542-695-3206,64068034,Branch 1,2023-09-05,64068034,291.03,Canada,user8034@sample.org,64068034,Jane Smith,active,64068034,Savings,45120
2024-10-17,08334041,659 Broadway,+1-893-305-7613,08334041,Branch 8,2024-08-18,08334041,24.27,UK,user4041@sample.org,08334041,Alex Smith,inactive,08334041,Checking,58361
2025-03-08,32062662,335 Maple Drive,+1-242-925-7367,32062662,Branch 4,2021-09-14,32062662,738.34,Germany,user2662@example.com,32062662,Chris Doe,active,32062662,Savings,67114
2024-04-01,95399878,549 Main St,+1-878-298-9025,95399878,Branch 20,2024-12-24,95399878,3605.26,Germany,user9878@test.net,95399878,Katie Johnson,active,95399878,Loan,90073
2024-03-24,53879210,507 Main St,+1-727-858-4653,53879210,Branch 5,2022-04-26,53879210,1892.08,Canada,user9210@sample.org,53879210,John Doe,inactive,53879210,Credit,44828
2025-02-18,92075114,988 Maple Drive,+1-368-238-8759,92075114,Branch 14,2021-08-19,92075114,2657.93,UK,user5114@example.com,92075114,Emily Smith,active,92075114,Checking,94269
2024-10-29,54067254,212 First Ave,+1-372-697-6234,54067254,Branch 4,2024-05-31,54067254,6999.61,UK,user7254@example.com,54067254,Emily Davis,inactive,54067254,Checking,38314
2024-08-15,35216268,373 Main St,+1-230-388-8982,35216268,Branch 3,2024-09-11,35216268,9591.91,USA,user6268@sample.org,35216268,John Davis,active,35216268,Credit,45024
2024-08-03,39136944,121 Main St,+1-519-655-1049,39136944,Branch 8,2023-02-04,39136944,2075.69,Germany,user6944@example.com,39136944,Chris Doe,active,39136944,Loan,12795
2024-10-13,90085904,837 Maple Drive,+1-374-731-5593,90085904,Branch 10,2021-04-11,90085904,4661.78,Germany,user5904@sample.org,90085904,Emily Brown,inactive,90085904,Loan,72348
2024-08-23,85059804,798 Maple Drive,+1-782-250-7675,85059804,Branch 7,2024-11-10,85059804,9914.88,Australia,user9804@sample.org,85059804,John Davis,active,85059804,Loan,13363
2024-03-20,90705748,686 Main St,+1-200-432-7244,90705748,Branch 3,2021-04-18,90705748,9317.43,Germany,user5748@test.net,90705748,Katie Doe,active,90705748,Loan,44575
2024-06-23,13030614,636 Main St,+1-951-763-6307,13030614,Branch 9,2023-07-06,13030614,3529.64,USA,user0614@example.com,13030614,John Brown,active,13030614,Loan,68595
2024-12-12,74820044,842 Main St,+1-723-137-2170,74820044,Branch 9,2021-03-03,74820044,3203.69,Australia,user0044@test.net,74820044,John Doe,inactive,74820044,Loan,16363
2025-03-08,79733777,992 First Ave,+1-563-880-8056,79733777,Branch 16,2024-07-09,79733777,2429.28,Australia,user3777@test.net,79733777,John Smith,inactive,79733777,Loan,26026
2024-08-16,22997662,353 Broadway,+1-758-271-1005,22997662,Branch 6,2025-02-18,22997662,1562.47,Canada,user7662@test.net,22997662,Chris Brown,active,22997662,Credit,94012
2025-01-17,19397491,579 Maple Drive,+1-681-221-2041,19397491,Branch 15,2021-10-25,19397491,4605.92,Australia,user7491@test.net,19397491,John Doe,inactive,19397491,Credit,84188
2024-07-21,57828277,810 Main St,+1-472-151-8216,57828277,Branch 5,2022-12-23,57828277,3417.79,USA,user8277@sample.org,57828277,Katie Johnson,inactive,57828277,Credit,46777
2025-02-07,97062070,719 First Ave,+1-640-440-3604,97062070,Branch 20,2021-11-01,97062070,7450.93,Canada,user2070@test.net,97062070,Katie Smith,active,97062070,Savings,28524
2024-05-28,73945304,828 Broadway,+1-768-559-4528,73945304,Branch 2,2021-07-25,73945304,2376.3,UK,user5304@sample.org,73945304,John Smith,inactive,73945304,Checking,59363
2024-12-23,48721717,938 Broadway,+1-823-872-5815,48721717,Branch 3,2022-09-15,48721717,7365.96,Canada,user1717@test.net,48721717,Jane Brown,active,48721717,Loan,56619
2025-03-01,44934168,580 Broadway,+1-723-564-4396,44934168,Branch 20,2022-06-06,44934168,2888.58,Canada,user4168@test.net,44934168,Emily Brown,inactive,44934168,Credit,75464
2024-05-17,31292390,855 First Ave,+1-367-969-2021,31292390,Branch 5,2022-04-13,31292390,5931.36,Australia,user2390@test.net,31292390,Jane Brown,inactive,31292390,Credit,77512
2025-03-06,18453627,140 Main St,+1-831-143-1395,18453627,Branch 19,2021-03-25,18453627,6387.92,Germany,user3627@test.net,18453627,Chris Doe,inactive,18453627,Loan,22549
2025-02-07,45682888,863 Main St,+1-369-129-1448,45682888,Branch 5,2025-02-17,45682888,6721.1,USA,user2888@test.net,45682888,Katie Davis,inactive,45682888,Credit,56259
2024-03-28,67396828,211 Broadway,+1-698-969-3619,67396828,Branch 17,2023-05-29,67396828,1761.64,USA,user6828@test.net,67396828,Chris Davis,active,67396828,Credit,12677
2024-07-24,25806304,976 Maple Drive,+1-424-921-8836,25806304,Branch 8,2022-04-08,25806304,2834.29,Australia,user6304@sample.org,25806304,Jane Smith,active,25806304,Checking,56805
2024-07-06,66181813,643 Broadway,+1-920-688-5494,66181813,Branch 1,2021-01-24,66181813,2468.7,Canada,user1813@test.net,66181813,Emily Johnson,active,66181813,Loan,44101
2024-06-24,55032693,809 Maple Drive,+1-917-151-5611,55032693,Branch 7,2023-03-05,55032693,5765.84,UK,user2693@test.net,55032693,Katie Johnson,inactive,55032693,Savings,94931
2024-07-23,67975076,878 Broadway,+1-964-249-8387,67975076,Branch 2,2020-05-12,67975076,766.71,Germany,user5076@test.net,67975076,Katie Davis,inactive,67975076,Checking,90025
2025-01-26,55350915,986 Broadway,+1-523-170-1239,55350915,Branch 17,2020-06-18,55350915,5187.38,USA,user0915@example.com,55350915,Katie Davis,active,55350915,Loan,85379
2024-08-16,19885472,722 Main St,+1-429-839-4201,19885472,Branch 5,2023-11-04,19885472,883.8,Canada,user5472@test.net,19885472,Jane Smith,inactive,19885472,Savings,14917
2024-05-15,30203484,119 Maple Drive,+1-643-856-7448,30203484,Branch 9,2023-05-22,30203484,3377.19,USA,user3484@example.com,30203484,Chris Davis,active,30203484,Loan,47533
