street,account status,E-mail,nation,phone,recent activity,Customer,branch,acct type,acct balance,client-identification:,Profile-identifier:,zip_code,open_date
375 Broadway,active,user4888@sample.org,Canada,+1-325-875-6341,2024-08-05,Jane Brown,Branch 13,Loan,1802.53,40764888,40764888,74165,2022-12-17
120 First Ave,inactive,user4703@test.net,USA,+1-610-733-3428,2024-07-12,John Smith,Branch 6,Savings,2053.79,07514703,07514703,19653,2021-01-14
125 Main St,inactive,user3260@test.net,UK,+1-714-969-1011,2024-10-21,Jane Doe,Branch 15,Loan,129.67,07473260,07473260,44987,2023-04-20
592 First Ave,inactive,user4656@example.com,USA,+1-900-182-6157,2024-09-13,Katie Davis,Branch 2,Checking,3509.72,81074656,81074656,84331,2020-09-21
353 Main St,active,user9943@test.net,UK,+1-402-473-5391,2024-08-22,Jane Davis,Branch 8,Credit,926.52,61559943,61559943,29678,2024-04-27
594 First Ave,active,user6199@test.net,Canada,+1-398-449-8496,2024-07-08,Alex Davis,Branch 16,Loan,3221.67,55976199,55976199,20702,2022-01-07
318 Main St,inactive,user6281@sample.org,Germany,+1-560-156-7965,2024-04-19,Alex Brown,Branch 19,Checking,6285.82,02386281,02386281,25916,2023-09-13
482 Main St,active,user1136@example.com,Canada,+1-840-852-2215,2024-08-30,Alex Doe,Branch 10,Credit,8945.84,77351136,77351136,45008,2021-05-31
196 Maple Drive,inactive,user2223@sample.org,Canada,+1-701-928-8480,2024-07-14,Alex Davis,Branch 10,Credit,8397.66,75802223,75802223,28226,2024-08-30
957 Main St,active,user9247@example.com,Germany,+1-354-411-9292,2024-04-27,Chris Doe,Branch 12,Savings,2534.22,33809247,33809247,28992,2022-08-27
422 First Ave,active,user6942@test.net,Germany,+1-524-356-6846,2025-02-04,Alex Doe,Branch 14,Savings,1349.49,19356942,19356942,45336,2022-01-29
767 Main St,active,user6266@example.com,UK,+1-939-198-1965,2024-08-05,Emily Davis,Branch 14,Credit,1938.79,89816266,89816266,56274,2024-03-16
760 Main St,active,user9301@example.com,UK,+1-898-591-3061,2024-12-06,Jane Davis,Branch 20,Credit,9710.16,52049301,52049301,87079,2021-11-09
356 Broadway,inactive,user4098@test.net,Germany,+1-221-458-3455,2024-06-18,Alex Johnson,Branch 14,Credit,5499.25,16704098,16704098,35088,2021-12-20
602 First Ave,active,user0149@test.net,Canada,+1-218-602-2006,2024-11-29,Emily Brown,Branch 11,Credit,1833.2,60990149,60990149,43675,2024-07-01
365 First Ave,active,user4518@sample.org,USA,+1-356-272-6445,2024-11-16,Jane Doe,Branch 13,Credit,8409.05,81134518,81134518,44369,2024-11-12
171 Main St,active,user4086@sample.org,Canada,+1-700-453-7175,2024-10-19,Katie Johnson,Branch 9,Checking,3957.96,06624086,06624086,14505,2021-05-04
369 Main St,active,user4986@test.net,Germany,+1-530-345-9241,2024-12-26,Alex Smith,Branch 14,Loan,8993.23,86474986,86474986,62619,2021-02-03
602 First Ave,inactive,user7939@sample.org,Germany,+1-939-340-3076,2024-07-06,Jane Smith,Branch 15,Savings,2614.16,07267939,07267939,38397,2020-11-01
283 Main St,inactive,user7455@sample.org,USA,+1-390-800-2779,2024-12-28,Alex Davis,Branch 11,Checking,3938.29,96407455,96407455,23440,2020-04-25
775 Broadway,active,user6683@example.com,Australia,+1-930-264-1644,2024-05-28,John Doe,Branch 5,Savings,5054.43,99796683,99796683,32375,2022-03-10
890 First Ave,active,user7115@sample.org,Canada,+1-422-970-1089,2024-08-29,John Smith,Branch 2,Checking,8927.23,83517115,83517115,54802,2025-02-05
145 Broadway,inactive,user7717@sample.org,UK,+1-568-122-9573,2024-07-20,Jane Johnson,Branch 6,Credit,8688.89,23767717,23767717,73005,2023-09-03
265 Maple Drive,inactive,user3460@example.com,Canada,+1-474-200-8125,2024-10-14,John Doe,Branch 10,Checking,5747.81,72953460,72953460,28234,2020-07-03
773 Broadway,active,user2909@example.com,UK,+1-545-886-4437,2024-04-26,John Doe,Branch 1,Loan,2225.54,45362909,45362909,12776,2021-05-07
373 Maple Drive,active,user8158@test.net,UK,+1-716-444-4712,2024-06-14,John Johnson,Branch 8,Credit,4039.54,13868158,13868158,23504,2025-01-21
282 First Ave,active,user8657@example.com,USA,+1-365-678-2410,2024-03-24,John Davis,Branch 4,Loan,9756.57,38628657,38628657,22594,2020-07-21
122 Main St,active,user4567@sample.org,Germany,+1-208-652-2322,2024-11-26,John Brown,Branch 9,Credit,6081.65,94594567,94594567,38287,2021-12-07
692 Broadway,active,user3396@example.com,Australia,+1-205-111-6291,2024-05-09,Katie Smith,Branch 9,Credit,7813.17,47053396,47053396,53390,2020-03-21
279 First Ave,inactive,user1069@sample.org,Germany,+1-368-796-2275,2024-04-05,Jane Doe,Branch 20,Checking,4504.15,76051069,76051069,31873,2024-04-26
761 Broadway,active,user6078@test.net,Germany,+1-609-694-7577,2025-02-25,Alex Brown,Branch 13,Checking,5324.75,99236078,99236078,70927,2021-05-08
349 Main St,inactive,user4624@test.net,Australia,+1-266-877-8143,2024-05-18,Katie Smith,Branch 3,Credit,4295.25,41074624,41074624,93048,2025-03-06
102 Main St,inactive,user1378@test.net,UK,+1-778-634-7055,2024-09-14,Katie Johnson,Branch 7,Loan,7032.18,66731378,66731378,20195,2023-09-02
616 First Ave,active,user1745@example.com,Canada,+1-729-264-8271,2024-06-26,Alex Smith,Branch 3,Checking,8516.2,55631745,55631745,96950,2022-12-16
848 First Ave,inactive,user6062@example.com,USA,+1-975-127-8686,2024-04-12,John Smith,Branch 10,Checking,5078.56,09976062,09976062,72510,2021-03-01
834 Main St,inactive,user2801@test.net,Australia,+1-860-255-8743,2024-05-07,John Smith,Branch 14,Savings,4813.87,26092801,26092801,66027,2024-01-09
382 Main St,active,user2677@test.net,UK,+1-915-957-1358,2024-08-20,Emily Doe,Branch 6,Savings,3409.46,17232677,17232677,93774,2022-10-06
237 Broadway,active,user2988@sample.org,Germany,+1-883-527-1358,2024-12-06,John Smith,Branch 18,Credit,1779.2,78152988,78152988,36019,2023-11-01
222 First Ave,inactive,user1340@sample.org,Australia,+1-970-123-1605,2024-11-26,Jane Johnson,Branch 14,Loan,9393.08,95461340,95461340,83826,2022-01-23
714 First Ave,inactive,user1550@example.com,UK,+1-452-286-5714,2024-12-16,Alex Davis,Branch 20,Checking,3167.64,61441550,61441550,40361,2023-08-02
435 First Ave,inactive,user7655@test.net,USA,+1-811-840-3135,2024-10-22,John Doe,Branch 16,Loan,8008.91,11547655,11547655,80564,2020-12-17
157 Main St,active,user2411@sample.org,Australia,+1-530-885-1688,2024-10-20,Katie Doe,Branch 17,Credit,7156.32,82292411,82292411,32042,2022-04-05
380 First Ave,inactive,user2995@example.com,Germany,+1-695-917-9601,2024-05-17,Alex Johnson,Branch 13,Credit,7911.27,98112995,98112995,47074,2020-10-04
102 Main St,inactive,user1245@example.com,USA,+1-473-376-9626,2024-08-11,Jane Doe,Branch 20,Credit,9368.31,09841245,09841245,23159,2025-02-20
575 Main St,active,user4576@example.com,USA,+1-987-377-3997,2025-01-30,Chris Johnson,Branch 19,Loan,6237.47,76884576,76884576,73449,2023-10-09
987 Main St,active,user0197@test.net,Canada,+1-523-105-3102,2024-12-23,Alex Davis,Branch 4,Savings,8980.52,19370197,19370197,55640,2024-08-15
197 Broadway,active,user7401@example.com,USA,+1-519-279-8307,2024-05-31,Alex Davis,Branch 20,Loan,1685.3,21487401,21487401,50942,2022-06-20
639 Maple Drive,active,user8643@example.com,Germany,+1-558-643-7263,2024-10-01,Chris Doe,Branch 11,Savings,6270.86,43738643,43738643,18508,2022-10-23
768 First Ave,inactive,user3219@example.com,Germany,+1-543-396-5723,2025-01-06,Chris Doe,Branch 15,Savings,7725.03,08263219,08263219,60902,2021-09-10
246 Broadway,active,user9956@example.com,UK,+1-413-827-6465,2024-06-05,Jane Davis,Branch 5,Loan,2723.69,10539956,10539956,88844,2022-05-17
669 Broadway,inactive,user3678@example.com,Canada,+1-868-635-9785,2024-12-07,Emily Johnson,Branch 7,Checking,7410.13,56503678,56503678,99183,2023-03-09
349 Main St,inactive,user7433@sample.org,Canada,+1-737-656-9699,2024-09-05,John Brown,Branch 11,Savings,7786.98,57317433,57317433,52516,2021-08-05
239 Maple Drive,active,user1882@test.net,USA,+1-868-476-5986,2024-07-02,Emily Johnson,Branch 18,Loan,8313.57,09091882,09091882,67386,2022-05-02
860 Main St,active,user6601@example.com,Germany,+1-651-516-3958,2024-06-15,John Brown,Branch 13,Savings,3135.7,73446601,73446601,97962,2020-12-19
766 Broadway,inactive,user5799@test.net,Canada,+1-615-187-8884,2024-04-29,Alex Johnson,Branch 11,Savings,6819.25,28735799,28735799,24670,2025-03-02
572 Maple Drive,active,user4629@example.com,Canada,+1-405-606-3448,2025-01-01,Katie Doe,Branch 11,Savings,3049.49,21324629,21324629,74087,2024-05-18
580 Broadway,inactive,user5328@sample.org,Canada,+1-878-910-7407,2024-09-28,Chris Doe,Branch 2,Checking,7393.01,87255328,87255328,59144,2023-06-07
148 First Ave,inactive,user1359@sample.org,Germany,+1-558-540-2720,2024-05-27,Jane Brown,Branch 11,Checking,4635.11,49351359,49351359,49311,2025-01-07
924 Broadway,inactive,user6228@sample.org,UK,+1-850-888-5744,2024-04-29,Chris Davis,Branch 12,Credit,5979.47,06656228,06656228,66758,2022-02-22
770 First Ave,inactive,user8562@test.net,UK,+1-541-719-7195,2024-09-21,Chris Doe,Branch 11,Savings,4164.24,33888562,33888562,97055,2021-04-16
249 Broadway,inactive,user8094@test.net,Germany,+1-453-161-9601,2024-09-21,Emily Doe,Branch 15,Savings,1628.21,66508094,66508094,32940,2023-12-01
535 Maple Drive,active,user2575@example.com,UK,+1-790-459-2318,2024-12-16,Chris Johnson,Branch 6,Loan,1788.52,50602575,50602575,59173,2024-09-11
975 Broadway,active,user2508@example.com,Germany,+1-602-655-6275,2024-09-01,John Brown,Branch 8,Checking,784.91,06772508,06772508,21737,2025-03-06
375 Main St,active,user5937@example.com,USA,+1-705-476-9710,2024-11-18,John Smith,Branch 11,Loan,6184.55,29165937,29165937,45513,2023-12-28
990 First Ave,inactive,user5961@sample.org,Australia,+1-771-636-2920,2024-07-26,Emily Johnson,Branch 11,Savings,8487.9,72485961,72485961,16788,2022-07-12
209 Maple Drive,inactive,user0020@sample.org,Australia,+1-273-349-4998,2024-03-21,Alex Doe,Branch 16,Credit,218.16,08380020,08380020,52845,2021-06-18
572 Main St,active,user0350@example.com,Canada,+1-628-256-3361,2025-02-09,Emily Johnson,Branch 15,Credit,671.73,00810350,00810350,46412,2022-08-22
159 Main St,inactive,user3324@example.com,Germany,+1-289-375-4671,2024-11-23,Jane Johnson,Branch 20,Loan,4580.1,08493324,08493324,92669,2023-02-25
502 Main St,inactive,user6212@test.net,USA,+1-262-917-7817,2024-06-17,Jane Doe,Branch 6,Credit,7379.83,84246212,84246212,44296,2021-11-04
923 First Ave,inactive,user5325@test.net,Australia,+1-823-636-5327,2024-03-14,Alex Doe,Branch 9,Savings,1585.5,63945325,63945325,18324,2023-01-29
819 First Ave,inactive,user1657@sample.org,Australia,+1-288-194-4938,2024-08-12,Emily Davis,Branch 4,Savings,2723.8,79171657,79171657,96940,2020-11-17
550 Broadway,active,user4892@example.com,Canada,+1-282-198-8498,2025-02-19,Jane Brown,Branch 17,Loan,2327.74,94824892,94824892,20533,2024-12-05
381 Main St,inactive,user8949@test.net,Germany,+1-278-631-5198,2024-10-29,Chris Smith,Branch 8,Credit,3996.52,31158949,31158949,99723,2022-09-03
487 Maple Drive,active,user7111@example.com,Australia,+1-471-468-6526,2024-09-12,John Smith,Branch 14,Checking,2257.74,67007111,67007111,33671,2023-07-09
371 Broadway,inactive,user0160@sample.org,UK,+1-691-171-4953,2024-07-17,Katie Davis,Branch 2,Credit,3532.46,55250160,55250160,93301,2023-10-09
252 First Ave,active,user1880@example.com,Germany,+1-792-317-2780,2024-12-31,John Smith,Branch 2,Credit,7288.14,57331880,57331880,80171,2021-04-11
524 First Ave,active,user8797@test.net,Canada,+1-303-340-7905,2024-11-15,Jane Smith,Branch 5,Savings,6113.98,00868797,00868797,88201,2025-02-25
112 Maple Drive,active,user0388@sample.org,USA,+1-718-681-1269,2024-05-03,Jane Brown,Branch 13,Savings,821.01,86020388,86020388,40102,2021-04-28
