Branch,country,open_date,recent activity,Name,E-mail,Accountidentifier:,phone,Zip Code,ledger identifier,Ledger identification:,acct status,street,acct type,current balance,Profile_NUMBER:
Branch 11,Australia,2022-01-11,2024-04-08,Jane Johnson,user5103@example.com,31135103,+1-226-917-8559,56698,31135103,31135103,active,407 Main St,Loan,1402.17,31135103
Branch 7,USA,2024-10-28,2024-08-07,Chris Johnson,user8503@sample.org,08288503,+1-421-730-8560,31446,08288503,08288503,inactive,975 Maple Drive,Loan,8350.95,08288503
Branch 18,UK,2023-03-11,2024-05-29,Chris Smith,user6560@example.com,69866560,+1-291-294-1567,56781,69866560,69866560,inactive,591 First Ave,Savings,9844.18,69866560
Branch 13,Canada,2024-08-30,2025-01-19,Jane Smith,user4228@example.com,36144228,+1-870-562-3812,43656,36144228,36144228,inactive,497 Broadway,Savings,5261.64,36144228
Branch 16,Canada,2020-10-03,2024-12-13,John Johnson,user3792@test.net,92863792,+1-364-195-2788,85344,92863792,92863792,active,141 Main St,Loan,1725.08,92863792
Branch 14,Australia,2024-12-27,2024-09-16,John Brown,user1658@example.com,49031658,+1-409-653-7236,32553,49031658,49031658,inactive,123 First Ave,Checking,2730.35,49031658
Branch 5,Australia,2023-01-03,2024-05-07,Chris Smith,user4370@test.net,84314370,+1-779-142-9344,12253,84314370,84314370,active,800 Broadway,Credit,193.72,84314370
Branch 12,Canada,2024-03-18,2024-08-04,John Johnson,user9716@example.com,01519716,+1-683-177-7387,62385,01519716,01519716,active,355 Maple Drive,Savings,9143.85,01519716
Branch 20,UK,2020-11-17,2024-07-25,Jane Smith,user4685@test.net,87284685,+1-707-245-4041,96497,87284685,87284685,active,221 Main St,Credit,1186.33,87284685
Branch 5,Australia,2020-06-06,2024-12-17,Jane Smith,user4840@example.com,39774840,+1-322-125-5159,46229,39774840,39774840,inactive,840 Broadway,Savings,5769.4,39774840
Branch 7,USA,2021-10-12,2024-10-02,Alex Smith,user1695@sample.org,07781695,+1-523-991-5576,47100,07781695,07781695,inactive,556 Main St,Credit,2747.81,07781695
Branch 17,USA,2022-01-11,2024-12-30,Emily Brown,user1691@example.com,88201691,+1-961-517-2832,94255,88201691,88201691,active,198 Main St,Loan,5546.24,88201691
Branch 14,Germany,2020-07-13,2024-12-18,Katie Johnson,user5526@test.net,96355526,+1-707-213-3739,21526,96355526,96355526,inactive,425 Main St,Credit,6517.69,96355526
Branch 17,USA,2025-02-13,2024-07-07,Katie Davis,user7773@test.net,34707773,+1-760-927-2120,26216,34707773,34707773,inactive,778 First Ave,Credit,8299.12,34707773
Branch 16,UK,2020-12-13,2024-03-26,Emily Johnson,user6381@sample.org,68576381,+1-685-954-1103,23248,68576381,68576381,inactive,810 First Ave,Savings,2072.15,68576381
Branch 20,Canada,2021-11-14,2024-09-17,Emily Doe,user9322@example.com,43559322,+1-665-362-6019,97894,43559322,43559322,inactive,437 Broadway,Savings,119.85,43559322
Branch 2,USA,2021-05-19,2024-06-07,Jane Davis,user8564@example.com,46778564,+1-450-516-1881,90276,46778564,46778564,active,877 First Ave,Savings,1377.49,46778564
Branch 14,UK,2024-03-13,2024-05-02,Alex Doe,user9375@test.net,61649375,+1-348-944-4695,74626,61649375,61649375,inactive,253 Main St,Checking,9001.19,61649375
Branch 1,Australia,2022-10-11,2024-10-13,Alex Davis,user4645@example.com,30074645,+1-977-408-5802,35633,30074645,30074645,active,293 First Ave,Loan,8740.16,30074645
Branch 9,Canada,2021-05-08,2024-12-31,John Smith,user9165@sample.org,68229165,+1-334-288-6907,81657,68229165,68229165,active,924 Main St,Credit,5978.16,68229165
Branch 17,UK,2022-06-09,2024-03-14,John Johnson,user5627@example.com,34285627,+1-347-195-7509,82146,34285627,34285627,active,170 First Ave,Checking,6009.16,34285627
Branch 17,Australia,2020-07-31,2024-06-24,John Smith,user5020@sample.org,55925020,+1-215-247-6608,20526,55925020,55925020,active,308 First Ave,Credit,6653.72,55925020
Branch 13,Canada,2022-02-11,2025-01-03,Alex Brown,user0918@sample.org,66530918,+1-385-319-5421,79624,66530918,66530918,active,880 Broadway,Checking,1761.96,66530918
Branch 19,UK,2024-02-06,2024-06-09,Emily Johnson,user4590@example.com,03904590,+1-973-184-3325,29235,03904590,03904590,inactive,384 Maple Drive,Savings,9144.98,03904590
Branch 8,Canada,2024-08-25,2024-06-13,Jane Brown,user1255@example.com,52831255,+1-950-780-1278,70764,52831255,52831255,active,520 Main St,Savings,4193.52,52831255
Branch 6,UK,2024-08-08,2024-03-25,Chris Davis,user3856@sample.org,58833856,+1-797-378-5998,42647,58833856,58833856,active,557 First Ave,Loan,3837.55,58833856
Branch 2,Germany,2023-03-03,2024-06-10,Emily Smith,user5480@example.com,72895480,+1-959-943-8308,10330,72895480,72895480,inactive,484 First Ave,Checking,5193.99,72895480
Branch 11,Australia,2022-12-22,2024-10-07,Alex Brown,user0033@test.net,94300033,+1-685-284-7157,97646,94300033,94300033,active,390 First Ave,Loan,479.19,94300033
Branch 12,USA,2021-05-06,2024-12-26,Jane Davis,user3299@example.com,61873299,+1-831-123-4411,66234,61873299,61873299,inactive,983 Maple Drive,Savings,1671.17,61873299
Branch 8,Australia,2022-04-26,2024-12-16,Alex Johnson,user8968@example.com,30258968,+1-890-287-7892,40605,30258968,30258968,inactive,542 Maple Drive,Loan,7382.96,30258968
Branch 9,Australia,2024-06-09,2024-03-17,Katie Smith,user9965@example.com,24079965,+1-856-740-6785,50202,24079965,24079965,active,251 Main St,Checking,837.16,24079965
Branch 1,Germany,2022-06-12,2024-04-27,Jane Davis,user6236@test.net,18806236,+1-523-196-4680,39536,18806236,18806236,inactive,197 Main St,Loan,6035.49,18806236
Branch 12,Canada,2020-12-22,2024-07-24,John Brown,user2693@example.com,02292693,+1-333-581-7700,54218,02292693,02292693,active,663 Broadway,Savings,2461.04,02292693
Branch 1,Canada,2022-08-28,2024-06-12,Emily Johnson,user4919@test.net,23494919,+1-280-767-8628,98757,23494919,23494919,active,373 Main St,Checking,3899.06,23494919
Branch 17,UK,2020-08-19,2025-02-20,John Doe,user3581@test.net,37133581,+1-817-937-5916,86907,37133581,37133581,inactive,929 Broadway,Loan,2894.05,37133581
Branch 20,USA,2021-05-29,2024-09-29,Jane Davis,user1029@sample.org,97181029,+1-937-670-1394,47683,97181029,97181029,inactive,823 Main St,Savings,3563.17,97181029
Branch 5,Canada,2024-01-23,2024-07-25,Alex Davis,user3932@sample.org,62723932,+1-893-237-5429,75594,62723932,62723932,inactive,805 Broadway,Loan,7193.27,62723932
Branch 16,Australia,2022-02-23,2024-11-18,Emily Davis,user1885@sample.org,73241885,+1-553-947-6883,75888,73241885,73241885,inactive,241 Broadway,Savings,2978.25,73241885
Branch 7,Canada,2023-01-18,2024-04-18,John Johnson,user3317@example.com,34013317,+1-798-653-6746,33431,34013317,34013317,active,625 Maple Drive,Loan,5668.38,34013317
Branch 19,Australia,2024-03-25,2024-04-10,Alex Johnson,user1108@example.com,85021108,+1-314-491-1607,18489,85021108,85021108,active,710 First Ave,Savings,4765.74,85021108
Branch 14,Australia,2023-07-21,2024-10-12,Jane Brown,user1944@sample.org,97271944,+1-334-208-2741,79236,97271944,97271944,inactive,101 Broadway,Savings,6640.07,97271944
Branch 3,USA,2022-06-10,2024-12-14,Katie Smith,user5733@sample.org,26765733,+1-788-783-2809,77740,26765733,26765733,active,500 Broadway,Loan,9368.93,26765733
Branch 11,Germany,2023-05-18,2024-03-22,Katie Davis,user1811@example.com,16181811,+1-527-649-2489,46336,16181811,16181811,active,134 First Ave,Checking,7328.4,16181811
Branch 20,Australia,2021-07-26,2024-04-15,Emily Doe,user0956@example.com,54640956,+1-374-924-8042,86898,54640956,54640956,inactive,612 Main St,Checking,2157.25,54640956
Branch 15,Australia,2021-05-13,2024-10-26,Jane Brown,user2232@example.com,35242232,+1-753-514-5678,65020,35242232,35242232,active,608 First Ave,Checking,321.52,35242232
Branch 14,Australia,2022-03-04,2024-11-02,John Doe,user8288@test.net,72878288,+1-950-721-9779,80364,72878288,72878288,inactive,805 First Ave,Loan,2630.02,72878288
Branch 9,UK,2021-07-19,2024-03-19,Alex Johnson,user4286@test.net,15794286,+1-623-361-8847,13040,15794286,15794286,inactive,239 Maple Drive,Credit,5954.83,15794286
Branch 1,Australia,2024-09-01,2024-06-28,Emily Johnson,user1548@sample.org,02501548,+1-769-538-9416,63104,02501548,02501548,inactive,332 First Ave,Loan,523.74,02501548
Branch 11,Canada,2023-08-30,2024-04-20,Alex Brown,user6195@test.net,02856195,+1-890-531-3079,63104,02856195,02856195,inactive,752 Broadway,Loan,4968.7,02856195
Branch 7,Canada,2020-07-12,2024-09-30,Emily Brown,user3151@test.net,58853151,+1-419-574-7215,44035,58853151,58853151,active,521 First Ave,Savings,5972.46,58853151
Branch 11,UK,2024-02-21,2024-06-17,Jane Smith,user3164@test.net,25163164,+1-260-109-9195,12396,25163164,25163164,active,263 Broadway,Checking,3349.1,25163164
Branch 14,USA,2020-03-25,2024-10-24,Alex Smith,user8705@sample.org,82328705,+1-738-375-6111,55523,82328705,82328705,active,452 Maple Drive,Loan,7711.41,82328705
Branch 15,Germany,2023-09-15,2024-03-30,Emily Smith,user2304@example.com,83612304,+1-667-365-1387,22889,83612304,83612304,inactive,117 Main St,Credit,1074.92,83612304
Branch 2,Australia,2022-01-23,2024-09-01,John Brown,user9928@test.net,79539928,+1-723-867-4780,23206,79539928,79539928,inactive,401 Main St,Checking,760.63,79539928
Branch 16,Australia,2023-03-31,2025-02-23,Jane Smith,user7290@example.com,16237290,+1-648-940-2451,15733,16237290,16237290,inactive,263 Main St,Savings,7284.61,16237290
Branch 17,Germany,2021-12-29,2024-03-15,Chris Brown,user0532@example.com,55000532,+1-778-212-1532,33821,55000532,55000532,inactive,890 Broadway,Loan,4959.96,55000532
Branch 20,Australia,2025-02-02,2024-03-26,John Johnson,user3005@sample.org,09863005,+1-702-398-3140,21941,09863005,09863005,inactive,664 First Ave,Loan,6887.14,09863005
Branch 15,Germany,2024-05-27,2024-08-06,Emily Johnson,user3755@sample.org,62263755,+1-287-547-5927,31102,62263755,62263755,active,209 Main St,Savings,4353.93,62263755
Branch 16,UK,2024-11-28,2025-01-02,Katie Brown,user4319@example.com,69864319,+1-244-151-7613,58636,69864319,69864319,active,803 Maple Drive,Savings,2471.56,69864319
Branch 11,Germany,2022-08-09,2024-06-19,Chris Doe,user5715@test.net,37465715,+1-784-854-9668,50763,37465715,37465715,inactive,171 Broadway,Checking,8192.83,37465715
Branch 12,UK,2020-09-12,2024-06-24,Emily Smith,user7456@test.net,15107456,+1-986-306-7439,35699,15107456,15107456,inactive,905 First Ave,Credit,7996.16,15107456
Branch 9,Australia,2022-04-01,2024-06-12,Jane Smith,user5168@example.com,66015168,+1-822-847-3094,96050,66015168,66015168,active,454 Main St,Savings,6950.02,66015168
Branch 6,Australia,2023-09-28,2024-10-07,Emily Johnson,user5923@example.com,84975923,+1-402-904-6341,46564,84975923,84975923,inactive,393 Maple Drive,Credit,2728.73,84975923
Branch 14,USA,2021-10-29,2024-10-30,Alex Doe,user7199@test.net,02947199,+1-435-385-9852,20782,02947199,02947199,active,217 Main St,Credit,5906.4,02947199
Branch 3,Canada,2022-09-19,2024-06-11,Chris Smith,user5345@sample.org,11205345,+1-475-622-8160,34443,11205345,11205345,inactive,162 Maple Drive,Loan,3616.13,11205345
Branch 19,Germany,2023-12-04,2024-07-17,Jane Brown,user8093@test.net,75698093,+1-476-559-1640,42392,75698093,75698093,inactive,716 Broadway,Savings,924.9,75698093
Branch 1,USA,2021-07-28,2024-07-31,Alex Smith,user9976@test.net,08769976,+1-716-261-2921,13841,08769976,08769976,active,324 Main St,Savings,9173.96,08769976
Branch 8,Canada,2020-09-03,2024-09-18,Alex Davis,user3544@sample.org,11403544,+1-429-687-9647,25527,11403544,11403544,active,370 Maple Drive,Checking,1376.82,11403544
Branch 17,UK,2023-11-03,2024-12-30,Alex Brown,user6750@example.com,28366750,+1-620-426-5494,62618,28366750,28366750,inactive,518 Main St,Credit,9502.87,28366750
Branch 9,USA,2022-01-24,2024-07-02,Katie Doe,user3137@test.net,79083137,+1-642-291-3425,16679,79083137,79083137,active,155 Main St,Credit,4465.6,79083137
